NOBLE	NOBLE	j	NOBLE	noble	0
SIR	SIR	n1	SIR	sir	0
,	,	,	,	,	0
I	I	pns11	I	i	0
Have	Have	vhb	Have	have	0
made	made	vvn	made	make	0
bold	bold	j	bold	bold	0
to	to	pc-acp	to	to	0
borrow	borrow	vvi	borrow	borrow	0
your	your	po22	your	your	0
faire	faire	j	fair	fair	0
name	name	n1	name	name	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
grace	grace	vvi	grace	grace	0
the	the	dt	the	the	0
Front	Front	n1	Front	front	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
Book	Book	n1	Book	book	0
;	;	;	;	;	0
It	It	pn31	It	it	0
will	will	vmb	will	will	0
passe	passe	vvi	pass	pass	0
for	for	p-acp	for	for	0
currant	currant	n1	currant	currant	0
(	(	(	(	(	0
I	I	pns11	I	i	0
hope	hope	vvb	hope	hope	0
)	)	)	)	)	0
now	now	av	now	now	0
it	it	pn31	it	it	0
hath	hath	vhz	hath	have	0
your	your	po22	your	your	0
Superscription	Superscription	n1	Superscription	superscription	0
stampt	stampt	vvn	stamped	stamp	0
upon	upon	p-acp	upon	upon	0
it	it	pn31	it	it	0
.	.	.	.	.	1
Nay	Nay	uh-x	Nay	nay	0
,	,	,	,	,	0
doe	doe	vdb	do	do	0
not	not	xx	not	not	0
sweat	sweat	vvi	sweat	sweat	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
matter	matter	n1	matter	matter	0
.	.	.	.	.	1
I	I	pns11	I	i	0
will	will	vmb	will	will	0
not	not	xx	not	not	0
put	put	vvi	put	put	0
the	the	dt	the	the	0
sweetnesse	sweetnesse	n1	sweetness	sweetness	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
modesty	modesty	n1	modesty	modesty	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
torture	torture	n1	torture	torture	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
blush	blush	n1	blush	blush	0
.	.	.	.	.	1
I	I	pns11	I	i	0
protest	protest	vvb	protest	protest	0
(	(	(	(	(	0
were	were	vbdr	were	be	0
I	I	pns11	I	i	0
necessitated	necessitated	vvn	necessitated	necessitate	0
to	to	p-acp	to	to	0
one	one	crd	one	one	0
of	of	pp-f	of	of	0
thē	thē	pno32	them	they	0
)	)	)	)	)	0
I	I	pns11	I	i	0
would	would	vmd	would	will	0
rather	rather	av-c	rather	rather	0
choose	choose	vvi	choose	choose	0
to	to	pc-acp	to	to	0
bee	bee	vbi	be	be	0
rough	rough	j	rough	rough	0
with	with	p-acp	with	with	0
you	you	pn22	you	you	0
,	,	,	,	,	0
then	then	cs	then	than	0
to	to	pc-acp	to	to	0
flatter	flatter	vvi	flatter	flatter	0
you	you	pn22	you	you	0
.	.	.	.	.	1
The	The	dt	The	the	0
first	first	ord	first	first	0
(	(	(	(	(	0
I	I	pns11	I	i	0
acknowledge	acknowledge	vvb	acknowledge	acknowledge	0
)	)	)	)	)	0
is	is	vbz	is	be	0
an	an	dt	and	a	0
incivility	incivility	n1	incivility	incivility	0
;	;	;	;	;	0
but	but	cc-acp	but	but	0
yet	yet	av	yet	yet	0
the	the	dt	the	the	0
second	second	ord	second	second	0
(	(	(	(	(	0
though	though	cs	though	though	0
Courtly	Courtly	j	Courtly	courtly	0
)	)	)	)	)	0
carries	carries	vvz	carries	carry	0
with	with	p-acp	with	with	0
it	it	pn31	it	it	0
the	the	dt	the	the	0
greater	greater	jc	greater	great	0
danger	danger	n1	danger	danger	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
juster	juster	jc	juster	just	0
anger	anger	n1	anger	anger	0
.	.	.	.	.	1
I	I	pns11	I	i	0
know	know	vvb	know	know	0
the	the	dt	the	the	0
roads	roads	n2	roads	road	0
of	of	pp-f	of	of	0
Dedications	Dedications	n2	Dedications	dedication	0
well	well	av	well	well	0
enough	enough	av-d	enough	enough	0
;	;	;	;	;	0
It	It	pn31	It	it	0
is	is	vbz	is	be	0
expected	expected	vvn	expected	expect	0
there	there	pc-acp	there	there	0
should	should	vmd	should	shall	0
be	be	vbi	be	be	0
fucus	fucus	n1	fucus	fucus	0
and	and	cc	and	and	0
cerusse	cerusse	n1	ceruse	ceruse	0
in	in	p-acp	in	in	0
them	them	pno32	them	they	0
:	:	:	:	:	0
but	but	cc-acp	but	but	0
(	(	(	(	(	0
if	if	cs	if	if	0
a	a	dt	a	a	0
man	man	n1	man	man	0
could	could	vmd	could	can	0
find	find	vvi	find	find	0
it	it	pn31	it	it	0
)	)	)	)	)	0
there	there	pc-acp	there	there	0
is	is	vbz	is	be	0
a	a	dt	a	a	0
nearer	nearer	jc	nearer	near	0
and	and	cc	and	and	0
a	a	dt	a	a	0
cleaner	cleaner	jc	cleaner	clean	0
way	way	n1	way	way	0
.	.	.	.	.	1
I	I	pns11	I	i	0
will	will	vmb	will	will	0
bee	bee	vbi	be	be	0
plaine	plaine	j	plain	plain	0
with	with	p-acp	with	with	0
you	you	pn22	you	you	0
.	.	.	.	.	1
I	I	pns11	I	i	0
stuck	stuck	vvd	stuck	stick	0
a	a	dt	a	a	0
while	while	n1	while	while	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
very	very	j	very	very	0
word	word	n1	word	word	0
Dedication	Dedication	n1	Dedication	dedication	0
,	,	,	,	,	0
because	because	c-acp	because	because	0
they	they	pns32	they	they	0
doe	doe	vdb	do	do	0
malè	malè	n1	malè	malè	0
audire	audire	vvi	audire	audire	0
,	,	,	,	,	0
are	are	vbr	are	be	0
something	something	pi	something	something	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
credit	credit	n1	credit	credit	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
reason	reason	n1	reason	reason	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
daubing	daubing	vvg	daubing	daub	0
that	that	cst	that	that	0
is	is	vbz	is	be	0
in	in	p-acp	in	in	0
many	many	d	many	many	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
:	:	:	:	:	0
Nor	Nor	ccx	Nor	nor	0
had	had	vhn	had	have	0
I	I	pns11	I	i	0
adventured	adventured	vvn	adventured	adventure	0
upon	upon	p-acp	upon	upon	0
any	any	d	any	any	0
,	,	,	,	,	0
(	(	(	(	(	0
especially	especially	av-j	especially	especial	0
to	to	p-acp	to	to	0
you	you	pn22	you	you	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
I	I	pns11	I	i	0
know	know	vvb	know	know	0
would	would	vmd	would	will	0
receive	receive	vvi	receive	receive	0
an	an	dt	and	a	0
Inventory	Inventory	n1	Inventory	inventory	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
owne	owne	d	own	own	0
good	good	j	good	good	0
parts	parts	n2	parts	part	0
in	in	p-acp	in	in	0
line	line	n1	line	line	0
with	with	p-acp	with	with	0
a	a	dt	a	a	0
challenge	challenge	n1	challenge	challenge	0
)	)	)	)	)	0
but	but	cc-acp	but	but	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
was	was	vbds	was	be	0
confident	confident	j	confident	confident	0
to	to	p-acp	to	to	0
my	my	po11	my	my	0
selfe	selfe	n1	self	self	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
had	had	vhd	had	have	0
pur	pur	zz	pur	pur	0
∣	∣	sy	∣	∣	0
chased	chased	vvn	chased	chase	0
already	already	av	already	already	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
world	world	n1	world	world	0
,	,	,	,	,	0
the	the	dt	the	the	0
opinion	opinion	n1	opinion	opinion	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
blunt	blunt	j	blunt	blunt	0
man	man	n1	man	man	0
,	,	,	,	,	0
and	and	cc	and	and	0
therfore	therfore	av	therefore	therefore	0
shot-free	shot-free	j	shot-free	shot-free	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
imputation	imputation	n1	imputation	imputation	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
flatterer	flatterer	n1	flatterer	flatterer	0
.	.	.	.	.	1
I	I	pns11	I	i	0
beseech	beseech	vvb	beseech	beseech	0
you	you	pn22	you	you	0
,	,	,	,	,	0
sup	sup	vvi	sup	sup	0
∣	∣	sy	∣	∣	0
pose	pose	vvi	pose	pose	0
me	me	pno11	me	i	0
not	not	xx	not	not	0
so	so	av	so	so	0
weak	weak	j	weak	weak	0
to	to	pc-acp	to	to	0
think	think	vvi	think	think	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
beleeve	beleeve	vvb	believe	believe	0
any	any	d	any	any	0
thing	thing	n1	thing	thing	0
here	here	av	here	here	0
(	(	(	(	(	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
mine	mine	png11	mine	i	0
)	)	)	)	)	0
worthy	worthy	j	worthy	worthy	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
noyse	noyse	n1	noise	noise	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
Dedication	Dedication	n1	Dedication	dedication	0
and	and	cc	and	and	0
that	that	cst	that	that	0
to	to	p-acp	to	to	0
you	you	pn22	you	you	0
.	.	.	.	.	1
They	They	pns32	They	they	0
who	who	r-crq	who	who	0
know	know	vvb	know	know	0
you	you	pn22	you	you	0
,	,	,	,	,	0
know	know	vvb	know	know	0
you	you	pn22	you	you	0
deserve	deserve	vvi	deserve	deserve	0
greater	greater	jc	greater	great	0
Presents	Presents	n2	Presents	present	0
,	,	,	,	,	0
my	my	po11	my	my	0
hope	hope	n1	hope	hope	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
is	is	vbz	is	be	0
,	,	,	,	,	0
they	they	pns32	they	they	0
who	who	r-crq	who	who	0
know	know	vvb	know	know	0
you	you	pn22	you	you	0
not	not	xx	not	not	0
but	but	p-acp	but	but	0
in	in	p-acp	in	in	0
Landskip	Landskip	n1	Landskip	landscape	0
,	,	,	,	,	0
(	(	(	(	(	0
a	a	dt	a	a	0
farr	farr	av-j	far	far	0
off	off	a-acp	off	off	0
and	and	cc	and	and	0
mixt	mixt	vvn	mixed	mix	0
with	with	p-acp	with	with	0
other	other	j-jn	other	other	0
faire	faire	j	fair	fair	0
peeces	peeces	n2	pieces	piece	0
of	of	pp-f	of	of	0
vari	vari	fw-la	vari	vari	0
∣	∣	sy	∣	∣	0
ety	ety	n1	ety	ety	0
which	which	q-crq	which	which	0
make	make	vvb	make	make	0
up	up	a-acp	up	up	0
a	a	dt	a	a	0
beautifull	beautifull	j	beautiful	beautiful	0
prospect	prospect	n1	prospect	prospect	0
)	)	)	)	)	0
will	will	vmb	will	will	0
certainly	certainly	av-j	certainly	certain	0
divine	divine	j-jn	divine	divine	0
that	that	cst	that	that	0
there	there	pc-acp	there	there	0
is	is	vbz	is	be	0
something	something	pi	something	something	0
more	more	av-dc	more	more	0
in	in	p-acp	in	in	0
you	you	pn22	you	you	0
then	then	av	then	then	0
in	in	p-acp	in	in	0
ordinary	ordinary	j	ordinary	ordinary	0
men	men	n2	men	man	0
,	,	,	,	,	0
and	and	cc	and	and	0
that	that	cst	that	that	0
you	you	pn22	you	you	0
deserve	deserve	vvb	deserve	deserve	0
wel	wel	av	well	well	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Church	Church	n1	Church	church	0
and	and	cc	and	and	0
Clergy	Clergy	n1	Clergy	clergy	0
,	,	,	,	,	0
when	when	c-crq	when	when	0
they	they	pns32	they	they	0
shall	shall	vmb	shall	shall	0
see	see	vvi	see	see	0
one	one	crd	one	one	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
surliest	surliest	js	surliest	surly	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
Tribe	Tribe	n1	Tribe	tribe	0
,	,	,	,	,	0
leave	leave	vvb	leave	leave	0
the	the	dt	the	the	0
pursuit	pursuit	n1	pursuit	pursuit	0
of	of	pp-f	of	of	0
Lions	Lions	n2	Lions	lion	0
,	,	,	,	,	0
Wolves	Wolves	n2	Wolves	wolf	0
,	,	,	,	,	0
&	&	cc	&	and	0
Tygers	Tygers	n2	Tigers	tiger	0
(	(	(	(	(	0
a	a	dt	a	a	0
game	game	n1	game	game	0
he	he	pns31	he	he	0
takes	takes	vvz	takes	take	0
delight	delight	n1	delight	delight	0
in	in	p-acp	in	in	0
)	)	)	)	)	0
to	to	pc-acp	to	to	0
stand	stand	vvi	stand	stand	0
still	still	av	still	still	0
onely	onely	av-j	only	only	0
to	to	pc-acp	to	to	0
observe	observe	vvi	observe	observe	0
you	you	pn22	you	you	0
,	,	,	,	,	0
and	and	cc	and	and	0
glory	glory	n1	glory	glory	0
to	to	p-acp	to	to	0
stile	stile	n1	style	stile	0
himselfe	himselfe	px31	himself	himself	0
who	who	r-crq	who	who	0
otherwise	otherwise	av	otherwise	otherwise	0
under	under	p-acp	under	under	0
his	his	po31	his	his	0
gracious	gracious	j	gracious	gracious	0
God	God	n1	God	god	0
and	and	cc	and	and	0
King	King	n1	King	king	0
,	,	,	,	,	0
is	is	vbz	is	be	0
free	free	j	free	free	0
as	as	c-acp	as	as	0
the	the	dt	the	the	0
ayre	ayre	n1	air	air	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
cir	cir	n1	cir	cir	0
∣	∣	sy	∣	∣	0
cumscribes	cumscribes	vvz	cumscribes	cumscribe	0
him	him	pn31	him	he	0
)	)	)	)	)	1
