IN	IN	p-acp	IN	in	0
remembring	remembring	vvg	remembering	remember	0
many	many	d	many	many	0
curtesies	curtesies	n2	courtesies	courtesy	0
,	,	,	,	,	0
good	good	j	good	good	0
turnes	turnes	n2	turns	turn	0
,	,	,	,	,	0
rare	rare	j	rare	rare	0
fauor	fauor	n1	favour	favour	0
,	,	,	,	,	0
and	and	cc	and	and	0
friend	friend	n1	friend	friend	0
∣	∣	sy	∣	∣	0
ship	ship	n1	ship	ship	0
flowing	flowing	vvg	flowing	flow	0
from	from	p-acp	from	from	0
your	your	po22	your	your	0
Honorable	Honorable	j	Honourable	honourable	0
disposition	disposition	n1	disposition	disposition	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
ebbing	ebbing	j-vvg	ebbing	ebb	0
age	age	n1	age	age	0
,	,	,	,	,	0
I	I	pns11	I	i	0
vowed	vowed	vvd	vowed	vow	0
being	being	vbg	being	be	0
found	found	vvn	found	find	0
in	in	p-acp	in	in	0
seruiceable	seruiceable	j	serviceable	serviceable	0
maner	maner	n1	manner	manner	0
to	to	pc-acp	to	to	0
requite	requite	vvi	requite	requite	0
:	:	:	:	:	0
but	but	cc-acp	but	but	0
sicke	sicke	j	sick	sick	0
,	,	,	,	,	0
am	am	vbm	am	be	0
for	for	p-acp	for	for	0
∣	∣	sy	∣	∣	0
ced	ced	vvn	ced	ce	0
to	to	pc-acp	to	to	0
write	write	vvi	write	write	0
the	the	dt	the	the	0
opinions	opinions	n2	opinions	opinion	0
of	of	pp-f	of	of	0
many	many	d	many	many	0
Lords	Lords	n2	Lords	lord	0
,	,	,	,	,	0
Knights	Knights	n2	Knights	knight	0
,	,	,	,	,	0
and	and	cc	and	and	0
Gentlemen	Gentlemen	n2	Gentlemen	gentleman	0
(	(	(	(	(	0
captaines	captaines	n2	captains	captain	0
and	and	cc	and	and	0
cheefe	cheefe	j-jn	chief	chief	0
∣	∣	sy	∣	∣	0
taines	taines	n2	taines	taine	0
of	of	pp-f	of	of	0
great	great	j	great	great	0
charge	charge	n1	charge	charge	0
)	)	)	)	)	0
touching	touching	vvg	touching	touch	0
the	the	dt	the	the	0
court	court	n1	court	court	0
and	and	cc	and	and	0
the	the	dt	the	the	0
wars	wars	n2	wars	war	0
.	.	.	.	.	1
And	And	cc	And	and	0
for	for	c-acp	for	for	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
serued	serued	vvd	served	serve	0
vnder	vnder	p-acp	under	under	0
them	them	pno32	them	they	0
,	,	,	,	,	0
I	I	pns11	I	i	0
set	set	vvb	set	set	0
downe	downe	a-acp	down	down	0
the	the	dt	the	the	0
words	words	n2	words	word	0
I	I	pns11	I	i	0
heard	heard	vvd	herd	hear	0
many	many	d	many	many	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
speake	speake	vvi	speak	speak	0
of	of	pp-f	of	of	0
those	those	d	those	those	0
two	two	crd	two	two	0
honorable	honorable	j	honourable	honourable	0
points	points	n2	points	point	0
,	,	,	,	,	0
and	and	cc	and	and	0
discourses	discourses	n2	discourses	discourse	0
.	.	.	.	.	1
First	First	ord	First	first	0
at	at	p-acp	at	at	0
Lawndersey	Lawndersey	np1	Lawndersey	Lawndersey	0
sir	sir	n1	sir	sir	0
Thomas	Thomas	np1	Thomas	Thomas	0
Wyet	Wyet	np1	Wyet	Wyet	0
,	,	,	,	,	0
Wallop	Wallop	vvb	Wallop	wallop	0
