Dearly	Dearly	av-jn	Dearly	dear	0
beloved	beloved	vvn	beloved	belove	0
in	in	p-acp	in	in	0
our	our	po12	our	our	0
Lord	Lord	n1	Lord	lord	0
,	,	,	,	,	0
IT	IT	pn31	IT	it	0
is	is	vbz	is	be	0
reported	reported	vvn	reported	report	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Primitive	Primitive	j	Primitive	primitive	0
Saints	Saints	n2	Saints	saint	0
,	,	,	,	,	0
that	that	cst	that	that	0
these	these	d	these	these	0
words	words	n2	words	word	0
,	,	,	,	,	0
the	the	dt	the	the	0
KINGDOM	KINGDOM	n1	KINGDOM	kingdom	0
OF	OF	pp-f	OF	of	0
CHRIST	CHRIST	np1	CHRIST	Christ	0
,	,	,	,	,	0
the	the	dt	the	the	0
KINGDOM	KINGDOM	n1	KINGDOM	kingdom	0
OF	OF	pp-f	OF	of	0
CHRIST	CHRIST	np1	CHRIST	Christ	0
,	,	,	,	,	0
were	were	vbdr	were	be	0
so	so	av	so	so	0
frequent	frequent	j	frequent	frequent	0
in	in	p-acp	in	in	0
their	their	po32	their	their	0
mouths	mouths	n2	mouths	mouth	0
,	,	,	,	,	0
that	that	cst	that	that	0
their	their	po32	their	their	0
malicious	malicious	j	malicious	malicious	0
Adversaries	Adversaries	n2	Adversaries	adversary	0
(	(	(	(	(	0
willing	willing	j	willing	willing	0
to	to	pc-acp	to	to	0
mistake	mistake	vvi	mistake	mistake	0
the	the	dt	the	the	0
simplicity	simplicity	n1	simplicity	simplicity	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
meaning	meaning	n1	meaning	meaning	0
and	and	cc	and	and	0
in	in	zz	in	in	0
∣	∣	sy	∣	∣	0
tention	tention	n1	tention	tention	0
)	)	)	)	)	0
did	did	vdd	did	do	0
make	make	vvi	make	make	0
the	the	dt	the	the	0
words	words	n2	words	word	0
matter	matter	n1	matter	matter	0
of	of	pp-f	of	of	0
Fact	Fact	n1	Fact	fact	0
,	,	,	,	,	0
charging	charging	vvg	charging	charge	0
them	them	pno32	them	they	0
hereupon	hereupon	av	hereupon	hereupon	0
with	with	p-acp	with	with	0
Treason	Treason	n1	Treason	treason	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
if	if	cs	if	if	0
they	they	pns32	they	they	0
had	had	vhd	had	have	0
driven	driven	vvn	driven	drive	0
on	on	p-acp	on	on	0
some	some	d	some	some	0
design	design	n1	design	design	0
to	to	pc-acp	to	to	0
get	get	vvi	get	get	0
for	for	p-acp	for	for	0
themselves	themselves	px32	themselves	themselves	0
the	the	dt	the	the	0
Kingdom	Kingdom	n1	Kingdom	kingdom	0
.	.	.	.	.	1
Whether	Whether	cs	Whither	whether	0
the	the	dt	the	the	0
simplicity	simplicity	n1	simplicity	simplicity	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Saints	Saints	n2	Saints	saint	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
age	age	n1	age	age	0
we	we	pns12	we	we	0
live	live	vvb	live	live	0
in	in	p-acp	in	in	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
being	being	vbg	being	be	0
come	come	vvn	come	come	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
very	very	j	very	very	0
dawning	dawning	n-vvg	dawning	dawn	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
day	day	n1	day	day	0
,	,	,	,	,	0
and	and	cc	and	and	0
beholding	beholding	vvg	beholding	behold	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
going	going	vvg	going	go	0
up	up	a-acp	up	up	0
to	to	p-acp	to	to	0
his	his	po31	his	his	0
Kingdom	Kingdom	n1	Kingdom	kingdom	0
,	,	,	,	,	0
cannot	cannot	vmbx	cannot	can	0
hold	hold	vvi	hold	hold	0
their	their	po32	their	their	0
peace	peace	n1	peace	peace	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
must	must	vmb	must	must	0
cry	cry	vvi	cry	cry	0
out	out	av	out	out	0
HOSANNA	HOSANNA	n1	HOSANNA	hosanna	0
TO	TO	p-acp	TO	to	0
THE	THE	dt	THE	the	0
SON	SON	n1	SON	son	0
OF	OF	pp-f	OF	of	0
DAVID	DAVID	np1	DAVID	David	0
,	,	,	,	,	0
HOSANNA	HOSANNA	n1	HOSANNA	hosanna	0
IN	IN	p-acp	IN	in	0
THE	THE	dt	THE	the	0
HIGHEST	HIGHEST	js	HIGHEST	high	0
,	,	,	,	,	0
may	may	vmb	may	may	0
through	through	p-acp	through	through	0
the	the	dt	the	the	0
subtlety	subtlety	n1	subtlety	subtlety	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
old	old	j	old	old	0
Ser	Ser	zz	Ser	ser	0
∣	∣	sy	∣	∣	0
pent	pent	vvn	penned	pen	0
have	have	vhb	have	have	0
any	any	d	any	any	0
such	such	d	such	such	0
abuse	abuse	n1	abuse	abuse	0
put	put	vvd	put	put	0
upon	upon	p-acp	upon	upon	0
it	it	pn31	it	it	0
,	,	,	,	,	0
or	or	cc	or	or	0
no	no	uh-dx	no	no	0
,	,	,	,	,	0
I	I	pns11	I	i	0
wave	wave	vvb	wave	wave	0
at	at	p-acp	at	at	0
present	present	j	present	present	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
this	this	d	this	this	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
sure	sure	j	sure	sure	0
of	of	pp-f	of	of	0
,	,	,	,	,	0
the	the	dt	the	the	0
first	first	ord	first	first	0
ages	ages	n2	ages	age	0
had	had	vhd	had	have	0
not	not	xx	not	not	0
the	the	dt	the	the	0
Kingdom	Kingdom	n1	Kingdom	kingdom	0
of	of	pp-f	of	of	0
Christ	Christ	np1	Christ	Christ	0
so	so	av	so	so	0
much	much	av-d	much	much	0
in	in	p-acp	in	in	0
their	their	po32	their	their	0
mouths	mouths	n2	mouths	mouth	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
after	after	p-acp	after	after	0
ages	ages	n2	ages	age	0
had	had	vhd	had	have	0
it	it	pn31	it	it	0
as	as	p-acp	as	as	0
little	little	j	little	little	0
;	;	;	;	;	0
their	their	po32	their	their	0
hearts	hearts	n2	hearts	heart	0
were	were	vbdr	were	be	0
not	not	xx	not	not	0
so	so	av	so	so	0
warm	warm	j	warm	warm	0
to	to	p-acp	to	to	0
it	it	pn31	it	it	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
the	the	dt	the	the	0
generations	generations	n2	generations	generation	0
since	since	a-acp	since	since	0
have	have	vhb	have	have	0
been	been	vbn	been	be	0
as	as	a-acp	as	as	0
cold	cold	j-jn	cold	cold	0
.	.	.	.	.	1
And	And	cc	And	and	0
indeed	indeed	av	indeed	indeed	0
it	it	pn31	it	it	0
was	was	vbds	was	be	0
necessary	necessary	j	necessary	necessary	0
it	it	pn31	it	it	0
should	should	vmd	should	shall	0
so	so	av	so	so	0
be	be	vbi	be	be	0
;	;	;	;	;	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
Beast	Beast	n1	Beast	beast	0
Antichrist	Antichrist	np1	Antichrist	Antichrist	0
being	being	vbg	being	be	0
to	to	pc-acp	to	to	0
rise	rise	vvi	rise	rise	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
world	world	n1	world	world	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
after	after	p-acp	after	after	0
his	his	po31	his	his	0
rise	rise	n1	rise	rise	0
must	must	vmb	must	must	0
continue	continue	vvi	continue	continue	0
to	to	pc-acp	to	to	0
reign	reign	vvi	reign	reign	0
two	two	crd	two	two	0
and	and	cc	and	and	0
forty	forty	crd	forty	forty	0
months	months	n2	months	month	0
,	,	,	,	,	0
Rev.	Rev.	n1	Rev.	rev.	1
13.5	13.5	crd	13.5	13.5	0
.	.	.	.	.	0
it	it	pn31	it	it	0
was	was	vbds	was	be	0
needful	needful	j	needful	needful	0
therefore	therefore	av	therefore	therefore	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
end	end	n1	end	end	0
he	he	pns31	he	he	0
might	might	vmd	might	may	0
be	be	vbi	be	be	0
revealed	revealed	vvn	revealed	reveal	0
,	,	,	,	,	0
that	that	cst	that	that	0
there	there	a-acp	there	there	0
should	should	vmd	should	shall	0
be	be	vbi	be	be	0
(	(	(	(	(	0
as	as	c-acp	as	as	0
the	the	dt	the	the	0
Apostle	Apostle	n1	Apostle	apostle	0
tels	tels	vvz	tells	tell	0
us	us	pno12	us	we	0
2	2	crd	2	2	0
Thes.	Thes.	np1	Thes.	Thes.	1
2.3	2.3	crd	2.3	2.3	0
.	.	.	.	.	1
)	)	)	)	)	0
a	a	dt	a	a	0
falling	falling	vvg	falling	fall	0
away	away	av	away	away	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
falling	falling	vvg	falling	fall	0
away	away	av	away	away	0
above	above	p-acp	above	above	0
all	all	d	all	all	0
things	things	n2	things	thing	0
was	was	vbds	was	be	0
necessary	necessary	j	necessary	necessary	0
,	,	,	,	,	0
that	that	cst	that	that	0
it	it	pn31	it	it	0
should	should	vmd	should	shall	0
be	be	vbi	be	be	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Truths	Truths	n2	Truths	truth	0
of	of	pp-f	of	of	0
Christs	Christs	npg1	Christs	Christ	0
Kingdom	Kingdom	n1	Kingdom	kingdom	0
,	,	,	,	,	0
no	no	dx	no	no	0
Truths	Truths	n2	Truths	truth	0
being	being	vbg	being	be	0
so	so	av	so	so	0
diametrically	diametrically	av-j	diametrically	diametrical	0
opposite	opposite	j-jn	opposite	opposite	0
to	to	p-acp	to	to	0
Antichrist	Antichrist	np1	Antichrist	Antichrist	0
as	as	p-acp	as	as	0
these	these	d	these	these	0
;	;	;	;	;	0
others	others	n2-jn	others	other	0
shake	shake	vvb	shake	shake	0
off	off	p-acp	off	off	0
his	his	po31	his	his	0
leaves	leaves	n2	leaves	leaf	0
,	,	,	,	,	0
these	these	d	these	these	0
pluck	pluck	vvb	pluck	pluck	0
him	him	pno31	him	he	0
up	up	a-acp	up	up	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
roots	roots	n2	roots	root	0
.	.	.	.	.	1
If	If	cs	If	if	0
therefore	therefore	av	therefore	therefore	0
the	the	dt	the	the	0
policy	policy	n1	policy	policy	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Dragon	Dragon	n1	Dragon	dragon	0
had	had	vhd	had	have	0
not	not	xx	not	not	0
found	found	vvn	found	find	0
out	out	av	out	out	0
a	a	dt	a	a	0
way	way	n1	way	way	0
to	to	pc-acp	to	to	0
brand	brand	vvi	brand	brand	0
these	these	d	these	these	0
Truths	Truths	n2	Truths	truth	0
,	,	,	,	,	0
and	and	cc	and	and	0
by	by	p-acp	by	by	0
making	making	vvg	making	make	0
them	them	pno32	them	they	0
odious	odious	j	odious	odious	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
hold	hold	vvi	hold	hold	0
them	them	pno32	them	they	0
down	down	a-acp	down	down	0
,	,	,	,	,	0
his	his	po31	his	his	0
Kingdom	Kingdom	n1	Kingdom	kingdom	0
must	must	vmb	must	must	0
have	have	vhi	have	have	0
fallen	fallen	vvn	fallen	fall	0
many	many	d	many	many	0
ages	ages	n2	ages	age	0
since	since	a-acp	since	since	0
,	,	,	,	,	0
for	for	c-acp	for	for	0
he	he	pns31	he	he	0
should	should	vmd	should	shall	0
have	have	vhi	have	have	0
had	had	vhn	had	have	0
no	no	dx	no	no	0
Beast	Beast	n1	Beast	beast	0
to	to	pc-acp	to	to	0
resign	resign	vvi	resign	resign	0
his	his	po31	his	his	0
Power	Power	n1	Power	power	0
,	,	,	,	,	0
Seat	Seat	n1	Seat	seat	0
,	,	,	,	,	0
and	and	cc	and	and	0
great	great	j	great	great	0
Authority	Authority	n1	Authority	authority	0
to	to	p-acp	to	to	0
.	.	.	.	.	1
It	It	pn31	It	it	0
stood	stood	vvd	stood	stand	0
him	him	pno31	him	he	0
greatly	greatly	av-j	greatly	great	0
in	in	p-acp	in	in	0
hand	hand	n1	hand	hand	0
therefore	therefore	av	therefore	therefore	0
by	by	p-acp	by	by	0
some	some	d	some	some	0
means	means	n2	means	mean	0
to	to	pc-acp	to	to	0
cloud	cloud	vvi	cloud	cloud	0
these	these	d	these	these	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
by	by	p-acp	by	by	0
continuing	continuing	vvg	continuing	continue	0
to	to	pc-acp	to	to	0
shine	shine	vvi	shine	shine	0
,	,	,	,	,	0
would	would	vmd	would	will	0
have	have	vhi	have	have	0
nipped	nipped	vvn	nipped	nip	0
Antichrist	Antichrist	np1	Antichrist	Antichrist	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
bud	bud	n1	bud	bud	0
;	;	;	;	;	0
and	and	cc	and	and	0
this	this	d	this	this	0
the	the	dt	the	the	0
wisdom	wisdom	n1	wisdom	wisdom	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
permitting	permitting	vvg	permitting	permit	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
ac	ac	fw-la	ac	ac	0
∣	∣	sy	∣	∣	0
complish	complish	vvb	complish	complish	0
thereby	thereby	av	thereby	thereby	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
end	end	n1	end	end	0
a	a	dt	a	a	0
more	more	av-dc	more	more	0
glorious	glorious	j	glorious	glorious	0
design	design	n1	design	design	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
he	he	pns31	he	he	0
effectually	effectually	av-j	effectually	effectual	0
did	did	vdd	did	do	0
.	.	.	.	.	1
Hence	Hence	av	Hence	hence	0
within	within	p-acp	within	within	0
the	the	dt	the	the	0
fourth	fourth	ord	fourth	four	0
Century	Century	n1	Century	century	0
(	(	(	(	(	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
end	end	n1	end	end	0
of	of	pp-f	of	of	0
which	which	r-crq	which	which	0
the	the	dt	the	the	0
Beast	Beast	n1	Beast	beast	0
arose	arose	vvd	arose	arise	0
)	)	)	)	)	0
the	the	dt	the	the	0
Truths	Truths	n2	Truths	truth	0
of	of	pp-f	of	of	0
Christs	Christs	npg1	Christs	Christ	0
Kingdom	Kingdom	n1	Kingdom	kingdom	0
(	(	(	(	(	0
before	before	c-acp	before	before	0
generally	generally	av-j	generally	general	0
received	received	vvn	received	receive	0
)	)	)	)	)	0
began	began	vvd	began	begin	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
condemned	condemned	vvn	condemned	condemn	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
go	go	vvi	go	go	0
un	un	fw-fr	un	un	0
∣	∣	sy	∣	∣	0
der	der	zf	der	there	0
the	the	dt	the	the	0
odious	odious	j	odious	odious	0
name	name	n1	name	name	0
of	of	pp-f	of	of	0
Heresie	Heresie	n1	Heresy	heresy	0
.	.	.	.	.	1
Hence	Hence	av	Hence	hence	0
also	also	av	also	also	0
we	we	pns12	we	we	0
finde	finde	vvb	find	find	0
not	not	xx	not	not	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Revelations	Revelations	n2	Revelations	revelation	0
any	any	d	any	any	0
mention	mention	n1	mention	mention	0
made	made	vvd	made	make	0
of	of	pp-f	of	of	0
Christs	Christs	npg1	Christs	Christ	0
Kingdom	Kingdom	n1	Kingdom	kingdom	0
,	,	,	,	,	0
nor	nor	ccx	nor	nor	0
any	any	d	any	any	0
noyse	noyse	n1	noise	noise	0
of	of	pp-f	of	of	0
such	such	d	such	such	0
a	a	dt	a	a	0
thing	thing	n1	thing	thing	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
world	world	n1	world	world	0
all	all	d	all	all	0
the	the	dt	the	the	0
time	time	n1	time	time	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Beasts	Beasts	ng1	Beasts	beast	0
reign	reign	n1	reign	reign	0
;	;	;	;	;	0
but	but	cc-acp	but	but	0
the	the	dt	the	the	0
great	great	j	great	great	0
cry	cry	n1	cry	cry	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
dwellers	dwellers	n2	dwellers	dweller	0
on	on	p-acp	on	on	0
the	the	dt	the	the	0
Earth	Earth	n1	Earth	earth	0
is	is	vbz	is	be	0
,	,	,	,	,	0
The	The	dt	The	the	0
Beast	Beast	n1	Beast	beast	0
,	,	,	,	,	0
the	the	dt	the	the	0
Beast	Beast	n1	Beast	beast	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
is	is	vbz	is	be	0
like	like	av-j	like	like	0
unto	unto	p-acp	unto	unto	0
the	the	dt	the	the	0
Beast	Beast	n1	Beast	beast	0
?	?	?	?	?	0
yea	yea	uh	yea	yea	0
the	the	dt	the	the	0
whole	whole	j-jn	whole	whole	0
world	world	n1	world	world	0
wonde	wonde	fw-fr	wonde	wonde	0
∣	∣	sy	∣	∣	0
reth	reth	n1	reth	reth	0
after	after	p-acp	after	after	0
the	the	dt	the	the	0
Beast	Beast	n1	Beast	beast	0
,	,	,	,	,	0
Rev.	Rev.	n1	Rev.	rev.	1
13.3	13.3	crd	13.3	13.3	0
,	,	,	,	,	0
4.	4.	crd	4.	4.	1
But	But	p-acp	But	but	0
now	now	av	now	now	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
latter	latter	d	latter	latter	0
days	days	n2	days	day	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
the	the	dt	the	the	0
Beast	Beast	n1	Beast	beast	0
begins	begins	vvz	begins	begin	0
to	to	pc-acp	to	to	0
go	go	vvi	go	go	0
down	down	a-acp	down	down	0
,	,	,	,	,	0
so	so	av	so	so	0
do	do	vdb	do	do	0
the	the	dt	the	the	0
precious	precious	j	precious	precious	0
Truths	Truths	n2	Truths	truth	0
of	of	pp-f	of	of	0
Christs	Christs	npg1	Christs	Christ	0
Kingdom	Kingdom	n1	Kingdom	kingdom	0
a	a	sy	a	a	0
∣	∣	sy	∣	∣	0
gain	gain	n1	gain	gain	0
begin	begin	vvi	begin	begin	0
to	to	pc-acp	to	to	0
revive	revive	vvi	revive	revive	0
,	,	,	,	,	0
and	and	cc	and	and	0
have	have	vhb	have	have	0
a	a	dt	a	a	0
resurrection	resurrection	n1	resurrection	resurrection	0
.	.	.	.	.	1
Hence	Hence	av	Hence	hence	0
we	we	pns12	we	we	0
finde	finde	vvb	find	find	0
that	that	cst	that	that	0
as	as	p-acp	as	as	0
the	the	dt	the	the	0
world	world	n1	world	world	0
by	by	p-acp	by	by	0
degrees	degrees	n2	degrees	degree	0
gets	gets	vvz	gets	get	0
rid	rid	vvn	rid	rid	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Beast	Beast	n1	Beast	beast	0
,	,	,	,	,	0
so	so	av	so	so	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
cry	cry	n1	cry	cry	0
in	in	p-acp	in	in	0
it	it	pn31	it	it	0
still	still	av	still	still	0
louder	louder	jc	louder	loud	0
and	and	cc	and	and	0
louder	louder	av-jc	louder	loud	0
of	of	pp-f	of	of	0
Christs	Christs	npg1	Christs	Christ	0
Kingdom	Kingdom	n1	Kingdom	kingdom	0
.	.	.	.	.	1
First	First	ord	First	first	0
,	,	,	,	,	0
Amongst	Amongst	p-acp	among	among	0
the	the	dt	the	the	0
Saints	Saints	n2	Saints	saint	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
world	world	n1	world	world	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
no	no	av-dx	no	no	0
soo	soo	av	so	so	0
∣	∣	sy	∣	∣	0
ner	ner	zz	ner	ner	0
have	have	vhb	have	have	0
got	got	vvn	god	get	0
so	so	av	so	so	0
much	much	av-d	much	much	0
footing	footing	vvg	footing	foot	0
as	as	c-acp	as	as	0
to	to	pc-acp	to	to	0
stand	stand	vvi	stand	stand	0
and	and	cc	and	and	0
face	face	vvi	face	face	0
the	the	dt	the	the	0
Beast	Beast	n1	Beast	beast	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
before	before	a-acp	before	before	0
trod	trod	vvd	trod	tread	0
them	them	pno32	them	they	0
down	down	a-acp	down	down	0
,	,	,	,	,	0
and	and	cc	and	and	0
trampled	trampled	vvd	trampled	trample	0
upon	upon	p-acp	upon	upon	0
them	them	pno32	them	they	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
presently	presently	av-j	presently	present	0
they	they	pns32	they	they	0
make	make	vvb	make	make	0
the	the	dt	the	the	0
world	world	n1	world	world	0
ring	ring	vvb	ring	ring	0
again	again	av	again	again	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
noise	noise	n1	noise	noise	0
of	of	pp-f	of	of	0
Christs	Christs	npg1	Christs	Christ	0
Kingdom	Kingdom	n1	Kingdom	kingdom	0
.	.	.	.	.	1
Rev.	Rev.	n1	Rev.	rev.	0
15.2	15.2	crd	15.2	15.2	0
,	,	,	,	,	0
3	3	crd	3	3	0
,	,	,	,	,	0
4.	4.	crd	4.	4.	1
And	And	cc	And	and	0
I	I	pns11	I	i	0
saw	saw	vvd	saw	see	0
them	them	pno32	them	they	0
that	that	cst	that	that	0
had	had	vhd	had	have	0
gotten	gotten	vvn	got	get	0
the	the	dt	the	the	0
victory	victory	n1	victory	victory	0
over	over	p-acp	over	over	0
the	the	dt	the	the	0
Beast	Beast	n1	Beast	beast	0
,	,	,	,	,	0
and	and	cc	and	and	0
o	o	sy	oh	o	0
∣	∣	sy	∣	∣	0
ver	ver	p-acp	for	for	0
his	his	po31	his	his	0
Image	Image	n1	Image	image	0
,	,	,	,	,	0
and	and	cc	and	and	0
over	over	p-acp	over	over	0
his	his	po31	his	his	0
Mark	Mark	n1	Mark	mark	0
,	,	,	,	,	0
and	and	cc	and	and	0
over	over	p-acp	over	over	0
the	the	dt	the	the	0
num	num	n1	num	num	0
∣	∣	sy	∣	∣	0
ber	ber	zz	ber	ber	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
Name	Name	n1	Name	name	0
,	,	,	,	,	0
stand	stand	vvb	stand	stand	0
on	on	p-acp	on	on	0
the	the	dt	the	the	0
Sea	Sea	n1	Sea	sea	0
of	of	pp-f	of	of	0
glass	glass	n1	glass	glass	0
having	having	vhg	having	have	0
the	the	dt	the	the	0
Harps	Harps	n2	Harps	harp	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
,	,	,	,	,	0
And	And	cc	And	and	0
they	they	pns32	they	they	0
sing	sing	vvb	sing	sing	0
the	the	dt	the	the	0
Song	Song	n1	Song	song	0
of	of	pp-f	of	of	0
Moses	Moses	np1	Moses	Moses	0
the	the	dt	the	the	0
servant	servant	n1	servant	servant	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
Song	Song	n1	Song	song	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Lamb	Lamb	n1	Lamb	lamb	0
,	,	,	,	,	0
saying	saying	vvg	saying	say	0
,	,	,	,	,	0
Great	Great	j	Great	great	0
and	and	cc	and	and	0
