Christian	Christian	np1	Christian	Christian	0
Reader	Reader	n1	Reader	reader	0
;	;	;	;	;	0
IF	IF	cs	IF	if	0
wee	wee	pns12	we	we	0
consider	consider	vvb	consider	consider	0
the	the	dt	the	the	0
exceeding	exceeding	j-vvg	exceeding	exceed	0
excellency	excellency	n1	excellency	excellency	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
whole	whole	j-jn	whole	whole	0
Crea	Crea	vvb	Crea	crea	0
∣	∣	sy	∣	∣	0
tion	tion	n1	cion	cion	0
,	,	,	,	,	0
resulting	resulting	vvg	resulting	result	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
con	con	vvi	con	con	0
∣	∣	sy	∣	∣	0
joyned	joyned	vvn	joined	join	0
and	and	cc	and	and	0
combined	combined	vvn	combined	combine	0
excel	excel	vvi	excel	excel	0
∣	∣	sy	∣	∣	0
lencies	lencies	n2	lencies	lency	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
severall	severall	j	several	several	0
and	and	cc	and	and	0
various	various	j	various	various	0
species	species	n2	species	species	0
of	of	pp-f	of	of	0
creatures	creatures	n2	creatures	creature	0
,	,	,	,	,	0
the	the	dt	the	the	0
least	least	ds	least	least	0
we	we	pns12	we	we	0
can	can	vmb	can	can	0
doe	doe	vdi	do	do	0
is	is	vbz	is	be	0
to	to	pc-acp	to	to	0
admire	admire	vvi	admire	admire	0
;	;	;	;	;	0
and	and	cc	and	and	0
who	who	r-crq	who	who	0
that	that	cst	that	that	0
admires	admires	vvz	admires	admire	0
the	the	dt	the	the	0
whole	whole	j-jn	whole	whole	0
,	,	,	,	,	0
can	can	vmb	can	can	0
but	but	p-acp	but	but	0
observe	observe	vvi	observe	observe	0
this	this	d	this	this	0
one	one	crd	one	one	0
particular	particular	j	particular	particular	0
as	as	p-acp	as	as	0
most	most	ds	most	most	0
remarkable	remarkable	j	remarkable	remarkable	0
?	?	?	?	?	0
what	what	q-crq	what	what	0
creature	creature	n1	creature	creature	0
it	it	pn31	it	it	0
was	was	vbds	was	be	0
which	which	r-crq	which	which	0
GOD	GOD	np1	GOD	God	0
the	the	dt	the	the	0
Creator	Creator	n1	Creator	creator	0
wound	wound	vvb	wound	wound	0
up	up	a-acp	up	up	0
the	the	dt	the	the	0
Worlds	Worlds	ng1	World's	world	0
perfection	perfection	n1	perfection	perfection	0
with	with	p-acp	with	with	0
;	;	;	;	;	0
and	and	cc	and	and	0
that	that	cst	that	that	0
was	was	vbds	was	be	0
man	man	n1	man	man	0
:	:	:	:	:	0
Man	Man	n1	Man	man	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
though	though	cs	though	though	0
in	in	p-acp	in	in	0
regard	regard	n1	regard	regard	0
of	of	pp-f	of	of	0
time	time	n1	time	time	0
,	,	,	,	,	0
he	he	pns31	he	he	0
was	was	vbds	was	be	0
made	made	vvn	made	make	0
the	the	dt	the	the	0
last	last	ord	last	last	0
