AMongest	AMongest	p-acp	Amongst	amongst	0
all	all	d	all	all	0
the	the	dt	the	the	0
bene	bene	fw-la	bene	bene	0
∣	∣	sy	∣	∣	0
fites	fites	n2	fites	fite	0
of	of	pp-f	of	of	0
almighty	almighty	j-jn	almighty	almighty	0
God	God	np1	God	God	0
besto	besto	fw-it	besto	besto	0
∣	∣	sy	∣	∣	0
wed	wed	vvn	wed	wed	0
vpon	vpon	p-acp	upon	upon	0
man	man	n1	man	man	0
,	,	,	,	,	0
frō	frō	p-acp	from	from	0
the	the	dt	the	the	0
crea	crea	n1	crea	crea	0
∣	∣	sy	∣	∣	0
tion	tion	n1	cion	cion	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
world	world	n1	world	world	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
there	there	pc-acp	there	there	0
is	is	vbz	is	be	0
none	none	pix	none	none	0
more	more	av-dc	more	more	0
glorious	glorious	j	glorious	glorious	0
and	and	cc	and	and	0
ad	ad	fw-la	ad	ad	0
∣	∣	sy	∣	∣	0
mirable	mirable	j	mirable	mirable	0
,	,	,	,	,	0
then	then	cs	then	than	0
the	the	dt	the	the	0
geuing	geuing	vvg	giving	give	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
owne	owne	d	own	own	0
sonne	sonne	n1	son	son	0
to	to	p-acp	to	to	0
vs	vs	pno12	us	we	0
,	,	,	,	,	0
and	and	cc	and	and	0
for	for	p-acp	for	for	0
vs	vs	pno12	us	we	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
crucified	crucified	vvn	crucified	crucify	0
:	:	:	:	:	0
so	so	av	so	so	0
like	like	vvb	like	like	0
∣	∣	sy	∣	∣	0
wise	wise	n1	wise	wise	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
duties	duties	n2	duties	duty	0
that	that	cst	that	that	0
man	man	n1	man	man	0
cā	cā	vmb	can	can	0
do	do	vdi	do	do	0
,	,	,	,	,	0
or	or	cc	or	or	0
that	that	d	that	that	0
is	is	vbz	is	be	0
of	of	pp-f	of	of	0
man	man	n1	man	man	0
required	required	vvd	required	require	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
done	done	vdn	done	do	0
to	to	p-acp	to	to	0
God	God	np1	God	God	0
,	,	,	,	,	0
there	there	pc-acp	there	there	0
is	is	vbz	is	be	0
none	none	pix	none	none	0
so	so	av	so	so	0
high	high	j	high	high	0
,	,	,	,	,	0
nor	nor	ccx	nor	nor	0
so	so	av	so	so	0
accepta	accepta	fw-la	accepta	accepta	0
∣	∣	sy	∣	∣	0
ble	ble	zz	ble	ble	0
vnto	vnto	p-acp	unto	unto	0
God	God	np1	God	God	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
to	to	pc-acp	to	to	0
embrace	embrace	vvi	embrace	embrace	0
the	the	dt	the	the	0
same	same	d	same	same	0
his	his	po31	his	his	0
welbeloued	welbeloued	j	well-beloved	well-beloved	0
sōne	sōne	n1	son	son	0
by	by	p-acp	by	by	0
fayth	fayth	n1	faith	faith	0
into	into	p-acp	into	into	0
our	our	po12	our	our	0
hartes	hartes	n2	hearts	heart	0
,	,	,	,	,	0
and	and	cc	and	and	0
onely	onely	av-j	only	only	0
to	to	pc-acp	to	to	0
seeke	seeke	vvi	seek	seek	0
his	his	po31	his	his	0
glory	glory	n1	glory	glory	0
.	.	.	.	.	1
This	This	d	This	this	0
dutie	dutie	n1	duty	duty	0
&	&	cc	&	and	0
seruice	seruice	n1	service	service	0
to	to	p-acp	to	to	0
his	his	po31	his	his	0
crucified	crucified	vvd	crucified	crucify	0
Christ	Christ	np1	Christ	Christ	0
so	so	av	so	so	0
farre	farre	av-j	far	far	0
excelleth	excelleth	vvz	excels	excel	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
sight	sight	n1	sighed	sight	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
the	the	dt	the	the	0
father	father	n1	father	father	0
,	,	,	,	,	0
&	&	cc	&	and	0
maker	maker	n1	maker	maker	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
thinges	thinges	n2	things	thing	0
,	,	,	,	,	0
that	that	cst	that	that	0
euen	euen	av	even	even	0
according	according	vvg	according	accord	0
as	as	c-acp	as	as	0
we	we	pns12	we	we	0
seeke	seeke	vvb	seek	seek	0
after	after	p-acp	after	after	0
his	his	po31	his	his	0
sonne	sonne	n1	son	son	0
,	,	,	,	,	0
so	so	av	so	so	0
he	he	pns31	he	he	0
regardeth	regardeth	vvz	regardeth	regard	0
vs	vs	pno12	us	we	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
we	we	pns12	we	we	0
loue	loue	vvb	love	love	0
his	his	po31	his	his	0
sonne	sonne	n1	son	son	0
,	,	,	,	,	0
so	so	av	so	so	0
are	are	vbr	are	be	0
we	we	pns12	we	we	0
loued	loued	vvn	loved	love	0
of	of	pp-f	of	of	0
him	him	pno31	him	he	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
we	we	pns12	we	we	0
beleue	beleue	vvb	believe	believe	0
in	in	p-acp	in	in	0
