IN	IN	p-acp	IN	in	0
Obedience	Obedience	n1	Obedience	obedience	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
desires	desires	n2	desires	desire	0
(	(	(	(	(	0
which	which	r-crq	which	which	0
by	by	p-acp	by	by	0
reason	reason	n1	reason	reason	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
many	many	d	many	many	0
Obligations	Obligations	n2	Obligations	obligation	0
to	to	p-acp	to	to	0
you	you	pn22	you	you	0
both	both	d	both	both	0
,	,	,	,	,	0
ought	ought	pi	ought	aught	0
by	by	p-acp	by	by	0
me	me	pno11	me	i	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
esteemed	esteemed	vvn	esteemed	esteem	0
as	as	c-acp	as	as	0
Commands	Commands	vvz	Commands	command	0
)	)	)	)	)	0
having	having	vhg	having	have	0
perused	perused	vvn	perused	peruse	0
my	my	po11	my	my	0
Discourse	Discourse	n1	Discourse	discourse	0
,	,	,	,	,	0
and	and	cc	and	and	0
added	added	vvd	added	add	0
to	to	p-acp	to	to	0
it	it	pn31	it	it	0
what	what	r-crq	what	what	0
I	I	pns11	I	i	0
thought	thought	vvd	thought	think	0
expedient	expedient	j	expedient	expedient	0
,	,	,	,	,	0
and	and	cc	and	and	0
considering	considering	vvg	considering	consider	0
in	in	p-acp	in	in	0
what	what	r-crq	what	what	0
manner	manner	n1	manner	manner	0
I	I	pns11	I	i	0
should	should	vmd	should	shall	0
(	(	(	(	(	0
in	in	p-acp	in	in	0
An	An	dt	And	a	0
∣	∣	sy	∣	∣	0
swer	swer	n1	swer	swer	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
Request	Request	n1	Request	request	0
)	)	)	)	)	0
present	present	vvb	present	present	0
it	it	pn31	it	it	0
to	to	p-acp	to	to	0
you	you	pn22	you	you	0
;	;	;	;	;	0
after	after	p-acp	after	after	0
some	some	d	some	some	0
consideration	consideration	n1	consideration	consideration	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
chosen	chosen	vvn	chosen	choose	0
to	to	pc-acp	to	to	0
do	do	vdi	do	do	0
it	it	pn31	it	it	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
most	most	av-ds	most	most	0
publick	publick	j	public	public	0
manner	manner	n1	manner	manner	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
could	could	vmd	could	can	0
.	.	.	.	.	1
Not	Not	xx	Not	not	0
only	only	av-j	only	only	0
for	for	p-acp	for	for	0
that	that	cst	that	that	0
common	common	j	common	common	0
reason	reason	n1	reason	reason	0
,	,	,	,	,	0
