To	To	p-acp	To	to	0
the	the	dt	the	the	0
most	most	av-ds	most	most	0
Noble	Noble	j	Noble	noble	0
and	and	cc	and	and	0
most	most	av-ds	most	most	0
Illustrious	Illustrious	j	Illustrious	illustrious	0
Prince	Prince	n1	Prince	prince	0
,	,	,	,	,	0
JAMES	JAMES	np1	JAMES	James	0
,	,	,	,	,	0
Duke	Duke	n1	Duke	duke	0
,	,	,	,	,	0
Marquess	Marquess	n1	Marquis	marquis	0
and	and	cc	and	and	0
Earl	Earl	n1	Earl	earl	0
of	of	pp-f	of	of	0
Ormond	Ormond	np1	Ormond	Ormond	0
;	;	;	;	;	0
Earl	Earl	n1	Earl	earl	0
of	of	pp-f	of	of	0
Ossory	Ossory	np1	Ossory	Ossory	0
and	and	cc	and	and	0
Brecknock	Brecknock	np1	Brecknock	Brecknock	0
;	;	;	;	;	0
Viscount	Viscount	n1	Viscount	viscount	0
Thurley	Thurley	np1	Thurley	Thurley	0
;	;	;	;	;	0
Lord	Lord	n1	Lord	lord	0
Baron	Baron	n1	Baron	baron	0
of	of	pp-f	of	of	0
Arclo	Arclo	np1	Arclo	Arclo	0
and	and	cc	and	and	0
Lanthong	Lanthong	np1	Lanthong	Lanthong	0
;	;	;	;	;	0
Lord	Lord	n1	Lord	lord	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Regalities	Regalities	n2	Regalities	regality	0
and	and	cc	and	and	0
Liberties	Liberties	n2	Liberties	liberty	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
County	County	n1	County	county	0
of	of	pp-f	of	of	0
Tiperary	Tiperary	np1	Tiperary	Tiperary	0
;	;	;	;	;	0
Chancellor	Chancellor	n1	Chancellor	chancellor	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Universities	Universities	n2	Universities	university	0
of	of	pp-f	of	of	0
Oxon	Oxon	np1	Oxon	Oxon	0
and	and	cc	and	and	0
Dublin	Dublin	np1	Dublin	Dublin	0
;	;	;	;	;	0
Lord	Lord	n1	Lord	lord	0
Lieutenant	Lieutenant	n1	Lieutenant	lieutenant	0
General	General	n1	General	general	0
,	,	,	,	,	0
and	and	cc	and	and	0
General	General	j	General	general	0
Governour	Governour	n1	Governor	governor	0
of	of	pp-f	of	of	0
His	His	po31	His	his	0
Majesties	Majesties	ng1	Majesties	majesty	0
Kingdom	Kingdom	n1	Kingdom	kingdom	0
of	of	pp-f	of	of	0
Ireland	Ireland	np1	Ireland	Ireland	0
;	;	;	;	;	0
One	One	crd	One	one	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Lords	Lords	n2	Lords	lord	0
of	of	pp-f	of	of	0
His	His	po31	His	his	0
Majesties	Majesties	ng1	Majesties	majesty	0
most	most	av-ds	most	most	0
Honourable	Honourable	j	Honourable	honourable	0
Privy	Privy	j	Privy	privy	0
Council	Council	n1	Council	council	0
of	of	pp-f	of	of	0
His	His	po31	His	his	0
Majesties	Majesties	ng1	Majesties	majesty	0
Kingdoms	Kingdoms	n2	Kingdoms	kingdom	0
of	of	pp-f	of	of	0
England	England	np1	England	England	0
,	,	,	,	,	0
Scotland	Scotland	np1	Scotland	Scotland	0
and	and	cc	and	and	0
Ireland	Ireland	np1	Ireland	Ireland	0
;	;	;	;	;	0
Gentleman	Gentleman	n1	Gentleman	gentleman	0
of	of	pp-f	of	of	0
His	His	po31	His	his	0
Majesties	Majesties	ng1	Majesties	majesty	0
Bed-Chamber	Bed-Chamber	n1	Bed-Chamber	bedchamber	0
;	;	;	;	;	0
Lord	Lord	n1	Lord	lord	0
Steward	Steward	n1	Steward	steward	0
of	of	pp-f	of	of	0
His	His	po31	His	his	0
Majesties	Majesties	ng1	Majesties	majesty	0
Houshold	Houshold	n1	Household	household	0
;	;	;	;	;	0
Lord	Lord	n1	Lord	lord	0
Lieutenant	Lieutenant	n1	Lieutenant	lieutenant	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
County	County	n1	County	county	0
of	of	pp-f	of	of	0
Somerset	Somerset	np1	Somerset	Somerset	0
;	;	;	;	;	0
Lord	Lord	n1	Lord	lord	0
Lieutenant	Lieutenant	n1	Lieutenant	lieutenant	0
and	and	cc	and	and	0
Lord	Lord	n1	Lord	lord	0
High	High	j	High	high	0
Steward	Steward	n1	Steward	steward	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
City	City	n1	City	city	0
of	of	pp-f	of	of	0
Bri	Bri	np1	Bri	Bri	0
∣	∣	sy	∣	∣	0
stol	stol	n1	stol	stol	0
;	;	;	;	;	0
Lord	Lord	n1	Lord	lord	0
Steward	Steward	n1	Steward	steward	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
City	City	n1	City	city	0
of	of	pp-f	of	of	0
Westminster	Westminster	np1	Westminster	Westminster	0
;	;	;	;	;	0
And	And	cc	And	and	0
Knight	Knight	n1	Knight	knight	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
most	most	av-ds	most	most	0
Noble	Noble	j	Noble	noble	0
Order	Order	n1	Order	order	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Garter	Garter	n1	Garter	garter	0
.	.	.	.	.	1
