MADAME	MADAME	n1	MADAME	madam	0
,	,	,	,	,	0
HAVING	HAVING	vhg	HAVING	have	0
receaued	receaued	vvn	received	receive	0
commandment	commandment	n1	commandment	commandment	0
frō	frō	p-acp	from	from	0
a	a	dt	a	a	0
dying	dying	j-vvg	dying	die	0
Freind	Freind	n1	Friend	friend	0
to	to	pc-acp	to	to	0
publish	publish	vvi	publish	publish	0
this	this	d	this	this	0
Tran	Tran	np1	Tran	Tran	0
∣	∣	sy	∣	∣	0
slation	slation	n1	slation	slation	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
life	life	n1	life	life	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Venerable	Venerable	j	Venerable	venerable	0
,	,	,	,	,	0
and	and	cc	and	and	0
holy	holy	j	holy	holy	0
Suor	Suor	np1	Suor	Suor	0
Maria	Maria	np1	Maria	Maria	0
Maddalena	Maddalena	np1	Maddalena	Maddalena	0
de	de	fw-fr	de	de	0
Patsi	Patsi	fw-la	Patsi	patsi	0
,	,	,	,	,	0
togeather	togeather	av	together	together	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
Preface	Preface	n1	Preface	preface	0
that	that	cst	that	that	0
goes	goes	vvz	goes	go	0
before	before	p-acp	before	before	0
it	it	pn31	it	it	0
,	,	,	,	,	0
vnder	vnder	p-acp	under	under	0
such	such	d	such	such	0
an	an	dt	and	a	0
a	a	dt	a	a	0
∣	∣	sy	∣	∣	0
uow	uow	n1	vow	vow	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
I	I	pns11	I	i	0
should	should	vmd	should	shall	0
thinke	thinke	vvi	think	think	0
most	most	av-ds	most	most	0
fit	fit	j	fit	fit	0
for	for	p-acp	for	for	0
such	such	d	such	such	0
a	a	dt	a	a	0
subiect	subiect	n-jn	subject	subject	0
;	;	;	;	;	0
I	I	pns11	I	i	0
found	found	vvd	found	find	0
my	my	po11	my	my	0
self	self	n1	self	self	0
cast	cast	vvn	cast	cast	0
vpon	vpon	p-acp	upon	upon	0
the	the	dt	the	the	0
same	same	d	same	same	0
resolution	resolution	n1	resolution	resolution	0
by	by	p-acp	by	by	0
duty	duty	n1	duty	duty	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
selfe	selfe	n1	self	self	0
I	I	pns11	I	i	0
should	should	vmd	should	shall	0
haue	haue	vhi	have	have	0
imbraced	imbraced	vvn	embraced	embrace	0
,	,	,	,	,	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
voluntary	voluntary	j-jn	voluntary	voluntary	0
election	election	n1	election	election	0
,	,	,	,	,	0
&	&	cc	&	and	0
affection	affection	n1	affection	affection	0
:	:	:	:	:	0
in	in	p-acp	in	in	0
as	as	p-acp	as	as	0
much	much	d	much	much	0
as	as	c-acp	as	as	0
the	the	dt	the	the	0
thing	thing	n1	thing	thing	0
admitted	admitted	vvn	admitted	admit	0
of	of	pp-f	of	of	0
no	no	dx	no	no	0
de	de	zz	de	de	0
∣	∣	sy	∣	∣	0
bate	bate	vvb	bore	bate	0
,	,	,	,	,	0
or	or	cc	or	or	0
dispute	dispute	vvi	dispute	dispute	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
that	that	cst	that	that	0
it	it	pn31	it	it	0
must	must	vmb	must	must	0
be	be	vbi	be	be	0
presented	presented	vvn	presented	present	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
Ladiship	Ladiship	n1	Ladyship	ladyship	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
your	your	po22	your	your	0
Ladiship	Ladiship	n1	Ladyship	ladyship	0
taketh	taketh	vvz	takes	take	0
not	not	xx	not	not	0
vp	vp	a-acp	up	up	0
the	the	dt	the	the	0
life	life	n1	life	life	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
Great	Great	j	Great	great	0
and	and	cc	and	and	0
Admi	Admi	n2	Admi	admi	0
∣	∣	sy	∣	∣	0
rable	rable	n1	rabble	rabble	0
Woman	Woman	n1	Woman	woman	0
vpon	vpon	p-acp	upon	upon	0
trust	trust	n1	trust	trust	0
,	,	,	,	,	0
since	since	c-acp	since	since	0
you	you	pn22	you	you	0
haue	haue	vhb	have	have	0
read	read	vvn	read	read	0
it	it	pn31	it	it	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
originall	originall	j-jn	original	original	0
tongue	tongue	n1	tongue	tongue	0
,	,	,	,	,	0
and	and	cc	and	and	0
by	by	p-acp	by	by	0
meanes	meanes	n2	means	mean	0
thereof	thereof	av	thereof	thereof	0
you	you	pn22	you	you	0
haue	haue	vhb	have	have	0
planted	planted	vvn	planted	plant	0
,	,	,	,	,	0
not	not	xx	not	not	0
only	only	av-j	only	only	0
in	in	p-acp	in	in	0
your	your	po22	your	your	0
owne	owne	d	own	own	0
Religious	Religious	j	Religious	religious	0
hart	hart	n1	heart	hart	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
harts	harts	n2	hearts	heart	0
also	also	av	also	also	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
own	own	d	own	own	0
excel	excel	vvi	excel	excel	0
∣	∣	sy	∣	∣	0
lent	lent	n1	lent	lent	0
Religious	Religious	j	Religious	religious	0
,	,	,	,	,	0
a	a	dt	a	a	0
most	most	av-ds	most	most	0
tender	tender	j	tender	tender	0
,	,	,	,	,	0
&	&	cc	&	and	0
deere	deere	j-jn	deer	dear	0
remembrance	remembrance	n1	remembrance	remembrance	0
of	of	pp-f	of	of	0
her	her	po31	her	her	0
rare	rare	j	rare	rare	0
vertue	vertue	n1	virtue	virtue	0
.	.	.	.	.	1
And	And	cc	And	and	0
besides	besides	a-acp	beside	beside	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
in	in	p-acp	in	in	0
my	my	po11	my	my	0
selfe	selfe	n1	self	self	0
so	so	av	so	so	0
much	much	av-d	much	much	0
bound	bound	vvn	bound	bind	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
La	La	fw-fr	La	la	0
∣	∣	sy	∣	∣	0
diship	diship	n1	diship	diship	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
that	that	d	that	that	0
(	(	(	(	(	0
hauing	hauing	vhg	having	have	0
nothing	nothing	pix	nothing	nothing	0
of	of	pp-f	of	of	0
myne	myne	po11	mine	my	0
owne	owne	d	own	own	0
to	to	p-acp	to	to	0
present	present	j	present	present	0
as	as	c-acp	as	as	0
a	a	dt	a	a	0
to	to	a-acp	to	to	0
∣	∣	sy	∣	∣	0
ken	ken	n1	ken	ken	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
true	true	j	true	true	0
desires	desires	n2	desires	desire	0
to	to	pc-acp	to	to	0
serue	serue	vvi	serve	serve	0
you	you	pn22	you	you	0
,	,	,	,	,	0
I	I	pns11	I	i	0
account	account	vvb	account	account	0
this	this	d	this	this	0
trust	trust	n1	trust	trust	0
to	to	pc-acp	to	to	0
haue	haue	vhi	have	have	0
come	come	vvn	come	come	0
into	into	p-acp	into	into	0
my	my	po11	my	my	0
hands	hands	n2	hands	hand	0
very	very	av	very	very	0
luckily	luckily	av-j	luckily	lucky	0
since	since	c-acp	since	since	0
it	it	pn31	it	it	0
helpes	helpes	vvz	helps	help	0
me	me	pno11	me	i	0
to	to	pc-acp	to	to	0
paye	paye	vvi	pay	pay	0
my	my	po11	my	my	0
debts	debts	n2	debts	debt	0
,	,	,	,	,	0
without	without	p-acp	without	without	0
any	any	d	any	any	0
charge	charge	n1	charge	charge	0
to	to	p-acp	to	to	0
my	my	po11	my	my	0
conscience	conscience	n1	conscience	conscience	0
,	,	,	,	,	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
another	another	j-jn	another	another	0
mans	mans	ng1	men	man	0
goods	goods	n2-j	goods	good	0
.	.	.	.	.	1
It	It	pn31	It	it	0
appeares	appeares	vvz	appears	appear	0
already	already	av	already	already	0
,	,	,	,	,	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
need	need	vvb	need	need	0
not	not	xx	not	not	0
bring	bring	vvi	bring	bring	0
this	this	d	this	this	0
Holy	Holy	j	Holy	holy	0
Womā	Womā	n1	Woman	woman	0
and	and	cc	and	and	0
your	your	po22	your	your	0
Ladiship	Ladiship	n1	Ladyship	ladyship	0
acquainted	acquainted	vvn	acquainted	acquaint	0
togeather	togeather	av	together	together	0
.	.	.	.	.	1
That	That	d	That	that	0
which	which	r-crq	which	which	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
to	to	pc-acp	to	to	0
say	say	vvi	say	say	0
of	of	pp-f	of	of	0
her	her	pno31	her	she	0
goeth	goeth	vvz	goes	go	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Preface	Preface	n1	Preface	preface	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Reader	Reader	n1	Reader	reader	0
.	.	.	.	.	1
Of	Of	pp-f	Of	of	0
your	your	po22	your	your	0
Ladiship	Ladiship	n1	Ladyship	ladyship	0
I	I	pns11	I	i	0
only	only	av-j	only	only	0
aske	aske	vvb	ask	ask	0
,	,	,	,	,	0
that	that	cst	that	that	0
you	you	pn22	you	you	0
will	will	vmb	will	will	0
continue	continue	vvi	continue	continue	0
to	to	pc-acp	to	to	0
make	make	vvi	make	make	0
her	her	pno31	her	she	0
as	as	p-acp	as	as	0
much	much	d	much	much	0
your	your	po22	your	your	0
pat	pat	av	pat	pat	0
∣	∣	sy	∣	∣	0
terne	terne	vvn	terne	tear	0
as	as	p-acp	as	as	0
you	you	pn22	you	you	0
may	may	vmb	may	may	0
;	;	;	;	;	0
&	&	cc	&	and	0
I	I	pns11	I	i	0
wish	wish	vvb	wish	wish	0
that	that	d	that	that	0
as	as	c-acp	as	as	0
you	you	pn22	you	you	0
were	were	vbdr	were	be	0
the	the	dt	the	the	0
first	first	ord	first	first	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
coūtrey	coūtrey	n1	country	country	0
,	,	,	,	,	0
since	since	c-acp	since	since	0
the	the	dt	the	the	0
lamentable	lamentable	j	lamentable	lamentable	0
fall	fall	n1	fallen	fall	0
thereof	thereof	av	thereof	thereof	0
