SOme	SOme	d	SOme	some	0
prophecies	prophecies	n2	prophecies	prophecy	0
speak	speak	vvb	speak	speak	0
plainly	plainly	av-j	plainly	plain	0
of	of	pp-f	of	of	0
CHRIST	CHRIST	np1	CHRIST	Christ	0
,	,	,	,	,	0
and	and	cc	and	and	0
can	can	vmb	can	can	0
not	not	xx	not	not	0
be	be	vbi	be	be	0
understood	understood	vvn	understood	understand	0
of	of	pp-f	of	of	0
another	another	j-jn	another	another	0
;	;	;	;	;	0
Esa.	Esa.	np1	Esa.	Esa.	1
9.6	9.6	crd	9.6	9.6	0
.	.	.	.	.	1
Vnto	Vnto	p-acp	Unto	unto	0
us	us	pno12	us	we	0
a	a	dt	a	a	0
child	child	n1	child	child	0
is	is	vbz	is	be	0
borne	borne	vvn	born	bear	0
,	,	,	,	,	0
unto	unto	p-acp	unto	unto	0
us	us	pno12	us	we	0
a	a	av	a	a	0
sone	sone	av	soon	soon	0
is	is	vbz	is	be	0
given	given	vvn	given	give	0
,	,	,	,	,	0
—	—	—	—	—	0
his	his	po31	his	his	0
name	name	n1	name	name	0
shalbe	shalbe	vmb|vbi	shall	shall|be	0
called	called	vvn	called	call	0
Wonderfull	Wonderfull	j	Wonderful	wonderful	0
,	,	,	,	,	0
&c.	&c.	av	etc.	etc	1
Some	Some	d	Some	some	0
ar	ar	vbr	are	be	0
typical	typical	j	typical	typical	0
or	or	cc	or	or	0
delivered	delivered	vvn	delivered	deliver	0
with	with	p-acp	with	with	0
coveres	coveres	n2	coveres	covere	0
of	of	pp-f	of	of	0
thinges	thinges	n2	things	thing	0
signifying	signifying	vvg	signifying	signify	0
Christ	Christ	np1	Christ	Christ	0
,	,	,	,	,	0
his	his	po31	his	his	0
offices	offices	n2	offices	office	0
and	and	cc	and	and	0
benefites	benefites	n2	benefits	benefit	0
.	.	.	.	.	1
And	And	cc	And	and	0
of	of	pp-f	of	of	0
these	these	d	these	these	0
some	some	d	some	some	0
ar	ar	vbr	are	be	0
spoken	spoken	vvn	spoken	speak	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
type	type	n1	type	type	0
or	or	cc	or	or	0
thing	thing	n1	thing	thing	0
signifying	signifying	vvg	signifying	signify	0
,	,	,	,	,	0
and	and	cc	and	and	0
can	can	vmb	can	can	0
be	be	vbi	be	be	0
understood	understood	vvn	understood	understand	0
only	only	av-j	only	only	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
thing	thing	n1	thing	thing	0
signified	signified	vvd	signified	signify	0
,	,	,	,	,	0
and	and	cc	and	and	0
some	some	d	some	some	0
ar	ar	vbr	are	be	0
true	true	j	true	true	0
both	both	av-d	both	both	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
type	type	n1	type	type	0
and	and	cc	and	and	0
of	of	pp-f	of	of	0
Christ	Christ	np1	Christ	Christ	0
ether	ether	d	either	either	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
same	same	d	same	same	0
or	or	cc	or	or	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
different	different	j	different	different	0
maner	maner	n1	manner	manner	0
,	,	,	,	,	0
that	that	cst	that	that	0
is	is	vbz	is	be	0
,	,	,	,	,	0
some	some	d	some	some	0
ar	ar	vbr	are	be	0
true	true	j	true	true	0
of	of	pp-f	of	of	0
both	both	d	both	both	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
proper	proper	j	proper	proper	0
sense	sense	n1	sense	sense	0
;	;	;	;	;	0
some	some	d	some	some	0
ar	ar	vbr	are	be	0
true	true	j	true	true	0
of	of	pp-f	of	of	0
both	both	d	both	both	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
tropical	tropical	j	tropical	tropical	0
or	or	cc	or	or	0
figurative	figurative	j	figurative	figurative	0
sense	sense	n1	sense	sense	0
;	;	;	;	;	0
and	and	cc	and	and	0
some	some	d	some	some	0
ar	ar	vbr	are	be	0
true	true	j	true	true	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
one	one	crd	one	one	0
properly	properly	av-j	properly	proper	0
,	,	,	,	,	0
and	and	cc	and	and	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
other	other	n-jn	other	other	0
figuratively	figuratively	av-j	figuratively	figurative	0
.	.	.	.	.	1
All	All	av-d	All	all	0
these	these	d	these	these	0
sortes	sortes	n2	sorts	sort	0
ar	ar	vbr	are	be	0
manifest	manifest	j	manifest	manifest	0
in	in	p-acp	in	in	0
sundrie	sundrie	j	sundry	sundry	0
prophecies	prophecies	n2	prophecies	prophecy	0
:	:	:	:	:	0
here	here	av	here	here	0
I	I	pns11	I	i	0
touch	touch	vvb	touch	touch	0
one	one	pi	one	one	0
