(	(	(	(	(	0
Right	Right	j-jn	Right	right	0
Honorable	Honorable	j	Honourable	honourable	0
!	!	!	!	!	0
)	)	)	)	)	1
I	I	pns11	I	i	0
Should	Should	vmd	Should	shall	0
not	not	xx	not	not	0
have	have	vhi	have	have	0
presumed	presumed	vvn	presumed	presume	0
thus	thus	av	thus	thus	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
mid'st	mid'st	n1	midst	midst	0
of	of	pp-f	of	of	0
so	so	av	so	so	0
many	many	d	many	many	0
great	great	j	great	great	0
affairs	affairs	n2	affairs	affair	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
press	press	vvi	press	press	0
into	into	p-acp	into	into	0
your	your	po22	your	your	0
presence	presence	n1	presence	presence	0
,	,	,	,	,	0
did	did	vdd	did	do	0
I	I	pns11	I	i	0
not	not	xx	not	not	0
bring	bring	vvi	bring	bring	0
a	a	dt	a	a	0
Present	Present	j	Present	present	0
in	in	p-acp	in	in	0
my	my	po11	my	my	0
hand	hand	n1	hand	hand	0
most	most	av-ds	most	most	0
worthie	worthie	j	worthy	worthy	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
acceptance	acceptance	n1	acceptance	acceptance	0
.	.	.	.	.	1
It	It	pn31	It	it	0
is	is	vbz	is	be	0
that	that	cst	that	that	0
Learned	Learned	j	Learned	learned	0
and	and	cc	and	and	0
elaborate	elaborate	vvi	elaborate	elaborate	0
Work	Work	n1	Work	work	0
,	,	,	,	,	0
entituled	entituled	vvn	entitled	entitle	0
MARE	MARE	n1	MARE	mare	0
CLAUSUM	CLAUSUM	np1	CLAUSUM	CLAUSUM	0
;	;	;	;	;	0
A	A	dt	A	a	0
Piece	Piece	n1	Piece	piece	0
so	so	av	so	so	0
fully	fully	av-j	fully	full	0
vindica	vindica	fw-la	vindica	vindica	0
∣	∣	sy	∣	∣	0
ting	ting	zf	ting	thing	0
your	your	po22	your	your	0
Right	Right	n-jn	Right	right	0
of	of	pp-f	of	of	0
Soveraigntie	Soveraigntie	n1	Sovereignty	sovereignty	0
over	over	p-acp	over	over	0
the	the	dt	the	the	0
Seas	Seas	n2	Seas	sea	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
clearest	clearest	js	clearest	clear	0
evidences	evidences	n2	evidences	evidence	0
of	of	pp-f	of	of	0
Reason	Reason	n1	Reason	reason	0
,	,	,	,	,	0
and	and	cc	and	and	0
Record	Record	vvi	Record	record	0
from	from	p-acp	from	from	0
all	all	d	all	all	0
Antiquitie	Antiquitie	n1	Antiquity	antiquity	0
,	,	,	,	,	0
that	that	cst	that	that	0
it	it	pn31	it	it	0
stand's	stand's	vvi|po31	stand's	stand|his	0
more	more	av-dc	more	more	0
impregnable	impregnable	j	impregnable	impregnable	0
against	against	p-acp	against	against	0
the	the	dt	the	the	0
Pens	Pens	n2	Pens	pen	0
,	,	,	,	,	0
than	than	cs	than	than	0
the	the	dt	the	the	0
Island	Island	n1	Island	island	0
it	it	pn31	it	it	0
self	self	n1	self	self	0
against	against	p-acp	against	against	0
the	the	dt	the	the	0
Attempts	Attempts	vvz	Attempts	attempt	0
of	of	pp-f	of	of	0
