THough	THough	cs	THough	though	0
whatever	whatever	r-crq	whatever	whatever	0
a	a	dt	a	a	0
Subject	Subject	j-jn	Subject	subject	0
doth	doth	vdz	does	do	0
for	for	p-acp	for	for	0
his	his	po31	his	his	0
Sove	Sove	av	Soon	soon	0
∣	∣	sy	∣	∣	0
reign	reign	n1	reign	reign	0
is	is	vbz	is	be	0
but	but	p-acp	but	but	0
his	his	po31	his	his	0
Duty	Duty	n1	Duty	duty	0
,	,	,	,	,	0
and	and	cc	and	and	0
there	there	pc-acp	there	there	0
is	is	vbz	is	be	0
nothing	nothing	pix	nothing	nothing	0
of	of	pp-f	of	of	0
Merit	Merit	n1	Merit	merit	0
,	,	,	,	,	0
no	no	uh-dx	no	no	0
not	not	xx	not	not	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
very	very	j	very	very	0
Sacrificing	Sacrificing	vvg	Sacrificing	sacrifice	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
Life	Life	n1	Life	life	0
for	for	p-acp	for	for	0
him	him	pno31	him	he	0
;	;	;	;	;	0
yet	yet	av	yet	yet	0
since	since	c-acp	since	since	0
Earthly	Earthly	j	Earthly	earthly	0
Monarchs	Monarchs	n2	Monarchs	monarch	0
are	are	vbr	are	be	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
inferiour	inferiour	j-jn	inferior	inferior	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Supreme	Supreme	j	Supreme	supreme	0
and	and	cc	and	and	0
Heavenly	Heavenly	j	Heavenly	heavenly	0
One	One	pi	One	one	0
,	,	,	,	,	0
that	that	cst	that	that	0
the	the	dt	the	the	0
Actions	Actions	n2	Actions	action	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
Subjects	Subjects	n2-jn	Subject's	subject	0
are	are	vbr	are	be	0
represented	represented	vvn	represented	represent	0
unto	unto	p-acp	unto	unto	0
them	them	pno32	them	they	0
,	,	,	,	,	0
not	not	xx	not	not	0
through	through	p-acp	through	through	0
the	the	dt	the	the	0
clear	clear	j	clear	clear	0
and	and	cc	and	and	0
unerring	unerring	j	unerring	unerring	0
Glass	Glass	n1	Glass	glass	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
own	own	d	own	own	0
infinite	infinite	j	infinite	infinite	0
Knowledge	Knowledge	n1	Knowledge	knowledge	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
through	through	p-acp	through	through	0
the	the	dt	the	the	0
dark	dark	j	dark	dark	0
,	,	,	,	,	0
deceitful	deceitful	j	deceitful	deceitful	0
one	one	pi	one	one	0
of	of	pp-f	of	of	0
other	other	j-jn	other	other	0
mens	mens	ng2	men's	man	0
Reports	Reports	n2	Reports	report	0
.	.	.	.	.	1
Be	Be	vbb	Be	be	0
graciously	graciously	av-j	graciously	gracious	0
pleased	pleased	vvn	pleased	please	0
to	to	pc-acp	to	to	0
give	give	vvi	give	give	0
the	the	dt	the	the	0
humblest	humblest	js	humblest	humble	0
and	and	cc	and	and	0
meanest	meanest	js	meanest	mean	0
,	,	,	,	,	0
the	the	dt	the	the	0
unworthiest	unworthiest	js	unworthiest	unworthy	0
of	of	pp-f	of	of	0
Your	Your	po22	Your	your	0
Majesty's	Majesty's	ng1	Majesty's	majesty	0
Subjects	Subjects	n2-jn	Subject's	subject	0
,	,	,	,	,	0
leave	leave	vvb	leave	leave	0
to	to	pc-acp	to	to	0
mind	mind	vvi	mind	mind	0
you	you	pn22	you	you	0
,	,	,	,	,	0
That	That	cst	That	that	0
he	he	pns31	he	he	0
adventured	adventured	vvd	adventured	adventure	0
his	his	po31	his	his	0
Life	Life	n1	Life	life	0
,	,	,	,	,	0
and	and	cc	and	and	0
was	was	vbds	was	be	0
