SEcundae	SEcundae	fw-la	SEcundae	secundae	0
cogitationes	cogitationes	fw-la	cogitationes	cogitationes	0
are	are	vbr	are	be	0
euer	euer	av	ever	ever	0
(	(	(	(	(	0
they	they	pns32	they	they	0
say	say	vvb	say	say	0
)	)	)	)	)	0
meliores	meliores	fw-la	meliores	meliores	0
;	;	;	;	;	0
and	and	cc	and	and	0
why	why	q-crq	why	why	0
may	may	vmb	may	may	0
not	not	xx	not	not	0
then	then	av	then	then	0
secundae	secundae	fw-la	secundae	secundae	0
Cantiones	Cantiones	n2	Cantiones	cantione	0
be	be	vbi	be	be	0
as	as	c-acp	as	as	0
well	well	av	well	well	0
dulciores	dulciores	fw-la	dulciores	dulciores	0
?	?	?	?	?	1
I	I	pns11	I	i	0
presume	presume	vvb	presume	presume	0
they	they	pns32	they	they	0
are	are	vbr	are	be	0
so	so	av	so	so	0
,	,	,	,	,	0
and	and	cc	and	and	0
that	that	d	that	that	0
makes	makes	vvz	makes	make	0
me	me	pno11	me	i	0
resume	resume	vvi	resume	resume	0
this	this	d	this	this	0
vaine	vaine	j	vain	vain	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
hope	hope	n1	hope	hope	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
shall	shall	vmb	shall	shall	0
not	not	xx	not	not	0
consume	consume	vvi	consume	consume	0
in	in	p-acp	in	in	0
vaine	vaine	j	vain	vain	0
my	my	po11	my	my	0
labour	labour	n1	labour	labour	0
herein	herein	av	herein	herein	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
first	first	ord	first	first	0
,	,	,	,	,	0
the	the	dt	the	the	0
kinde	kinde	j	kind	kind	0
acceptation	acceptation	n1	acceptation	acceptation	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
former	former	j	former	former	0
Impression	Impression	n1	Impression	impression	0
is	is	vbz	is	be	0
as	as	p-acp	as	as	0
a	a	dt	a	a	0
new	new	j	new	new	0
invitation	invitation	n1	invitation	invitation	0
to	to	p-acp	to	to	0
this	this	d	this	this	0
latter	latter	d	latter	latter	0
Edition	Edition	n1	Edition	edition	0
,	,	,	,	,	0
though	though	cs	though	though	0
not	not	xx	not	not	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
same	same	d	same	same	0
things	things	n2	things	thing	0
,	,	,	,	,	0
yet	yet	av	yet	yet	0
of	of	pp-f	of	of	0
things	things	n2	things	thing	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
same	same	d	same	same	0
condition	condition	n1	condition	condition	0
;	;	;	;	;	0
full	full	j	full	full	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
same	same	d	same	same	0
de	de	fw-la	de	de	0
∣	∣	sy	∣	∣	0
lectation	lectation	n1	lectation	lectation	0
,	,	,	,	,	0
made	made	vvd	made	make	0
to	to	pc-acp	to	to	0
please	please	vvi	please	please	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
the	the	dt	the	the	0
other	other	n-jn	other	other	0
were	were	vbdr	were	be	0
;	;	;	;	;	0
to	to	p-acp	to	to	0
please	please	vvb	please	please	0
I	I	pns11	I	i	0
say	say	vvb	say	say	0
,	,	,	,	,	0
and	and	cc	and	and	0
that	that	cst	that	that	0
with	with	p-acp	with	with	0
as	as	a-acp	as	as	0
much	much	d	much	much	0
ease	ease	n1	ease	ease	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
the	the	dt	the	the	0
other	other	j-jn	other	other	0
;	;	;	;	;	0
made	made	vvd	made	make	0
truely	truely	av-j	truly	true	0
Musicall	Musicall	j	Musical	musical	0
with	with	p-acp	with	with	0
Art	Art	n1	Art	art	0
by	by	p-acp	by	by	0
my	my	po11	my	my	0
correction	correction	n1	correction	correction	0
,	,	,	,	,	0
and	and	cc	and	and	0
yet	yet	av	yet	yet	0
plaine	plaine	j	plain	plain	0
,	,	,	,	,	0
and	and	cc	and	and	0
capable	capable	j	capable	capable	0
with	with	p-acp	with	with	0
ease	ease	n1	ease	ease	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
my	my	po11	my	my	0
direction	direction	n1	direction	direction	0
.	.	.	.	.	1
Againe	Againe	av	Again	again	0
,	,	,	,	,	0
Bonum	Bonum	fw-la	Bonum	bonum	0
quò	quò	fw-la	quò	quò	0
communius	communius	fw-la	communius	communius	0
eò	eò	fw-la	eò	eò	0
melius	melius	fw-la	melius	melius	0
,	,	,	,	,	0
we	we	pns12	we	we	0
know	know	vvb	know	know	0
;	;	;	;	;	0
and	and	cc	and	and	0
I	I	pns11	I	i	0
know	know	vvb	know	know	0
no	no	dx	no	no	0
reason	reason	n1	reason	reason	0
,	,	,	,	,	0
why	why	q-crq	why	why	0
incundum	incundum	fw-la	incundum	incundum	0
,	,	,	,	,	0
quò	quò	fw-la	quò	quò	0
communius	communius	fw-la	communius	communius	0
,	,	,	,	,	0
should	should	vmd	should	shall	0
not	not	xx	not	not	0
be	be	vbi	be	be	0
as	as	c-acp	as	as	0
well	well	av	well	well	0
iucundius	iucundius	fw-la	iucundius	iucundius	0
:	:	:	:	:	0
Now	Now	av	Now	now	0
then	then	cs	then	than	0
the	the	dt	the	the	0
nature	nature	n1	nature	nature	0
of	of	pp-f	of	of	0
these	these	d	these	these	0
(	(	(	(	(	0
call	call	vvi	call	call	0
them	them	pno32	them	they	0
as	as	c-acp	as	as	0
you	you	pn22	you	you	0
will	will	vmb	will	will	0
)	)	)	)	)	0
in	in	p-acp	in	in	0
regard	regard	n1	regard	regard	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
facilitie	facilitie	n1	facility	facility	0
and	and	cc	and	and	0
so	so	av	so	so	0
their	their	po32	their	their	0
capabilitie	capabilitie	n1	capability	capability	0
is	is	vbz	is	be	0
more	more	av-dc	more	more	0
commu	commu	fw-fr	commu	commu	0
∣	∣	sy	∣	∣	0
nicable	nicable	j	nicable	nicable	0
,	,	,	,	,	0
then	then	cs	then	than	0
any	any	d	any	any	0
other	other	j-jn	other	other	0
kinde	kinde	n1	kind	kind	0
of	of	pp-f	of	of	0
Musicke	Musicke	n1	Music	music	0
▪	▪	▪	▪	▪	0
and	and	cc	and	and	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
respect	respect	n1	respect	respect	0
more	more	av-dc	more	more	0
commendable	commendable	j	commendable	commendable	0
;	;	;	;	;	0
and	and	cc	and	and	0
will	will	vmb	will	will	0
be	be	vbi	be	be	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
sure	sure	av-j	sure	sure	0
more	more	av-dc	more	more	0
acceptable	acceptable	j	acceptable	acceptable	0
,	,	,	,	,	0
because	because	c-acp	because	because	0
the	the	dt	the	the	0
things	things	n2	things	thing	0
which	which	r-crq	which	which	0
many	many	d	many	many	0
heretofore	heretofore	av	heretofore	heretofore	0
haue	haue	vhb	have	have	0
priuately	priuately	av-jn	privately	private	0
ioyed	ioyed	vvn	joyed	joy	0
in	in	p-acp	in	in	0
,	,	,	,	,	0
may	may	vmb	may	may	0
now	now	av	now	now	0
by	by	p-acp	by	by	0
this	this	d	this	this	0
meanes	meanes	n2	means	mean	0
,	,	,	,	,	0
publikely	publikely	av-j	publicly	public	0
be	be	vbi	be	be	0
inioyed	inioyed	vvn	enjoyed	enjoy	0
.	.	.	.	.	1
Neither	Neither	av-d	Neither	neither	0
,	,	,	,	,	0
can	can	vmb	can	can	0
he	he	pns31	he	he	0
,	,	,	,	,	0
that	that	cst	that	that	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
most	most	av-ds	most	most	0
able	able	j	able	able	0
Musition	Musition	n1	Musician	musician	0
say	say	vvi	say	say	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
that	that	d	that	that	0
of	of	pp-f	of	of	0
these	these	d	these	these	0
most	most	av-ds	most	most	0
men	men	n2	men	man	0
,	,	,	,	,	0
almost	almost	av	almost	almost	0
all	all	d	all	all	0
men	men	n2	men	man	0
are	are	vbr	are	be	0
capable	capable	j	capable	capable	0
,	,	,	,	,	0
that	that	cst	that	that	0
are	are	vbr	are	be	0
not	not	xx	not	not	0
altogether	altogether	av	altogether	altogether	0
immusicall	immusicall	j	immusical	immusical	0
:	:	:	:	:	0
Neither	Neither	av-dx	Neither	neither	0
can	can	vmb	can	can	0
He	He	pns31	He	he	0
,	,	,	,	,	0
that	that	cst	that	that	0
is	is	vbz	is	be	0
most	most	av-ds	most	most	0
spitefull	spitefull	j	spiteful	spiteful	0
say	say	vvb	say	say	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
they	they	pns32	they	they	0
are	are	vbr	are	be	0
very	very	av	very	very	0
delighfull	delighfull	j	delightful	delightful	0
,	,	,	,	,	0
I	I	pns11	I	i	0
,	,	,	,	,	0
and	and	cc	and	and	0
some	some	d	some	some	0
way	way	n1	way	way	0
gainfull	gainfull	j	gainful	gainful	0
too	too	av	too	too	0
;	;	;	;	;	0
(	(	(	(	(	0
yet	yet	av	yet	yet	0
more	more	dc	more	more	0
paine	paine	n1	pain	pain	0
∣	∣	sy	∣	∣	0
full	full	j	full	full	0
to	to	pc-acp	to	to	0
me	me	pno11	me	i	0
,	,	,	,	,	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
sure	sure	j	sure	sure	0
,	,	,	,	,	0
then	then	av	then	then	0
gainefull	gainefull	j	gainful	gainful	0
.	.	.	.	.	0
)	)	)	)	)	1
But	But	p-acp	But	but	0
,	,	,	,	,	0
though	though	cs	though	though	0
there	there	pc-acp	there	there	0
bee	bee	vbi	be	be	0
but	but	p-acp	but	but	0
little	little	j	little	little	0
to	to	pc-acp	to	to	0
bee	bee	vbi	be	be	0
gotten	gotten	vvn	got	get	0
by	by	p-acp	by	by	0
