YOVR	YOVR	po22	YOUR	your	0
Maiesties	Maiesties	ng1	Majesties	majesty	0
Greatnes	Greatnes	n1	Greatness	greatness	0
,	,	,	,	,	0
Nobi	Nobi	np1	Nobi	Nobi	0
∣	∣	sy	∣	∣	0
litie	litie	n1	litie	litie	0
,	,	,	,	,	0
and	and	cc	and	and	0
Digni	Digni	np1	Digni	Digni	0
∣	∣	sy	∣	∣	0
tie	tie	zz	tie	tie	0
(	(	(	(	(	0
descended	descended	vvn	descended	descend	0
vn	vn	p-acp	un	unto	0
∣	∣	sy	∣	∣	0
to	to	p-acp	to	to	0
you	you	pn22	you	you	0
from	from	p-acp	from	from	0
a	a	dt	a	a	0
King	King	n1	King	king	0
of	of	pp-f	of	of	0
France	France	np1	France	France	0
,	,	,	,	,	0
your	your	po22	your	your	0
Father	Father	n1	Father	father	0
,	,	,	,	,	0
surnamed	surnamed	vvn	surnamed	surname	0
Great	Great	j	Great	great	0
,	,	,	,	,	0
from	from	p-acp	from	from	0
a	a	dt	a	a	0
Great	Great	j	Great	great	0
Queene	Queene	n1	Queen	queen	0
your	your	po22	your	your	0
Noble	Noble	j	Noble	noble	0
Mother	Mother	n1	Mother	mother	0
,	,	,	,	,	0
from	from	p-acp	from	from	0
Kinges	Kinges	n2	Kings	king	0
your	your	po22	your	your	0
Brothers	Brothers	n2	Brother's	brother	0
,	,	,	,	,	0
from	from	p-acp	from	from	0
Queenes	Queenes	n2	Queens	queen	0
your	your	po22	your	your	0
Sisters	Sisters	n2	Sisters	sister	0
,	,	,	,	,	0
and	and	cc	and	and	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
Great	Great	j	Great	great	0
Monarch	Monarch	n1	Monarch	monarch	0
of	of	pp-f	of	of	0
Great	Great	j	Great	great	0
Britaine	Britaine	np1	Britaine	Britain	0
,	,	,	,	,	0
an	an	dt	and	a	0
other	other	j-jn	other	other	0
Charles	Charles	np1	Charles	Charles	0
the	the	dt	the	the	0
Great	Great	j	Great	great	0
for	for	p-acp	for	for	0
his	his	po31	his	his	0
Princelie	Princelie	j	Princely	princely	0
vertues	vertues	n2	virtues	virtue	0
,	,	,	,	,	0
whose	whose	rg-crq	whose	who	0
Beloued	Beloued	j-vvn	Beloved	belove	0
Spouse	Spouse	n1	Spouse	spouse	0
you	you	pn22	you	you	0
are	are	vbr	are	be	0
)	)	)	)	)	0
daunteth	daunteth	vvz	daunteth	daunt	0
me	me	pno11	me	i	0
,	,	,	,	,	0
&	&	cc	&	and	0
maketh	maketh	vv2	makes	make	0
me	me	pno11	me	i	0
afrayd	afrayd	j	afraid	afraid	0
to	to	pc-acp	to	to	0
approach	approach	vvi	approach	approach	0
to	to	p-acp	to	to	0
so	so	av	so	so	0
great	great	j	great	great	0
Maiestie	Maiestie	n1	Majesty	majesty	0
with	with	p-acp	with	with	0
so	so	av	so	so	0
litle	litle	j	little	little	0
a	a	dt	a	a	0
Present	Present	j	Present	present	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
is	is	vbz	is	be	0
this	this	d	this	this	0
litle	litle	j	little	little	0
Pamphlet	Pamphlet	n1	Pamphlet	pamphlet	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
your	your	po22	your	your	0
Be	Be	vbb	Be	be	0
∣	∣	sy	∣	∣	0
nignitie	nignitie	n1	nignitie	nignitie	0
,	,	,	,	,	0
affabilitie	affabilitie	n1	affability	affability	0
,	,	,	,	,	0
yea	yea	uh	yea	yea	0
and	and	cc	and	and	0
Princelie	Princelie	j	Princely	princely	0
Humilitie	Humilitie	n1	Humility	humility	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
graceth	graceth	vvz	graceth	grace	0
your	your	po22	your	your	0
Maiestie	Maiestie	n1	Majesty	majesty	0
,	,	,	,	,	0
and	and	cc	and	and	0
is	is	vbz	is	be	0
graced	graced	vvn	graced	grace	0
by	by	p-acp	by	by	0
it	it	pn31	it	it	0
;	;	;	;	;	0
as	as	c-acp	as	as	0
it	it	pn31	it	it	0
hath	hath	vhz	hath	have	0
wonne	wonne	vvn	won	win	0
you	you	pn22	you	you	0
the	the	dt	the	the	0
loue	loue	n1	love	love	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
your	your	po22	your	your	0
Subiectes	Subiectes	n2-jn	Subjects	subject	0
,	,	,	,	,	0
euen	euen	av	even	even	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
who	who	r-crq	who	who	0
differ	differ	vvb	differ	differ	0
from	from	p-acp	from	from	0
you	you	pn22	you	you	0
in	in	p-acp	in	in	0
Re	Re	zz	Re	re	0
∣	∣	sy	∣	∣	0
ligion	ligion	n1	ligion	ligion	0
,	,	,	,	,	0
and	and	cc	and	and	0
hath	hath	vhz	hath	have	0
made	made	vvn	made	make	0
you	you	pn22	you	you	0
not	not	xx	not	not	0
onelie	onelie	av-j	only	only	0
amiable	amiable	j	amiable	amiable	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
also	also	av	also	also	0
admirable	admirable	j	admirable	admirable	0
to	to	p-acp	to	to	0
all	all	d	all	all	0
the	the	dt	the	the	0
world	world	n1	world	world	0
:	:	:	:	:	0
so	so	av	so	so	0
it	it	pn31	it	it	0
encourageth	encourageth	vvz	encourageth	encourage	0
me	me	pno11	me	i	0
,	,	,	,	,	0
and	and	cc	and	and	0
biddeth	biddeth	vvz	bids	bid	0
me	me	pno11	me	i	0
be	be	vbi	be	be	0
bold	bold	j	bold	bold	0
,	,	,	,	,	0
and	and	cc	and	and	0
euen	euen	av	even	even	0
assureth	assureth	vvz	assureth	assure	0
me	me	pno11	me	i	0
,	,	,	,	,	0
that	that	cst	that	that	0
this	this	d	this	this	0
my	my	po11	my	my	0
Present	Present	n1	Present	present	0
,	,	,	,	,	0
though	though	cs	though	though	0
litle	litle	j	little	little	0
and	and	cc	and	and	0
im	im	p-acp	im	in	0
∣	∣	sy	∣	∣	0
proportionate	proportionate	j	proportionate	proportionate	0
to	to	pc-acp	to	to	0
your	your	po22	your	your	0
Great	Great	j	Great	great	0
∣	∣	sy	∣	∣	0
nesse	nesse	n1	ness	ness	0
,	,	,	,	,	0
will	will	vmb	will	will	0
be	be	vbi	be	be	0
Graciouslie	Graciouslie	av-j	Graciously	gracious	0
ac	ac	fw-la	ac	ac	0
∣	∣	sy	∣	∣	0
cepted	cepted	vvn	cepted	cept	0
of	of	pp-f	of	of	0
so	so	av	so	so	0
Gracious	Gracious	j	Gracious	gracious	0
a	a	dt	a	a	0
Prin	Prin	np1	Prin	Prin	0
∣	∣	sy	∣	∣	0
cesse	cesse	vvb	cease	cease	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
proportionate	proportionate	j	proportionate	proportionate	0
at	at	p-acp	at	at	0
least	least	ds	least	least	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
Benignitie	Benignitie	n1	Benignity	benignity	0
and	and	cc	and	and	0
Pietie	Pietie	n1	Piety	piety	0
.	.	.	.	.	1
My	My	po11	My	my	0
Present	Present	n1	Present	present	0
,	,	,	,	,	0
Most	Most	av-ds	Most	most	0
Gracious	Gracious	j	Gracious	gracious	0
Queene	Queene	n1	Queen	queen	0
,	,	,	,	,	0
is	is	vbz	is	be	0
a	a	dt	a	a	0
Posie	Posie	n1	Posy	posy	0
,	,	,	,	,	0
and	and	cc	and	and	0
not	not	xx	not	not	0
whatsoeuer	whatsoeuer	r-crq	whatsoever	whatsoever	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
a	a	dt	a	a	0
Myrrhine	Myrrhine	np1	Myrrhine	Myrrhine	0
Posie	Posie	n1	Posy	posy	0
,	,	,	,	,	0
gathered	gathered	vvd	gathered	gather	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Paradise	Paradise	n1	Paradise	paradise	0
and	and	cc	and	and	0
Garden	Garden	n1	Garden	garden	0
of	of	pp-f	of	of	0
Christ	Christ	np1	Christ	Christ	0
his	his	po31	his	his	0
sacred	sacred	j	sacred	sacred	0
Passion	Passion	n1	Passion	passion	0
,	,	,	,	,	0
and	and	cc	and	and	0
com	com	vvi	come	come	0
∣	∣	sy	∣	∣	0
posed	posed	vvn	posed	pose	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
bitter	bitter	j	bitter	bitter	0
sorrowes	sorrowes	n2	sorrows	sorrow	0
and	and	cc	and	and	0
dolours	dolours	n2	dolours	dolour	0
he	he	pns31	he	he	0
suffered	suffered	vvd	suffered	suffer	0
for	for	p-acp	for	for	0
vs	vs	pno12	us	we	0
and	and	cc	and	and	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
words	words	n2	words	word	0
also	also	av	also	also	0
h	h	pns31	h	he	0
spake	spake	vvd	spoke	speak	0
on	on	p-acp	on	on	0
the	the	dt	the	the	0
Crosse	Crosse	n1	Cross	cross	0
:	:	:	:	:	0
Of	Of	pp-f	Of	of	0
whic	whic	r-crq	which	which	0
Posie	Posie	n1	Posy	posy	0
,	,	,	,	,	0
if	if	cs	if	if	0
your	your	po22	your	your	0
Maiestie	Maiestie	n1	Majesty	majesty	0
vouch	vouch	vvi	vouch	vouch	0
¦	¦	sy	¦	¦	0
safe	safe	j	safe	safe	0
to	to	pc-acp	to	to	0
smell	smell	vvi	smell	smell	0
by	by	p-acp	by	by	0
your	your	po22	your	your	0
ac	ac	fw-la	ac	ac	0
∣	∣	sy	∣	∣	0
customed	customed	j-vvn	customed	custom	0
and	and	cc	and	and	0
deuout	deuout	j	devout	devout	0
Medi	Medi	fw-la	Medi	medi	0
∣	∣	sy	∣	∣	0
tations	tations	n2	tations	tation	0
,	,	,	,	,	0
the	the	dt	the	the	0
verie	verie	j	very	very	0
smell	smell	n1	smell	smell	0
will	will	vmb	will	will	0
be	be	vbi	be	be	0
Soueraigne	Soueraigne	j-jn	Sovereign	sovereign	0
for	for	p-acp	for	for	0
your	your	po22	your	your	0
soule	soule	n1	soul	soul	0
,	,	,	,	,	0
and	and	cc	and	and	0
will	will	vmb	will	will	0
chase	chase	vvi	chase	chase	0
away	away	av	away	away	0
all	all	d	all	all	0
the	the	dt	the	the	0
euill	euill	j-jn	evil	evil	0
odours	odours	n2	odours	odour	0
of	of	pp-f	of	of	0
whatsoeuer	whatsoeuer	r-crq	whatsoever	whatsoever	0
euill	euill	j-jn	evil	evil	0
tentations	tentations	n2	tentations	tentation	0
.	.	.	.	.	1
Other	Other	av-jn	Other	other	0
Myrrhe	Myrrhe	n1	Myrrh	myrrh	0
preserueth	preserueth	vvz	preserveth	preserve	0
our	our	po12	our	our	0
bodies	bodies	n2	bodies	body	0
from	from	p-acp	from	from	0
putrefaction	putrefaction	n1	putrefaction	putrefaction	0
;	;	;	;	;	0
this	this	d	this	this	0
Myrrhe	Myrrhe	n1	Myrrh	myrrh	0
will	will	vmb	will	will	0
preserue	preserue	vvi	preserve	preserve	0
the	the	dt	the	the	0
soule	soule	n1	soul	soul	0
from	from	p-acp	from	from	0
all	all	d	all	all	0
corruption	corruption	n1	corruption	corruption	0
of	of	pp-f	of	of	0
Sinne	Sinne	n1	Sin	sin	0
.	.	.	.	.	1
This	This	np1	This	This	0
Myrrhine	Myrrhine	np1	Myrrhine	Myrrhine	0
Posie	Posie	n1	Posy	posy	0
of	of	pp-f	of	of	0
Christ	Christ	np1	Christ	Christ	0
his	his	po31	his	his	0
Dolours	Dolours	n2	Dolours	dolour	0
,	,	,	,	,	0
your	your	po22	your	your	0
Maiesties	Maiesties	ng1	Majesties	majesty	0
pietie	pietie	n1	piety	piety	0
will	will	vmb	will	will	0
daine	daine	n1	dame	dame	0
to	to	p-acp	to	to	0
place	place	n1	place	place	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
bo	bo	zz	bo	bo	0
∣	∣	sy	∣	∣	0
some	some	n1	some	sum	0
and	and	cc	and	and	0
breast	breast	n1	breast	breast	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
de	de	fw-la	de	de	0
∣	∣	sy	∣	∣	0
uout	uout	j	uout	uout	0
Soule	Soule	n1	Soul	soul	0
,	,	,	,	,	0
and	and	cc	and	and	0
your	your	po22	your	your	0
Blessed	Blessed	j-vvn	Blessed	bless	0
Sauiour	Sauiour	n1	Saviour	saviour	0
with	with	p-acp	with	with	0
it	it	pn31	it	it	0
;	;	;	;	;	0
that	that	cst	that	that	0
you	you	pn22	you	you	0
may	may	vmb	may	may	0
say	say	vvi	say	say	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
Spouse	Spouse	n1	Spouse	spouse	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Canticles	Canticles	n2	Canticles	canticle	0
:	:	:	:	:	0
A	A	dt	A	a	0
Bundle	Bundle	n1	Bundle	bundle	0
of	of	pp-f	of	of	0
Myrrhe	Myrrhe	n1	Myrrh	myrrh	0
,	,	,	,	,	0
my	my	po11	my	my	0
beloued	beloued	j-vvn	beloved	belove	0
is	is	vbz	is	be	0
to	to	p-acp	to	to	0
me	me	pno11	me	i	0
,	,	,	,	,	0
he	he	pns31	he	he	0
shall	shall	vmb	shall	shall	0
abide	abide	vvi	abide	abide	0
betweene	betweene	p-acp	between	between	0
my	my	po11	my	my	0
breasts	breasts	n2	breasts	breast	0
.	.	.	.	.	1
God	God	np1	God	God	0
Almightie	Almightie	j-jn	Almighty	almighty	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
hath	hath	vhz	hath	have	0
endowed	endowed	vvn	endowed	endow	0
your	your	po22	your	your	0
Maiestie	Maiestie	n1	Majesty	majesty	0
with	with	p-acp	with	with	0
many	many	d	many	many	0
guifts	guifts	n2	gifts	gift	0
of	of	pp-f	of	of	0
Grace	Grace	n1	Grace	grace	0
and	and	cc	and	and	0
nature	nature	n1	nature	nature	0
;	;	;	;	;	0
who	who	r-crq	who	who	0
hath	hath	vhz	hath	have	0
giuen	giuen	vvn	given	give	0
you	you	pn22	you	you	0
such	such	d	such	such	0
Constancie	Constancie	n1	Constancy	constancy	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Ca	Ca	zz	Ca	ca	0
∣	∣	sy	∣	∣	0
tholike	tholike	j	tholike	tholike	0
Fayth	Fayth	n1	Faith	faith	0
,	,	,	,	,	0
that	that	cst	that	that	0
amon	amon	n1	amon	amon	0
∣	∣	sy	∣	∣	0
gest	gest	n1	gest	gest	0
many	many	d	many	many	0
contrarie	contrarie	j-jn	contrary	contrary	0
winds	winds	n2	winds	wind	0
of	of	pp-f	of	of	0
Doctrine	Doctrine	n1	Doctrine	doctrine	0
,	,	,	,	,	0
you	you	pn22	you	you	0
haue	haue	vhb	have	have	0
not	not	xx	not	not	0
beene	beene	vbn	been	be	0
so	so	av	so	so	0
much	much	av-d	much	much	0
as	as	c-acp	as	as	0
shaken	shaken	vvn	shaken	shake	0
;	;	;	;	;	0
VVho	VVho	r-crq	Who	who	0
hath	hath	vhz	hath	have	0
conserued	conserued	vvn	conserved	conserve	0
you	you	pn22	you	you	0
pure	pure	j	pure	pure	0
as	as	p-acp	as	as	0
a	a	dt	a	a	0
Lillie	Lillie	n1	Lily	lily	0
amongest	amongest	p-acp	amongst	amongst	0
thornes	thornes	n2	thorns	thorn	0
;	;	;	;	;	0
VVho	VVho	r-crq	Who	who	0
hath	hath	vhz	hath	have	0
blessed	blessed	vvn	blessed	bless	0
you	you	pn22	you	you	0
with	with	p-acp	with	with	0
a	a	dt	a	a	0
Royall	Royall	j	Royal	royal	0
Issue	Issue	n1	Issue	issue	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
,	,	,	,	,	0
though	though	cs	though	though	0
as	as	c-acp	as	as	0
yet	yet	av	yet	yet	0
it	it	pn31	it	it	0
be	be	vbb	be	be	0
younge	younge	j	young	young	0
and	and	cc	and	and	0
litle	litle	j	little	little	0
,	,	,	,	,	0
is	is	vbz	is	be	0
no	no	dx	no	no	0
litle	litle	j	little	little	0
strength	strength	n1	strength	strength	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Kingdome	Kingdome	n1	Kingdom	kingdom	0
:	:	:	:	:	0
He	He	pns31	He	he	0
,	,	,	,	,	0
I	I	pns11	I	i	0
say	say	vvb	say	say	0
blesse	blesse	vvb	bless	bless	0
your	your	po22	your	your	0
Maiestie	Maiestie	n1	Majesty	majesty	0
,	,	,	,	,	0
and	and	cc	and	and	0
ou	ou	fw-fr	ou	ou	0
Noble	Noble	j	Noble	noble	0
King	King	n1	King	king	0
Great	Great	j	Great	great	0
Charles	Charles	np1	Charles	Charles	0
your	your	po22	your	your	0
deare	deare	j-jn	deer	dear	0
Spouse	Spouse	n1	Spouse	spouse	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
Grace	Grace	n1	Grace	grace	0
Peace	Peace	n1	Peace	peace	0
,	,	,	,	,	0
and	and	cc	and	and	0
Prosperitie	Prosperitie	n1	Prosperity	prosperity	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
you	you	pn22	you	you	0
Kingdome	Kingdome	n1	Kingdom	kingdom	0
of	of	pp-f	of	of	0
Great	Great	j	Great	great	0
Bri	Bri	np1	Bri	Bri	0
∣	∣	sy	∣	∣	0
taine	taine	vvb	taine	take	0
,	,	,	,	,	0
and	and	cc	and	and	0
with	with	p-acp	with	with	0
Glorie	Glorie	n1	Glory	glory	0
,	,	,	,	,	0
and	and	cc	and	and	0
Eternall	Eternall	j	Eternal	eternal	0
Peace	Peace	n1	Peace	peace	0
,	,	,	,	,	0
and	and	cc	and	and	0
Felicitie	Felicitie	n1	Felicity	felicity	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Kingdome	Kingdome	n1	Kingdom	kingdom	0
of	of	pp-f	of	of	0
Heauen	Heauen	n1	Heaven	heaven	0
.	.	.	.	.	1
This	This	d	This	this	0
is	is	vbz	is	be	0
,	,	,	,	,	0
and	and	cc	and	and	0
this	this	d	this	this	0
euer	euer	av	ever	ever	0
shall	shall	vmb	shall	shall	0
be	be	vbi	be	be	0
the	the	dt	the	the	0
prayer	prayer	n1	prayer	prayer	0
of	of	pp-f	of	of	1
