WHO	WHO	r-crq	WHO	who	0
SO	SO	av	SO	so	0
VVEL	VVEL	av	WELL	well	0
feleth	feleth	vvz	feeleth	feel	0
the	the	dt	the	the	0
dueties	dueties	n2	duties	duty	0
,	,	,	,	,	0
that	that	cst	that	that	0
belonge	belonge	vvb	belong	belong	0
to	to	p-acp	to	to	0
an	an	dt	and	a	0
honest	honest	j	honest	honest	0
hart	hart	n1	heart	hart	0
,	,	,	,	,	0
and	and	cc	and	and	0
is	is	vbz	is	be	0
any	any	d	any	any	0
thing	thing	n1	thing	thing	0
acquein	acquein	av	acquein	acquein	0
∣	∣	sy	∣	∣	0
tid	tid	zz	tid	tid	0
with	with	p-acp	with	with	0
those	those	d	those	those	0
thre	thre	crd	thre	three	0
ladies	ladies	n2	ladies	lady	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
won	won	vvd	wone	win	0
¦	¦	sy	¦	¦	0
derfully	derfully	av-j	derfully	derful	0
mainteine	mainteine	vvb	maintain	maintain	0
the	the	dt	the	the	0
ioyfull	ioyfull	j	joyful	joyful	0
societie	societie	n1	society	society	0
of	of	pp-f	of	of	0
mans	mans	ng1	men	man	0
lyfe	lyfe	n1	life	life	0
,	,	,	,	,	0
cal	cal	vvi	call	call	0
∣	∣	sy	∣	∣	0
lid	lid	n1	lid	lid	0
amonges	amonges	p-acp	among	among	0
the	the	dt	the	the	0
Grecians	Grecians	njp2	Grecians	grecian	0
Charites	Charites	np1	Charites	Charites	0
,	,	,	,	,	0
among	among	p-acp	among	among	0
the	the	dt	the	the	0
latins	latins	njp2	latins	latin	0
Gratiae	Gratiae	np1	Gratiae	Gratiae	0
,	,	,	,	,	0
he	he	pns31	he	he	0
can	can	vmb	can	can	0
not	not	xx	not	not	0
moste	moste	ds	most	most	0
gentyll	gentyll	j	gentle	gentle	0
mayster	mayster	vvb	master	master	0
Crumwel	Crumwel	np1	Crumwel	Crumwel	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
se	se	vvb	see	see	0
infinite	infinite	j	infinite	infinite	0
causes	causes	n2	causes	cause	0
,	,	,	,	,	0
why	why	c-crq	why	why	0
I	I	pns11	I	i	0
ought	ought	vmd	ought	ought	0
with	with	p-acp	with	with	0
al	al	d	all	all	0
force	force	n1	force	force	0
of	of	pp-f	of	of	0
body	body	n1	body	body	0
,	,	,	,	,	0
al	al	d	all	all	0
strength	strength	n1	strength	strength	0
of	of	pp-f	of	of	0
mynd	mynd	n1	mind	mind	0
,	,	,	,	,	0
all	all	d	all	all	0
alacritie	alacritie	n1	alacrity	alacrity	0
and	and	cc	and	and	0
