Humbly	Humbly	av-j	Humbly	humble	0
shewing	shewing	vvg	showing	show	0
,	,	,	,	,	0
THat	THat	cst	THat	that	0
the	the	dt	the	the	0
Charge	Charge	n1	Charge	charge	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
Majesties	Majesties	ng1	Majesties	majesty	0
Subjects	Subjects	n2-jn	Subject's	subject	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
main	main	n1	main	main	0
∣	∣	sy	∣	∣	0
tenance	tenance	n1	tenance	tenance	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Poor	Poor	j	Poor	poor	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
Assessements	Assessements	n2	Assessments	assessment	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
several	several	j	several	several	0
Pa	Pa	wd	Pa	pa	0
∣	∣	sy	∣	∣	0
rishes	rishes	vvz	rishes	rish	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
Majesties	Majesties	ng1	Majesties	majesty	0
Kingdome	Kingdome	n1	Kingdom	kingdom	0
of	of	pp-f	of	of	0
England	England	np1	England	England	0
and	and	cc	and	and	0
Dominion	Dominion	n1	Dominion	dominion	0
of	of	pp-f	of	of	0
Wales	Wales	n2	Wales	wale	0
,	,	,	,	,	0
is	is	vbz	is	be	0
conceived	conceived	vvn	conceived	conceive	0
to	to	pc-acp	to	to	0
amount	amount	vvi	amount	amount	0
unto	unto	p-acp	unto	unto	0
above	above	p-acp	above	above	0
Six	Six	crd	Six	six	0
Hundred	Hundred	crd	Hundred	hundred	0
Thousand	Thousand	crd	Thousand	thousand	0
Pounds	Pounds	n2	Pounds	pound	0
per	per	fw-la	per	per	0
an	an	cs	and	an	0
.	.	.	.	.	0
besides	besides	p-acp	beside	beside	0
all	all	d	all	all	0
Free	Free	j	Free	free	0
gifts	gifts	n2	gifts	gift	0
,	,	,	,	,	0
Almes	Almes	n2	Alms	alm	0
houses	houses	n2	houses	house	0
,	,	,	,	,	0
and	and	cc	and	and	0
other	other	j-jn	other	other	0
Benevolencies	Benevolencies	n2	Benevolencies	benevolency	0
given	given	vvn	given	give	0
towards	towards	p-acp	towards	towards	0
their	their	po32	their	their	0
maintainance	maintainance	n1	maintenance	maintenance	0
;	;	;	;	;	0
which	which	r-crq	which	which	0
sum	sum	n1	sum	sum	0
being	being	vbg	being	be	0
levied	levied	vvn	levied	levy	0
at	at	p-acp	at	at	0
one	one	crd	one	one	0
entire	entire	j	entire	entire	0
Sessement	Sessement	n1	Sessement	sessement	0
,	,	,	,	,	0
together	together	av	together	together	0
with	with	p-acp	with	with	0
their	their	po32	their	their	0
other	other	j-jn	other	other	0
Free	Free	j	Free	free	0
