Most	Most	av-ds	Most	most	0
humbly	humbly	av-j	humbly	humble	0
shewing	shewing	vvg	showing	show	0
,	,	,	,	,	0
THat	THat	cst	THat	that	0
the	the	dt	the	the	0
most	most	av-ds	most	most	0
Wise	Wise	j	Wise	wise	0
God	God	np1	God	God	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
hath	hath	vhz	hath	have	0
made	made	vvn	made	make	0
all	all	d	all	all	0
things	things	n2	things	thing	0
for	for	p-acp	for	for	0
his	his	po31	his	his	0
Rev.	Rev.	n1	Rev.	rev.	1
4.	4.	crd	4.	4.	0
11.	11.	crd	11.	11.	1
Pleasure	Pleasure	n1	Pleasure	pleasure	0
,	,	,	,	,	0
hath	hath	vhz	hath	have	0
ordained	ordained	vvn	ordained	ordain	0
in	in	p-acp	in	in	0
every	every	d	every	every	0
Nation	Nation	n1	Nation	nation	0
but	but	p-acp	but	but	0
two	two	crd	two	two	0
States	States	n2	States	state	0
,	,	,	,	,	0
Pillers	Pillers	n2	Pillars	pillar	0
,	,	,	,	,	0
or	or	cc	or	or	0
Legs	Legs	n2	Legs	leg	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
stand	stand	vvi	stand	stand	0
upon	upon	p-acp	upon	upon	0
;	;	;	;	;	0
the	the	dt	the	the	0
one	one	crd	one	one	0
Civil	Civil	j	Civil	civil	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
other	other	n-jn	other	other	0
Spiritual	Spiritual	j	Spiritual	spiritual	0
.	.	.	.	.	1
The	The	dt	The	the	0
Civil	Civil	j	Civil	civil	0
State	State	n1	State	state	0
is	is	vbz	is	be	0
God's	God's	npg1	God's	God	0
Ordinance	Ordinance	n1	Ordinance	ordinance	0
of	of	pp-f	of	of	0
Magistra	Magistra	np1	Magistra	Magistra	0
∣	∣	sy	∣	∣	0
tical	tical	j	tical	tical	0
Government	Government	n1	Government	government	0
,	,	,	,	,	0
under	under	p-acp	under	under	0
divers	divers	j	diverse	diverse	0
Titles	Titles	n2	Titles	title	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
Kings	Kings	n2	Kings	king	0
,	,	,	,	,	0
or	or	cc	or	or	0
other	other	n-jn	other	other	0
Chief	Chief	j-jn	Chief	chief	0
Gover	Gover	np1	Gover	Gover	0
∣	∣	sy	∣	∣	0
nours	nours	ng1	nours	nours	0
,	,	,	,	,	0
unto	unto	p-acp	unto	unto	0
whom	whom	ro-crq	whom	who	0
an	an	dt	and	a	0
