ALl	ALl	av-d	ALl	all	0
people	people	n1	people	people	0
every	every	d	every	every	0
where	where	q-crq	where	where	0
,	,	,	,	,	0
take	take	vvb	take	take	0
head	head	n1	head	head	0
of	of	pp-f	of	of	0
going	going	vvg	going	go	0
to	to	p-acp	to	to	0
wizards	wizards	n2	wizards	wizard	0
for	for	p-acp	for	for	0
Counsell	Counsell	n1	Counsel	counsel	0
,	,	,	,	,	0
now	now	av	now	now	0
that	that	cst	that	that	0
you	you	pn22	you	you	0
are	are	vbr	are	be	0
forewarned	forewarned	vvn	forewarned	forewarn	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
mystery	mystery	n1	mystery	mystery	0
of	of	pp-f	of	of	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
to	to	p-acp	to	to	0
you	you	pn22	you	you	0
in	in	p-acp	in	in	0
brief	brief	j	brief	brief	0
laid	laid	vvn	laid	lay	0
open	open	j	open	open	0
and	and	cc	and	and	0
discovered	discovered	vvn	discovered	discover	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
you	you	pn22	you	you	0
may	may	vmb	may	may	0
read	read	vvi	read	read	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
ensuing	ensuing	j-vvg	ensuing	ensue	0
treatise	treatise	n1	treatise	treatise	0
:	:	:	:	:	0
And	And	cc	And	and	0
all	all	d	all	all	0
you	you	pn22	you	you	0
that	that	cst	that	that	0
have	have	vhb	have	have	0
gone	gone	vvn	gone	go	0
to	to	p-acp	to	to	0
any	any	d	any	any	0
wizards	wizards	n2	wizards	wizard	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
your	your	po22	your	your	0
life	life	n1	life	life	0
time	time	n1	time	time	0
past	past	j	past	past	0
,	,	,	,	,	0
go	go	vvb	go	go	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
market	market	n1	market	market	0
Crosses	Crosses	vvz	Crosses	cross	0
,	,	,	,	,	0
and	and	cc	and	and	0
declare	declare	vvi	declare	declare	0
there	there	a-acp	there	there	0
openly	openly	av-j	openly	open	0
