To	To	p-acp	To	to	0
the	the	dt	the	the	0
right	right	n-jn	right	right	0
vertuous	vertuous	j	virtuous	virtuous	0
,	,	,	,	,	0
the	the	dt	the	the	0
Ladie	Ladie	n1	Lady	lady	0
Marie	Marie	vvi	marry	marry	0
Cholmsly	Cholmsly	av-j	Cholmsly	cholms	0
,	,	,	,	,	0
&	&	cc	&	and	0
the	the	dt	the	the	0
right	right	n-jn	right	right	0
worshipfull	worshipfull	j	worshipful	worshipful	0
these	these	d	these	these	0
Knights	Knights	n2	Knights	knight	0
;	;	;	;	;	0
Sir	Sir	n1	Sir	sir	0
Tho	Tho	av	Though	tho	0
:	:	:	:	:	0
Houlcroft	Houlcroft	np1	Houlcroft	Houlcroft	0
,	,	,	,	,	0
Sir	Sir	n1	Sir	sir	0
Iohn	Iohn	np1	Iohn	John	0
Sauadge	Sauadge	j-jn	Savage	savage	0
of	of	pp-f	of	of	0
Egerton	Egerton	np1	Egerton	Egerton	0
,	,	,	,	,	0
Sir	Sir	n1	Sir	sir	0
Iohn	Iohn	np1	Iohn	John	0
Egerton	Egerton	np1	Egerton	Egerton	0
,	,	,	,	,	0
Sir	Sir	n1	Sir	sir	0
Peter	Peter	np1	Peter	Peter	0
VVarborton	VVarborton	np1	VVarborton	VVarborton	0
,	,	,	,	,	0
Sir	Sir	n1	Sir	sir	0
Rowland	Rowland	np1	Rowland	Rowland	0
Stanly	Stanly	np1	Stanly	Stanley	0
,	,	,	,	,	0
Sir	Sir	n1	Sir	sir	0
Vrian	Vrian	np1	Vrian	Vrian	0
Leigh	Leigh	np1	Leigh	Leigh	0
,	,	,	,	,	0
Sir	Sir	n1	Sir	sir	0
Tho	Tho	av	Though	tho	0
:	:	:	:	:	0
Aston	Aston	np1	Aston	Aston	0
,	,	,	,	,	0
Sir	Sir	n1	Sir	sir	0
Thomas	Thomas	np1	Thomas	Thomas	0
Smith	Smith	n1	Smith	smith	0
,	,	,	,	,	0
Sir	Sir	n1	Sir	sir	0
Tho	Tho	av	Though	tho	0
:	:	:	:	:	0
Sauadge	Sauadge	j-jn	Savage	savage	0
,	,	,	,	,	0
Sir	Sir	n1	Sir	sir	0
George	George	np1	George	George	0
Leister	Leister	np1	Leister	Leicester	0
,	,	,	,	,	0
Sir	Sir	n1	Sir	sir	0
VVilliam	VVilliam	np1	VVilliam	William	0
Damport	Damport	np1	Damport	Damport	0
,	,	,	,	,	0
Sir	Sir	n1	Sir	sir	0
Tho	Tho	av	Though	tho	0
:	:	:	:	:	0
Stanly	Stanly	np1	Stanly	Stanley	0
,	,	,	,	,	0
Sir	Sir	n1	Sir	sir	0
George	George	np1	George	George	0
Booth	Booth	n1	Booth	booth	0
,	,	,	,	,	0
Sir	Sir	n1	Sir	sir	0
Henry	Henry	np1	Henry	Henry	0
Bunberry	Bunberry	np1	Bunberry	Bunberry	0
,	,	,	,	,	0
Sir	Sir	n1	Sir	sir	0
Hukin	Hukin	np1	Hukin	Hukin	0
Beeston	Beeston	np1	Beeston	Beeston	0
,	,	,	,	,	0
Sir	Sir	n1	Sir	sir	0
Richard	Richard	np1	Richard	Richard	0
Wilbrome	Wilbrome	np1	Wilbrome	Wilbrome	0
,	,	,	,	,	0
Sir	Sir	n1	Sir	sir	0
Richard	Richard	np1	Richard	Richard	0
Brooke	Brooke	vvi	Brook	brook	0
,	,	,	,	,	0
Sir	Sir	n1	Sir	sir	0
Richard	Richard	np1	Richard	Richard	0
Egerton	Egerton	np1	Egerton	Egerton	0
,	,	,	,	,	0
Ma.	Ma.	n1	Ma.	master	0
Peter	Peter	np1	Peter	Peter	0
Warborton	Warborton	np1	Warborton	Warborton	0
Esquire	Esquire	n1	Esquire	esquire	0
,	,	,	,	,	0
Ma.	Ma.	n1	Ma.	master	0
Thomas	Thomas	np1	Thomas	Thomas	0
Wilbrom	Wilbrom	np1	Wilbrom	Wilbrom	0
Esquire	Esquire	n1	Esquire	esquire	0
,	,	,	,	,	0
Ma.	Ma.	n1	Ma.	master	1
Thomas	Thomas	np1	Thomas	Thomas	0
Brooke	Brooke	n1	Brook	brook	0
Esquire	Esquire	n1	Esquire	esquire	0
,	,	,	,	,	0
Master	Master	n1	Master	master	0
Richard	Richard	np1	Richard	Richard	0
Granesnor	Granesnor	np1	Granesnor	Granesnor	0
Esquire	Esquire	n1	Esquire	esquire	0
,	,	,	,	,	0
Ma.	Ma.	n1	Ma.	master	0
Hugh	Hugh	np1	Hugh	Hugh	0
Calmelie	Calmelie	av-jn	Calmly	calm	0
Esquire	Esquire	n1	Esquire	esquire	0
,	,	,	,	,	0
Ma.	Ma.	n1	Ma.	master	0
Robert	Robert	np1	Robert	Robert	0
Cholmsly	Cholmsly	av-j	Cholmsly	cholms	0
,	,	,	,	,	0
E	E	sy	E	e	0
∣	∣	sy	∣	∣	0
squire	squire	n1	squire	squire	0
,	,	,	,	,	0
Ma.	Ma.	n1	Ma.	master	0
Ralfe	Ralfe	np1	Ralfe	Ralph	0
Egerton	Egerton	np1	Egerton	Egerton	0
of	of	pp-f	of	of	0
Ridly	Ridly	av-j	Ridly	rid	0
,	,	,	,	,	0
Esquire	Esquire	n1	Esquire	esquire	0
,	,	,	,	,	0
Ma	Ma	fw-fr	Ma	ma	0
:	:	:	:	:	0
Thomas	Thomas	np1	Thomas	Thomas	0
Marburie	Marburie	np1	Marburie	Marburie	0
E	E	sy	E	e	0
∣	∣	sy	∣	∣	0
squire	squire	n1	squire	squire	0
,	,	,	,	,	0
Ma.	Ma.	n1	Ma.	master	1
Richard	Richard	np1	Richard	Richard	0
Brerton	Brerton	np1	Brerton	Brerton	0
of	of	pp-f	of	of	0
Wetten-hall	Wetten-hall	n1	Wetten-hall	wetten-hall	0
,	,	,	,	,	0
Esquire	Esquire	n1	Esquire	esquire	0
,	,	,	,	,	0
and	and	cc	and	and	0
all	all	d	all	all	0
the	the	dt	the	the	0
rest	rest	n1	rest	rest	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
well	well	av	well	well	0
Knights	Knights	n2	Knights	knight	0
as	as	p-acp	as	as	0
Gentlemen	Gentlemen	n2	Gentlemen	gentleman	0
then	then	av	then	then	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
Assises	Assises	n2	Assizes	assize	0
present	present	j	present	present	0
,	,	,	,	,	0
the	the	dt	the	the	0
true	true	j	true	true	0
witnesses	witnesses	n2	witnesses	witness	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
following	following	j-vvg	following	follow	0
historie	historie	n1	history	history	0
:	:	:	:	:	0
your	your	po22	your	your	0
kind	kind	n1	kind	kind	0
poore	poore	j	poor	poor	0
Countryman	Countryman	n1	Countryman	countryman	0
Gilbert	Gilbert	np1	Gilbert	Gilbert	0
Dug	Dug	vvd	Dug	dig	0
∣	∣	sy	∣	∣	0
dale	dale	n1	dale	dale	0
,	,	,	,	,	0
engaged	engaged	vvn	engaged	engage	0
to	to	p-acp	to	to	0
you	you	pn22	you	you	0
all	all	d	all	all	0
in	in	p-acp	in	in	0
debt	debt	n1	debt	debt	0
and	and	cc	and	and	0
dutie	dutie	n1	duty	duty	0
,	,	,	,	,	0
committeth	committeth	vvz	committeth	commit	0
this	this	d	this	this	0
dicourse	dicourse	n1	discourse	discourse	0
with	with	p-acp	with	with	0
true	true	j	true	true	0
and	and	cc	and	and	0
due	due	j-jn	due	due	0
commends	commends	vvz	commends	commend	0
:	:	:	:	:	0
with	with	p-acp	with	with	0
continuall	continuall	j	continual	continual	0
prayers	prayers	n2	prayers	prayer	0
for	for	p-acp	for	for	0
your	your	po22	your	your	0
good	good	j	good	good	0
healths	healths	n2	healths	health	0
,	,	,	,	,	0
and	and	cc	and	and	0
succesfull	succesfull	j	successful	successful	0
fortunes	fortunes	n2	fortune's	fortune	0
.	.	.	.	.	1
