AFter	AFter	p-acp	AFter	after	0
I	I	pns11	I	i	0
had	had	vhd	had	have	0
discharged	discharged	vvn	discharged	discharge	0
the	the	dt	the	the	0
charge	charge	n1	charge	charge	0
laid	laid	vvd	laid	lay	0
vp	vp	a-acp	up	up	0
∣	∣	sy	∣	∣	0
on	on	p-acp	on	on	0
me	me	pno11	me	i	0
by	by	p-acp	by	by	0
your	your	po22	your	your	0
Ho	Ho	uh	Ho	ho	0
∣	∣	sy	∣	∣	0
nourable	nourable	j	nourable	nourable	0
and	and	cc	and	and	0
Wor	Wor	zz	Wor	wor	0
∣	∣	sy	∣	∣	0
shipfull	shipfull	j	shipfull	shipfull	0
Court	Court	n1	Court	court	0
;	;	;	;	;	0
and	and	cc	and	and	0
was	was	vbds	was	be	0
presently	presently	av-j	presently	present	0
after	after	a-acp	after	after	0
,	,	,	,	,	0
sollicited	sollicited	vvn	solicited	solicit	0
by	by	p-acp	by	by	0
some	some	d	some	some	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
Honourable	Honourable	j	Honourable	honourable	0
Societie	Societie	n1	Society	society	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
present	present	vvi	present	present	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
eye	eye	n1	eye	eye	0
,	,	,	,	,	0
what	what	r-crq	what	what	0
I	I	pns11	I	i	0
had	had	vhd	had	have	0
deliuered	deliuered	vvn	delivered	deliver	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
eare	eare	n1	ear	ear	0
.	.	.	.	.	1
Though	Though	cs	Though	though	0
at	at	p-acp	at	at	0
first	first	ord	first	first	0
,	,	,	,	,	0
I	I	pns11	I	i	0
was	was	vbds	was	be	0
indeed	indeed	av	indeed	indeed	0
very	very	j	very	very	0
vnwil	vnwil	n1	vnwil	vnwil	0
∣	∣	sy	∣	∣	0
ling	ling	n1	ling	ling	0
,	,	,	,	,	0
at	at	p-acp	at	at	0
their	their	po32	their	their	0
intreatie	intreatie	n1	intreaty	intreaty	0
:	:	:	:	:	0
yet	yet	av	yet	yet	0
,	,	,	,	,	0
being	being	vbg	being	be	0
com	com	vvb	come	come	0
∣	∣	sy	∣	∣	0
manded	manded	vvd	manded	mand	0
by	by	p-acp	by	by	0
your	your	po22	your	your	0
Honourable	Honourable	j	Honourable	honourable	0
Court	Court	n1	Court	court	0
to	to	pc-acp	to	to	0
publish	publish	vvi	publish	publish	0
what	what	r-crq	what	what	0
before	before	a-acp	before	before	0
you	you	pn22	you	you	0
had	had	vhd	had	have	0
intreated	intreated	vvn	entreated	entreat	0
mee	mee	pno11	me	i	0
to	to	pc-acp	to	to	0
Preach	Preach	vvi	Preach	preach	0
;	;	;	;	;	0
and	and	cc	and	and	0
weighing	weighing	vvg	weighing	weigh	0
well	well	av	well	well	0
with	with	p-acp	with	with	0
my	my	po11	my	my	0
selfe	selfe	n1	self	self	0
,	,	,	,	,	0
that	that	cst	that	that	0
words	words	n2	words	word	0
spoken	spoken	vvn	spoken	speak	0
,	,	,	,	,	0
are	are	vbr	are	be	0
soone	soone	av	soon	soon	0
come	come	vvn	come	come	0
,	,	,	,	,	0
soone	soone	av	soon	soon	0
gone	gone	vvn	gone	go	0
;	;	;	;	;	0
but	but	cc-acp	but	but	0
that	that	d	that	that	0
written	written	vvn	written	write	0
withall	withall	av	withal	withal	0
,	,	,	,	,	0
they	they	pns32	they	they	0
make	make	vvb	make	make	0
a	a	dt	a	a	0
deeper	deeper	jc-jn	deeper	deep	0
impreion	impreion	n1	impreion	impreion	0
:	:	:	:	:	0
for	for	c-acp	for	for	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
striking	striking	vvg	striking	strike	0
as	as	a-acp	as	as	0
well	well	av	well	well	0
the	the	dt	the	the	0
Eye	Eye	n1	Eye	eye	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Reader	Reader	n1	Reader	reader	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
the	the	dt	the	the	0
Eare	Eare	n1	Ear	ear	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Hearer	Hearer	n1	Hearer	hearer	0
,	,	,	,	,	0
they	they	pns32	they	they	0
peirce	peirce	vvb	pierce	pierce	0
his	his	po31	his	his	0
heart	heart	n1	heart	heart	0
the	the	dt	the	the	0
better	better	jc	better	better	0
,	,	,	,	,	0
and	and	cc	and	and	0
saue	saue	vvi	save	save	0
his	his	po31	his	his	0
soule	soule	n1	soul	soul	0
the	the	dt	the	the	0
sooner	sooner	av-c	sooner	soon	0
.	.	.	.	.	1
Hereupon	Hereupon	av	Hereupon	hereupon	0
,	,	,	,	,	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
might	might	vmd	might	may	0
testifie	testifie	vvi	testify	testify	0
how	how	c-crq	how	how	0
much	much	av-d	much	much	0
I	I	pns11	I	i	0
honour	honour	vvb	honour	honour	0
your	your	po22	your	your	0
lawful	lawful	j	lawful	lawful	0
Commandements	Commandements	n2	Commandments	commandment	0
;	;	;	;	;	0
and	and	cc	and	and	0
withall	withall	av	withal	withal	0
,	,	,	,	,	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
might	might	vmd	might	may	0
confirme	confirme	vvi	confirm	confirm	0
with	with	p-acp	with	with	0
my	my	po11	my	my	0
Pen	Pen	n1	Pen	pen	0
that	that	cst	that	that	0
grace	grace	n1	grace	grace	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
it	it	pn31	it	it	0
pleased	pleased	vvd	pleased	please	0
God	God	np1	God	God	0
to	to	pc-acp	to	to	0
worke	worke	vvi	work	work	0
by	by	p-acp	by	by	0
my	my	po11	my	my	0
Voyce	Voyce	n1	Voice	voice	0
;	;	;	;	;	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
now	now	av	now	now	0
yeelded	yeelded	vvn	yielded	yield	0
to	to	p-acp	to	to	0
all	all	d	all	all	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
Requests	Requests	n2	Requests	request	0
,	,	,	,	,	0
making	making	vvg	making	make	0
that	that	cst	that	that	0
common	common	j	common	common	0
to	to	p-acp	to	to	0
all	all	d	all	all	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
then	then	av	then	then	0
was	was	vbds	was	be	0
imparted	imparted	vvn	imparted	impart	0
but	but	p-acp	but	but	0
to	to	p-acp	to	to	0
some	some	d	some	some	0
:	:	:	:	:	0
onely	onely	av-j	only	only	0
in	in	p-acp	in	in	0
desire	desire	n1	desire	desire	0
some	some	d	some	some	0
way	way	n1	way	way	0
to	to	pc-acp	to	to	0
witnesse	witnesse	vvi	witness	witness	0
my	my	po11	my	my	0
dutifull	dutifull	j	dutiful	dutiful	0
respect	respect	n1	respect	respect	0
o	o	uh	oh	oh	0
your	your	po22	your	your	0
Honourable	Honourable	j	Honourable	honourable	0
Court	Court	n1	Court	court	0
,	,	,	,	,	0
and	and	cc	and	and	0
loue	loue	vvi	love	love	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
Noble	Noble	j	Noble	noble	0
Plantati	Plantati	n1	Plantati	plantati	0
∣	∣	sy	∣	∣	0
on	on	p-acp	on	on	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
,	,	,	,	,	0
seeing	seeing	vvg	seeing	see	0
many	many	d	many	many	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
Noble	Noble	j	Noble	noble	0
and	and	cc	and	and	0
worthy	worthy	j	worthy	worthy	0
Company	Company	n1	Company	company	0
haue	haue	vhb	have	have	0
spent	spent	vvn	spent	spend	0
a	a	dt	a	a	0
great	great	j	great	great	0
part	part	n1	part	part	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
painefully	painefully	av-j	painfully	painful	0
gained	gained	j-vvn	gained	gain	0
estates	estates	n2	estates	estate	0
vp	vp	p-acp	up	up	0
∣	∣	sy	∣	∣	0
on	on	p-acp	on	on	0
this	this	d	this	this	0
honourable	honourable	j	honourable	honourable	0
Action	Action	n1	Actium	action	0
;	;	;	;	;	0
and	and	cc	and	and	0
reioyce	reioyce	vvb	rejoice	rejoice	0
in	in	p-acp	in	in	0
nothing	nothing	pix	nothing	nothing	0
more	more	av-dc	more	more	0
then	then	cs	then	than	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
,	,	,	,	,	0
that	that	cst	that	that	0
God	God	np1	God	God	0
hath	hath	vhz	hath	have	0
giuen	giuen	vvn	given	give	0
them	them	pno32	them	they	0
a	a	dt	a	a	0
price	price	n1	price	price	0
in	in	p-acp	in	in	0
their	their	po32	their	their	0
hand	hand	n1	hand	hand	0
,	,	,	,	,	0
and	and	cc	and	and	0
a	a	dt	a	a	0
heart	heart	n1	heart	heart	0
to	to	pc-acp	to	to	0
vse	vse	vvi	use	use	0
it	it	pn31	it	it	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
furthering	furthering	j-vvg	furthering	further	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
glorious	glorious	j	glorious	glorious	0
Worke	Worke	n1	Work	work	0
;	;	;	;	;	0
How	How	q-crq	How	how	0
could	could	vmd	could	can	0
I	I	pns11	I	i	0
,	,	,	,	,	0
at	at	p-acp	at	at	0
so	so	av	so	so	0
ear	ear	c-acp	ear	ere	0
∣	∣	sy	∣	∣	0
nest	nest	n1	nest	nest	0
intreatie	intreatie	n1	intreaty	intreaty	0
,	,	,	,	,	0
refuse	refuse	vvb	refuse	refuse	0
to	to	pc-acp	to	to	0
adventure	adventure	vvi	adventure	adventure	0
this	this	d	this	this	0
Mite	Mite	n1	Mite	mite	0
of	of	pp-f	of	of	0
mine	mine	png11	mine	i	0
,	,	,	,	,	0
among	among	p-acp	among	among	0
so	so	av	so	so	0
many	many	d	many	many	0
worthie	worthie	j	worthy	worthy	0
Adventures	Adventures	n2	Adventures	adventure	0
of	of	pp-f	of	of	0
theirs	theirs	png32	theirs	they	0
?	?	?	?	?	1
How	How	q-crq	How	how	0
could	could	vmd	could	can	0
I	I	pns11	I	i	0
(	(	(	(	(	0
I	I	pns11	I	i	0
say	say	vvb	say	say	0
)	)	)	)	)	0
refuse	refuse	vvb	refuse	refuse	0
to	to	pc-acp	to	to	0
make	make	vvi	make	make	0
their	their	po32	their	their	0
publique	publique	j	public	public	0
Bountie	Bountie	n1	Bounty	bounty	0
,	,	,	,	,	0
and	and	cc	and	and	0
your	your	po22	your	your	0
publique	publique	j	public	public	0
Thankesgiuing	Thankesgiuing	n1	Thanksgiving	thanksgiving	0
,	,	,	,	,	0
yet	yet	av	yet	yet	0
more	more	av-dc	more	more	0
publique	publique	j	public	public	0
?	?	?	?	?	1
If	If	cs	If	if	0
your	your	po22	your	your	0
Honours	Honours	ng1	Honours	honour	0
will	will	vmb	will	will	0
be	be	vbi	be	be	0
pleased	pleased	vvn	pleased	please	0
to	to	pc-acp	to	to	0
take	take	vvi	take	take	0
in	in	p-acp	in	in	0
good	good	j	good	good	0
part	part	n1	part	part	0
what	what	r-crq	what	what	0
now	now	av	now	now	0
I	I	pns11	I	i	0
impart	impart	vvb	impart	impart	0
;	;	;	;	;	0
it	it	pn31	it	it	0
may	may	vmb	may	may	0
proue	proue	vvi	prove	prove	0
a	a	dt	a	a	0
spurre	spurre	n1	spur	spur	0
vnto	vnto	p-acp	unto	unto	0
me	me	pno11	me	i	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
vndertake	vndertake	vvi	undertake	undertake	0
some	some	d	some	some	0
beter	beter	av-jc	beter	better	0
piece	piece	n1	piece	piece	0
of	of	pp-f	of	of	0
seruice	seruice	n1	service	service	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
good	good	j	good	good	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
noble	noble	j	noble	noble	0
Plantation	Plantation	n1	Plantation	plantation	0
;	;	;	;	;	0
at	at	p-acp	at	at	0
least	least	ds	least	least	0
,	,	,	,	,	0
if	if	cs	if	if	0
it	it	pn31	it	it	0
lie	lie	vvb	lie	lie	0
in	in	p-acp	in	in	0
my	my	po11	my	my	0
poore	poore	j	poor	poor	0
power	power	n1	power	power	0
to	to	pc-acp	to	to	0
bring	bring	vvi	bring	bring	0
it	it	pn31	it	it	0
to	to	pc-acp	to	to	0
passe	passe	vvi	pass	pass	0
.	.	.	.	.	1
Thus	Thus	av	Thus	thus	0
intreating	intreating	vvg	entreating	entreat	0
your	your	po22	your	your	0
Honours	Honours	ng1	Honours	honour	0
fauoura	fauoura	fw-la	fauoura	fauoura	0
∣	∣	sy	∣	∣	0
ble	ble	zz	ble	ble	0
acceptance	acceptance	n1	acceptance	acceptance	0
,	,	,	,	,	0
I	I	pns11	I	i	0
rest	rest	vvb	rest	rest	0
London	London	np1	London	London	0
this	this	d	this	this	0
22	22	crd	22	22	0
of	of	pp-f	of	of	0
May	May	np1	May	May	0
.	.	.	.	.	1
1622.	1622.	crd	1622.	1622.	1
