To	To	p-acp	To	to	0
the	the	dt	the	the	0
Right	Right	n-jn	Right	right	0
Honourable	Honourable	j	Honourable	honourable	0
Charles	Charles	np1	Charles	Charles	0
Boyle	Boyle	vvi	Boil	boil	0
,	,	,	,	,	0
Baron	Baron	n1	Baron	baron	0
Clifford	Clifford	np1	Clifford	Clifford	0
of	of	pp-f	of	of	0
Lans	Lans	np1	Lans	Lans	0
∣	∣	sy	∣	∣	0
brow	brow	n1	brow	brow	0
,	,	,	,	,	0
and	and	cc	and	and	0
Earl	Earl	n1	Earl	earl	0
of	of	pp-f	of	of	0
Burlington	Burlington	np1	Burlington	Burlington	0
,	,	,	,	,	0
Baron	Baron	n1	Baron	baron	0
of	of	pp-f	of	of	0
Youghall	Youghall	np1	Youghall	Youghall	0
,	,	,	,	,	0
and	and	cc	and	and	0
Bandon	Bandon	np1	Bandon	Bandon	0
,	,	,	,	,	0
Viscount	Viscount	np1	Viscount	Viscount	0
Kynalmeaky	Kynalmeaky	np1	Kynalmeaky	Kynalmeaky	0
and	and	cc	and	and	0
Dongarvan	Dongarvan	np1	Dongarvan	Dongarvan	0
,	,	,	,	,	0
and	and	cc	and	and	0
Earl	Earl	n1	Earl	earl	0
of	of	pp-f	of	of	0
Cork	Cork	n1	Cork	cork	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Kingdom	Kingdom	n1	Kingdom	kingdom	0
of	of	pp-f	of	of	0
Ireland	Ireland	np1	Ireland	Ireland	0
;	;	;	;	;	0
Chief	Chief	j-jn	Chief	chief	0
Governour	Governour	n1	Governor	governor	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
County	County	n1	County	county	0
of	of	pp-f	of	of	0
Cork	Cork	n1	Cork	cork	0
,	,	,	,	,	0
and	and	cc	and	and	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
City	City	n1	City	city	0
and	and	cc	and	and	0
County	County	n1	County	county	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
City	City	n1	City	city	0
of	of	pp-f	of	of	0
Cork	Cork	n1	Cork	cork	0
,	,	,	,	,	0
Lord	Lord	n1	Lord	lord	0
High	High	j	High	high	0
Treasu	Treasu	np1	Treasu	Treasu	0
∣	∣	sy	∣	∣	0
rer	rer	n1	rer	rer	0
of	of	pp-f	of	of	0
Ireland	Ireland	np1	Ireland	Ireland	0
;	;	;	;	;	0
Lord	Lord	n1	Lord	lord	0
High	High	j	High	high	0
Steward	Steward	n1	Steward	steward	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Royalty	Royalty	n1	Royalty	royalty	0
of	of	pp-f	of	of	0
Knaesbrough	Knaesbrough	np1	Knaesbrough	Knaesbrough	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
County	County	n1	County	county	0
of	of	pp-f	of	of	0
York	York	np1	York	York	0
,	,	,	,	,	0
and	and	cc	and	and	0
one	one	crd	one	one	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Gentle	Gentle	j	Gentle	gentle	0
∣	∣	sy	∣	∣	0
men	men	n1	men	man	0
of	of	pp-f	of	of	0
His	His	po31	His	his	0
Majesty's	Majesty's	ng1	Majesty's	majesty	0
Bed-Chamber	Bed-Chamber	n1	Bed-Chamber	bedchamber	0
.	.	.	.	.	1
