LORDS	LORDS	ng1	LORDS	lord	0
.	.	.	.	.	1
KNIGHTS	KNIGHTS	np1	KNIGHTS	Knights	0
.	.	.	.	.	1
BVRGESSES	BVRGESSES	n2	BVRGESSES	bvrgess	0
.	.	.	.	.	1
YOu	YOu	pn22	YOu	you	0
haue	haue	vhb	have	have	0
here	here	av	here	here	0
(	(	(	(	(	0
in	in	p-acp	in	in	0
all	all	d	all	all	0
hu	hu	uh	hu	hu	0
∣	∣	sy	∣	∣	0
militie	militie	n1	militie	militie	0
)	)	)	)	)	0
presented	presented	vvd	presented	present	0
to	to	p-acp	to	to	0
you	you	pn22	you	you	0
,	,	,	,	,	0
the	the	dt	the	the	0
sighes	sighes	n2	sighs	sigh	0
&	&	cc	&	and	0
teares	teares	n2	tears	tear	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
sister	sister	n1	sister	sister	0
Church	Church	n1	Church	church	0
of	of	pp-f	of	of	0
France	France	np1	France	France	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
is	is	vbz	is	be	0
at	at	p-acp	at	at	0
this	this	d	this	this	0
present	present	n1	present	present	0
miserably	miserably	av-j	miserably	miserable	0
perse	perse	vvi	pierce	pierce	0
∣	∣	sy	∣	∣	0
cuted	cuted	vvb	cut	cut	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
bloodie	bloodie	j	bloody	bloody	0
power	power	n1	power	power	0
and	and	cc	and	and	0
Malice	Malice	n1	Malice	malice	0
of	of	pp-f	of	of	0
Antichrist	Antichrist	np1	Antichrist	Antichrist	0
and	and	cc	and	and	0
his	his	po31	his	his	0
ad	ad	fw-la	ad	ad	0
∣	∣	sy	∣	∣	0
herents	herents	n2	herents	herent	0
;	;	;	;	;	0
as	as	c-acp	as	as	0
also	also	av	also	also	0
the	the	dt	the	the	0
na	na	fw-mi	na	na	0
∣	∣	sy	∣	∣	0
ked	ked	j	ked	ked	0
grounds	grounds	n1	grounds	grounds	0
and	and	cc	and	and	0
mo	mo	dc	more	more	0
∣	∣	sy	∣	∣	0
tiues	tiues	zz	tiues	tiues	0
,	,	,	,	,	0
why	why	c-crq	why	why	0
shee	shee	pns31	she	she	0
ioynes	ioynes	vvz	joins	join	0
her	her	po31	her	her	0
Armes	Armes	n2	Arms	arm	0
with	with	p-acp	with	with	0
those	those	d	those	those	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
Soueraigne	Soueraigne	n-jn	Sovereign	sovereign	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
her	her	po31	her	her	0
lawfull	lawfull	j	lawful	lawful	0
Defence	Defence	n1	Defence	defence	0
and	and	cc	and	and	0
preseruation	preseruation	n1	preservation	preservation	0
;	;	;	;	;	0
For	For	c-acp	For	for	0
although	although	cs	although	although	0
Rebellon	Rebellon	n1	Rebellion	rebellion	0
be	be	vbb	be	be	0
the	the	dt	the	the	0
false	false	j	false	false	0
pretect	pretect	vvi	pretect	pretect	0
,	,	,	,	,	0
yet	yet	av	yet	yet	0
Religi	Religi	fw-la	Religi	religi	0
∣	∣	sy	∣	∣	0
on	on	a-acp	on	on	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
true	true	j	true	true	0
cause	cause	n1	cause	cause	0
why	why	c-crq	why	why	0
the	the	dt	the	the	0
Pope	Pope	n1	Pope	pope	0
by	by	p-acp	by	by	0
his	his	po31	his	his	0
Champion	Champion	n1	Champion	champion	0
the	the	dt	the	the	0
French	French	jp	French	french	0
King	King	n1	King	king	0
,	,	,	,	,	0
now	now	av	now	now	0
seekes	seekes	vvz	seeks	seek	0
her	her	po31	her	her	0
finall	finall	j	final	final	0
raine	raine	n1	rain	rain	0
and	and	cc	and	and	0
exter	exter	j	exter	ext	0
∣	∣	sy	∣	∣	0
mination	mination	n1	mination	mination	0
.	.	.	.	.	1
