Beloved	Beloved	j-vvn	Beloved	belove	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
,	,	,	,	,	0
HEre	HEre	av	HEre	here	0
is	is	vbz	is	be	0
a	a	dt	a	a	0
Treatise	Treatise	n1	Treatise	treatise	0
presented	presented	vvd	presented	present	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
view	view	n1	view	view	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
stands	stands	vvz	stands	stand	0
in	in	p-acp	in	in	0
much	much	d	much	much	0
need	need	n1	need	need	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
favour	favour	n1	favour	favour	0
∣	∣	sy	∣	∣	0
able	able	j	able	able	0
consideration	consideration	n1	consideration	consideration	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
weakness	weakness	n1	weakness	weakness	0
,	,	,	,	,	0
and	and	cc	and	and	0
imperfection	imperfection	n1	imperfection	imperfection	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
writing	writing	n-vvg	writing	write	0
thereof	thereof	av	thereof	thereof	0
;	;	;	;	;	0
but	but	cc-acp	but	but	0
if	if	cs	if	if	0
you	you	pn22	you	you	0
can	can	vmb	can	can	0
over	over	a-acp	over	over	0
∣	∣	sy	∣	∣	0
look	look	vvb	look	look	0
them	them	pno32	them	they	0
,	,	,	,	,	0
the	the	dt	the	the	0
Truth	Truth	n1	Truth	truth	0
endeavored	endeavored	vvd	endeavoured	endeavour	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
held	held	vvn	held	hold	0
out	out	av	out	out	0
thereby	thereby	av	thereby	thereby	0
is	is	vbz	is	be	0
worth	worth	j	worth	worth	0
your	your	po22	your	your	0
studying	studying	vvg	studying	study	0
,	,	,	,	,	0
and	and	cc	and	and	0
en	en	fw-fr	en	en	0
∣	∣	sy	∣	∣	0
quiring	quiring	vvg	choiring	choir	0
after	after	p-acp	after	after	0
;	;	;	;	;	0
It	It	pn31	It	it	0
is	is	vbz	is	be	0
a	a	dt	a	a	0
Truth	Truth	n1	Truth	truth	0
that	that	cst	that	that	0
hath	hath	vhz	hath	have	0
many	many	d	many	many	0
Hangers-on	Hangers-on	j	Hangers-on	hangers-on	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
few	few	d	few	few	0
faithful	faithful	j	faithful	faithful	0
Servants	Servants	n2	Servants	servant	0
;	;	;	;	;	0
many	many	d	many	many	0
Gospel	Gospel	n1	Gospel	gospel	0
Merchants	Merchants	n2	Merchant's	merchant	0
have	have	vhb	have	have	0
been	been	vbn	been	be	0
trading	trading	vvg	trading	trade	0
for	for	p-acp	for	for	0
this	this	d	this	this	0
goodly	goodly	j	goodly	goodly	0
Pearl	Pearl	n1	Pearl	pearl	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
few	few	d	few	few	0
have	have	vhb	have	have	0
been	been	vbn	been	be	0
willing	willing	j	willing	willing	0
to	to	pc-acp	to	to	0
go	go	vvi	go	go	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
price	price	n1	price	price	0
of	of	pp-f	of	of	0
it	it	pn31	it	it	0
;	;	;	;	;	0
they	they	pns32	they	they	0
have	have	vhb	have	have	0
had	had	vhn	had	have	0
Peace	Peace	n1	Peace	peace	0
in	in	p-acp	in	in	0
their	their	po32	their	their	0
mouthes	mouthes	n2	mouths	mouth	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
War	War	n1	War	war	0
in	in	p-acp	in	in	0
their	their	po32	their	their	0
hearts	hearts	n2	hearts	heart	0
,	,	,	,	,	0
like	like	av-j	like	like	0
those	those	d	those	those	0
Micah	Micah	np1	Micah	Micah	0
speaks	speaks	vvz	speaks	speak	0
of	of	pp-f	of	of	0
chap	chap	n1	chap	chap	0
3.5	3.5	crd	3.5	3.5	0
.	.	.	.	.	1
They	They	pns32	They	they	0
bite	bite	vvb	bite	bite	0
with	with	p-acp	with	with	0
their	their	po32	their	their	0
teeth	teeth	n2	teeth	tooth	0
,	,	,	,	,	0
and	and	cc	and	and	0
cry	cry	vvb	cry	cry	0
peace	peace	n1	peace	peace	0
;	;	;	;	;	0
but	but	cc-acp	but	but	0
if	if	cs	if	if	0
thou	thou	pns21	thou	thou	0
wouldest	wouldest	vmd2	wouldst	will	0
obtain	obtain	vvi	obtain	obtain	0
the	the	dt	the	the	0
precious	precious	j	precious	precious	0
u	u	sy	u	u	0
∣	∣	sy	∣	∣	0
nity	nity	n1	nity	nity	0
of	of	pp-f	of	of	0
Saints	Saints	n2	Saints	saint	0
,	,	,	,	,	0
thou	thou	pns21	thou	thou	0
must	must	vmb	must	must	0
not	not	xx	not	not	0
onely	onely	av-j	only	only	0
seek	seek	vvi	seek	seek	0
peace	peace	n1	peace	peace	0
but	but	cc-acp	but	but	0
pursue	pursue	vvb	pursue	pursue	0
it	it	pn31	it	it	0
,	,	,	,	,	0
Psal.	Psal.	np1	Psal.	Psal.	1
34.14	34.14	crd	34.14	34.14	0
.	.	.	.	.	0
not	not	xx	not	not	0
stand	stand	vvb	stand	stand	0
still	still	av	still	still	0
,	,	,	,	,	0
and	and	cc	and	and	0
call	call	vvb	call	call	0
it	it	pn31	it	it	0
to	to	p-acp	to	to	0
thee	thee	pno21	thee	thou	0
;	;	;	;	;	0
but	but	cc-acp	but	but	0
follow	follow	vvb	follow	follow	0
after	after	p-acp	after	after	0
the	the	dt	the	the	0
things	things	n2	things	thing	0
that	that	cst	that	that	0
make	make	vvb	make	make	0
for	for	p-acp	for	for	0
peace	peace	n1	peace	peace	0
,	,	,	,	,	0
Rom.	Rom.	np1	Rom.	Rom.	1
14.19	14.19	crd	14.19	14.19	0
.	.	.	.	.	1
If	If	cs	If	if	0
the	the	dt	the	the	0
peace	peace	n1	peace	peace	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
once	once	a-acp	once	once	0
rule	rule	vvi	rule	rule	0
in	in	p-acp	in	in	0
thy	thy	po21	thy	thy	0
heart	heart	n1	heart	heart	0
,	,	,	,	,	0
it	it	pn31	it	it	0
will	will	vmb	will	will	0
guide	guide	vvi	guide	guide	0
thy	thy	po21	thy	thy	0
feet	feet	n2	feet	foot	0
into	into	p-acp	into	into	0
this	this	d	this	this	0
way	way	n1	way	way	0
of	of	pp-f	of	of	0
