Gentlemen	Gentlemen	np1	Gentlemen	Gentlemen	0
,	,	,	,	,	0
YOU	YOU	pn22	YOU	you	0
have	have	vhb	have	have	0
desired	desired	vvn	desired	desire	0
me	me	pno11	me	i	0
to	to	pc-acp	to	to	0
Print	Print	vvi	Print	print	0
my	my	po11	my	my	0
Sermon	Sermon	n1	Sermon	sermon	0
,	,	,	,	,	0
and	and	cc	and	and	0
I	I	pns11	I	i	0
desire	desire	vvb	desire	desire	0
you	you	pn22	you	you	0
to	to	pc-acp	to	to	0
Practise	Practise	vvi	Practise	practise	0
it	it	pn31	it	it	0
;	;	;	;	;	0
because	because	c-acp	because	because	0
,	,	,	,	,	0
'tis	'tis	pn31|vbz	it's	it|be	0
never	never	av	never	never	0
so	so	av	so	so	0
well	well	av	well	well	0
printed	printed	vvn	printed	print	0
as	as	a-acp	as	as	0
when	when	c-crq	when	when	0
'tis	'tis	pn31|vbz	it's	it|be	0
pra	pra	fw-it	pra	pra	0
∣	∣	sy	∣	∣	0
ctised	ctised	j-vvn-u	ctised	ctise	0
:	:	:	:	:	0
And	And	cc	And	and	0
give	give	vvb	give	give	0
me	me	pno11	me	i	0
leave	leave	n1	leave	leave	0
to	to	pc-acp	to	to	0
tell	tell	vvi	tell	tell	0
you	you	pn22	you	you	0
,	,	,	,	,	0
that	that	cst	that	that	0
if	if	cs	if	if	0
I	I	pns11	I	i	0
could	could	vmd	could	can	0
order	order	vvi	order	order	0
you	you	pn22	you	you	0
so	so	av	so	so	0
well	well	av	well	well	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
you	you	pn22	you	you	0
can	can	vmb	can	can	0
or	or	cc	or	or	0
∣	∣	sy	∣	∣	0
der	der	zf	der	there	0
me	me	pno11	me	i	0
,	,	,	,	,	0
you	you	pn22	you	you	0
should	should	vmd	should	shall	0
practise	practise	vvi	practise	practise	0
it	it	pn31	it	it	0
as	as	a-acp	as	as	0
well	well	av	well	well	0
as	as	c-acp	as	as	0
I	I	pns11	I	i	0
print	print	vvi	print	print	0
it	it	pn31	it	it	0
