HAveing	HAveing	np1	HAveing	HAveing	0
long	long	av-j	long	long	0
desired	desired	vvd	desired	desire	0
to	to	pc-acp	to	to	0
publish	publish	vvi	publish	publish	0
our	our	po12	our	our	0
Faith	Faith	n1	Faith	faith	0
vnto	vnto	p-acp	unto	unto	0
this	this	d	this	this	0
nation	nation	n1	nation	nation	0
and	and	cc	and	and	0
in	in	p-acp	in	in	0
perticuler	perticuler	j	particular	particular	0
vnto	vnto	p-acp	unto	unto	0
those	those	d	those	those	0
congregations	congregations	n2	congregations	congregation	0
wherof	wherof	c-crq	whereof	whereof	0
you	you	pn22	you	you	0
are	are	vbr	are	be	0
,	,	,	,	,	0
(	(	(	(	(	0
as	as	c-acp	as	as	0
wee	wee	pns12	we	we	0
have	have	vhb	have	have	0
formerly	formerly	av-j	formerly	former	0
done	done	vdn	done	do	0
to	to	pc-acp	to	to	0
our	our	po12	our	our	0
owne	owne	d	own	own	0
Na	Na	fw-mi	Na	na	0
∣	∣	sy	∣	∣	0
tion	tion	n1	cion	cion	0
)	)	)	)	)	0
:	:	:	:	:	0
and	and	cc	and	and	0
also	also	av	also	also	0
to	to	pc-acp	to	to	0
make	make	vvi	make	make	0
knowne	knowne	vvn	known	know	0
the	the	dt	the	the	0
thinges	thinges	n2	things	thing	0
wherein	wherein	c-crq	wherein	wherein	0
you	you	pn22	you	you	0
,	,	,	,	,	0
and	and	cc	and	and	0
wee	wee	pns12	we	we	0
differ	differ	vvb	differ	differ	0
,	,	,	,	,	0
and	and	cc	and	and	0
are	are	vbr	are	be	0
opposite	opposite	j-jn	opposite	opposite	0
.	.	.	.	.	1
VVee	VVee	pns12	We	we	0
have	have	vhb	have	have	0
now	now	av	now	now	0
through	through	p-acp	through	through	0
the	the	dt	the	the	0
mercie	mercie	n1	mercy	mercy	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
,	,	,	,	,	0
thus	thus	av	thus	thus	0
farr	farr	av-j	far	far	0
,	,	,	,	,	0
brought	brought	vvn	brought	bring	0
our	our	po12	our	our	0
desires	desires	n2	desires	desire	0
to	to	pc-acp	to	to	0
passe	passe	vvi	pass	pass	0
,	,	,	,	,	0
being	being	vbg	being	be	0
onely	onely	av-j	only	only	0
vnsatisfied	vnsatisfied	j-vvn	unsatisfied	unsatisfy	0
for	for	p-acp	for	for	0
our	our	po12	our	our	0
owne	owne	d	own	own	0
in	in	p-acp	in	in	0
∣	∣	sy	∣	∣	0
sufficiency	sufficiency	n1	sufficiency	sufficiency	0
that	that	cst	that	that	0
wee	wee	pns12	we	we	0
are	are	vbr	are	be	0
no	no	dx	no	no	0
better	better	jc	better	better	0
able	able	j	able	able	0
to	to	pc-acp	to	to	0
manifest	manifest	vvi	manifest	manifest	0
your	your	po22	your	your	0
errors	errors	n2	errors	error	0
unto	unto	p-acp	unto	unto	0
you	you	pn22	you	you	0
wee	wee	pns12	we	we	0
have	have	vhi	have	have	0
divers	divers	j	diverse	diverse	0
causes	causes	n2	causes	cause	0
from	from	p-acp	from	from	0
good	good	j	good	good	0
grounds	grounds	n2	grounds	ground	0
to	to	pc-acp	to	to	0
do	do	vdi	do	do	0
this	this	d	this	this	0
wee	wee	pns12	we	we	0
have	have	vhb	have	have	0
done	done	vdn	done	do	0
.	.	.	.	.	1
First	First	ord	First	first	0
because	because	c-acp	because	because	0
we	we	pns12	we	we	0
are	are	vbr	are	be	0
bound	bound	vvn	bound	bind	0
to	to	pc-acp	to	to	0
discover	discover	vvi	discover	discover	0
the	the	dt	the	the	0
misterie	misterie	n1	mystery	mystery	0
of	of	pp-f	of	of	0
iniquitie	iniquitie	n1	iniquity	iniquity	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
all	all	d	all	all	0
good	good	j	good	good	0
meanes	meanes	n2	means	mean	0
that	that	cst	that	that	0
wee	wee	pns12	we	we	0
can	can	vmb	can	can	0
and	and	cc	and	and	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
cupp	cupp	n1	cup	cup	0
that	that	cst	that	that	0
she	she	pns31	she	she	0
hath	hath	vhz	hath	have	0
fil	fil	vvi	fill	fill	0
∣	∣	sy	∣	∣	0
led	led	vvd	led	lead	0
to	to	p-acp	to	to	0
vs	vs	pno12	us	we	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
fill	fill	vvi	fill	fill	0
hir	hir	png31	his	he	0
the	the	dt	the	the	0
duble	duble	j-jn	double	double	0
.	.	.	.	.	1
Secondly	Secondly	ord	Secondly	second	0
that	that	cst	that	that	0
wee	wee	pns12	we	we	0
might	might	vmd	might	may	0
through	through	p-acp	through	through	0
the	the	dt	the	the	0
grace	grace	n1	grace	grace	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
(	(	(	(	(	0
if	if	cs	if	if	0
your	your	po22	your	your	0
willing	willing	j	willing	willing	0
minds	minds	n2	minds	mind	0
be	be	vbb	be	be	0
thereunto	thereunto	av	thereunto	thereunto	0
)	)	)	)	)	0
be	be	vbi	be	be	0
instrumentes	instrumentes	n2	instruments	instrument	0
of	of	pp-f	of	of	0
good	good	j	good	good	0
,	,	,	,	,	0
vnto	vnto	p-acp	unto	unto	0
you	you	pn22	you	you	0
herein	herein	av	herein	herein	0
&	&	cc	&	and	0
the	the	dt	the	the	0
rather	rather	av-c	rather	rather	0
,	,	,	,	,	0
because	because	c-acp	because	because	0
you	you	pn22	you	you	0
haue	haue	vhb	have	have	0
bene	bene	vbn	be	be	0
instrumēts	instrumēts	n2	instruments	instrument	0
of	of	pp-f	of	of	0
good	good	j	good	good	0
in	in	p-acp	in	in	0
discovering	discovering	vvg	discovering	discover	0
divers	divers	j	diverse	diverse	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
erors	erors	n2	erors	eror	0
unto	unto	p-acp	unto	unto	0
us	us	pno12	us	we	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
wee	wee	pns12	we	we	0
ac	ac	fw-la	ac	ac	0
∣	∣	sy	∣	∣	0
knowledg	knowledg	n1	knowledge	knowledge	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
praise	praise	n1	praise	praise	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
,	,	,	,	,	0
&	&	cc	&	and	0
with	with	p-acp	with	with	0
thāk	thāk	vvb	thank	thank	0
full	full	j	full	full	0
harts	harts	n2	hearts	heart	0
to	to	p-acp	to	to	0
you	you	pn22	you	you	0
.	.	.	.	.	1
Now	Now	av	Now	now	0
in	in	p-acp	in	in	0
that	that	cst	that	that	0
wee	wee	pns12	we	we	0
do	do	vdb	do	do	0
this	this	d	this	this	0
by	by	p-acp	by	by	0
way	way	n1	way	way	0
of	of	pp-f	of	of	0
opposition	opposition	n1	opposition	opposition	0
and	and	cc	and	and	0
reproofe	reproofe	n1	reproof	reproof	0
publiquely	publiquely	av-j	publicly	public	0
,	,	,	,	,	0
wch	wch	r-crq	which	which	0
you	you	pn22	you	you	0
did	did	vdd	did	do	0
by	by	p-acp	by	by	0
instruction	instruction	n1	instruction	instruction	0
priva	priva	fw-la	priva	priva	0
∣	∣	sy	∣	∣	0
tely	tely	av	tely	te	0
:	:	:	:	:	0
for	for	c-acp	for	for	0
our	our	po12	our	our	0
defence	defence	n1	defence	defence	0
herein	herein	av	herein	herein	0
,	,	,	,	,	0
wee	wee	pns12	we	we	0
answere	answere	vvb	answer	answer	0
:	:	:	:	:	0
you	you	pn22	you	you	0
came	came	vvd	came	come	0
publiquely	publiquely	av-j	publicly	public	0
amongst	amongst	p-acp	among	among	0
us	us	pno12	us	we	0
,	,	,	,	,	0
and	and	cc	and	and	0
advanced	advanced	vvd	advanced	advance	0
your	your	po22	your	your	0
error	error	n1	error	error	0
of	of	pp-f	of	of	0
Succession	Succession	n1	Succession	succession	0
and	and	cc	and	and	0
order	order	n1	order	order	0
,	,	,	,	,	0
From	From	p-acp	From	from	0
the	the	dt	the	the	0
proportion	proportion	n1	proportion	proportion	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
scriptures	scriptures	n2	scriptures	scripture	0
,	,	,	,	,	0
and	and	cc	and	and	0
have	have	vhb	have	have	0
destroyed	destroyed	vvn	destroyed	destroy	0
the	the	dt	the	the	0
faith	faith	n1	faith	faith	0
of	of	pp-f	of	of	0
manie	manie	d	many	many	0
ther	ther	po32	their	their	0
∣	∣	sy	∣	∣	0
bye	bye	n1	buy	bye	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
for	for	p-acp	for	for	0
sinister	sinister	j	sinister	sinister	0
respect	respect	n1	respect	respect	0
were	were	vbdr	were	be	0
willinge	willinge	j	willing	willing	0
to	to	pc-acp	to	to	0
followe	followe	vvi	follow	follow	0
you	you	pn22	you	you	0
:	:	:	:	:	0
wee	wee	pns12	we	we	0
have	have	vhb	have	have	0
dltt	dltt	vvn	dltt	dltt	0
divers	divers	j	diverse	diverse	0
times	times	n2	times	time	0
with	with	p-acp	with	with	0
divers	divers	j	diverse	diverse	0
of	of	pp-f	of	of	0
yoe	yoe	n1	yoe	yoe	0
privately	privately	av-j	privately	private	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
you	you	pn22	you	you	0
have	have	vhb	have	have	0
lightly	lightly	av-j	lightly	light	0
regarded	regarded	vvn	regarded	regard	0
our	our	po12	our	our	0
loveing	loveing	j-vvg	loving	love	0
