MAY	MAY	vmb	MAY	may	0
IT	IT	pn31	IT	it	0
PLEASE	PLEASE	vvb	PLEASE	please	0
YOUR	YOUR	po22	YOUR	your	0
GRACE	GRACE	n1	GRACE	grace	0
.	.	.	.	.	1
The	The	dt	The	the	0
noble	noble	j	noble	noble	0
Character	Character	n1	Character	character	0
which	which	r-crq	which	which	0
you	you	pn22	you	you	0
do	do	vdb	do	do	0
now	now	av	now	now	0
so	so	av	so	so	0
worthily	worthily	av-j	worthily	worthy	0
bear	bear	vvi	bear	bear	0
,	,	,	,	,	0
together	together	av	together	together	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
more	more	av-dc	more	more	0
last	last	vvi	last	last	0
∣	∣	sy	∣	∣	0
ing	ing	n1	king	king	0
and	and	cc	and	and	0
inward	inward	j	inward	inward	0
Characters	Characters	n2	Characters	character	0
of	of	pp-f	of	of	0
Your	Your	po22	Your	your	0
Princely	Princely	j	Princely	princely	0
mind	mind	n1	mind	mind	0
,	,	,	,	,	0
did	did	vdd	did	do	0
set	set	vvi	set	set	0
me	me	pno11	me	i	0
beyond	beyond	p-acp	beyond	beyond	0
doubting	doubting	vvg	doubting	doubt	0
to	to	p-acp	to	to	0
whom	whom	ro-crq	whom	who	0
this	this	d	this	this	0
Address	Address	n1	Address	address	0
was	was	vbds	was	be	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
made	made	vvn	made	make	0
:	:	:	:	:	0
For	For	c-acp	For	for	0
to	to	p-acp	to	to	0
whom	whom	ro-crq	whom	who	0
is	is	vbz	is	be	0
a	a	dt	a	a	0
vindication	vindication	n1	vindication	vindication	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Authority	Authority	n1	Authority	authority	0
and	and	cc	and	and	0
Laws	Laws	n2	Laws	law	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
Kingdom	Kingdom	n1	Kingdom	kingdom	0
so	so	av	so	so	0
due	due	j-jn	due	due	0
,	,	,	,	,	0
