THE	THE	dt	THE	the	0
common	common	j	common	common	0
danger	danger	n1	danger	danger	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
approaching	approaching	j-vvg	approaching	approach	0
and	and	cc	and	and	0
spreading	spreading	j-vvg	spreading	spread	0
Pestilence	Pestilence	n1	Pestilence	pestilence	0
,	,	,	,	,	0
(	(	(	(	(	0
which	which	r-crq	which	which	0
was	was	vbds	was	be	0
sufficient	sufficient	j	sufficient	sufficient	0
to	to	pc-acp	to	to	0
awaken	awaken	vvi	awaken	awaken	0
every	every	d	every	every	0
heart	heart	n1	heart	heart	0
)	)	)	)	)	0
made	made	vvd	made	make	0
some	some	d	some	some	0
impressions	impressions	n2	impressions	impression	0
upon	upon	p-acp	upon	upon	0
me	me	pno11	me	i	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
especially	especially	av-j	especially	especial	0
the	the	dt	the	the	0
number	number	n1	number	number	0
of	of	pp-f	of	of	0
youth	youth	n1	youth	youth	0
in	in	p-acp	in	in	0
my	my	po11	my	my	0
Family	Family	n1	Family	family	0
,	,	,	,	,	0
did	did	vdd	did	do	0
stir	stir	vvi	stir	stir	0
up	up	a-acp	up	up	0
a	a	dt	a	a	0
quicker	quicker	jc	quicker	quick	0
sence	sence	n1	sense	sense	0
both	both	d	both	both	0
of	of	pp-f	of	of	0
danger	danger	n1	danger	danger	0
and	and	cc	and	and	0
duty	duty	n1	duty	duty	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
discharge	discharge	vvi	discharge	discharge	0
the	the	dt	the	the	0
trust	trust	n1	trust	trust	0
reposed	reposed	vvd	reposed	repose	0
in	in	p-acp	in	in	0
me	me	pno11	me	i	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
caring	caring	vvg	caring	care	0
for	for	p-acp	for	for	0
their	their	po32	their	their	0
preservation	preservation	n1	preservation	preservation	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
mine	mine	po11	mine	my	0
own	own	d	own	own	0
.	.	.	.	.	1
