MAdam	MAdam	n1	MAdam	madam	0
,	,	,	,	,	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
reported	reported	vvn	reported	report	0
that	that	cst	that	that	0
Demonax	Demonax	np1	Demonax	Demonax	0
hauing	hauing	vhg	having	have	0
his	his	po31	his	his	0
head	head	n1	head	head	0
broken	broken	vvn	broken	break	0
with	with	p-acp	with	with	0
a	a	dt	a	a	0
stone	stone	n1	stone	stone	0
,	,	,	,	,	0
and	and	cc	and	and	0
being	being	vbg	being	be	0
aduised	aduised	vvn	advised	advise	0
to	to	pc-acp	to	to	0
cō	cō	vvi	con	con	0
∣	∣	sy	∣	∣	0
plaine	plaine	n1	plain	plain	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Proconsull	Proconsull	n1	Proconsul	proconsul	0
of	of	pp-f	of	of	0
that	that	d	that	that	0
iniurie	iniurie	n1	injury	injury	0
,	,	,	,	,	0
answered	answered	vvd	answered	answer	0
that	that	cst	that	that	0
hee	hee	pns31	he	he	0
had	had	vhd	had	have	0
more	more	dc	more	more	0
neede	neede	n1	need	need	0
goe	goe	vvi	go	go	0
to	to	p-acp	to	to	0
a	a	dt	a	a	0
surgeon	surgeon	n1	surgeon	surgeon	0
to	to	pc-acp	to	to	0
heale	heale	vvi	heal	heal	0
his	his	po31	his	his	0
head	head	n1	head	head	0
,	,	,	,	,	0
then	then	av	then	then	0
to	to	p-acp	to	to	0
a	a	dt	a	a	0
Magistrate	Magistrate	n1	Magistrate	magistrate	0
to	to	pc-acp	to	to	0
redresse	redresse	vvi	redress	redress	0
his	his	po31	his	his	0
wrong	wrong	n-jn	wrong	wrong	0
.	.	.	.	.	1
I	I	pns11	I	i	0
must	must	vmb	must	must	0
also	also	av	also	also	0
confesse	confesse	vvi	confess	confess	0
,	,	,	,	,	0
I	I	pns11	I	i	0
had	had	vhd	had	have	0
rather	rather	av-c	rather	rather	0
haue	haue	vhi	have	have	0
had	had	vhn	had	have	0
my	my	po11	my	my	0
head	head	n1	head	head	0
broken	broken	vvn	broken	break	0
,	,	,	,	,	0
then	then	cs	then	than	0
my	my	po11	my	my	0
sermon	sermon	n1	sermon	sermon	0
so	so	av	so	so	0
mangled	mangled	vvn	mangled	mangle	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
this	this	d	this	this	0
ser	ser	n1	sir	sir	0
∣	∣	sy	∣	∣	0
mon	mon	fw-fr	mon	mon	0
hath	hath	vhz	hath	have	0
been	been	vbn	been	be	0
twise	twise	av	twice	twice	0
printed	printed	vvn	printed	print	0
already	already	av	already	already	0
without	without	p-acp	without	without	0
my	my	po11	my	my	0
procurement	procurement	n1	procurement	procurement	0
or	or	cc	or	or	0
priuitie	priuitie	n1	privity	privity	0
any	any	d	any	any	0
manner	manner	n1	manner	manner	0
of	of	pp-f	of	of	0
way	way	n1	way	way	0
.	.	.	.	.	1
Yea	Yea	uh	Yea	yea	0
to	to	p-acp	to	to	0
my	my	po11	my	my	0
very	very	j	very	very	0
great	great	j	great	great	0
griefe	griefe	n1	grief	grief	0
and	and	cc	and	and	0
trouble	trouble	n1	trouble	trouble	0
.	.	.	.	.	1
Neuertheles	Neuertheles	av	Nevertheless	nevertheless	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
thought	thought	vvn	thought	think	0
good	good	j	good	good	0
to	to	pc-acp	to	to	0
complaine	complaine	vvi	complain	complain	0
of	of	pp-f	of	of	0
no	no	dx	no	no	0
man	man	n1	man	man	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
in	in	p-acp	in	in	0
whom	whom	ro-crq	whom	who	0
the	the	dt	the	the	0
fault	fault	n1	fault	fault	0
resteth	resteth	vvz	rests	rest	0
I	I	pns11	I	i	0
cannot	cannot	vmbx	cannot	can	0
learne	learne	vvi	learn	learn	0
certainely	certainely	av-j	certainly	certain	0
.	.	.	.	.	1
This	This	d	This	this	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
sure	sure	j	sure	sure	0
,	,	,	,	,	0
not	not	xx	not	not	0
any	any	d	any	any	0
whi	whi	q-crq	whi	why	0
in	in	p-acp	in	in	0
my	my	po11	my	my	0
selfe	selfe	n1	self	self	0
.	.	.	.	.	1
Clinius	Clinius	np1	Clinius	Clinius	0
a	a	dt	a	a	0
Historiographer	Historiographer	n1	Historiographer	historiographer	0
,	,	,	,	,	0
hauing	hauing	vhg	having	have	0
written	written	vvn	written	write	0
the	the	dt	the	the	0
story	story	n1	story	story	0
of	of	pp-f	of	of	0
Virginius	Virginius	np1	Virginius	Virginius	0
,	,	,	,	,	0
and	and	cc	and	and	0
meeting	meeting	vvg	meeting	meet	0
with	with	p-acp	with	with	0
him	him	pno31	him	he	0
vpon	vpon	p-acp	upon	upon	0
a	a	dt	a	a	0
time	time	n1	time	time	0
saide	saide	vvd	said	say	0
,	,	,	,	,	0
If	If	cs	If	if	0
you	you	pn22	you	you	0
find	find	vvb	find	find	0
any	any	d	any	any	0
thing	thing	n1	thing	thing	0
amisse	amisse	av	amiss	amiss	0
in	in	p-acp	in	in	0
your	your	po22	your	your	0
story	story	n1	story	story	0
,	,	,	,	,	0
I	I	pns11	I	i	0
pray	pray	vvb	pray	pray	0
you	you	pn22	you	you	0
pardon	pardon	vvb	pardon	pardon	0
it	it	pn31	it	it	0
.	.	.	.	.	1
To	To	p-acp	To	to	0
whom	whom	ro-crq	whom	who	0
Virginius	Virginius	np1	Virginius	Virginius	0
answered	answered	vvd	answered	answer	0
,	,	,	,	,	0
What	What	q-crq	What	what	0
Clinius	Clinius	np1	Clinius	Clinius	0
,	,	,	,	,	0
doest	doest	vd2	dost	do	0
thou	thou	pns21	thou	thou	0
not	not	xx	not	not	0
know	know	vvi	know	know	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
done	done	vdn	done	do	0
as	as	c-acp	as	as	0
I	I	pns11	I	i	0
did	did	vdd	did	do	0
,	,	,	,	,	0
that	that	cst	that	that	0
such	such	d	such	such	0
