To	To	p-acp	To	to	0
His	His	po31	His	his	0
Grace	Grace	n1	Grace	grace	0
,	,	,	,	,	0
Christopher	Christopher	np1	Christopher	Christopher	0
,	,	,	,	,	0
Duke	Duke	n1	Duke	duke	0
of	of	pp-f	of	of	0
Albemarle	Albemarle	np1	Albemarle	Albemarle	0
,	,	,	,	,	0
Lieutenant	Lieutenant	n1	Lieutenant	lieutenant	0
General	General	n1	General	general	0
of	of	pp-f	of	of	0
Devon	Devon	np1	Devon	Devon	0
,	,	,	,	,	0
and	and	cc	and	and	0
one	one	crd	one	one	0
of	of	pp-f	of	of	0
His	His	po31	His	his	0
Majesty's	Majesty's	ng1	Majesty's	majesty	0
most	most	av-ds	most	most	0
Honourable	Honourable	j	Honourable	honourable	0
Privy	Privy	j	Privy	privy	0
Council	Council	n1	Council	council	0
,	,	,	,	,	0
Grace	Grace	n1	Grace	grace	0
and	and	cc	and	and	0
Peace	Peace	n1	Peace	peace	0
from	from	p-acp	from	from	0
Jesus	Jesus	np1	Jesus	Jesus	0
Christ	Christ	np1	Christ	Christ	0
,	,	,	,	,	0
the	the	dt	the	the	0
Prince	Prince	n1	Prince	prince	0
of	of	pp-f	of	of	0
Princes	Princes	n2	Princes	prince	0
.	.	.	.	.	1
VVHen	VVHen	q-crq	When	when	0
Your	Your	po22	Your	your	0
Grace's	Grace's	ng1	Grace's	grace	0
and	and	cc	and	and	0
this	this	d	this	this	0
Kingdom's	Kingdom's	n1|vbz	Kingdom's	kingdom|be	0
Father	Father	n1	Father	father	0
was	was	vbds	was	be	0
flou	flou	fw-gr	flou	flou	0
∣	∣	sy	∣	∣	0
rishing	rishing	j-vvg	rishing	rish	0
and	and	cc	and	and	0
living	living	vvg	living	live	0
upon	upon	p-acp	upon	upon	0
Earth	Earth	n1	Earth	earth	0
,	,	,	,	,	0
It	It	pn31	It	it	0
pleased	pleased	vvd	pleased	please	0
him	him	pno31	him	he	0
to	to	pc-acp	to	to	0
cast	cast	vvi	cast	cast	0
a	a	dt	a	a	0
favourable	favourable	j	favourable	favourable	0
Aspect	Aspect	n1	Aspect	aspect	0
on	on	p-acp	on	on	0
me	me	pno11	me	i	0
,	,	,	,	,	0
the	the	dt	the	the	0
unwor	unwor	n1	unwor	unwor	0
∣	∣	sy	∣	∣	0
thiest	thiest	n1	thiest	thiest	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
God's	God's	npg1	God's	God	0
Ministers	Ministers	n2	Ministers	minister	0
;	;	;	;	;	0
so	so	av	so	so	0
as	as	c-acp	as	as	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
could	could	vmd	could	can	0
not	not	xx	not	not	0
but	but	cc-acp	but	but	0
mind	mind	vvi	mind	mind	0
you	you	pn22	you	you	0
,	,	,	,	,	0
his	his	po31	his	his	0
Honourable	Honourable	j	Honourable	honourable	0
Son	Son	n1	Son	son	0
and	and	cc	and	and	0
Heir	Heir	n1	Heir	heir	0
,	,	,	,	,	0
also	also	av	also	also	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
publishing	publishing	vvg	publishing	publish	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
Book	Book	n1	Book	book	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
a	a	dt	a	a	0
most	most	av-ds	most	most	0
humble	humble	j	humble	humble	0
Tender	Tender	j	Tender	tender	0
,	,	,	,	,	0
and	and	cc	and	and	0
De	De	fw-fr	De	de	0
∣	∣	sy	∣	∣	0
dication	dication	n1	dication	dication	0
of	of	pp-f	of	of	0
it	it	pn31	it	it	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
Honourable	Honourable	j	Honourable	honourable	0
Self	Self	n1	Self	self	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
great	great	j	great	great	0
Name	Name	n1	Name	name	0
;	;	;	;	;	0
and	and	cc	and	and	0
that	that	cst	that	that	0
so	so	av	so	so	0
much	much	av-d	much	much	0
the	the	dt	the	the	0
rather	rather	av-c	rather	rather	0
for	for	p-acp	for	for	0
this	this	d	this	this	0
too	too	av	too	too	0
,	,	,	,	,	0
because	because	c-acp	because	because	0
you	you	pn22	you	you	0
are	are	vbr	are	be	0
the	the	dt	the	the	0
Ge	Ge	zz	Ge	ge	0
∣	∣	sy	∣	∣	0
neral	neral	zz	neral	neral	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
Western	Western	j	Western	western	0
Militia	Militia	n1	Militia	militia	0
,	,	,	,	,	0
and	and	cc	and	and	0
this	this	d	this	this	0
Trea	Trea	np1	Trea	Trea	0
∣	∣	sy	∣	∣	0
tise	tise	n1	tise	tise	0
consists	consists	vvz	consists	consist	0
of	of	pp-f	of	of	0
Fighting	Fighting	vvg	Fighting	fight	0
,	,	,	,	,	0
and	and	cc	and	and	0
sets	sets	vvz	sets	set	0
forth	forth	av	forth	forth	0
a	a	dt	a	a	0
Bat	Bat	n1	Bat	bat	0
∣	∣	sy	∣	∣	0
tel	tel	vvb	tell	tell	0
(	(	(	(	(	0
a	a	dt	a	a	0
Paper	Paper	n1	Paper	paper	0
Battel	Battel	n1	Battle	battle	0
I	I	pns11	I	i	0
mean	mean	vvb	mean	mean	0
)	)	)	)	)	0
fought	fought	vvd	fought	fight	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
West	West	n1	West	west	0
of	of	pp-f	of	of	0
England	England	np1	England	England	0
,	,	,	,	,	0
whereof	whereof	c-crq	whereof	whereof	0
you	you	pn22	you	you	0
are	are	vbr	are	be	0
a	a	dt	a	a	0
Ge	Ge	zz	Ge	ge	0
∣	∣	sy	∣	∣	0
neral	neral	zz	neral	neral	0
,	,	,	,	,	0
between	between	p-acp	between	between	0
two	two	crd	two	two	0
Western	Western	j	Western	western	0
Warriers	Warriers	n2	Warriors	warrior	0
,	,	,	,	,	0
Pro	Pro	fw-la	Pro	pro	0
and	and	cc	and	and	0
Con	Con	np1	Con	Con	0
,	,	,	,	,	0
about	about	p-acp	about	about	0
the	the	dt	the	the	0
thing	thing	n1	thing	thing	0
called	called	vvd	called	call	0
Usury	Usury	n1	Usury	usury	0
;	;	;	;	;	0
of	of	pp-f	of	of	0
whom	whom	ro-crq	whom	who	0
,	,	,	,	,	0
one	one	crd	one	one	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
is	is	vbz	is	be	0
a	a	dt	a	a	0
professed	professed	j-vvn	professed	profess	0
Enemy	Enemy	n1	Enemy	enemy	0
to	to	p-acp	to	to	0
it	it	pn31	it	it	0
,	,	,	,	,	0
desireth	desireth	vvz	desires	desire	0
to	to	pc-acp	to	to	0
put	put	vvi	put	put	0
himself	himself	px31	himself	himself	0
,	,	,	,	,	0
first	first	ord	first	first	0
under	under	p-acp	under	under	0
the	the	dt	the	the	0
great	great	j	great	great	0
God's	God's	npg1	God's	God	0
,	,	,	,	,	0
and	and	cc	and	and	0
next	next	ord	next	next	0
under	under	p-acp	under	under	0
your	your	po22	your	your	0
Grace's	Grace's	ng1	Grace's	grace	0
Prote	Prote	np1	Prote	Prote	0
∣	∣	sy	∣	∣	0
ction	ction	zz	ction	ction	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
this	this	d	this	this	0
most	most	av-ds	most	most	0
humble	humble	j	humble	humble	0
Dedication	Dedication	n1	Dedication	dedication	0
:	:	:	:	:	0
wishing	wishing	vvg	wishing	wish	0
withal	withal	av	withal	withal	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
a	a	dt	a	a	0
Digression	Digression	n1	Digression	digression	0
,	,	,	,	,	0
that	that	cst	that	that	0
,	,	,	,	,	0
be	be	vbb	be	be	0
∣	∣	sy	∣	∣	0
cause	cause	n1	cause	cause	0
such	such	d	such	such	0
a	a	dt	a	a	0
Paper	Paper	n1	Paper	paper	0
Battel	Battel	n1	Battle	battle	0
is	is	vbz	is	be	0
too	too	av	too	too	0
low	low	j	low	low	0
for	for	c-acp	for	for	0
so	so	av	so	so	0
great	great	j	great	great	0
a	a	dt	a	a	0
Person	Person	n1	Person	person	0
to	to	pc-acp	to	to	0
take	take	vvi	take	take	0
any	any	d	any	any	0
great	great	j	great	great	0
notice	notice	n1	notice	notice	0
of	of	pp-f	of	of	0
it	it	pn31	it	it	0
;	;	;	;	;	0
I	I	pns11	I	i	0
say	say	vvb	say	say	0
,	,	,	,	,	0
wishing	wishing	vvg	wishing	wish	0
that	that	cst	that	that	0
your	your	po22	your	your	0
Grace	Grace	n1	Grace	grace	0
may	may	vmb	may	may	0
mind	mind	vvi	mind	mind	0
much	much	d	much	much	0
more	more	dc	more	more	0
that	that	d	that	that	0
Spiritual	Spiritual	j	Spiritual	spiritual	0
Militia	Militia	n1	Militia	militia	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
called	called	vvn	called	call	0
Wrastling	Wrastling	j-vvg	Wrestling	wrestle	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
God	God	n1	God	god	0
of	of	pp-f	of	of	0
Heaven	Heaven	n1	Heaven	heaven	0
for	for	p-acp	for	for	0
Heaven	Heaven	n1	Heaven	heaven	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
held	held	vvn	held	hold	0
forth	forth	av	forth	forth	0
in	in	p-acp	in	in	0
and	and	cc	and	and	0
by	by	p-acp	by	by	0
Godliness	Godliness	n1	Godliness	godliness	0
Epitomized	Epitomized	vvn	Epitomized	epitomize	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
a	a	dt	a	a	0
piece	piece	n1	piece	piece	0
and	and	cc	and	and	0
part	part	n1	part	part	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
Book	Book	n1	Book	book	0
;	;	;	;	;	0
so	so	av	so	so	0
as	as	c-acp	as	as	0
to	to	pc-acp	to	to	0
practise	practise	vvi	practise	practise	0
it	it	pn31	it	it	0
during	during	p-acp	during	during	0
your	your	po22	your	your	0
Natural	Natural	j	Natural	natural	0
Life	Life	n1	Life	life	0
here	here	av	here	here	0
on	on	p-acp	on	on	0
Earth	Earth	n1	Earth	earth	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
gaining	gaining	n-vvg	gaining	gain	0
of	of	pp-f	of	of	0
Eternal	Eternal	j	Eternal	eternal	0
Life	Life	n1	Life	life	0
hereafter	hereafter	av	hereafter	hereafter	0
in	in	p-acp	in	in	0
Heaven	Heaven	n1	Heaven	heaven	0
.	.	.	.	.	1
But	But	cc-acp	But	but	0
not	not	xx	not	not	0
being	being	vbg	being	be	0
contented	contented	vvn	contented	content	0
with	with	p-acp	with	with	0
wishing	wishing	vvg	wishing	wish	0
on	on	a-acp	on	on	0
∣	∣	sy	∣	∣	0
ly	ly	vvb	lie	lie	0
,	,	,	,	,	0
your	your	po22	your	your	0
Graces	Graces	n2	Graces	grace	0
most	most	av-ds	most	most	0
humble	humble	j	humble	humble	0
Servant	Servant	n1	Servant	servant	0
de	de	fw-fr	de	de	0
∣	∣	sy	∣	∣	0
sires	sires	ng1	sire's	sire	0
to	to	pc-acp	to	to	0
fall	fall	vvi	fallen	fall	0
a	a	dt	a	a	0
praying	praying	vvg	praying	pray	0
for	for	p-acp	for	for	0
your	your	po22	your	your	0
Grace	Grace	n1	Grace	grace	0
thus	thus	av	thus	thus	0
.	.	.	.	.	1
The	The	dt	The	the	0
Great	Great	j	Great	great	0
Majesty	Majesty	n1	Majesty	majesty	0
of	of	pp-f	of	of	0
Heaven	Heaven	n1	Heaven	heaven	0
enable	enable	vvi	enable	enable	0
,	,	,	,	,	0
strength	strength	n1	strength	strength	0
∣	∣	sy	∣	∣	0
en	en	fw-fr	en	en	0
and	and	cc	and	and	0
animate	animate	vvi	animate	animate	0
your	your	po22	your	your	0
Grace	Grace	n1	Grace	grace	0
with	with	p-acp	with	with	0
his	his	po31	his	his	0
Grace	Grace	n1	Grace	grace	0
so	so	av	so	so	0
successfully	successfully	av-j	successfully	successful	0
to	to	pc-acp	to	to	0
wrestle	wrestle	vvi	wrestle	wrestle	0
for	for	p-acp	for	for	0
Heaven	Heaven	n1	Heaven	heaven	0
in	in	p-acp	in	in	0
Prayer	Prayer	n1	Prayer	prayer	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
that	that	cst	that	that	0
when	when	c-crq	when	when	0
you	you	pn22	you	you	0
shall	shall	vmb	shall	shall	0
have	have	vhi	have	have	0
superated	superated	vvn	superate	superate	0
the	the	dt	the	the	0
spaces	spaces	n2	spaces	space	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
Humane	Humane	j	Humane	humane	0
Life	Life	n1	Life	life	0
,	,	,	,	,	0
you	you	pn22	you	you	0
may	may	vmb	may	may	0
,	,	,	,	,	0
being	being	vbg	being	be	0
born	born	vvn	born	bear	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Arms	Arms	n2	Arms	arm	0
of	of	pp-f	of	of	0
Angels	Angels	n2	Angels	angel	0
,	,	,	,	,	0
be	be	vbb	be	be	0
carried	carried	vvn	carried	carry	0
up	up	a-acp	up	up	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Head	Head	n1	Head	head	0
of	of	pp-f	of	of	0
Angels	Angels	n2	Angels	angel	0
,	,	,	,	,	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
Jesus	Jesus	np1	Jesus	Jesus	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
Genera	Genera	np1	Genera	Genera	0
∣	∣	sy	∣	∣	0
lissimus	lissimus	fw-la	lissimus	lissimus	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
Generals	Generals	n2	Generals	general	0
and	and	cc	and	and	0
Christian	Christian	np1	Christian	Christian	0
Soldi	Soldi	np1	Soldi	Soldi	0
∣	∣	sy	∣	∣	0
ers	ers	n2-jn	ers	er	0
,	,	,	,	,	0
and	and	cc	and	and	0
for	for	p-acp	for	for	0
ever	ever	av	ever	ever	0
sheweth	sheweth	vvz	shows	show	0
forth	forth	av	forth	forth	0
the	the	dt	the	the	0
Rays	Rays	n2	Rays	ray	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
pleasant	pleasant	j	pleasant	pleasant	0
Face	Face	n1	Face	face	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Vessels	Vessels	n2	Vessels	vessel	0
of	of	pp-f	of	of	0
Mercy	Mercy	n1	Mercy	mercy	0
which	which	r-crq	which	which	0
are	are	vbr	are	be	0
destinated	destinated	vvn	destinated	destinate	0
to	to	p-acp	to	to	0
ever-during	ever-during	j	everduring	everduring	0
Glory	Glory	n1	Glory	glory	0
.	.	.	.	.	1
So	So	np1	So	So	0
ends	ends	vvz	ends	end	0
with	with	p-acp	with	with	0
Prayer	Prayer	n1	Prayer	prayer	0
,	,	,	,	,	1
