BELOVED	BELOVED	j-vvn	BELOVED	belove	0
,	,	,	,	,	0
I	I	pns11	I	i	0
speak	speak	vvb	speak	speak	0
it	it	pn31	it	it	0
as	as	a-acp	as	as	0
in	in	p-acp	in	in	0
the§	the§	n1	the§	the§	0
.	.	.	.	.	1
1.	1.	crd	1.	1.	0
sight	sight	n1	sighed	sight	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
:	:	:	:	:	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
great	great	j	great	great	0
straite	straite	n1	strait	strait	0
how	how	c-crq	how	how	0
to	to	pc-acp	to	to	0
temper	temper	vvi	temper	temper	0
my	my	po11	my	my	0
speech	speech	n1	speech	speech	0
for	for	p-acp	for	for	0
your	your	po22	your	your	0
best	best	js	best	best	0
advantage	advantage	n1	advantage	advantage	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
my	my	po11	my	my	0
solemn	solemn	j	solemn	solemn	0
▪	▪	▪	▪	▪	0
address	address	vvb	address	address	0
unto	unto	p-acp	unto	unto	0
you	you	pn22	you	you	0
.	.	.	.	.	1
Very	Very	j	Very	very	0
loth	loth	j	loath	loath	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
on	on	p-acp	on	on	0
the	the	dt	the	the	0
one	one	crd	one	one	0
hand	hand	n1	hand	hand	0
to	to	pc-acp	to	to	0
deal	deal	vvi	deal	deal	0
so	so	av	so	so	0
unfaithfully	unfaithfully	av-j	unfaithfully	unfaithful	0
or	or	cc	or	or	0
un-Christianly	un-Christianly	j	unchristianly	unchristianly	0
with	with	p-acp	with	with	0
you	you	pn22	you	you	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
,	,	,	,	,	0
upon	upon	p-acp	upon	upon	0
such	such	d	such	such	0
an	an	dt	and	a	0
opportunity	opportunity	n1	opportunity	opportunity	0
,	,	,	,	,	0
not	not	xx	not	not	0
to	to	pc-acp	to	to	0
speak	speak	vvi	speak	speak	0
the	the	dt	the	the	0
truth	truth	n1	truth	truth	0
unto	unto	p-acp	unto	unto	0
you	you	pn22	you	you	0
in	in	p-acp	in	in	0
such	such	d	such	such	0
things	things	n2	things	thing	0
,	,	,	,	,	0
wherein	wherein	c-crq	wherein	wherein	0
I	I	pns11	I	i	0
either	either	av-d	either	either	0
certainly	certainly	av-j	certainly	certain	0
know	know	vvb	know	know	0
,	,	,	,	,	0
or	or	cc	or	or	0
else	else	av	else	else	0
have	have	vhb	have	have	0
weigh	weigh	vvb	weigh	weigh	0
