Gentlemen	Gentlemen	np1	Gentlemen	Gentlemen	0
,	,	,	,	,	0
SInce	SInce	p-acp	SInce	since	0
the	the	dt	the	the	0
Abettors	Abettors	n2	Abettors	abettor	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
Remonstrance	Remonstrance	n1	Remonstrance	remonstrance	0
have	have	vhb	have	have	0
had	had	vhn	had	have	0
the	the	dt	the	the	0
confidence	confidence	n1	confidence	confidence	0
to	to	pc-acp	to	to	0
addresse	addresse	vvi	address	address	0
themselves	themselves	px32	themselves	themselves	0
,	,	,	,	,	0
and	and	cc	and	and	0
prescribe	prescribe	vvb	prescribe	prescribe	0
Rules	Rules	n2	Rules	rule	0
to	to	p-acp	to	to	0
you	you	pn22	you	you	0
in	in	p-acp	in	in	0
such	such	d	such	such	0
perempto	perempto	fw-la	perempto	perempto	0
∣	∣	sy	∣	∣	0
ry	ry	zz	ry	ry	0
language	language	n1	language	language	0
,	,	,	,	,	0
give	give	vvb	give	give	0
me	me	pno11	me	i	0
leave	leave	vvi	leave	leave	0
(	(	(	(	(	0
under	under	p-acp	under	under	0
your	your	po22	your	your	0
favour	favour	n1	favour	favour	0
and	and	cc	and	and	0
connivence	connivence	n1	connivance	connivance	0
)	)	)	)	)	0
to	to	pc-acp	to	to	0
publish	publish	vvi	publish	publish	0
an	an	dt	and	a	0
Answer	Answer	n1	Answer	answer	0
thereunto	thereunto	av	thereunto	thereunto	0
by	by	p-acp	by	by	0
Pen	Pen	n1	Pen	pen	0
,	,	,	,	,	0
since	since	c-acp	since	since	0
(	(	(	(	(	0
for	for	c-acp	for	for	0
ought	ought	pi	ought	aught	0
I	I	pns11	I	i	0
see	see	vvb	see	see	0
)	)	)	)	)	0
you	you	pn22	you	you	0
dare	dare	vvb	dare	dare	0
not	not	xx	not	not	0
give	give	vvi	give	give	0
it	it	pn31	it	it	0
your	your	po22	your	your	0
selves	selves	n2	selves	self	0
by	by	p-acp	by	by	0
word	word	n1	word	word	0
of	of	pp-f	of	of	0
mouth	mouth	n1	mouth	mouth	0
;	;	;	;	;	0
because	because	c-acp	because	because	0
if	if	cs	if	if	0
you	you	pn22	you	you	0
should	should	vmd	should	shall	0
de	de	fw-la	de	de	0
∣	∣	sy	∣	∣	0
clare	clare	vvi	clare	clare	0
a	a	dt	a	a	0
sense	sense	n1	sense	sense	0
contrary	contrary	j-jn	contrary	contrary	0
to	to	p-acp	to	to	0
theirs	theirs	png32	theirs	they	0
(	(	(	(	(	0
as	as	c-acp	as	as	0
in	in	p-acp	in	in	0
honor	honor	n1	honour	honour	0
and	and	cc	and	and	0
conscience	conscience	n1	conscience	conscience	0
you	you	pn22	you	you	0
must	must	vmb	must	must	0
)	)	)	)	)	0
they	they	pns32	they	they	0
have	have	vhb	have	have	0
as	as	p-acp	as	as	0
good	good	j	good	good	0
as	as	c-acp	as	as	0
told	told	vvn	told	tell	0
you	you	pn22	you	you	0
in	in	p-acp	in	in	0
plain	plain	j	plain	plain	0
termes	termes	n2	terms	term	0
,	,	,	,	,	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
will	will	vmb	will	will	0
make	make	vvi	make	make	0
your	your	po22	your	your	0
House	House	n1	House	house	0
too	too	av	too	too	0
hot	hot	j	hight	hot	0
to	to	pc-acp	to	to	0
hold	hold	vvi	hold	hold	0
you	you	pn22	you	you	0
.	.	.	.	.	1
I	I	pns11	I	i	0
observe	observe	vvb	observe	observe	0
,	,	,	,	,	0
their	their	po32	their	their	0
Remonstrance	Remonstrance	n1	Remonstrance	remonstrance	0
is	is	vbz	is	be	0
founded	founded	vvn	founded	found	0
upon	upon	p-acp	upon	upon	0
these	these	d	these	these	0
