DIuers	DIuers	j	Diverse	diverse	0
men	men	n2	men	man	0
finding	finding	vvg	finding	find	0
them	them	pno32	them	they	0
selues	selues	n2	selves	self	0
in	in	p-acp	in	in	0
like	like	j	like	like	0
daunger	daunger	n1	danger	danger	0
,	,	,	,	,	0
may	may	vmb	may	may	0
better	better	av-jc	better	better	0
iudge	iudge	vvi	judge	judge	0
each	each	d	each	each	0
of	of	pp-f	of	of	0
o	o	fw-fr	o	o	0
∣	∣	sy	∣	∣	0
thers	thers	pc-acp|vbz	the	there|be	0
case	case	n1	case	case	0
,	,	,	,	,	0
then	then	cs	then	than	0
any	any	d	any	any	0
one	one	pi	one	one	0
that	that	cst	that	that	0
hath	hath	vhz	hath	have	0
not	not	xx	not	not	0
experimented	experimented	vvd	experimented	experiment	0
the	the	dt	the	the	0
like	like	j	like	like	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
for	for	p-acp	for	for	0
example	example	n1	example	example	0
,	,	,	,	,	0
no	no	dx	no	no	0
mā	mā	n1	man	man	0
can	can	vmb	can	can	0
better	better	av-jc	better	better	0
iudge	iudge	vvi	judge	judge	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
charges	charges	n2	charges	charge	0
and	and	cc	and	and	0
expences	expences	n2	expenses	expense	0
that	that	cst	that	that	0
a	a	dt	a	a	0
man	man	n1	man	man	0
hath	hath	vhz	hath	have	0
bene	bene	vbn	be	be	0
at	at	p-acp	at	at	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
pursute	pursute	n1	pursuit	pursuit	0
of	of	pp-f	of	of	0
some	some	d	some	some	0
processe	processe	n1	process	process	0
,	,	,	,	,	0
then	then	cs	then	than	0
he	he	pns31	he	he	0
that	that	cst	that	that	0
hath	hath	vhz	hath	have	0
bene	bene	vbn	be	be	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
like	like	j	like	like	0
.	.	.	.	.	1
This	This	d	This	this	0
doe	doe	vdb	do	do	0
I	I	pns11	I	i	0
say	say	vvb	say	say	0
,	,	,	,	,	0
Syr	Syr	n1	Sir	sir	0
,	,	,	,	,	0
sith	sith	c-acp	sith	sith	0
there	there	pc-acp	there	there	0
is	is	vbz	is	be	0
nothing	nothing	pix	nothing	nothing	0
more	more	av-dc	more	more	0
daunge	daunge	j	daunge	daunge	0
∣	∣	sy	∣	∣	0
rous	rous	fw-la	rous	rous	0
then	then	av	then	then	0
sclaunder	sclaunder	n1	slander	slander	0
,	,	,	,	,	0
and	and	cc	and	and	0
that	that	cst	that	that	0
no	no	dx	no	no	0
man	man	n1	man	man	0
can	can	vmb	can	can	0
better	better	av-jc	better	better	0
iudge	iudge	vvi	judge	judge	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
peruersnesse	peruersnesse	n1	perverseness	perverseness	0
thereof	thereof	av	thereof	thereof	0
,	,	,	,	,	0
then	then	cs	then	than	0
such	such	d	such	such	0
as	as	c-acp	as	as	0
haue	haue	vhb	have	have	0
both	both	d	both	both	0
tasted	tasted	vvn	tasted	taste	0
and	and	cc	and	and	0
tryed	tryed	vvn	tried	try	0
it	it	pn31	it	it	0
.	.	.	.	.	1
So	So	av	So	so	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
that	that	d	that	that	0
the	the	dt	the	the	0
Reformed	Reformed	vvn	Reformed	reform	0
Princes	Princes	n2	Princes	prince	0
haue	haue	vhb	have	have	0
bene	bene	vbn	be	be	0
sclan	sclan	fw-ge	sclan	sclan	0
∣	∣	sy	∣	∣	0
dered	dered	n1	dered	dered	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
Pope	Pope	n1	Pope	pope	0
,	,	,	,	,	0
vvho	vvho	r-crq	who	who	0
hath	hath	vhz	hath	have	0
noted	noted	vvn	noted	note	0
them	them	pno32	them	they	0
of	of	pp-f	of	of	0
heresie	heresie	n1	heresy	heresy	0
:	:	:	:	:	0
and	and	cc	and	and	0
in	in	p-acp	in	in	0
my	my	po11	my	my	0
opiniō	opiniō	n1	opinion	opinion	0
your	your	po22	your	your	0
Maiestie	Maiestie	n1	Majesty	majesty	0
cā	cā	vmb	can	can	0
best	best	av-js	best	best	0
iudge	iudge	vvi	judge	judge	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
iniurie	iniurie	n1	injury	injury	0
done	done	vdn	done	do	0
