WHereas	WHereas	cs	WHereas	whereas	0
I	I	pns11	I	i	0
intended	intended	vvd	intended	intend	0
to	to	pc-acp	to	to	0
have	have	vhi	have	have	0
presen	presen	fw-mi	presen	presen	0
∣	∣	sy	∣	∣	0
ted	ted	vvd	ted	t	0
these	these	d	these	these	0
plaine	plaine	j	plain	plain	0
and	and	cc	and	and	0
simple	simple	j	simple	simple	0
Ser	Ser	zz	Ser	ser	0
∣	∣	sy	∣	∣	0
mons	mons	fw-la	mons	mons	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
patronage	patronage	n1	patronage	patronage	0
of	of	pp-f	of	of	0
some	some	d	some	some	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
friends	friends	n2	friends	friend	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
were	were	vbdr	were	be	0
pleased	pleased	vvn	pleased	please	0
to	to	p-acp	to	to	0
owne	owne	d	own	own	0
and	and	cc	and	and	0
favour	favour	vvi	favour	favour	0
mee	mee	pno11	me	i	0
in	in	p-acp	in	in	0
my	my	po11	my	my	0
sufferings	sufferings	n2	sufferings	suffering	0
;	;	;	;	;	0
without	without	p-acp	without	without	0
any	any	d	any	any	0
apology	apology	n1	apology	apology	0
for	for	p-acp	for	for	0
my	my	po11	my	my	0
selfe	selfe	n1	self	self	0
,	,	,	,	,	0
or	or	cc	or	or	0
any	any	d	any	any	0
vindication	vindication	n1	vindication	vindication	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
truths	truths	n2	truths	truth	0
which	which	r-crq	which	which	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
delivered	delivered	vvn	delivered	deliver	0
.	.	.	.	.	1
I	I	pns11	I	i	0
am	am	vbm	am	be	0
now	now	av	now	now	0
by	by	p-acp	by	by	0
weighty	weighty	j	weighty	weighty	0
reasons	reasons	n2	reasons	reason	0
en	en	fw-fr	en	en	0
∣	∣	sy	∣	∣	0
forced	forced	vvn	forced	force	0
to	to	pc-acp	to	to	0
alter	alter	vvi	altar	alter	0
my	my	po11	my	my	0
resolutions	resolutions	n2	resolutions	resolution	0
:	:	:	:	:	0
And	And	cc	And	and	0
my	my	po11	my	my	0
se	se	fw-mi	se	se	0
∣	∣	sy	∣	∣	0
cond	cond	zz	cond	cond	0
thoughts	thoughts	n2	thoughts	thought	0
doe	doe	vdb	do	do	0
appear	appear	vvi	appear	appear	0
better	better	av-jc	better	better	0
unto	unto	p-acp	unto	unto	0
me	me	pno11	me	i	0
then	then	cs	then	than	0
my	my	po11	my	my	0
first	first	ord	first	first	0
.	.	.	.	.	1
(	(	(	(	(	0
)	)	)	)	)	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
beene	beene	vbn	been	be	0
lately	lately	av-j	lately	late	0
aspersed	aspersed	vvn	aspersed	asperse	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
hands	hands	n2	hands	hand	0
of	of	pp-f	of	of	0
two	two	crd	two	two	0
and	and	cc	and	and	0
fifty	fifty	crd	fifty	fifty	0
who	who	zz	who	who	0
professe	professe	vvb	profess	profess	0
themselves	themselves	px32	themselves	themselves	0
the	the	dt	the	the	0
Ministers	Ministers	n2	Ministers	minister	0
of	of	pp-f	of	of	0
Christ	Christ	np1	Christ	Christ	0
;	;	;	;	;	0
as	as	c-acp	as	as	0
a	a	dt	a	a	0
man	man	n1	man	man	0
heterodox	heterodox	n1	heterodox	heterodox	0
and	and	cc	and	and	0
unsound	unsound	j	unsound	unsound	0
in	in	p-acp	in	in	0
my	my	po11	my	my	0
principles	principles	n2	principles	principle	0
,	,	,	,	,	0
concerning	concerning	vvg	concerning	concern	0
the	the	pno32	thee	they	0
the	the	dt	the	the	0
Law	Law	n1	Law	law	0
and	and	cc	and	and	0
Justification	Justification	n1	Justification	justification	0
by	by	p-acp	by	by	0
free	free	j	free	free	0
grace	grace	n1	grace	grace	0
.	.	.	.	.	1
Wherefore	Wherefore	c-crq	Wherefore	wherefore	0
it	it	pn31	it	it	0
seemeth	seemeth	vvz	seems	seem	0
probable	probable	j	probable	probable	0
unto	unto	p-acp	unto	unto	0
me	me	pno11	me	i	0
,	,	,	,	,	0
that	that	cst	that	that	0
if	if	cs	if	if	0
I	I	pns11	I	i	0
should	should	vmd	should	shall	0
bring	bring	vvi	bring	bring	0
my	my	po11	my	my	0
friends	friends	n2	friends	friend	0
upon	upon	p-acp	upon	upon	0
the	the	dt	the	the	0
Stage	Stage	n1	Stage	stage	0
to	to	pc-acp	to	to	0
patronize	patronize	vvi	patronise	patronize	0
mee	mee	pno11	me	i	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
publique	publique	j	public	public	0
way	way	n1	way	way	0
,	,	,	,	,	0
while	while	cs	while	while	0
I	I	pns11	I	i	0
lye	lye	vvb	lie	lie	0
under	under	p-acp	under	under	0
the	the	dt	the	the	0
reproachings	reproachings	n2-vvg	reproachings	reproaching	0
of	of	pp-f	of	of	0
so	so	av	so	so	0
many	many	d	many	many	0
,	,	,	,	,	0
I	I	pns11	I	i	0
should	should	vmd	should	shall	0
wrong	wrong	vvi	wrong	wrong	0
those	those	d	those	those	0
,	,	,	,	,	0
whom	whom	ro-crq	whom	who	0
I	I	pns11	I	i	0
desire	desire	vvb	desire	desire	0
in	in	p-acp	in	in	0
thankfulnesse	thankfulnesse	n1	thankfulness	thankfulness	0
to	to	p-acp	to	to	0
respect	respect	n1	respect	respect	0
and	and	cc	and	and	0
honour	honour	n1	honour	honour	0
.	.	.	.	.	1
And	And	cc	And	and	0
if	if	cs	if	if	0
I	I	pns11	I	i	0
should	should	vmd	should	shall	0
ven	ven	c-crq	ven	when	0
∣	∣	sy	∣	∣	0
ter	ter	zz	ter	ter	0
these	these	d	these	these	0
Sermons	Sermons	n2	Sermons	sermon	0
into	into	p-acp	into	into	0
the	the	dt	the	the	0
world	world	n1	world	world	0
without	without	p-acp	without	without	0
any	any	d	any	any	0
Apology	Apology	n1	Apology	apology	0
for	for	p-acp	for	for	0
my	my	po11	my	my	0
selfe	selfe	n1	self	self	0
,	,	,	,	,	0
I	I	pns11	I	i	0
might	might	vmd	might	may	0
prove	prove	vvi	prove	prove	0
more	more	av-dc	more	more	0
injurious	injurious	j	injurious	injurious	0
to	to	p-acp	to	to	0
my	my	po11	my	my	0
selfe	selfe	n1	self	self	0
,	,	,	,	,	0
then	then	cs	then	than	0
these	these	d	these	these	0
can	can	vmb	can	can	0
be	be	vbi	be	be	0
unto	unto	p-acp	unto	unto	0
mee	mee	pno11	me	i	0
.	.	.	.	.	1
Besides	Besides	p-acp	Beside	beside	0
this	this	d	this	this	0
,	,	,	,	,	0
I	I	pns11	I	i	0
doe	doe	vdb	do	do	0
apprehend	apprehend	vvi	apprehend	apprehend	0
that	that	cst	that	that	0
some	some	d	some	some	0
tender-hearted	tender-hearted	j	tender-hearted	tender-hearted	0
Christians	Christians	np1	Christians	Christians	0
when	when	c-crq	when	when	0
they	they	pns32	they	they	0
shall	shall	vmb	shall	shall	0
read	read	vvi	read	read	0
the	the	dt	the	the	0
name	name	n1	name	name	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
abused	abused	j-vvn	abused	abuse	0
Author	Author	n1	Author	author	0
,	,	,	,	,	0
now	now	av	now	now	0
made	made	vvd	made	make	0
infamous	infamous	j	infamous	infamous	0
unto	unto	p-acp	unto	unto	0
them	them	pno32	them	they	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
hands	hands	n2	hands	hand	0
of	of	pp-f	of	of	0
so	so	av	so	so	0
many	many	d	many	many	0
Subscribers	Subscribers	np1	Subscribers	Subscribers	0
,	,	,	,	,	0
may	may	vmb	may	may	0
either	either	d	either	either	0
be	be	vbi	be	be	0
affraid	affraid	j	afraid	afraid	0
to	to	pc-acp	to	to	0
read	read	vvi	read	read	0
what	what	r-crq	what	what	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
printed	printed	vvn	printed	print	0
;	;	;	;	;	0
or	or	cc	or	or	0
if	if	cs	if	if	0
they	they	pns32	they	they	0
shall	shall	vmb	shall	shall	0
read	read	vvi	read	read	0
it	it	pn31	it	it	0
,	,	,	,	,	0
an	an	dt	and	a	0
uncharitable	uncharitable	j	uncharitable	uncharitable	0
prejudice	prejudice	n1	prejudice	prejudice	0
may	may	vmb	may	may	0
rob	rob	vvi	rob	rob	0
them	them	pno32	them	they	0
