BEING	BEING	vbg	BEING	be	0
THO	THO	av	THOUGH	tho	0
∣	∣	sy	∣	∣	0
rovvlye	rovvlye	av	rovvlye	rovvlye	0
persvvaded	persvvaded	vvd	persuaded	persuade	0
(	(	(	(	(	0
Right	Right	j-jn	Right	right	0
Honorable	Honorable	j	Honourable	honourable	0
,	,	,	,	,	0
woorshipfull	woorshipfull	j	worshipful	worshipful	0
,	,	,	,	,	0
and	and	cc	and	and	0
dearely	dearely	av-jn	dearly	dear	0
beloued	beloued	vvn	beloved	belove	0
in	in	p-acp	in	in	0
our	our	po12	our	our	0
Sauiour	Sauiour	n1	Saviour	saviour	0
Christ	Christ	np1	Christ	Christ	0
)	)	)	)	)	0
that	that	cst	that	that	0
other	other	j-jn	other	other	0
Citizens	Citizens	n2	Citizens	citizen	0
and	and	cc	and	and	0
folk	folk	n1	folk	folk	0
of	of	pp-f	of	of	0
tovvnes	tovvnes	n2	towns	town	0
and	and	cc	and	and	0
Countries	Countries	ng1	Countries	country	0
tho	tho	zz	tho	tho	0
∣	∣	sy	∣	∣	0
rovve	rovve	n1	row	row	0
this	this	d	this	this	0
vvhole	vvhole	j-jn	whole	whole	0
Realme	Realme	n1	Realm	realm	0
,	,	,	,	,	0
doe	doe	vdb	do	do	0
take	take	vvi	take	take	0
(	(	(	(	(	0
as	as	c-acp	as	as	0
it	it	pn31	it	it	0
vvere	vvere	vbdr	were	be	0
)	)	)	)	)	0
light	light	n1	light	light	0
and	and	cc	and	and	0
in	in	zz	in	in	0
∣	∣	sy	∣	∣	0
structions	structions	n2	structions	struction	0
at	at	p-acp	at	at	0
you	you	pn22	you	you	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
honourable	honourable	j	honourable	honourable	0
Citie	Citie	n1	City	city	0
:	:	:	:	:	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
thought	thought	vvn	thought	think	0
it	it	pn31	it	it	0
most	most	av-ds	most	most	0
meete	meete	j	meet	meet	0
to	to	pc-acp	to	to	0
direct	direct	vvi	direct	direct	0
this	this	d	this	this	0
my	my	po11	my	my	0
simple	simple	j	simple	simple	0
vvorke	vvorke	n1	work	work	0
to	to	p-acp	to	to	0
you	you	pn22	you	you	0
,	,	,	,	,	0
and	and	cc	and	and	0
you	you	pn22	you	you	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
defenders	defenders	n2	defenders	defender	0
thereof	thereof	av	thereof	thereof	0
against	against	p-acp	against	against	0
the	the	dt	the	the	0
aduersarie	aduersarie	n1	adversary	adversary	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
ende	ende	n1	end	end	0
that	that	cst	that	that	0
those	those	d	those	those	0
,	,	,	,	,	0
vvho	vvho	r-crq	who	who	0
take	take	vvb	take	take	0
ensample	ensample	n1	ensample	ensample	0
of	of	pp-f	of	of	0
you	you	pn22	you	you	0
,	,	,	,	,	0
maye	maye	vmb	may	may	0
see	see	vvi	see	see	0
,	,	,	,	,	0
that	that	cst	that	that	0
you	you	pn22	you	you	0
doe	doe	vdb	do	do	0
not	not	xx	not	not	0
allow	allow	vvi	allow	allow	0
of	of	pp-f	of	of	0
those	those	d	those	those	0
things	things	n2	things	thing	0
:	:	:	:	:	0
which	which	r-crq	which	which	0
are	are	vbr	are	be	0
condemned	condemned	vvn	condemned	condemn	0
by	by	p-acp	by	by	0
this	this	d	this	this	0
worke	worke	n1	work	work	0
,	,	,	,	,	0
whereof	whereof	c-crq	whereof	whereof	0
you	you	pn22	you	you	0
are	are	vbr	are	be	0
willing	willing	j	willing	willing	0
Patrones	Patrones	n1	Patroness	patroness	0
.	.	.	.	.	1
And	And	cc	And	and	0
I	I	pns11	I	i	0
call	call	vvb	call	call	0
you	you	pn22	you	you	0
willing	willing	j	willing	willing	0
