CAiphas	CAiphas	np1	CAiphas	CAiphas	0
beynge	beynge	vbg	being	be	0
bysshope	bysshope	n1	bishop	bishop	0
of	of	pp-f	of	of	0
that	that	d	that	that	0
yeare	yeare	n1	year	year	0
,	,	,	,	,	0
lyke	lyke	av-j	like	like	0
a	a	dt	a	a	0
blynde	blynde	j	blind	blind	0
prophete	prophete	n1	prophet	prophet	0
(	(	(	(	(	0
not	not	xx	not	not	0
vnderstandyng	vnderstandyng	n1	understanding	understanding	0
what	what	r-crq	what	what	0
he	he	pns31	he	he	0
sayd	sayd	vvd	said	say	0
)	)	)	)	)	0
prophecied	prophecied	vvd	prophesied	prophesy	0
,	,	,	,	,	0
that	that	cst	that	that	0
it	it	pn31	it	it	0
was	was	vbds	was	be	0
better	better	jc	better	better	0
to	to	pc-acp	to	to	0
put	put	vvi	put	put	0
Christ	Christ	np1	Christ	Christ	0
vnto	vnto	p-acp	unto	unto	0
death	death	n1	death	death	0
,	,	,	,	,	0
then	then	av	then	then	0
that	that	cst	that	that	0
all	all	d	all	all	0
the	the	dt	the	the	0
people	people	n1	people	people	0
shulde	shulde	vmd	should	shall	0
perysshe	perysshe	vvi	perish	perish	0
:	:	:	:	:	0
Io.	Io.	np1	Io.	Io.	1
11.	11.	crd	11.	11.	0
c	c	sy	c	c	0
he	he	pns31	he	he	0
mea	mea	fw-la	mea	mea	0
∣	∣	sy	∣	∣	0
nyng	nyng	n1	nyng	nyng	0
,	,	,	,	,	0
that	that	cst	that	that	0
Christ	Christ	np1	Christ	Christ	0
was	was	vbds	was	be	0
an	an	dt	and	a	0
heretike	heretike	n1	heretic	heretic	0
,	,	,	,	,	0
a	a	dt	a	a	0
deceauer	deceauer	n1	deceauer	deceauer	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
people	people	n1	people	people	0
,	,	,	,	,	0
&	&	cc	&	and	0
a	a	dt	a	a	0
de	de	fw-fr	de	de	0
∣	∣	sy	∣	∣	0
stroyer	stroyer	n1	stroyer	stroyer	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
lawe	lawe	n1	law	law	0
,	,	,	,	,	0
and	and	cc	and	and	0
that	that	cst	that	that	0
it	it	pn31	it	it	0
was	was	vbds	was	be	0
better	better	jc	better	better	0
therfore	therfore	av	therefore	therefore	0
to	to	pc-acp	to	to	0
put	put	vvi	put	put	0
Christ	Christ	np1	Christ	Christ	0
vn	vn	zz	vn	vn	0
¦	¦	sy	¦	¦	0
to	to	p-acp	to	to	0
death	death	n1	death	death	0
,	,	,	,	,	0
thā	thā	cs	than	than	0
to	to	pc-acp	to	to	0
suffre	suffre	vvi	suffer	suffer	0
hym	hym	pno31	him	he	0
for	for	p-acp	for	for	0
to	to	pc-acp	to	to	0
lyue	lyue	vvi	live	live	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
deceaue	deceaue	vvi	deceive	deceive	0
the	the	dt	the	the	0
people	people	n1	people	people	0
.	.	.	.	.	1
&c.	&c.	av	etc.	etc	0
