SYr	SYr	n1	SYr	sir	0
,	,	,	,	,	0
my	my	po11	my	my	0
acquaintance	acquaintance	n1	acquaintance	acquaintance	0
with	with	p-acp	with	with	0
you	you	pn22	you	you	0
hath	hath	vhz	hath	have	0
not	not	xx	not	not	0
beene	beene	vbn	been	be	0
litle	litle	j	little	little	0
,	,	,	,	,	0
nor	nor	ccx	nor	nor	0
my	my	po11	my	my	0
loue	loue	n1	love	love	0
,	,	,	,	,	0
lesse	lesse	av-dc	less	less	0
;	;	;	;	;	0
which	which	r-crq	which	which	0
I	I	pns11	I	i	0
wold	wold	vmd	would	will	0
bee	bee	vbi	be	be	0
glad	glad	j	glad	glad	0
to	to	pc-acp	to	to	0
manifest	manifest	vvi	manifest	manifest	0
in	in	p-acp	in	in	0
some	some	d	some	some	0
better	better	jc	better	better	0
matter	matter	n1	matter	matter	0
thē	thē	pno32	them	they	0
bare	bare	j	bore	bare	0
words	words	n2	words	word	0
,	,	,	,	,	0
and	and	cc	and	and	0
yet	yet	av	yet	yet	0
,	,	,	,	,	0
since	since	c-acp	since	since	0
words	words	n2	words	word	0
well	well	av	well	well	0
weyed	weyed	vvn	weighed	weigh	0
,	,	,	,	,	0
sometime	sometime	av	sometime	sometime	0
carry	carry	vvb	carry	carry	0
matter	matter	n1	matter	matter	0
of	of	pp-f	of	of	0
good	good	j	good	good	0
sence	sence	n1	sense	sense	0
;	;	;	;	;	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
words	words	n2	words	word	0
which	which	r-crq	which	which	0
I	I	pns11	I	i	0
write	write	vvb	write	write	0
,	,	,	,	,	0
I	I	pns11	I	i	0
pray	pray	vvb	pray	pray	0
you	you	pn22	you	you	0
wey	wey	vvi	weigh	weigh	0
the	the	dt	the	the	0
sence	sence	n1	sense	sense	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
good	good	j	good	good	0
will	will	n1	will	will	0
;	;	;	;	;	0
which	which	r-crq	which	which	0
if	if	cs	if	if	0
it	it	pn31	it	it	0
haue	haue	vhb	have	have	0
not	not	xx	not	not	0
done	done	vdn	done	do	0
so	so	av	so	so	0
well	well	av	well	well	0
as	as	c-acp	as	as	0
I	I	pns11	I	i	0
wish	wish	vvb	wish	wish	0
,	,	,	,	,	0
beare	beare	vvb	bear	bear	0
with	with	p-acp	with	with	0
it	it	pn31	it	it	0
for	for	p-acp	for	for	0
a	a	dt	a	a	0
litle	litle	j	little	little	0
fault	fault	n1	fault	fault	0
,	,	,	,	,	0
and	and	cc	and	and	0
it	it	pn31	it	it	0
may	may	vmb	may	may	0
bee	bee	vbi	be	be	0
I	I	pns11	I	i	0
will	will	vmb	will	will	0
mend	mend	vvi	mend	mend	0
it	it	pn31	it	it	0
with	with	p-acp	with	with	0
a	a	dt	a	a	0
greater	greater	jc	greater	great	0
:	:	:	:	:	0
but	but	cc-acp	but	but	0
leauing	leauing	vvg	leaving	leave	0
comple	comple	vvb	comple	comple	0
∣	∣	sy	∣	∣	0
ments	ments	n2	ments	ment	0
,	,	,	,	,	0
let	let	vvb	let	let	0
me	me	pno11	me	i	0
entreat	entreat	vvi	entreat	entreat	0
you	you	pn22	you	you	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
your	your	po22	your	your	0
kindnesse	kindnesse	n1	kindness	kindness	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
Patronage	Patronage	n1	Patronage	patronage	0
this	this	d	this	this	0
childe	childe	n1	child	child	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
best	best	js	best	best	0
choise	choise	n1	choice	choice	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
answere	answere	vvi	answer	answer	0
the	the	dt	the	the	0
regard	regard	n1	regard	regard	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
good	good	j	good	good	0
discreti	discreti	n1	discreti	discreti	0
∣	∣	sy	∣	∣	0
on	on	p-acp	on	on	0
;	;	;	;	;	0
in	in	p-acp	in	in	0
whom	whom	ro-crq	whom	who	0
,	,	,	,	,	0
though	though	cs	though	though	0
you	you	pn22	you	you	0
finde	finde	vvb	find	find	0
not	not	xx	not	not	0
that	that	d	that	that	0
finenesse	finenesse	n1	fineness	fineness	0
,	,	,	,	,	0
that	that	cst	that	that	0
is	is	vbz	is	be	0
fitting	fitting	vvg	fitting	fit	0
to	to	p-acp	to	to	0
phantastike	phantastike	j	phantastike	fantastic	0
hu	hu	uh	hu	hu	0
∣	∣	sy	∣	∣	0
mours	mours	zz	mours	mours	0
,	,	,	,	,	0
yet	yet	av	yet	yet	0
it	it	pn31	it	it	0
may	may	vmb	may	may	0
bee	bee	vbi	be	be	0
you	you	pn22	you	you	0
shall	shall	vmb	shall	shall	0
note	note	vvi	note	note	0
some	some	d	some	some	0
such	such	d	such	such	0
matter	matter	n1	matter	matter	0
of	of	pp-f	of	of	0
contentment	contentment	n1	contentment	contentment	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
a	a	dt	a	a	0
lit	lit	vvn	lit	light	0
∣	∣	sy	∣	∣	0
tle	tle	j	tle	tle	0
worthy	worthy	j	worthy	worthy	0
entertainment	entertainment	n1	entertainment	entertainment	0
:	:	:	:	:	0
the	the	dt	the	the	0
best	best	js	best	best	0
is	is	vbz	is	be	0
this	this	d	this	this	0
;	;	;	;	;	0
there	there	pc-acp	there	there	0
is	is	vbz	is	be	0
a	a	dt	a	a	0
carefull	carefull	j	careful	careful	0
mothers	mothers	ng1	mother's	mother	0
blessing	blessing	n1	blessing	blessing	0
to	to	p-acp	to	to	0
her	her	pno31	her	she	0
be	be	vbi	be	be	0
∣	∣	sy	∣	∣	0
loued	loued	j-vvn	loved	love	0
sonne	sonne	n1	son	son	0
:	:	:	:	:	0
the	the	dt	the	the	0
first	first	ord	first	first	0
I	I	pns11	I	i	0
know	know	vvb	know	know	0
you	you	pn22	you	you	0
haue	haue	vhb	have	have	0
and	and	cc	and	and	0
the	the	dt	the	the	0
second	second	ord	second	second	0
I	I	pns11	I	i	0
doubt	doubt	vvb	doubt	doubt	0
not	not	xx	not	not	0
you	you	pn22	you	you	0
are	are	vbr	are	be	0
:	:	:	:	:	0
who	who	r-crq	who	who	0
rea	rea	fw-la	rea	rea	0
∣	∣	sy	∣	∣	0
ding	ding	uh	ding	ding	0
what	what	q-crq	what	what	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
written	written	vvn	written	write	0
,	,	,	,	,	0
and	and	cc	and	and	0
remembring	remembring	vvg	remembering	remember	0
what	what	r-crq	what	what	0
you	you	pn22	you	you	0
haue	haue	vhb	have	have	0
read	read	vvn	read	read	0
,	,	,	,	,	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
assured	assured	vvn	assured	assure	0
will	will	vmb	will	will	0
please	please	vvi	please	please	0
her	her	pno31	her	she	0
that	that	cst	that	that	0
loueth	loueth	vvz	loves	love	0
you	you	pn22	you	you	0
,	,	,	,	,	0
and	and	cc	and	and	0
loue	loue	vvb	love	love	0
him	him	pno31	him	he	0
that	that	cst	that	that	0
here	here	av	here	here	0
∣	∣	sy	∣	∣	0
in	in	p-acp	in	in	0
hath	hath	vhz	hath	have	0
pleased	pleased	vvn	pleased	please	0
you	you	pn22	you	you	0
:	:	:	:	:	0
&	&	cc	&	and	0
for	for	c-acp	for	for	0
that	that	cst	that	that	0
much	much	d	much	much	0
good	good	j	good	good	0
that	that	cst	that	that	0
he	he	pns31	he	he	0
knoweth	knoweth	vvz	knoweth	know	0
in	in	p-acp	in	in	0
you	you	pn22	you	you	0
,	,	,	,	,	0
will	will	vmb	will	will	0
euer	euer	av	ever	ever	0
loue	loue	vvi	love	love	0
you	you	pn22	you	you	0
:	:	:	:	:	0
but	but	cc-acp	but	but	0
seeing	seeing	vvg	seeing	see	0
it	it	pn31	it	it	0
were	were	vbdr	were	be	0
better	better	jc	better	better	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
