IT	IT	pn31	IT	it	0
is	is	vbz	is	be	0
near	near	av-j	near	near	0
Thirty	Thirty	crd	Thirty	thirty	0
years	years	n2	years	year	0
ago	ago	av	ago	ago	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
was	was	vbds	was	be	0
first	first	ord	first	first	0
Ac	Ac	fw-la	Ac	ac	0
∣	∣	sy	∣	∣	0
quainted	quainted	vvn	quainted	quaint	0
with	with	p-acp	with	with	0
some	some	d	some	some	0
of	of	pp-f	of	of	0
you	you	pn22	you	you	0
,	,	,	,	,	0
and	and	cc	and	and	0
Conversant	Conversant	j	Conversant	conversant	0
among	among	p-acp	among	among	0
you	you	pn22	you	you	0
,	,	,	,	,	0
Preaching	Preaching	vvg	Preaching	preach	0
the	the	dt	the	the	0
Gospel	Gospel	n1	Gospel	gospel	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Kingdom	Kingdom	n1	Kingdom	kingdom	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
,	,	,	,	,	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
now	now	av	now	now	0
drawing	drawing	vvg	drawing	draw	0
towards	towards	p-acp	towards	towards	0
the	the	dt	the	the	0
Confines	Confines	n2	Confines	confine	0
of	of	pp-f	of	of	0
Time	Time	n1	Time	time	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
Borders	Borders	n2	Borders	border	0
of	of	pp-f	of	of	0
Eternity	Eternity	n1	Eternity	eternity	0
:	:	:	:	:	0
I	I	pns11	I	i	0
was	was	vbds	was	be	0
therefore	therefore	av	therefore	therefore	0
willing	willing	j	willing	willing	0
to	to	p-acp	to	to	0
Dedicate	Dedicate	j	Dedicate	dedicate	0
this	this	d	this	this	0
Discourse	Discourse	n1	Discourse	discourse	0
of	of	pp-f	of	of	0
Christ's	Christ's	npg1	Christ's	Christ	0
Testament	Testament	n1	Testament	testament	0
to	to	p-acp	to	to	0
you	you	pn22	you	you	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
a	a	dt	a	a	0
Grateful	Grateful	j	Grateful	grateful	0
Acknowledgment	Acknowledgment	n1	Acknowledgment	acknowledgement	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
Kindness	Kindness	n1	Kindness	kindness	0
to	to	p-acp	to	to	0
me	me	pno11	me	i	0
,	,	,	,	,	0
and	and	cc	and	and	0
as	as	p-acp	as	as	0
a	a	dt	a	a	0
Token	Token	n1	Token	token	0
and	and	cc	and	and	0
Pledge	Pledge	n1	Pledge	pledge	0
of	of	pp-f	of	of	0
that	that	cst	that	that	0
Real	Real	j	Real	real	0
Love	Love	n1	Love	love	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
bare	bare	vvd	bore	bear	0
towards	towards	p-acp	towards	towards	0
you	you	pn22	you	you	0
.	.	.	.	.	1
The	The	dt	The	the	0
Testament	Testament	n1	Testament	testament	0
of	of	pp-f	of	of	0
Christ	Christ	np1	Christ	Christ	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
most	most	av-ds	most	most	0
Noble	Noble	j	Noble	noble	0
,	,	,	,	,	0
and	and	cc	and	and	0
Sweet	Sweet	j	Sweet	sweet	0
Subject	Subject	j-jn	Subject	subject	0
that	that	cst	that	that	0
your	your	po22	your	your	0
Minds	Minds	n2	Minds	mind	0
can	can	vmb	can	can	0
be	be	vbi	be	be	0
Con	Con	vvi	Con	con	0
∣	∣	sy	∣	∣	0
versant	versant	j	versant	versant	0
about	about	a-acp	about	about	0
,	,	,	,	,	0
and	and	cc	and	and	0
your	your	po22	your	your	0
Affections	Affections	n2	Affections	affection	0
feed	feed	vvb	feed	feed	0
on	on	p-acp	on	on	0
that	that	d	that	that	0
which	which	r-crq	which	which	0
was	was	vbds	was	be	0
contrived	contrived	vvn	contrived	contrive	0
from	from	p-acp	from	from	0
Eternity	Eternity	n1	Eternity	eternity	0
,	,	,	,	,	0
may	may	vmb	may	may	0
well	well	av	well	well	0
be	be	vbi	be	be	0
Matter	Matter	n1	Matter	matter	0
of	of	pp-f	of	of	0
Contemplation	Contemplation	n1	Contemplation	contemplation	0
in	in	p-acp	in	in	0
time	time	n1	time	time	0
,	,	,	,	,	0
and	and	cc	and	and	0
of	of	pp-f	of	of	0
Admiration	Admiration	n1	Admiration	admiration	0
to	to	p-acp	to	to	0
Eternity	Eternity	n1	Eternity	eternity	0
.	.	.	.	.	1
This	This	d	This	this	0
Testament	Testament	n1	Testament	testament	0
was	was	vbds	was	be	0
drawn	drawn	vvn	drawn	draw	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Mind	Mind	n1	Mind	mind	0
,	,	,	,	,	0
and	and	cc	and	and	0
Counsel	Counsel	n1	Counsel	counsel	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
before	before	p-acp	before	before	0
the	the	dt	the	the	0
Foundations	Foundations	n2	Foundations	foundation	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
World	World	n1	World	world	0
,	,	,	,	,	0
and	and	cc	and	and	0
hath	hath	vhz	hath	have	0
been	been	vbn	been	be	0
since	since	a-acp	since	since	0
Written	Written	vvn	Written	write	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Blood	Blood	n1	Blood	blood	0
,	,	,	,	,	0
and	and	cc	and	and	0
established	established	vvn	established	establish	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
Death	Death	n1	Death	death	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Son	Son	n1	Son	son	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
:	:	:	:	:	0
In	In	p-acp	In	in	0
it	it	pn31	it	it	0
there	there	pc-acp	there	there	0
are	are	vbr	are	be	0
the	the	dt	the	the	0
most	most	av-ds	most	most	0
pre	pre	fw-la	pre	pre	0
∣	∣	sy	∣	∣	0
cious	cious	uh	cious	cious	0
,	,	,	,	,	0
and	and	cc	and	and	0
inestimable	inestimable	j	inestimable	inestimable	0
Legacies	Legacies	n2	Legacies	legacy	0
Bequeathed	Bequeathed	vvn	Bequeathed	bequeathe	0
.	.	.	.	.	1
God	God	np1	God	God	0
gives	gives	vvz	gives	give	0
himself	himself	px31	himself	himself	0
as	as	p-acp	as	as	0
a	a	dt	a	a	0
Father	Father	n1	Father	father	0
and	and	cc	and	and	0
Portion	Portion	n1	Portion	portion	0
,	,	,	,	,	0
Jesus	Jesus	np1	Jesus	Jesus	0
Christ	Christ	np1	Christ	Christ	0
gives	gives	vvz	gives	give	0
