IN	IN	p-acp	IN	in	0
this	this	d	this	this	0
wretched	wretched	j	wretched	wretched	0
time	time	n1	time	time	0
Sir	Sir	n1	Sir	sir	0
,	,	,	,	,	0
wherein	wherein	c-crq	wherein	wherein	0
vngodlinesse	vngodlinesse	n1	ungodliness	ungodliness	0
(	(	(	(	(	0
which	which	r-crq	which	which	0
was	was	vbds	was	be	0
woont	woont	vvn	wont	wont	0
but	but	p-acp	but	but	0
to	to	pc-acp	to	to	0
whisper	whisper	vvi	whisper	whisper	0
men	men	n2	men	man	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
eare	eare	n1	ear	ear	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
mumble	mumble	vvi	mumble	mumble	0
betweene	betweene	p-acp	between	between	0
the	the	dt	the	the	0
teeth	teeth	n2	teeth	tooth	0
)	)	)	)	)	0
hath	hath	vhz	hath	have	0
bin	bin	vbn	been	be	0
so	so	av	so	so	0
bold	bold	j	bold	bold	0
as	as	c-acp	as	as	0
to	to	pc-acp	to	to	0
step	step	vvi	step	step	0
into	into	p-acp	into	into	0
the	the	dt	the	the	0
pulpit	pulpit	n1	pulpit	pulpit	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	p-acp	to	to	0
belke	belke	av	belke	belike	0
out	out	av	out	out	0
blasphe	blasphe	n1	blasphe	blasphe	0
∣	∣	sy	∣	∣	0
mies	mies	np2-n	mies	mie	0
against	against	p-acp	against	against	0
God	God	np1	God	God	0
and	and	cc	and	and	0
his	his	po31	his	his	0
Gospell	Gospell	n1	Gospel	gospel	0
:	:	:	:	:	0
I	I	pns11	I	i	0
take	take	vvb	take	take	0
vpon	vpon	p-acp	upon	upon	0
mee	mee	pno11	me	i	0
(	(	(	(	(	0
though	though	c-acp	though	though	0
a	a	dt	a	a	0
new	new	j	new	new	0
kind	kind	n1	kind	kind	0
of	of	pp-f	of	of	0
hardinesse	hardinesse	n1	hardiness	hardiness	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
in	in	p-acp	in	in	0
respect	respect	n1	respect	respect	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
small	small	j	small	small	0
abilitie	abilitie	n1	ability	ability	0
that	that	cst	that	that	0
God	God	np1	God	God	0
hath	hath	vhz	hath	have	0
put	put	vvn	put	put	0
into	into	p-acp	into	into	0
mee	mee	pno11	me	i	0
)	)	)	)	)	0
to	to	p-acp	to	to	0
conuince	conuince	vvi	convince	convince	0
hir	hir	png31	his	he	0
,	,	,	,	,	0
euen	euen	av	even	even	0
by	by	p-acp	by	by	0
hir	hir	po31	his	her	0
owne	owne	d	own	own	0
principles	principles	n2	principles	principle	0
and	and	cc	and	and	0
peculiar	peculiar	j	peculiar	peculiar	0
records	records	n2	records	record	0
,	,	,	,	,	0
that	that	cst	that	that	0
if	if	cs	if	if	0
I	I	pns11	I	i	0
