MOst	MOst	ds	MOst	most	0
gracious	gracious	j	gracious	gracious	0
Soveraigne	Soveraigne	n-jn	Sovereign	sovereign	0
,	,	,	,	,	0
meeting	meeting	vvg	meeting	meet	0
with	with	p-acp	with	with	0
this	this	d	this	this	0
compendious	compendious	j	compendious	compendious	0
Re	Re	zz	Re	re	0
∣	∣	sy	∣	∣	0
monstrance	monstrance	n1	monstrance	monstrance	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Prelates	Prelates	n2	Prelates	prelate	0
late	late	av-j	late	late	0
dainge	dainge	vvg	dainge	dainge	0
∣	∣	sy	∣	∣	0
rous	rous	fw-la	rous	rous	0
encrochments	encrochments	n2	encroachments	encroachment	0
,	,	,	,	,	0
both	both	av-d	both	both	0
upon	upon	p-acp	upon	upon	0
your	your	po22	your	your	0
owne	owne	d	own	own	0
Prerogative	Prerogative	n1	Prerogative	prerogative	0
Royall	Royall	j	Royal	royal	0
,	,	,	,	,	0
and	and	cc	and	and	0
your	your	po22	your	your	0
Sub	Sub	np1	Sub	Sub	0
∣	∣	sy	∣	∣	0
jects	jects	n2-jn	jects	ject	0
Liberties	Liberties	n2	Liberties	liberty	0
,	,	,	,	,	0
compiled	compiled	vvn	compiled	compile	0
by	by	p-acp	by	by	0
a	a	dt	a	a	0
late	late	j	late	late	0
lear	lear	vvb	lear	lear	0
∣	∣	sy	∣	∣	0
ned	ned	zz	ned	ned	0
Gentleman	Gentleman	n1	Gentleman	gentleman	0
,	,	,	,	,	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
zeale	zeale	n1	zeal	zeal	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
Majesties	Majesties	n2	Majesties	majesty	0
ser	ser	zz	ser	ser	0
∣	∣	sy	∣	∣	0
vice	vice	n1	vice	vice	0
,	,	,	,	,	0
and	and	cc	and	and	0
your	your	po22	your	your	0
peoples	peoples	ng1	peoples	people	0
good	good	j	good	good	0
:	:	:	:	:	0
I	I	pns11	I	i	0
could	could	vmd	could	can	0
doe	doe	vdi	do	do	0
no	no	dx	no	no	0
lesse	lesse	dc	less	less	0
in	in	p-acp	in	in	0
point	point	n1	point	point	0
of	of	pp-f	of	of	0
allegiance	allegiance	n1	allegiance	allegiance	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
Highnes	Highnes	n1	Highness	highness	0
,	,	,	,	,	0
and	and	cc	and	and	0
true	true	j	true	true	0
affec	affec	fw-la	affec	affec	0
∣	∣	sy	∣	∣	0
tion	tion	n1	cion	cion	0
to	to	p-acp	to	to	0
my	my	po11	my	my	0
Countries	Countries	ng1	Countries	country	0
weale	weale	n1	weal	weal	0
,	,	,	,	,	0
then	then	av	then	then	0
prostrate	prostrate	vvb	prostrate	prostrate	0
it	it	pn31	it	it	0
in	in	p-acp	in	in	0
all	all	d	all	all	0
humility	humility	n1	humility	humility	0
,	,	,	,	,	0
at	at	p-acp	at	at	0
your	your	po22	your	your	0
