Courteous	Courteous	j	Courteous	courteous	0
Reader	Reader	n1	Reader	reader	0
,	,	,	,	,	0
I	I	pns11	I	i	0
Have	Have	vhb	Have	have	0
written	written	vvn	written	write	0
to	to	p-acp	to	to	0
thee	thee	pno21	thee	thou	0
now	now	av	now	now	0
about	about	p-acp	about	about	0
the	the	dt	the	the	0
Barren	Barren	j	Barren	barren	0
Fig-tree	Fig-tree	n1	Figtree	figtree	0
,	,	,	,	,	0
or	or	cc	or	or	0
how	how	c-crq	how	how	0
it	it	pn31	it	it	0
will	will	vmb	will	will	0
fare	fare	vvi	fare	fare	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
Fruitless	Fruitless	j	Fruitless	fruitless	0
Pro	Pro	np1	Pro	Pro	0
∣	∣	sy	∣	∣	0
fessor	fessor	n1	fessor	fessor	0
that	that	cst	that	that	0
standeth	standeth	vvz	stands	stand	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Vineyard	Vineyard	n1	Vineyard	vineyard	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
.	.	.	.	.	1
Of	Of	pp-f	Of	of	0
what	what	r-crq	what	what	0
Complexion	Complexion	n1	Complexion	complexion	0
thou	thou	pns21	thou	thou	0
art	art	vb2r	art	be	0
,	,	,	,	,	0
I	I	pns11	I	i	0
cannot	cannot	vmbx	cannot	can	0
certainly	certainly	av-j	certainly	certain	0
divine	divine	vvi	divine	divine	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
the	the	dt	the	the	0
Pa	Pa	wd	Pa	pa	0
∣	∣	sy	∣	∣	0
rable	rable	n1	rabble	rabble	0
tells	tells	vvz	tells	tell	0
thee	thee	pno21	thee	thou	0
,	,	,	,	,	0
that	that	cst	that	that	0
the	the	dt	the	the	0
Cumber-ground	Cumber-ground	n1	Cumber-ground	cumber-ground	0
must	must	vmb	must	must	0
be	be	vbi	be	be	0
cut	cut	vvn	cut	cut	0
down	down	a-acp	down	down	0
.	.	.	.	.	1
A	A	dt	A	a	0
Cumber-ground	Cumber-ground	n1	Cumber-ground	cumber-ground	0
Professor	Professor	n1	Professor	professor	0
,	,	,	,	,	0
is	is	vbz	is	be	0
not	not	xx	not	not	0
only	only	av-j	only	only	0
a	a	dt	a	a	0
provocation	provocation	n1	provocation	provocation	0
to	to	p-acp	to	to	0
God	God	np1	God	God	0
,	,	,	,	,	0
a	a	dt	a	a	0
stumbling-block	stumbling-block	n1	stumbling-block	stumbling-block	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
World	World	n1	World	world	0
,	,	,	,	,	0
and	and	cc	and	and	0
a	a	dt	a	a	0
blemish	blemish	n1	blemish	blemish	0
to	to	p-acp	to	to	0
Religion	Religion	n1	Religion	religion	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
a	a	dt	a	a	0
snare	snare	n1	snare	snare	0
to	to	p-acp	to	to	0
his	his	po31	his	his	0
own	own	d	own	own	0
