SIRS	SIRS	np1	SIRS	Sirs	0
,	,	,	,	,	0
I	I	pns11	I	i	0
Here	Here	av	Here	here	0
present	present	vvb	present	present	0
you	you	pn22	you	you	0
with	with	p-acp	with	with	0
some	some	d	some	some	0
Reflections	Reflections	n2	Reflections	reflection	0
upon	upon	p-acp	upon	upon	0
the	the	dt	the	the	0
Arch-Bishop	Arch-Bishop	n1	Arch-Bishop	archbishop	0
of	of	pp-f	of	of	0
York's	York's	npg1	York's	York	0
Farewel-Sermon	Farewel-Sermon	n1	Farewel-Sermon	farewel-sermon	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
his	his	po31	his	his	0
Grace	Grace	n1	Grace	grace	0
tells	tells	vvz	tells	tell	0
us	us	pno12	us	we	0
he	he	pns31	he	he	0
Published	Published	vvd	Published	publish	0
at	at	p-acp	at	at	0
your	your	po22	your	your	0
Request	Request	n1	Request	request	0
:	:	:	:	:	0
They	They	pns32	They	they	0
are	are	vbr	are	be	0
written	written	vvn	written	write	0
in	in	p-acp	in	in	0
form	form	n1	from	form	0
of	of	pp-f	of	of	0
Letter	Letter	n1	Letter	letter	0
to	to	p-acp	to	to	0
him	him	pno31	him	he	0
;	;	;	;	;	0
and	and	cc	and	and	0
as	as	c-acp	as	as	0
I	I	pns11	I	i	0
present	present	vvb	present	present	0
them	them	pno32	them	they	0
to	to	p-acp	to	to	0
you	you	pn22	you	you	0
with	with	p-acp	with	with	0
as	as	p-acp	as	as	0
much	much	d	much	much	0
Respect	Respect	n1	Respect	respect	0
,	,	,	,	,	0
and	and	cc	and	and	0
in	in	p-acp	in	in	0
as	as	p-acp	as	as	0
much	much	d	much	much	0
Christian	Christian	njp	Christian	christian	0
Charity	Charity	n1	Charity	charity	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
he	he	pns31	he	he	0
,	,	,	,	,	0
I	I	pns11	I	i	0
believe	believe	vvb	believe	believe	0
,	,	,	,	,	0
presented	presented	vvd	presented	present	0
the	the	dt	the	the	0
Sermon	Sermon	n1	Sermon	sermon	0
;	;	;	;	;	0
so	so	av	so	so	0
I	I	pns11	I	i	0
hope	hope	vvb	hope	hope	0
you	you	pn22	you	you	0
will	will	vmb	will	will	0
read	read	vvi	read	read	0
them	them	pno32	them	they	0
with	with	p-acp	with	with	0
as	as	p-acp	as	as	0
much	much	d	much	much	0
Candour	Candour	n1	Candour	candour	0
,	,	,	,	,	0
and	and	cc	and	and	0
examine	examine	vvi	examine	examine	0
impartially	impartially	av-j	impartially	impartial	0
,	,	,	,	,	0
without	without	p-acp	without	without	0
