With	With	p-acp	With	with	0
Humble	Humble	j	Humble	humble	0
Submission	Submission	n1	Submission	submission	0
,	,	,	,	,	0
WHEN	WHEN	c-crq	WHEN	when	0
having	having	vhg	having	have	0
considered	considered	vvn	considered	consider	0
that	that	cst	that	that	0
this	this	d	this	this	0
present	present	j	present	present	0
War	War	n1	War	war	0
so	so	av	so	so	0
well	well	av	well	well	0
begun	begun	vvn	begun	begin	0
,	,	,	,	,	0
and	and	cc	and	and	0
carried	carried	vvd	carried	carry	0
on	on	a-acp	on	on	0
by	by	p-acp	by	by	0
Their	Their	po32	Their	their	0
Majesties	Majesties	n2	Majesties	majesty	0
and	and	cc	and	and	0
others	others	n2-jn	others	other	0
the	the	dt	the	the	0
Supream	Supream	j	Supreme	supreme	0
Magistrates	Magistrates	n2	Magistrates	magistrate	0
and	and	cc	and	and	0
Rulers	Rulers	n2	Rulers	ruler	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
Kingdom	Kingdom	n1	Kingdom	kingdom	0
;	;	;	;	;	0
so	so	av	so	so	0
highly	highly	av-j	highly	high	0
tending	tending	vvg	tending	tend	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
General	General	j	General	general	0
Good	Good	j	Good	good	0
and	and	cc	and	and	0
Preservation	Preservation	n1	Preservation	preservation	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
whole	whole	j-jn	whole	whole	0
Nation	Nation	n1	Nation	nation	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
,	,	,	,	,	0
if	if	cs	if	if	0
well	well	av	well	well	0
managed	managed	vvn	managed	manage	0
in	in	p-acp	in	in	0
all	all	d	all	all	0
its	its	po31	its	its	0
Parts	Parts	n2	Parts	part	0
,	,	,	,	,	0
could	could	vmd	could	can	0
not	not	xx	not	not	0
fail	fail	vvi	fail	fail	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
happy	happy	j	happy	happy	0
Issue	Issue	n1	Issue	issue	0
;	;	;	;	;	0
but	but	cc-acp	but	but	0
such	such	d	such	such	0
is	is	vbz	is	be	0
Our	Our	po12	Our	our	0
Misfortune	Misfortune	n1	Misfortune	misfortune	0
,	,	,	,	,	0
That	That	cst	That	that	0
too	too	av	too	too	0
many	many	d	many	many	0
there	there	pc-acp	there	there	0
be	be	vbi	be	be	0
Intrusted	Intrusted	vvn	Entrusted	entrust	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Management	Management	n1	Management	management	0
thereof	thereof	av	thereof	thereof	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
,	,	,	,	,	0
too	too	av	too	too	0
Regardless	Regardless	j	Regardless	regardless	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Publick	Publick	j	Public	public	0
Good	Good	j	Good	good	0
,	,	,	,	,	0
do	do	vdb	do	do	0
in	in	p-acp	in	in	0
their	their	po32	their	their	0
several	several	j	several	several	0
Stations	Stations	n2	Stations	station	0
proceed	proceed	vvb	proceed	proceed	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Manage	Manage	vvb	Manage	manage	0
∣	∣	sy	∣	∣	0
ment	ment	vvd	meant	mean	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
so	so	av	so	so	0
great	great	j	great	great	0
Affair	Affair	n1	Affair	affair	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
so	so	av	so	so	0
much	much	d	much	much	0
Indiffe	Indiffe	n1	Indiffe	indiffe	0
∣	∣	sy	∣	∣	0
rency	rency	n1	rency	rency	0
as	as	c-acp	as	as	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
justly	justly	av-j	justly	just	0
feared	feared	vvn	feared	fear	0
,	,	,	,	,	0
will	will	vmb	will	will	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
great	great	j	great	great	0
mea	mea	zz	mea	mea	0
∣	∣	sy	∣	∣	0
sure	sure	av-j	sure	sure	0
,	,	,	,	,	0
retard	retard	vvi	retard	retard	0
and	and	cc	and	and	0
circumvent	circumvent	vvi	circumvent	circumvent	0
the	the	dt	the	the	0
Design	Design	n1	Design	design	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
so	so	av	so	so	0
Pious	Pious	j	Pious	pious	0
and	and	cc	and	and	0
well-grounded	well-grounded	j	well-grounded	well-grounded	0
Undertaking	Undertaking	n-vvg	Undertaking	undertake	0
;	;	;	;	;	0
I	I	pns11	I	i	0
mean	mean	vvb	mean	mean	0
the	the	dt	the	the	0
War.	War.	n1	War.	war	1
The	The	dt	The	the	0
chief	chief	j-jn	chief	chief	0
Subsistence	Subsistence	n1	Subsistence	subsistence	0
next	next	ord	next	next	0
under	under	p-acp	under	under	0
God	God	np1	God	God	0
,	,	,	,	,	0
and	and	cc	and	and	0
Their	Their	po32	Their	their	0
Majesties	Majesties	n2	Majesties	majesty	0
,	,	,	,	,	0
is	is	vbz	is	be	0
Money	Money	n1	Money	money	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
,	,	,	,	,	0
being	being	vbg	being	be	0
hard	hard	j	hard	hard	0
to	to	pc-acp	to	to	0
Raise	Raise	vvi	Raise	raise	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
Regard	Regard	n1	Regard	regard	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
General	General	j	General	general	0
Poverty	Poverty	n1	Poverty	poverty	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Nation	Nation	n1	Nation	nation	0
occasioned	occasioned	vvn	occasioned	occasion	0
thereby	thereby	av	thereby	thereby	0
,	,	,	,	,	0
together	together	av	together	together	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
Want	Want	n1	Want	want	0
of	of	pp-f	of	of	0
Trade	Trade	n1	Trade	trade	0
,	,	,	,	,	0
ought	ought	pi	ought	aught	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
managed	managed	vvn	managed	manage	0
with	with	p-acp	with	with	0
all	all	d	all	all	0
frugal	frugal	j	frugal	frugal	0
Care	Care	n1	Care	care	0
and	and	cc	and	and	0
good	good	j	good	good	0
Husbandry	Husbandry	n1	Husbandry	husbandry	0
;	;	;	;	;	0
for	for	p-acp	for	for	0
Want	Want	n1	Want	want	0
of	of	pp-f	of	of	0
which	which	r-crq	which	which	0
,	,	,	,	,	0
the	the	dt	the	the	0
Treasure	Treasure	n1	Treasure	treasure	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Nation	Nation	n1	Nation	nation	0
is	is	vbz	is	be	0
much	much	av-d	much	much	0
exhau	exhau	fw-fr	exhau	exhau	0
∣	∣	sy	∣	∣	0
sted	sted	n1	stead	stead	0
,	,	,	,	,	0
and	and	cc	and	and	0
great	great	j	great	great	0
Part	Part	n1	Part	part	0
of	of	pp-f	of	of	0
that	that	d	that	that	0
which	which	r-crq	which	which	0
ought	ought	vmd	ought	ought	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
imployed	imployed	vvn	employed	employ	0
to	to	pc-acp	to	to	0
encourage	encourage	vvi	encourage	encourage	0
Vertue	Vertue	n1	Virtue	virtue	0
and	and	cc	and	and	0
Industry	Industry	n1	Industry	industry	0
,	,	,	,	,	0
is	is	vbz	is	be	0
de	de	fw-la	de	de	0
∣	∣	sy	∣	∣	0
stroyed	stroyed	vvn	stroyed	stroy	0
by	by	p-acp	by	by	0
Idleness	Idleness	n1	Idleness	idleness	0
and	and	cc	and	and	0
Extravagancy	Extravagancy	n1	Extravagancy	extravagancy	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
is	is	vbz	is	be	0
fully	fully	av-j	fully	full	0
demonstrated	demonstrated	vvn	demonstrated	demonstrate	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
following	following	vvg	following	follow	0
Proposals	Proposals	n2	Proposals	proposal	0
:	:	:	:	:	0
For	For	c-acp	For	for	0
,	,	,	,	,	0
if	if	cs	if	if	0
those	those	d	those	those	0
Persons	Persons	n2	Persons	person	0
Intrusted	Intrusted	vvn	Entrusted	entrust	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Management	Management	n1	Management	management	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
same	same	d	same	same	0
,	,	,	,	,	0
especially	especially	av-j	especially	especial	0
those	those	d	those	those	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Lower	Lower	jc	Lower	low	0
Sphere	Sphere	n1	Sphere	sphere	0
,	,	,	,	,	0
would	would	vmd	would	will	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
their	their	po32	their	their	0
several	several	j	several	several	0
Stations	Stations	n2	Stations	station	0
,	,	,	,	,	0
Discharge	Discharge	vvb	Discharge	discharge	0
their	their	po32	their	their	0
Trust	Trust	n1	Trust	trust	0
with	with	p-acp	with	with	0
that	that	d	that	that	0
Care	Care	n1	Care	care	0
and	and	cc	and	and	0
Fidelity	Fidelity	n1	Fidelity	fidelity	0
as	as	c-acp	as	as	0
they	they	pns32	they	they	0
ought	ought	vmd	ought	ought	0
,	,	,	,	,	0
the	the	dt	the	the	0
Burthen	Burthen	n1	Burden	burden	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
War	War	n1	War	war	0
would	would	vmd	would	will	0
be	be	vbi	be	be	0
far	far	av-j	far	far	0
more	more	av-dc	more	more	0
easy	easy	j	easy	easy	0
,	,	,	,	,	0
and	and	cc	and	and	0
all	all	d	all	all	0
those	those	d	those	those	0
seeming	seeming	j-vvg	seeming	seem	0
Clouds	Clouds	n2	Clouds	cloud	0
of	of	pp-f	of	of	0
Sorrow	Sorrow	n1	Sorrow	sorrow	0
and	and	cc	and	and	0
Despair	Despair	n1	Despair	despair	0
that	that	cst	that	that	0
do	do	vdb	do	do	0
Annoy	Annoy	vvi	Annoy	annoy	0
would	would	vmd	would	will	0
soon	soon	av	soon	soon	0
vanish	vanish	vvi	vanish	vanish	0
,	,	,	,	,	0
and	and	cc	and	and	0
all	all	d	all	all	0
its	its	po31	its	its	0
Attendants	Attendants	n2-jn	Attendants	attendant	0
of	of	pp-f	of	of	0
Complaints	Complaints	n2	Complaints	complaint	0
and	and	cc	and	and	0
Poverty	Poverty	n1	Poverty	poverty	0
must	must	vmb	must	must	0
then	then	av	then	then	0
give	give	vvi	give	give	0
Way	Way	n1	Way	way	0
to	to	p-acp	to	to	0
Courage	Courage	n1	Courage	courage	0
and	and	cc	and	and	0
Magnanimity	Magnanimity	n1	Magnanimity	magnanimity	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
only	only	j	only	only	0
means	means	n2	means	mean	0
to	to	pc-acp	to	to	0
vanquish	vanquish	vvi	vanquish	vanquish	0
and	and	cc	and	and	0
overcome	overcome	vvi	overcome	overcome	0
Our	Our	po12	Our	our	0
Insulting	Insulting	j-vvg	Insulting	insult	0
Foes	Foes	n2	Foes	foe	0
,	,	,	,	,	0
and	and	cc	and	and	0
thereby	thereby	av	thereby	thereby	0
advance	advance	vvi	advance	advance	0
the	the	dt	the	the	0
Glory	Glory	n1	Glory	glory	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
English	English	jp	English	english	0
Na	Na	fw-mi	Na	na	0
∣	∣	sy	∣	∣	0
tion	tion	n1	cion	cion	0
;	;	;	;	;	0
and	and	cc	and	and	0
to	to	p-acp	to	to	0
this	this	d	this	this	0
End	End	vvb	End	end	0
,	,	,	,	,	0
being	being	vbg	being	be	0
moved	moved	vvn	moved	move	0
by	by	p-acp	by	by	0
a	a	dt	a	a	0
zealous	zealous	j	zealous	zealous	0
Design	Design	n1	Design	design	0
of	of	pp-f	of	of	0
serving	serving	vvg	serving	serve	0
and	and	cc	and	and	0
preserving	preserving	vvg	preserving	preserve	0
as	as	p-acp	as	as	0
much	much	d	much	much	0
as	as	c-acp	as	as	0
in	in	p-acp	in	in	0
me	me	pno11	me	i	0
lyeth	lyeth	vvz	lies	lie	0
Their	Their	po32	Their	their	0
Majesties	Majesties	n2	Majesties	majesty	0
and	and	cc	and	and	0
the	the	dt	the	the	0
Publick	Publick	j	Public	public	0
,	,	,	,	,	0
rather	rather	av-c	rather	rather	0
than	than	cs	than	than	0
any	any	d	any	any	0
Private	Private	j	Private	private	0
Interest	Interest	n1	Interest	interest	0
,	,	,	,	,	0
or	or	cc	or	or	0
Vain	Vain	j	Vain	vain	0
Desire	Desire	n1	Desire	desire	0
of	of	pp-f	of	of	0
Pro	Pro	np1	Pro	Pro	0
∣	∣	sy	∣	∣	0
fit	fit	n1	fit	fit	0
or	or	cc	or	or	0
Preferment	Preferment	n1	Preferment	preferment	0
,	,	,	,	,	0
I	I	pns11	I	i	0
humbly	humbly	av-j	humbly	humble	0
take	take	vvb	take	take	0
Leave	Leave	n1	Leave	leave	0
to	to	pc-acp	to	to	0
lay	lay	vvi	lay	lay	0
before	before	a-acp	before	before	0
your	your	po22	your	your	0
Honours	Honours	ng1	Honours	honour	0
these	these	d	these	these	0
my	my	po11	my	my	0
following	following	j-vvg	following	follow	0
Proposals	Proposals	n2	Proposals	proposal	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
they	they	pns32	they	they	0
were	were	vbdr	were	be	0
presented	presented	vvn	presented	present	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Right	Right	n-jn	Right	right	0
Honourable	Honourable	j	Honourable	honourable	0
the	the	dt	the	the	0
Commissioners	Commissioners	n2	Commissioners	commissioner	0
for	for	p-acp	for	for	0
Executing	Executing	vvg	Executing	execute	0
the	the	dt	the	the	0
Office	Office	n1	Office	office	0
of	of	pp-f	of	of	0
Lord	Lord	n1	Lord	lord	0
High-Admiral	High-Admiral	n1	High-Admiral	high-admiral	0
of	of	pp-f	of	of	0
England	England	np1	England	England	0
;	;	;	;	;	0
together	together	av	together	together	0
with	with	p-acp	with	with	0
a	a	dt	a	a	0
Brief	Brief	n1	Brief	brief	0
Account	Account	vvb	Account	account	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
Proceedings	Proceedings	n2-vvg	Proceedings	proceed	0
,	,	,	,	,	0
before	before	c-acp	before	before	0
that	that	cst	that	that	0
Ho	Ho	uh	Ho	ho	0
∣	∣	sy	∣	∣	0
nourable	nourable	j	nourable	nourable	0
Board	Board	n1	Board	board	0
as	as	c-acp	as	as	0
they	they	pns32	they	they	0
are	are	vbr	are	be	0
Inserted	Inserted	vvn	Inserted	insert	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
follow	follow	n1	follow	follow	0
∣	∣	sy	∣	∣	0
ing	ing	zz	ing	ing	0
Tract	Tract	n1	Tract	tract	0
,	,	,	,	,	0
all	all	d	all	all	0
which	which	r-crq	which	which	0
with	with	p-acp	with	with	0
Submission	Submission	n1	Submission	submission	0
,	,	,	,	,	0
I	I	pns11	I	i	0
most	most	av-ds	most	most	0
hum	hum	vvi	hum	hum	0
∣	∣	sy	∣	∣	0
bly	bly	zz	bly	bly	0
offer	offer	n1	offer	offer	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
Honour's	Honour's	n1|vbz	Honour's	honour|be	0
further	further	av-jc	further	further	0
Considera	Considera	fw-la	Considera	considera	0
∣	∣	sy	∣	∣	0
tion	tion	n1	cion	cion	0
.	.	.	.	.	1
