To	To	p-acp	To	to	0
the	the	dt	the	the	0
Church	Church	n1	Church	church	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
God	God	np1	God	God	0
the	the	dt	the	the	0
father	father	n1	father	father	0
,	,	,	,	,	0
and	and	cc	and	and	0
our	our	po12	our	our	0
Lord	Lord	n1	Lord	lord	0
Jesus	Jesus	np1	Jesus	Jesus	0
Christ	Christ	np1	Christ	Christ	0
,	,	,	,	,	0
grace	grace	n1	grace	grace	0
,	,	,	,	,	0
and	and	cc	and	and	0
peace	peace	n1	peace	peace	0
,	,	,	,	,	0
from	from	p-acp	from	from	0
God	God	np1	God	God	0
our	our	po12	our	our	0
Father	Father	n1	Father	father	0
,	,	,	,	,	0
and	and	cc	and	and	0
from	from	p-acp	from	from	0
our	our	po12	our	our	0
Lord	Lord	n1	Lord	lord	0
Jesus	Jesus	np1	Jesus	Jesus	0
Christ	Christ	np1	Christ	Christ	0
.	.	.	.	.	1
