PRECIOUS	PRECIOUS	j	PRECIOUS	precious	0
and	and	cc	and	and	0
dearly	dearly	av-jn	dearly	dear	0
belo	belo	fw-it	belo	belo	0
∣	∣	sy	∣	∣	0
ved	ved	j	ved	ved	0
Brethren	Brethren	n1	Brothers	brethren	0
,	,	,	,	,	0
I	I	pns11	I	i	0
know	know	vvb	know	know	0
it	it	pn31	it	it	0
would	would	vmd	would	will	0
seem	seem	vvi	seem	seem	0
very	very	av	very	very	0
strange	strange	j	strange	strange	0
to	to	p-acp	to	to	0
you	you	pn22	you	you	0
,	,	,	,	,	0
if	if	cs	if	if	0
this	this	d	this	this	0
following	following	j-vvg	following	follow	0
Treatise	Treatise	n1	Treatise	treatise	0
should	should	vmd	should	shall	0
come	come	vvi	come	come	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
hands	hands	n2	hands	hand	0
without	without	p-acp	without	without	0
my	my	po11	my	my	0
pub	pub	fw-la	pub	pub	0
∣	∣	sy	∣	∣	0
lick	lick	vvb	lick	lick	0
owning	owning	vvg	owning	own	0
of	of	pp-f	of	of	0
it	it	pn31	it	it	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
in	in	a-acp	in	in	0
∣	∣	sy	∣	∣	0
deed	deed	n1	deed	deed	0
well	well	n1	well	well	0
it	it	pn31	it	it	0
might	might	vmd	might	may	0
,	,	,	,	,	0
con	con	vvi	con	con	0
∣	∣	sy	∣	∣	0
sidering	sidering	vvg	sidering	sidere	0
my	my	po11	my	my	0
neer	neer	av-j	near	near	0
relati	relati	n1	relati	relati	0
∣	∣	sy	∣	∣	0
on	on	zz	on	on	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Author	Author	n1	Author	author	0
;	;	;	;	;	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
no	no	dx	no	no	0
small	small	j	small	small	0
joy	joy	n1	joy	joy	0
to	to	p-acp	to	to	0
my	my	po11	my	my	0
heart	heart	n1	heart	heart	0
that	that	cst	that	that	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
is	is	vbz	is	be	0
pleased	pleased	vvn	pleased	please	0
in	in	p-acp	in	in	0
these	these	d	these	these	0
our	our	po12	our	our	0
daies	daies	n2	days	day	0
any	any	d	any	any	0
way	way	n1	way	way	0
by	by	p-acp	by	by	0
any	any	d	any	any	0
means	means	n2	means	mean	0
to	to	pc-acp	to	to	0
put	put	vvi	put	put	0
his	his	po31	his	his	0
People	People	n1	People	people	0
in	in	p-acp	in	in	0
mind	mind	n1	mind	mind	0
of	of	pp-f	of	of	0
that	that	d	that	that	0
which	which	r-crq	which	which	0
they	they	pns32	they	they	0
are	are	vbr	are	be	0
so	so	av	so	so	0
prone	prone	j	prove	prone	0
to	to	pc-acp	to	to	0
forget	forget	vvi	forget	forget	0
,	,	,	,	,	0
namely	namely	av	namely	namely	0
the	the	dt	the	the	0
va	va	fw-fr	va	va	0
∣	∣	sy	∣	∣	0
rious	rious	j	rious	rious	0
workings	workings	n2	workings	working	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
