Brethren	Brethren	n1	Brothers	brethren	0
,	,	,	,	,	0
MY	MY	po11	MY	my	0
heart's	heart's	ng1	heart's	heart	0
desire	desire	n1	desire	desire	0
,	,	,	,	,	0
and	and	cc	and	and	0
prayer	prayer	n1	prayer	prayer	0
to	to	p-acp	to	to	0
God	God	np1	God	God	0
for	for	p-acp	for	for	0
you	you	pn22	you	you	0
all	all	d	all	all	0
,	,	,	,	,	0
is	is	vbz	is	be	0
that	that	cst	that	that	0
you	you	pn22	you	you	0
might	might	vmd	might	may	0
be	be	vbi	be	be	0
saved	saved	vvn	saved	save	0
:	:	:	:	:	0
For	For	c-acp	For	for	0
,	,	,	,	,	0
I	I	pns11	I	i	0
bear	bear	vvb	bear	bear	0
you	you	pn22	you	you	0
record	record	vvb	record	record	0
,	,	,	,	,	0
that	that	cst	that	that	0
you	you	pn22	you	you	0
have	have	vhb	have	have	0
a	a	dt	a	a	0
zeal	zeal	n1	zeal	zeal	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
;	;	;	;	;	0
only	only	av-j	only	only	0
if	if	cs	if	if	0
I	I	pns11	I	i	0
make	make	vvb	make	make	0
a	a	dt	a	a	0
doubt	doubt	n1	doubt	doubt	0
whether	whether	cs	whither	whether	0
it	it	pn31	it	it	0
be	be	vbb	be	be	0
according	according	vvg	according	accord	0
to	to	p-acp	to	to	0
knowledge	knowledge	n1	knowledge	knowledge	0
or	or	cc	or	or	0
no	no	dx	no	no	0
:	:	:	:	:	0
yea	yea	uh	yea	yea	0
,	,	,	,	,	0
if	if	cs	if	if	0
I	I	pns11	I	i	0
tell	tell	vvb	tell	tell	0
you	you	pn22	you	you	0
,	,	,	,	,	0
I	I	pns11	I	i	0
verily	verily	av-j	verily	very	0
believe	believe	vvb	believe	believe	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
not	not	xx	not	not	0
according	according	vvg	according	accord	0
to	to	p-acp	to	to	0
knowledge	knowledge	n1	knowledge	knowledge	0
,	,	,	,	,	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
sure	sure	j	sure	sure	0
(	(	(	(	(	0
your	your	po22	your	your	0
inge	inge	n1	inge	inge	0
∣	∣	sy	∣	∣	0
unity	unity	n1	unity	unity	0
is	is	vbz	is	be	0
such	such	d	such	such	0
)	)	)	)	)	0
that	that	cst	that	that	0
you	you	pn22	you	you	0
will	will	vmb	will	will	0
pardon	pardon	vvi	pardon	pardon	0
it	it	pn31	it	it	0
to	to	p-acp	to	to	0
me	me	pno11	me	i	0
,	,	,	,	,	0
considering	considering	vvg	considering	consider	0
that	that	cst	that	that	0
my	my	po11	my	my	0
own	own	d	own	own	0
per	per	fw-la	per	per	0
∣	∣	sy	∣	∣	0
swasion	swasion	n1	suasion	suasion	0
and	and	cc	and	and	0
practice	practice	n1	practice	practice	0
is	is	vbz	is	be	0
differing	differing	vvg	differing	differ	0
from	from	p-acp	from	from	0
you	you	pn22	you	you	0
,	,	,	,	,	0
and	and	cc	and	and	0
Charity	Charity	n1	Charity	charity	0
(	(	(	(	(	0
which	which	r-crq	which	which	0
al	al	d	all	all	0
∣	∣	sy	∣	∣	0
wayes	wayes	n2	ways	way	0
begins	begins	vvz	begins	begin	0
at	at	p-acp	at	at	0
home	home	n1-an	home	home	0
)	)	)	)	)	0
will	will	vmb	will	will	0
not	not	xx	not	not	0
allow	allow	vvi	allow	allow	0
me	me	pno11	me	i	0
to	to	pc-acp	to	to	0
judge	judge	vvi	judge	judge	0
my	my	po11	my	my	0
self	self	n1	self	self	0
to	to	pc-acp	to	to	0
practise	practise	vvi	practise	practise	0
upon	upon	p-acp	upon	upon	0
ignorance	ignorance	n1	ignorance	ignorance	0
;	;	;	;	;	0
though	though	cs	though	though	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
also	also	av	also	also	0
one	one	crd	one	one	0
o	o	sy	oh	o	0
them	them	pno32	them	they	0
who	who	r-crq	who	who	0
but	but	pc-acp	but	but	0
know	know	vvi	know	know	0
in	in	p-acp	in	in	0
part	part	n1	part	part	0
,	,	,	,	,	0
yet	yet	av	yet	yet	0
hope	hope	vvb	hope	hope	0
I	I	pns11	I	i	0
desire	desire	vvb	desire	desire	0
to	to	pc-acp	to	to	0
practise	practise	vvi	practise	practise	0
according	according	vvg	according	accord	0
to	to	p-acp	to	to	0
my	my	po11	my	my	0
knowledge	knowledge	n1	knowledge	knowledge	0
:	:	:	:	:	0
Which	Which	r-crq	Which	which	0
if	if	cs	if	if	0
you	you	pn22	you	you	0
will	will	vmb	will	will	0
b	b	sy	b	b	0
so	so	av	so	so	0
charitable	charitable	j	charitable	charitable	0
as	as	c-acp	as	as	0
to	to	pc-acp	to	to	0
suppose	suppose	vvi	suppose	suppose	0
,	,	,	,	,	0
I	I	pns11	I	i	0
must	must	vmb	must	must	0
judg	judg	vvb	judge	judge	0
your	your	po22	your	your	0
zeal	zeal	n1	zeal	zeal	0
not	not	xx	not	not	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
according	according	vvg	according	accord	0
to	to	pc-acp	to	to	0
know	know	vvi	know	know	0
¦	¦	sy	¦	¦	0
ledge	ledge	n1	ledge	ledge	0
.	.	.	.	.	1
And	And	cc	And	and	0
let	let	vvb	let	let	0
me	me	pno11	me	i	0
tell	tell	vvi	tell	tell	0
you	you	pn22	you	you	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
there	there	pc-acp	there	there	0
is	is	vbz	is	be	0
no	no	dx	no	no	0
more	more	av-dc	more	more	0
sacred	sacred	j	sacred	sacred	0
fire	fire	n1	fire	fire	0
than	than	cs	than	than	0
that	that	d	that	that	0
of	of	pp-f	of	of	0
zea	zea	n1	zea	zea	0
when	when	c-crq	when	when	0
it	it	pn31	it	it	0
hath	hath	vhz	hath	have	0
its	its	po31	its	its	0
due	due	j-jn	due	due	0
fuel	fuel	n1	fuel	fuel	0
,	,	,	,	,	0
and	and	cc	and	and	0
is	is	vbz	is	be	0
ex	ex	fw-la	ex	ex	0
∣	∣	sy	∣	∣	0
ercised	ercised	vvn	ercised	ercise	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
just	just	j	just	just	0
and	and	cc	and	and	0
good	good	j	good	good	0
cause	cause	n1	cause	cause	0
;	;	;	;	;	0
s	s	zz	s	s	0
there	there	a-acp	there	there	0
is	is	vbz	is	be	0
no	no	dx	no	no	0
more	more	av-dc	more	more	0
dangerous	dangerous	j	dangerous	dangerous	0
fire	fire	n1	fire	fire	0
when	when	c-crq	when	when	0
i	i	pns11	i	i	0
hath	hath	vhz	hath	have	0
a	a	dt	a	a	0
mistaken	mistaken	j-vvn	mistaken	mistake	0
object	object	n1	object	object	0
.	.	.	.	.	1
The	The	dt	The	the	0
zealou	zealou	j	zealou	zealou	0
soul	soul	n1	soul	soul	0
runneth	runneth	vvz	runneth	run	0
,	,	,	,	,	0
and	and	cc	and	and	0
as	as	p-acp	as	as	0
the	the	dt	the	the	0
man	man	n1	man	man	0
who	who	r-crq	who	who	0
run	run	n1	run	run	0
¦	¦	sy	¦	¦	0
neth	neth	n1	neth	neth	0
,	,	,	,	,	0
if	if	cs	if	if	0
he	he	pns31	he	he	0
be	be	vbb	be	be	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
right	right	j-jn	right	right	0
way	way	n1	way	way	0
come	come	vvb	come	come	0
quicker	quicker	jc	quicker	quick	0
than	than	cs	than	than	0
another	another	j-jn	another	another	0
to	to	p-acp	to	to	0
his	his	po31	his	his	0
journey	journey	n1	journey	journey	0
end	end	n1	end	end	0
;	;	;	;	;	0
but	but	cc-acp	but	but	0
if	if	cs	if	if	0
he	he	pns31	he	he	0
be	be	vbb	be	be	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
way	way	n1	way	way	0
,	,	,	,	,	0
is	is	vbz	is	be	0
sooner	sooner	av-c	sooner	soon	0
than	than	cs	than	than	0
another	another	n-jn	another	another	0
