SEneca	SEneca	np1	SEneca	SEneca	0
the	the	dt	the	the	0
Philosopher	Philosopher	n1	Philosopher	philosopher	0
(	(	(	(	(	0
to	to	p-acp	to	to	0
whome	whome	ro-crq	whom	who	0
without	without	p-acp	without	without	0
contro	contro	n1	contro	contro	0
∣	∣	sy	∣	∣	0
uersie	uersie	n1	uersie	uersie	0
,	,	,	,	,	0
the	the	dt	the	the	0
learned	learned	j	learned	learned	0
among	among	p-acp	among	among	0
the	the	dt	the	the	0
Latines	Latines	np1	Latines	Latines	0
gaue	gaue	vvd	gave	give	0
the	the	dt	the	the	0
pre	pre	fw-la	pre	pre	0
∣	∣	sy	∣	∣	0
heminence	heminence	n1	heminence	heminence	0
for	for	c-acp	for	for	0
morall	morall	j	moral	moral	0
Phi	Phi	np1	Phi	Phi	0
∣	∣	sy	∣	∣	0
losophie	losophie	n1	losophie	losophie	0
)	)	)	)	)	0
saith	saith	vvz	says	say	0
in	in	p-acp	in	in	0
fewe	fewe	d	few	few	0
words	words	n2	words	word	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
full	full	j	full	full	0
of	of	pp-f	of	of	0
sub	sub	fw-la	sub	sub	0
∣	∣	sy	∣	∣	0
stance	stance	n1	stance	stance	0
,	,	,	,	,	0
that	that	cst	that	that	0
Fortune	Fortune	n1	Fortune	fortune	0
is	is	vbz	is	be	0
neuer	neuer	av-x	never	never	0
at	at	p-acp	at	at	0
rest	rest	n1	rest	rest	0
;	;	;	;	;	0
and	and	cc	and	and	0
fur	fur	vvb	fur	fur	0
∣	∣	sy	∣	∣	0
ther	ther	a-acp	there	there	0
,	,	,	,	,	0
that	that	cst	that	that	0
she	she	pns31	she	she	0
vseth	vseth	vvz	uses	use	0
not	not	xx	not	not	0
to	to	pc-acp	to	to	0
giue	giue	vvi	give	give	0
ioy	ioy	n1	joy	joy	0
without	without	p-acp	without	without	0
sadnesse	sadnesse	n1	sadness	sadness	0
,	,	,	,	,	0
sweete	sweete	j	sweet	sweet	0
without	without	p-acp	without	without	0
