SR	SR	n1	SR	sir	0
Lancelot	Lancelot	np1	Lancelot	Lancelot	0
Oldisworth	Oldisworth	np1	Oldisworth	Oldisworth	0
of	of	pp-f	of	of	0
Ha	Ha	uh	Would	ha	0
∣	∣	sy	∣	∣	0
lifax	lifax	vvb	lifax	lifax	0
in	in	p-acp	in	in	0
York-shire	York-shire	n1	Yorkshire	yorkshire	0
,	,	,	,	,	0
Kt.	Kt.	np1	Kt.	Kt.	0
took	took	vvd	took	take	0
to	to	p-acp	to	to	0
wife	wife	n1	wife	wife	0
Bridget	Bridget	np1	Bridget	Bridget	0
,	,	,	,	,	0
daughter	daughter	n1	daughter	daughter	0
of	of	pp-f	of	of	0
VVilliam	VVilliam	np1	VVilliam	William	0
Ramsey	Ramsey	np1	Ramsey	Ramsey	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
same	same	d	same	same	0
Coun	Coun	fw-mi	Coun	coun	0
∣	∣	sy	∣	∣	0
tie	tie	vvb	tie	tie	0
,	,	,	,	,	0
Esq.	Esq.	np1	Esq.	Esq.	1
Their	Their	po32	Their	their	0
son	son	n1	son	son	0
was	was	vbds	was	be	0
Maurice	Maurice	np1	Maurice	Maurice	0
.	.	.	.	.	1
Maurice	Maurice	np1	Maurice	Maurice	0
Oldisworth	Oldisworth	np1	Oldisworth	Oldisworth	0
,	,	,	,	,	0
Husband	Husband	n1	Husband	husband	0
of	of	pp-f	of	of	0
VVinifred	VVinifred	np1	VVinifred	VVinifred	0
daughter	daughter	n1	daughter	daughter	0
to	to	p-acp	to	to	0
Steven	Steven	np1	Steven	Steven	0
,	,	,	,	,	0
the	the	dt	the	the	0
brother	brother	n1	brother	brother	0
of	of	pp-f	of	of	0
VValter	VValter	np1	VValter	VValter	0
Stapleton	Stapleton	np1	Stapleton	Stapleton	0
,	,	,	,	,	0
L.	L.	np1	L.	L.	0
Bp.	Bp.	np1	Bp.	Bp.	0
of	of	pp-f	of	of	0
Excester	Excester	np1	Excester	Excester	0
,	,	,	,	,	0
had	had	vhd	had	have	0
issue	issue	n1	issue	issue	0
Lan	Lan	zz	Lan	lan	0
∣	∣	sy	∣	∣	0
celot	celot	n1	celot	celot	0
.	.	.	.	.	1
Lancelot	Lancelot	np1	Lancelot	Lancelot	0
Oldisworth	Oldisworth	np1	Oldisworth	Oldisworth	0
married	married	vvn	married	marry	0
Alice	Alice	np1	Alice	Alice	0
,	,	,	,	,	0
daughter	daughter	n1	daughter	daughter	0
of	of	pp-f	of	of	0
Thomas	Thomas	np1	Thomas	Thomas	0
Frie	Frie	vvb	Fry	fry	0
of	of	pp-f	of	of	0
Devon-shire	Devon-shire	n1	Devonshire	devonshire	0
,	,	,	,	,	0
Gent.	Gent.	n1	Gent.	gentleman	0
he	he	pns31	he	he	0
begat	begat	vvd	begat	beget	0
Maurice	Maurice	np1	Maurice	Maurice	0
.	.	.	.	.	1
Maurice	Maurice	np1	Maurice	Maurice	0
Oldisworth	Oldisworth	np1	Oldisworth	Oldisworth	0
took	took	vvd	took	take	0
to	to	p-acp	to	to	0
wife	wife	n1	wife	wife	0
Gennet	Gennet	n1	Gennet	jennet	0
,	,	,	,	,	0
daughter	daughter	n1	daughter	daughter	0
of	of	pp-f	of	of	0
Iohn	Iohn	np1	Iohn	John	0
Philpot	Philpot	np1	Philpot	Philpot	0
L.	L.	np1	L.	L.	0
Mayor	Mayor	n1	Mayor	mayor	0
of	of	pp-f	of	of	0
London	London	np1	London	London	0
.	.	.	.	.	1
His	His	po31	His	his	0
son	son	n1	son	son	0
was	was	vbds	was	be	0
Lancelot	Lancelot	np1	Lancelot	Lancelot	0
.	.	.	.	.	1
Lancelot	Lancelot	np1	Lancelot	Lancelot	0
Oldisworth	Oldisworth	np1	Oldisworth	Oldisworth	0
was	was	vbds	was	be	0
Hus	Hus	zz	Hus	hus	0
∣	∣	sy	∣	∣	0
band	band	n1	band	band	0
to	to	p-acp	to	to	0
Margaret	Margaret	np1	Margaret	Margaret	0
,	,	,	,	,	0
daughter	daughter	n1	daughter	daughter	0
of	of	pp-f	of	of	0
Andrew	Andrew	np1	Andrew	Andrew	0
Foord	Foord	np1	Foord	Ford	0
of	of	pp-f	of	of	0
Cornwall	Cornwall	np1	Cornwall	Cornwall	0
,	,	,	,	,	0
Esq.	Esq.	np1	Esq.	Esq.	1
He	He	pns31	He	he	0
begat	begat	vvd	begat	beget	0
VVilliam	VVilliam	np1	VVilliam	William	0
.	.	.	.	.	1
VVilliam	VVilliam	np1	VVilliam	William	0
Oldisworth	Oldisworth	np1	Oldisworth	Oldisworth	0
married	married	vvd	married	marry	0
the	the	dt	the	the	0
daughter	daughter	n1	daughter	daughter	0
of	of	pp-f	of	of	0
Nicholas	Nicholas	np1	Nicholas	Nicholas	0
Read	Read	vvd	Read	read	0
of	of	pp-f	of	of	0
De	De	fw-fr	De	de	0
∣	∣	sy	∣	∣	0
von-shire	von-shire	n1	von-shire	von-shire	0
