DEarely	DEarely	av-jn	Dearly	dear	0
Beloved	Beloved	vvn	Beloved	belove	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
,	,	,	,	,	0
I	I	pns11	I	i	0
present	present	vvb	present	present	0
these	these	d	these	these	0
things	things	n2	things	thing	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
view	view	n1	view	view	0
;	;	;	;	;	0
that	that	cst	that	that	0
you	you	pn22	you	you	0
may	may	vmb	may	may	0
see	see	vvi	see	see	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
briefe	briefe	j	brief	brief	0
Conference	Conference	n1	Conference	conference	0
the	the	dt	the	the	0
summe	summe	n1	sum	sum	0
of	of	pp-f	of	of	0
that	that	d	that	that	0
Doctrine	Doctrine	n1	Doctrine	doctrine	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
(	(	(	(	(	0
through	through	p-acp	through	through	0
the	the	dt	the	the	0
grace	grace	n1	grace	grace	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
)	)	)	)	)	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
taught	taught	vvn	taught	teach	0
and	and	cc	and	and	0
you	you	pn22	you	you	0
belee	belee	vvb	belee	belee	0
∣	∣	sy	∣	∣	0
ved	ved	j	ved	ved	0
.	.	.	.	.	1
I	I	pns11	I	i	0
confesse	confesse	vvb	confess	confess	0
you	you	pn22	you	you	0
have	have	vhb	have	have	0
cause	cause	n1	cause	cause	0
to	to	pc-acp	to	to	0
say	say	vvi	say	say	0
,	,	,	,	,	0
that	that	cst	that	that	0
you	you	pn22	you	you	0
have	have	vhb	have	have	0
heard	heard	vvn	herd	hear	0
many	many	d	many	many	0
things	things	n2	things	thing	0
from	from	p-acp	from	from	0
me	me	pno11	me	i	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
are	are	vbr	are	be	0
not	not	xx	not	not	0
here	here	av	here	here	0
mentio	mentio	fw-la	mentio	mentio	0
∣	∣	sy	∣	∣	0
ned	ned	zz	ned	ned	0
:	:	:	:	:	0
Yet	Yet	av	Yet	yet	0
this	this	d	this	this	0
you	you	pn22	you	you	0
will	will	vmb	will	will	0
witnes	witnes	vvi	witness	witness	0
on	on	p-acp	on	on	0
my	my	po11	my	my	0
behalf	behalf	n1	behalf	behalf	0
,	,	,	,	,	0
that	that	cst	that	that	0
here	here	av	here	here	0
is	is	vbz	is	be	0
nothing	nothing	pix	nothing	nothing	0
set	set	vvn	set	set	0
down	down	p-acp	down	down	0
which	which	r-crq	which	which	0
you	you	pn22	you	you	0
have	have	vhb	have	have	0
not	not	xx	not	not	0
before	before	a-acp	before	before	0
heard	heard	vvn	herd	hear	0
.	.	.	.	.	1
I	I	pns11	I	i	0
have	have	vhb	have	have	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
present	present	j	present	present	0
discourse	discourse	n1	discourse	discourse	0
imita	imita	fw-la	imita	imita	0
∣	∣	sy	∣	∣	0
ted	ted	j	ted	ted	0
the	the	dt	the	the	0
Geographer	Geographer	n1	Geographer	geographer	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
intending	intending	vvg	intending	intend	0
to	to	pc-acp	to	to	0
describe	describe	vvi	describe	describe	0
a	a	dt	a	a	0
large	large	j	large	large	0
Countrey	Countrey	n1	Country	country	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
small	small	j	small	small	0
Map	Map	n1	Map	map	0
,	,	,	,	,	0
contenteth	contenteth	vvz	contents	content	0
himselfe	himselfe	px31	himself	himself	0
to	to	pc-acp	to	to	0
set	set	vvi	set	set	0
down	down	a-acp	down	down	0
the	the	dt	the	the	0
chiefe	chiefe	j-jn	chief	chief	0
Towns	Towns	n2	Towns	town	0
,	,	,	,	,	0
and	and	cc	and	and	0
let	let	vvb	let	let	0
the	the	dt	the	the	0
smal	smal	j	small	small	0
∣	∣	sy	∣	∣	0
ler	ler	vvb	ler	let	0
Villages	Villages	n2	Villages	village	0
,	,	,	,	,	0
passe	passe	vvb	pass	pass	0
without	without	p-acp	without	without	0
any	any	d	any	any	0
men	men	n2	men	man	0
∣	∣	sy	∣	∣	0
tion	tion	n1	cion	cion	0
.	.	.	.	.	1
Thus	Thus	av	Thus	thus	0
have	have	vhb	have	have	0
I	I	pns11	I	i	0
(	(	(	(	(	0
being	being	vbg	being	be	0
to	to	p-acp	to	to	0
draw	draw	vvi	draw	draw	0
the	the	dt	the	the	0
substance	substance	n1	substance	substance	0
of	of	pp-f	of	of	0
10	10	crd	10	10	0
yeares	yeares	ng2	years	year	0
Sermons	Sermons	n2	Sermons	sermon	0
into	into	p-acp	into	into	0
a	a	dt	a	a	0
few	few	d	few	few	0
lines	lines	n2	lines	line	0
)	)	)	)	)	0
contented	contented	vvd	contented	content	0
my	my	po11	my	my	0
selfe	selfe	n1	self	self	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
Description	Description	n1	Description	description	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
most	most	av-ds	most	most	0
materiall	materiall	j-jn	material	material	0
and	and	cc	and	and	0
fund	fund	n1	fund	fund	0
∣	∣	sy	∣	∣	0
mentall	mentall	j	mental	mental	0
Doctrines	Doctrines	n2	Doctrines	doctrine	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
de	de	dt	the	the	0
∣	∣	sy	∣	∣	0
livered	livered	vvn	livered	liver	0
unto	unto	p-acp	unto	unto	0
you	you	pn22	you	you	0
.	.	.	.	.	1
And	And	cc	And	and	0
this	this	d	this	this	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
done	done	vdn	done	do	0
,	,	,	,	,	0
not	not	xx	not	not	0
only	only	av-j	only	only	0
to	to	pc-acp	to	to	0
testifie	testifie	vvi	testify	testify	0
my	my	po11	my	my	0
unfained	unfained	j	unfeigned	unfeigned	0
love	love	n1	love	love	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
I	I	pns11	I	i	0
beare	beare	vvb	bear	bear	0
unto	unto	p-acp	unto	unto	0
you	you	pn22	you	you	0
,	,	,	,	,	0
and	and	cc	and	and	0
my	my	po11	my	my	0
ardent	ardent	j	ardent	ardent	0
desire	desire	n1	desire	desire	0
that	that	cst	that	that	0
your	your	po22	your	your	0
soules	soules	n2	souls	soul	0
may	may	vmb	may	may	0
prosper	prosper	vvi	prosper	prosper	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
also	also	av	also	also	0
to	to	pc-acp	to	to	0
signifie	signifie	vvi	signify	signify	0
unto	unto	p-acp	unto	unto	0
the	the	dt	the	the	0
World	World	n1	World	world	0
,	,	,	,	,	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
ready	ready	j	ready	ready	0
to	to	pc-acp	to	to	0
give	give	vvi	give	give	0
an	an	dt	and	a	0
account	account	n1	account	account	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
Faith	Faith	n1	Faith	faith	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
defend	defend	vvi	defend	defend	0
my	my	po11	my	my	0
Doctrine	Doctrine	n1	Doctrine	doctrine	0
(	(	(	(	(	0
against	against	p-acp	against	against	0
all	all	d	all	all	0
opposers	opposers	n2	opposers	opposer	0
)	)	)	)	)	0
from	from	p-acp	from	from	0
such	such	d	such	such	0
clamors	clamors	n2	clamours	clamour	0
and	and	cc	and	and	0
aspersions	aspersions	n2	aspersions	aspersion	0
as	as	c-acp	as	as	0
have	have	vhb	have	have	0
been	been	vbn	been	be	0
always	always	av	always	always	0
laid	laid	vvn	laid	lay	0
upon	upon	p-acp	upon	upon	0
it	it	pn31	it	it	0
,	,	,	,	,	0
But	But	cc-acp	But	but	0
especially	especially	av-j	especially	especial	0
when	when	c-crq	when	when	0
I	I	pns11	I	i	0
delivered	delivered	vvd	delivered	deliver	0
this	this	d	this	this	0
Ser	Ser	n1	Sir	sir	0
∣	∣	sy	∣	∣	0
mon	mon	fw-fr	mon	mon	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
you	you	pn22	you	you	0
have	have	vhb	have	have	0
seene	seene	vvn	seen	see	0
already	already	av	already	already	0
.	.	.	.	.	1
And	And	cc	And	and	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
confident	confident	j	confident	confident	0
I	I	pns11	I	i	0
shall	shall	vmb	shall	shall	0
be	be	vbi	be	be	0
able	able	j	able	able	0
to	to	pc-acp	to	to	0
do	do	vdi	do	do	0
this	this	d	this	this	0
,	,	,	,	,	0
through	through	p-acp	through	through	0
the	the	dt	the	the	0
grace	grace	n1	grace	grace	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
,	,	,	,	,	0
given	given	vvn	given	give	0
unto	unto	p-acp	unto	unto	0
me	me	pno11	me	i	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
your	your	po22	your	your	0
ardent	ardent	j	ardent	ardent	0
pray	pray	vvb	pray	pray	0
∣	∣	sy	∣	∣	0
ers	ers	uh	ers	ers	0
to	to	p-acp	to	to	0
God	God	np1	God	God	0
for	for	p-acp	for	for	0
me	me	pno11	me	i	0
,	,	,	,	,	0
that	that	cst	that	that	0
utterance	utterance	n1	utterance	utterance	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
given	given	vvn	given	give	0
me	me	pno11	me	i	0
,	,	,	,	,	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
may	may	vmb	may	may	0
open	open	vvi	open	open	0
my	my	po11	my	my	0
mouth	mouth	n1	mouth	mouth	0
boldly	boldly	av-j	boldly	bold	0
,	,	,	,	,	0
and	and	cc	and	and	0
declare	declare	vvi	declare	declare	0
the	the	dt	the	the	0
mystery	mystery	n1	mystery	mystery	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Gospell	Gospell	n1	Gospel	gospel	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
his	his	po31	his	his	0
glory	glory	n1	glory	glory	0
,	,	,	,	,	0
and	and	cc	and	and	0
your	your	po22	your	your	0
consolation	consolation	n1	consolation	consolation	0
.	.	.	.	.	1
The	The	dt	The	the	0
grace	grace	n1	grace	grace	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
Lord	Lord	n1	Lord	lord	0
Jesus	Jesus	np1	Jesus	Jesus	0
Christ	Christ	np1	Christ	Christ	0
be	be	vbb	be	be	0
with	with	p-acp	with	with	0
your	your	po22	your	your	0
spirit	spirit	n1	spirit	spirit	0
.	.	.	.	.	1
Amen	Amen	uh-n	Amen	amen	0
.	.	.	.	.	1
