Honoured	Honoured	j-vvn	Honoured	honour	0
and	and	cc	and	and	0
Beloved	Beloved	j-vvn	Beloved	belove	0
Brethren	Brethren	n2	Brothers	brethren	0
,	,	,	,	,	0
AS	AS	p-acp	AS	as	0
the	the	dt	the	the	0
subject	subject	j-jn	subject	subject	0
Matter	Matter	n1	Matter	matter	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
fol	fol	zz	fol	fol	0
∣	∣	sy	∣	∣	0
lowing	lowing	vvg	lowing	low	0
Discourse	Discourse	n1	Discourse	discourse	0
is	is	vbz	is	be	0
in	in	p-acp	in	in	0
defence	defence	n1	defence	defence	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
true	true	j	true	true	0
Apostolical	Apostolical	j	Apostolical	apostolical	0
Scripture	Scripture	n1	Scripture	scripture	0
manner	manner	n1	manner	manner	0
of	of	pp-f	of	of	0
Divine	Divine	j-jn	Divine	divine	0
Service	Service	n1	Service	service	0
,	,	,	,	,	0
and	and	cc	and	and	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Spiritual	Spiritual	j	Spiritual	spiritual	0
Worship	Worship	n1	Worship	worship	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
you	you	pn22	you	you	0
have	have	vhb	have	have	0
owned	owned	vvd	owned	own	0
and	and	cc	and	and	0
suffered	suffered	vvd	suffered	suffer	0
for	for	p-acp	for	for	0
,	,	,	,	,	0
and	and	cc	and	and	0
in	in	p-acp	in	in	0
which	which	r-crq	which	which	0
thrô	thrô	uh	thrô	thrô	0
the	the	dt	the	the	0
Grace	Grace	n1	Grace	grace	0
of	of	pp-f	of	of	0
Christ	Christ	np1	Christ	Christ	0
you	you	pn22	you	you	0
still	still	av	still	still	0
continue	continue	vvi	continue	continue	0
,	,	,	,	,	0
and	and	cc	and	and	0
as	as	c-acp	as	as	0
it	it	pn31	it	it	0
tends	tends	vvz	tends	tend	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
mu	mu	crd	mu	mu	0
∣	∣	sy	∣	∣	0
tual	tual	j	tual	tual	0
Peace	Peace	n1	Peace	peace	0
and	and	cc	and	and	0
Unity	Unity	n1	Unity	unity	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Churches	Churches	n2	Churches	church	0
;	;	;	;	;	0
so	so	av	so	so	0
I	I	pns11	I	i	0
hope	hope	vvb	hope	hope	0
that	that	cst	that	that	0
my	my	po11	my	my	0
Work	Work	n1	Work	work	0
and	and	cc	and	and	0
Service	Service	n1	Service	service	0
herein	herein	av	herein	herein	0
will	will	vmb	will	will	0
find	find	vvi	find	find	0
the	the	dt	the	the	0
greater	greater	jc	greater	great	0
acceptance	acceptance	n1	acceptance	acceptance	0
with	with	p-acp	with	with	0
you	you	pn22	you	you	0
.	.	.	.	.	1
And	And	np1	And	And	0
seeing	seeing	vvg	seeing	see	0
it	it	pn31	it	it	0
hath	hath	vhz	hath	have	0
graciously	graciously	av-j	graciously	gracious	0
plea	plea	n1	plea	plea	0
∣	∣	sy	∣	∣	0
sed	sed	zz	sed	sed	0
God	God	n1	God	god	0
to	to	pc-acp	to	to	0
preserve	preserve	vvi	preserve	preserve	0
you	you	pn22	you	you	0
so	so	av	so	so	0
stedfastly	stedfastly	av-j	steadfastly	steadfast	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Truth	Truth	n1	Truth	truth	0
under	under	p-acp	under	under	0
the	the	dt	the	the	0
greatest	greatest	js	greatest	great	0
Trials	Trials	n2	Trials	trial	0
and	and	cc	and	and	0
Sufferings	Sufferings	n2	Sufferings	suffering	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
Age	Age	n1	Age	age	0
,	,	,	,	,	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
ho	ho	zz	ho	ho	0
∣	∣	sy	∣	∣	0
ped	ped	n1	ped	bed	0
that	that	cst	that	that	0
the	the	dt	the	the	0
Errors	Errors	n2	Errors	error	0
of	of	pp-f	of	of	0
some	some	d	some	some	0
Persons	Persons	n2	Persons	person	0
shall	shall	vmb	shall	shall	0
never	never	av-x	never	never	0
corrupt	corrupt	vvi	corrupt	corrupt	0
your	your	po22	your	your	0
Minds	Minds	n2	Minds	mind	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
Simplicity	Simplicity	n1	Simplicity	simplicity	0
that	that	cst	that	that	0
is	is	vbz	is	be	0
in	in	p-acp	in	in	0
Christ	Christ	np1	Christ	Christ	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
any	any	d	any	any	0
part	part	n1	part	part	0
of	of	pp-f	of	of	0
Divine	Divine	j-jn	Divine	divine	0
Worship	Worship	n1	Worship	worship	0
,	,	,	,	,	0
or	or	cc	or	or	0
to	to	pc-acp	to	to	0
offer	offer	vvi	offer	offer	0
your	your	po22	your	your	0
Praises	Praises	n2	Praises	praise	0
to	to	p-acp	to	to	0
God	God	np1	God	God	0
in	in	p-acp	in	in	0
such	such	d	such	such	0
humane	humane	j	humane	humane	0
Forms	Forms	n2	Forms	form	0
,	,	,	,	,	0
and	and	cc	and	and	0
after	after	p-acp	after	after	0
such	such	d	such	such	0
a	a	dt	a	a	0
manner	manner	n1	manner	manner	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
we	we	pns12	we	we	0
have	have	vhb	have	have	0
no	no	dx	no	no	0
example	example	n1	example	example	0
for	for	p-acp	for	for	0
,	,	,	,	,	0
nor	nor	ccx	nor	nor	0
can	can	vmb	can	can	0
be	be	vbi	be	be	0
any	any	d	any	any	0
ways	ways	n2	ways	way	0
warranted	warranted	vvn	warranted	warrant	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
