VVhereas	VVhereas	cs	Whereas	whereas	0
you	you	pn22	you	you	0
areThis	areThis	np1	areThis	areThis	0
epi	epi	fw-la	epi	epi	0
∣	∣	sy	∣	∣	0
stle	stle	n1	stle	stle	0
vvas	vvas	vbds	was	be	0
vvriten	vvriten	vvn	written	write	0
in	in	p-acp	in	in	0
laten	laten	jp	latin	latin	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
au	au	fw-fr	au	au	0
∣	∣	sy	∣	∣	0
thor	thor	vvi	thor	thor	0
him	him	pno31	him	he	0
selfe	selfe	n1	self	self	0
.	.	.	.	.	1
(	(	(	(	(	0
most	most	av-ds	most	most	0
Reuerēd	Reuerēd	n-jn	Reverend	reverend	0
Pre	Pre	fw-es	Pre	pre	0
∣	∣	sy	∣	∣	0
lat	lat	zz	lat	lat	0
)	)	)	)	)	0
as	as	c-acp	as	as	0
you	you	pn22	you	you	0
forefathers	forefathers	n2	forefathers	forefather	0
were	were	vbdr	were	be	0
by	by	p-acp	by	by	0
orderly	orderly	j	orderly	orderly	0
vocation	vocation	n1	vocation	vocation	0
placed	placed	vvn	placed	place	0
as	as	p-acp	as	as	0
Patrone	Patrone	n1	Patron	patron	0
and	and	cc	and	and	0
pro	pro	fw-la	pro	pro	0
∣	∣	sy	∣	∣	0
tectour	tectour	n1	tectour	tectour	0
to	to	p-acp	to	to	0
this	this	d	this	this	0
vniuersite	vniuersite	vvi	vniuersite	vniuersite	0
of	of	pp-f	of	of	0
Ingolstad	Ingolstad	np1	Ingolstad	Ingolstad	0
,	,	,	,	,	0
sithen	sithen	j	sithen	sithen	0
that	that	cst	that	that	0
also	also	av	also	also	0
the	the	dt	the	the	0
right	right	j-jn	right	right	0
honorable	honorable	j	honourable	honourable	0
Prince	Prince	n1	Prince	prince	0
Albert	Albert	np1	Albert	Albert	0
Duke	Duke	n1	Duke	duke	0
of	of	pp-f	of	of	0
Bauaria	Bauaria	np1	Bauaria	Bavaria	0
hath	hath	vhz	hath	have	0
set	set	vvn	set	set	0
me	me	pno11	me	i	0
ouerseer	ouerseer	n1	overseer	overseer	0
and	and	cc	and	and	0
gouuerner	gouuerner	n1	gouuerner	gouuerner	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
same	same	d	same	same	0
,	,	,	,	,	0
it	it	pn31	it	it	0
had	had	vhd	had	have	0
be	be	vbi	be	be	0
∣	∣	sy	∣	∣	0
