THE	THE	dt	THE	the	0
Epistle	Epistle	n1	Epistle	epistle	0
Dedicatory	Dedicatory	j	Dedicatory	dedicatory	0
TO	TO	p-acp	TO	to	0
Sir	Sir	n1	Sir	sir	0
HUMPHRY	HUMPHRY	np1	HUMPHRY	Humphrey	0
MACKWORTH	MACKWORTH	np1	MACKWORTH	Mackworth	0
,	,	,	,	,	0
CHAIRMAN	CHAIRMAN	np1	CHAIRMAN	Chairman	0
,	,	,	,	,	0
And	And	cc	And	and	0
now	now	av	now	now	0
Standing	Standing	vvg	Standing	stand	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Place	Place	n1	Place	place	0
of	of	pp-f	of	of	0
ED	ED	wd	ED	ed	0
∣	∣	sy	∣	∣	0
WARD	WARD	n1	WARD	ward	0
PRICE	PRICE	n1	PRICE	price	0
,	,	,	,	,	0
Esq	Esq	np1	Esq	Esq	0
and	and	cc	and	and	0
late	late	j	late	late	0
of	of	pp-f	of	of	0
Sir	Sir	n1	Sir	sir	0
CARBERY	CARBERY	np1	CARBERY	CARBERY	0
PRICE	PRICE	n1	PRICE	price	0
;	;	;	;	;	0
AND	AND	cc	AND	and	0
TO	TO	p-acp	TO	to	0
The	The	dt	The	the	0
most	most	av-ds	most	most	0
Noble	Noble	j	Noble	noble	0
,	,	,	,	,	0
his	his	po31	his	his	0
Grace	Grace	n1	Grace	grace	0
,	,	,	,	,	0
the	the	dt	the	the	0
Duke	Duke	n1	Duke	duke	0
of	of	pp-f	of	of	0
LEEDS	LEEDS	np1	LEEDS	Leeds	0
,	,	,	,	,	0
The	The	dt	The	the	0
Right	Right	n-jn	Right	right	0
Honourable	Honourable	j	Honourable	honourable	0
the	the	dt	the	the	0
Mar	Mar	vvi	Mar	mar	0
∣	∣	sy	∣	∣	0
quess	quess	n1	quess	quess	0
of	of	pp-f	of	of	0
CARMARTHEN	CARMARTHEN	np1	CARMARTHEN	Carmarthen	0
,	,	,	,	,	0
The	The	dt	The	the	0
Right	Right	n-jn	Right	right	0
Honourable	Honourable	j	Honourable	honourable	0
Pawlet	Pawlet	np1	Pawlet	Pawlet	0
,	,	,	,	,	0
Earl	Earl	n1	Earl	earl	0
of	of	pp-f	of	of	0
BULLINGBROOK	BULLINGBROOK	np1	BULLINGBROOK	BULLINGBROOK	0
,	,	,	,	,	0
The	The	dt	The	the	0
Right	Right	n-jn	Right	right	0
Honourable	Honourable	j	Honourable	honourable	0
James	James	np1	James	James	0
,	,	,	,	,	0
Lord	Lord	n1	Lord	lord	0
Viscount	Viscount	np1	Viscount	Viscount	0
LANESBOROUGH	LANESBOROUGH	np1	LANESBOROUGH	Lanesborough	0
,	,	,	,	,	0
The	The	dt	The	the	0
Right	Right	n-jn	Right	right	0
Honourable	Honourable	j	Honourable	honourable	0
William	William	np1	William	William	0
,	,	,	,	,	0
Lord	Lord	n1	Lord	lord	0
Digby	Digby	np1	Digby	Digby	0
,	,	,	,	,	0
The	The	dt	The	the	0
Honourable	Honourable	j	Honourable	honourable	0
