HE	HE	pns31	HE	he	0
GYVETH	GYVETH	vvz	GYVETH	gyve	0
TVVYSE	TVVYSE	av	TWICE	twice	0
THAT	THAT	cst	THAT	that	0
Bis	Bis	fw-la	Bis	bis	0
dat	dat	d	that	that	0
,	,	,	,	,	0
qui	qui	fw-la	qui	qui	0
clto	clto	fw-it	clto	clto	0
dat	dat	d	that	that	0
.	.	.	.	.	0
gyueth	gyueth	vvz	gyveth	give	0
quyckely	quyckely	av-j	quyckely	quick	0
(	(	(	(	(	0
sayth	sayth	vvz	say	say	0
Senek	Senek	np1	Senek	Senek	0
)	)	)	)	)	0
.	.	.	.	.	0
the	the	dt	the	the	0
griete	griete	n2	griete	grief	0
,	,	,	,	,	0
whiche	whiche	r-crq	which	which	0
I	I	pns11	I	i	0
had	had	vhd	had	have	0
tor	tor	p-acp	tor	for	0
your	your	po22	your	your	0
lordeshypes	lordeshypes	n2	lordeshypes	lordeshype	0
dysease	dysease	n1	disease	disease	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
de	de	zz	de	de	0
∣	∣	sy	∣	∣	0
syre	syre	n1	sire	sire	0
that	that	cst	that	that	0
ye	ye	pn22	you	you	0
mought	mought	vmd	might	may	0
lyue	lyue	vvi	live	live	0
longe	longe	av-j	long	long	0
,	,	,	,	,	0
without	without	p-acp	without	without	0
syckenesse	syckenesse	n1	sickness	sickness	0
,	,	,	,	,	0
caused	caused	vvd	caused	cause	0
suche	suche	d	such	such	0
spede	spede	n1	speed	speed	0
in	in	p-acp	in	in	0
buyldinge	buyldinge	vvg	building	build	0
the	the	dt	the	the	0
Castell	Castell	n1	Castle	castle	0
of	of	pp-f	of	of	0
helth	helth	n1	health	health	0
,	,	,	,	,	0
that	that	cst	that	that	0
ther	ther	a-acp	there	there	0
∣	∣	sy	∣	∣	0
in	in	zz	in	in	0
lacked	lacked	vvd	lacked	lack	0
some	some	d	some	some	0
parte	parte	n1	part	part	0
of	of	pp-f	of	of	0
perfection	perfection	n1	perfection	perfection	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
yet	yet	av	yet	yet	0
the	the	dt	the	the	0
promptnesse	promptnesse	n1	promptness	promptness	0
in	in	p-acp	in	in	0
gyuynge	gyuynge	vvg	gyving	gyve	0
that	that	d	that	that	0
thinge	thinge	n1	thing	thing	0
,	,	,	,	,	0
whiche	whiche	r-crq	which	which	0
