BY	BY	p-acp	BY	by	0
the	the	dt	the	the	0
Blessing	Blessing	n1	Blessing	blessing	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
upon	upon	p-acp	upon	upon	0
this	this	d	this	this	0
treatise	treatise	n1	treatise	treatise	0
(	(	(	(	(	0
con	con	fw-mi	con	con	0
∣	∣	sy	∣	∣	0
taining	taining	vvg	taining	tain	0
His	His	po31	His	his	0
own	own	d	own	own	0
directions	directions	n2	directions	direction	0
there	there	pc-acp	there	there	0
)	)	)	)	)	0
it	it	pn31	it	it	0
can	can	vmb	can	can	0
heale	heale	vvi	heal	heal	0
the	the	dt	the	the	0
heart	heart	n1	heart	heart	0
and	and	cc	and	and	0
the	the	dt	the	the	0
hand	hand	n1	hand	hand	0
palsied	palsied	vvn	palsied	palsy	0
with	with	p-acp	with	with	0
feare	feare	n1	fear	fear	0
:	:	:	:	:	0
It	It	pn31	It	it	0
will	will	vmb	will	will	0
be	be	vbi	be	be	0
no	no	dx	no	no	0
dishonour	dishonour	n1	dishonour	dishonour	0
then	then	av	then	then	0
to	to	pc-acp	to	to	0
take	take	vvi	take	take	0
it	it	pn31	it	it	0
into	into	p-acp	into	into	0
your	your	po22	your	your	0
hand	hand	n1	hand	hand	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
lay	lay	vvi	lay	lay	0
these	these	d	these	these	0
directions	directions	n2	directions	direction	0
(	(	(	(	(	0
if	if	cs	if	if	0
it	it	pn31	it	it	0
can	can	vmb	can	can	0
be	be	vbi	be	be	0
)	)	)	)	)	0
yet	yet	av	yet	yet	0
closer	closer	av-jc	closer	close	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
heart	heart	n1	heart	heart	0
,	,	,	,	,	0
whereby	whereby	c-crq	whereby	whereby	0
the	the	dt	the	the	0
City	City	n1	City	city	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
have	have	vhb	have	have	0
been	been	vbn	been	be	0
a	a	dt	a	a	0
quiet	quiet	j-jn	quiet	quiet	0
habitation	habitation	n1	habitation	habitation	0
,	,	,	,	,	0
Esay	Esay	np1	Esay	Easie	0
33.	33.	crd	33.	33.	0
20.	20.	crd	20.	20.	0
when	when	r-crq	when	when	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
now	now	av	now	now	0
,	,	,	,	,	0
The	The	dt	The	the	0
blast	blast	n1	blast	blast	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
terrible	terrible	j	terrible	terrible	0
ones	ones	pi2	ones	one	0
have	have	vhb	have	have	0
made	made	vvd	made	make	0
the	the	dt	the	the	0
earth	earth	n1	earth	earth	0
to	to	pc-acp	to	to	0
shake	shake	vvi	shake	shake	0
and	and	cc	and	and	0
tremble	tremble	vvi	tremble	tremble	0
under	under	p-acp	under	under	0
us	us	pno12	us	we	0
:	:	:	:	:	0
And	And	cc	And	and	0
you	you	pn22	you	you	0
now	now	av	now	now	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
such	such	d	such	such	0
as	as	c-acp	as	as	0
you	you	pn22	you	you	0
,	,	,	,	,	0
that	that	cst	that	that	0
love	love	n1	love	love	0
,	,	,	,	,	0
feare	feare	vvb	fear	fear	0
,	,	,	,	,	0
trust	trust	vvb	trust	trust	0
GOD	GOD	np1	GOD	God	0
,	,	,	,	,	0
doing	doing	vdg	doing	do	0
your	your	po22	your	your	0
duty	duty	n1	duty	duty	0
,	,	,	,	,	0
and	and	cc	and	and	0
maintaining	maintaining	vvg	maintaining	maintain	0
your	your	po22	your	your	0
watch	watch	n1	watch	watch	0
,	,	,	,	,	0
doe	doe	vdb	do	do	0
maintayne	maintayne	vvi	maintain	maintain	0
PEACE	PEACE	n1	PEACE	peace	0
,	,	,	,	,	0
and	and	cc	and	and	0
at	at	p-acp	at	at	0
such	such	d	such	such	0
a	a	dt	a	a	0
time	time	n1	time	time	0
.	.	.	.	.	1
Ezra	Ezra	np1	Ezra	Ezra	0
.	.	.	.	.	1
4.	4.	crd	4.	4.	0
17.	17.	crd	17.	17.	1
Peace	Peace	n1	Peace	peace	0
is	is	vbz	is	be	0
good	good	j	good	good	0
at	at	p-acp	at	at	0
all	all	d	all	all	0
times	times	n2	times	time	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
ever	ever	av	ever	ever	0
best	best	js	best	best	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
worst	worst	js	worst	worst	0
times	times	n2	times	time	0
,	,	,	,	,	0
perilous	perilous	j	perilous	perilous	0
and	and	cc	and	and	0
feirce	feirce	j	fierce	fierce	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
are	are	vbr	are	be	0
the	the	dt	the	the	0
times	times	n2	times	time	0
of	of	pp-f	of	of	0
Refor	Refor	n1	Refor	refor	0
∣	∣	sy	∣	∣	0
mation	mation	n1	mansion	mansion	0
,	,	,	,	,	0
troublous	troublous	j	troublous	troublous	0
evermore	evermore	av	evermore	evermore	0
:	:	:	:	:	0
when	when	c-crq	when	when	0
hands	hands	n2	hands	hand	0
and	and	cc	and	and	0
Dan.	Dan.	np1	Dan.	Dan.	1
9.	9.	crd	9.	9	0
28.	28.	crd	28.	28.	1
Jer.	Jer.	np1	Jer.	Jer.	0
20.	20.	crd	20.	20.	0
3.	3.	crd	3.	3.	1
Tongues	Tongues	ng1	Tongues	tongue	0
are	are	vbr	are	be	0
bent	bent	vvn	bent	bend	0
to	to	pc-acp	to	to	0
make	make	vvi	make	make	0
the	the	dt	the	the	0
City	City	n1	City	city	0
of	of	pp-f	of	of	0
GOD	GOD	np1	GOD	God	0
MAGOR	MAGOR	np1	MAGOR	Magor	0
MISSABIB	MISSABIB	np1	MISSABIB	MISSABIB	0
,	,	,	,	,	0
terrour	terrour	n1	terror	terror	0
on	on	p-acp	on	on	0
every	every	d	every	every	0
side	side	n1	side	side	0
:	:	:	:	:	0
Then	Then	av	Then	then	0
peace	peace	n1	peace	peace	0
is	is	vbz	is	be	0
good	good	j	good	good	0
;	;	;	;	;	0
Then	Then	av	Then	then	0
cordi	cordi	fw-la	cordi	cordi	0
∣	∣	sy	∣	∣	0
alls	alls	d|vbz	alls	all|be	0
are	are	vbr	are	be	0
so	so	av	so	so	0
indeed	indeed	av	indeed	indeed	0
,	,	,	,	,	0
strong	strong	j	strong	strong	0
consolations	consolations	n2	consolations	consolation	0
(	(	(	(	(	0
they	they	pns32	they	they	0
are	are	vbr	are	be	0
the	the	av	the	then	0
con	con	vvi	con	con	0
∣	∣	sy	∣	∣	0
solations	solations	n2	solations	solation	0
of	of	pp-f	of	of	0
GOD	GOD	np1	GOD	God	0
)	)	)	)	)	0
at	at	p-acp	at	at	0
such	such	d	such	such	0
a	a	dt	a	a	0
time	time	n1	time	time	0
.	.	.	.	.	1
Peace	Peace	n1	Peace	peace	0
in	in	p-acp	in	in	0
and	and	cc	and	and	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
world	world	n1	world	world	0
is	is	vbz	is	be	0
good	good	j	good	good	0
,	,	,	,	,	0
if	if	cs	if	if	0
it	it	pn31	it	it	0
could	could	vmd	could	can	0
be	be	vbi	be	be	0
had	had	vhn	had	have	0
upon	upon	p-acp	upon	upon	0
good	good	j	good	good	0
termes	termes	n2	terms	term	0
:	:	:	:	:	0
But	But	cc-acp	But	but	0
that	that	cst	that	that	0
it	it	pn31	it	it	0
not	not	xx	not	not	0
possible	possible	j	possible	possible	0
.	.	.	.	.	1
The	The	dt	The	the	0
world	world	n1	world	world	0
will	will	vmb	will	will	0
love	love	vvi	love	love	0
their	their	po32	their	their	0
own	own	d	own	own	0
,	,	,	,	,	0
And	And	cc	And	and	0
they	they	pns32	they	they	0
shall	shall	vmb	shall	shall	0
have	have	vhi	have	have	0
peace	peace	n1	peace	peace	0
,	,	,	,	,	0
such	such	d	such	such	0
as	as	c-acp	as	as	0
the	the	dt	the	the	0
world	world	n1	world	world	0
can	can	vmb	can	can	0
give	give	vvi	give	give	0
;	;	;	;	;	0
They	They	pns32	They	they	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
can	can	vmb	can	can	0
comply	comply	vvi	comply	comply	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
world	world	n1	world	world	0
;	;	;	;	;	0
can	can	vmb	can	can	0
give	give	vvi	give	give	0
out	out	av	out	out	0
unto	unto	p-acp	unto	unto	0
them	them	pno32	them	they	0
the	the	dt	the	the	0
right	right	j-jn	right	right	0
hand	hand	n1	hand	hand	0
of	of	pp-f	of	of	0
fellowship	fellowship	n1	fellowship	fellowship	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
thrust	thrust	vvi	thrust	thrust	0
Christ	Christ	np1	Christ	Christ	0
from	from	p-acp	from	from	0
His	His	po31	His	his	0
Throne	Throne	n1	Throne	throne	0
,	,	,	,	,	0
and	and	cc	and	and	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
world	world	n1	world	world	0
:	:	:	:	:	0
these	these	d	these	these	0
shall	shall	vmb	shall	shall	0
have	have	vhi	have	have	0
peace	peace	n1	peace	peace	0
,	,	,	,	,	0
for	for	c-acp	for	for	0
they	they	pns32	they	they	0
are	are	vbr	are	be	0
the	the	dt	the	the	0
worlds	worlds	n2	world's	world	0
first	first	ord	first	first	0
born	born	vvn	born	bear	0
,	,	,	,	,	0
and	and	cc	and	and	0
right	right	j-jn	right	right	0
hands	hands	n2	hands	hand	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
times	times	n2	times	time	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
you	you	pn22	you	you	0
cannot	cannot	vmbx	cannot	can	0
do	do	vdi	do	do	0
so	so	av	so	so	0
.	.	.	.	.	1
Such	Such	d	Such	such	0
a	a	dt	a	a	0
peace	peace	n1	peace	peace	0
,	,	,	,	,	0
peace	peace	n1	peace	peace	0
without	without	p-acp	without	without	0
truth	truth	n1	truth	truth	0
is	is	vbz	is	be	0
of	of	pp-f	of	of	0
vile	vile	j	vile	vile	0
esteeme	esteeme	n1	esteem	esteem	0
with	with	p-acp	with	with	0
you	you	pn22	you	you	0
,	,	,	,	,	0
you	you	pn22	you	you	0
abhor	abhor	vvb	abhor	abhor	0
it	it	pn31	it	it	0
at	at	p-acp	at	at	0
such	such	d	such	such	0
a	a	dt	a	a	0
price	price	n1	price	price	0
,	,	,	,	,	0
and	and	cc	and	and	0
upon	upon	p-acp	upon	upon	0
such	such	d	such	such	0
termes	termes	n2	terms	term	0
as	as	p-acp	as	as	0
the	the	dt	the	the	0
world	world	n1	world	world	0
bids	bids	vvz	bids	bid	0
for	for	p-acp	for	for	0
it	it	pn31	it	it	0
,	,	,	,	,	0
and	and	cc	and	and	0
doth	doth	vdz	does	do	0
purchase	purchase	vvi	purchase	purchase	0
the	the	dt	the	the	0
same	same	d	same	same	0
.	.	.	.	.	1
You	You	pn22	You	you	0
follow	follow	vvb	follow	follow	0
peace	peace	n1	peace	peace	0
with	with	p-acp	with	with	0
all	all	d	all	all	0
men	men	n2	men	man	0
,	,	,	,	,	0
and	and	cc	and	and	0
Holynesse	Holynesse	n1	Holiness	holiness	0
(	(	(	(	(	0
That	That	cst	That	that	0
is	is	vbz	is	be	0
a	a	dt	a	a	0
point	point	n1	point	point	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
highest	highest	js	highest	high	0
wis	wis	vvb	wis	wis	0
∣	∣	sy	∣	∣	0
dome	dome	n1	dome	dome	0
)	)	)	)	)	0
without	without	p-acp	without	without	0
which	which	r-crq	which	which	0
no	no	dx	no	no	0
man	man	n1	man	man	0
