HAuing	HAuing	vhg	Having	have	0
had	had	vhd	had	have	0
long	long	j	long	long	0
experience	experience	n1	experience	experience	0
(	(	(	(	(	0
Right	Right	j-jn	Right	right	0
vertuous	vertuous	j	virtuous	virtuous	0
Gentlewomen	Gentlewomen	n2	Gentlewomen	gentlewoman	0
)	)	)	)	)	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
Christian	Christian	njp	Christian	christian	0
Pietie	Pietie	n1	Piety	piety	0
and	and	cc	and	and	0
Charitie	Charitie	n1	Charity	charity	0
,	,	,	,	,	0
groun	groun	n1	groun	groun	0
∣	∣	sy	∣	∣	0
ded	ded	j	dead	dead	0
vpon	vpon	p-acp	upon	upon	0
a	a	dt	a	a	0
true	true	j	true	true	0
knowledge	knowledge	n1	knowledge	knowledge	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
word	word	n1	word	word	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
,	,	,	,	,	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
thought	thought	vvn	thought	think	0
good	good	j	good	good	0
to	to	pc-acp	to	to	0
present	present	vvi	present	present	0
vnto	vnto	p-acp	unto	unto	0
you	you	pn22	you	you	0
,	,	,	,	,	0
this	this	d	this	this	0
short	short	j	short	short	0
Treatise	Treatise	n1	Treatise	treatise	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
lear	lear	j	lear	lear	0
∣	∣	sy	∣	∣	0
ned	ned	zz	ned	ned	0
Writer	Writer	n1	Writer	writer	0
,	,	,	,	,	0
Translated	Translated	vvn	Translated	translate	0
by	by	p-acp	by	by	0
me	me	pno11	me	i	0
,	,	,	,	,	0
for	for	c-acp	for	for	0
the	the	dt	the	the	0
good	good	j	good	good	0
liking	liking	n-vvg	liking	like	0
I	I	pns11	I	i	0
had	had	vhd	had	have	0
thereof	thereof	av	thereof	thereof	0
.	.	.	.	.	1
Wherein	Wherein	c-crq	Wherein	wherein	0
he	he	pns31	he	he	0
directeth	directeth	vvz	directeth	direct	0
euery	euery	d	every	every	0
Christi	Christi	np1	Christi	Christi	0
∣	∣	sy	∣	∣	0
an	an	dt	and	a	0
how	how	c-crq	how	how	0
to	to	pc-acp	to	to	0
begin	begin	vvi	begin	begin	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
goe	goe	vvi	go	go	0
forward	forward	av-j	forward	forward	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
perseuere	perseuere	vvi	persevere	persevere	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
way	way	n1	way	way	0
of	of	pp-f	of	of	0
Pietie	Pietie	n1	Piety	piety	0
&	&	cc	&	and	0
Cha	Cha	zz	Cha	cha	0
∣	∣	sy	∣	∣	0
ritie	ritie	n1	ritie	ritie	0
,	,	,	,	,	0
