MEN	MEN	np1	MEN	Men	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
most	most	av-ds	most	most	0
part	part	n1	part	part	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
opinions	opinions	n2	opinions	opinion	0
,	,	,	,	,	0
are	are	vbr	are	be	0
bread	bread	vvn	bred	breed	0
up	up	a-acp	up	up	0
with	with	p-acp	with	with	0
so	so	av	so	so	0
much	much	d	much	much	0
feare	feare	n1	fear	fear	0
and	and	cc	and	and	0
scrupulosity	scrupulosity	n1	scrupulosity	scrupulosity	0
,	,	,	,	,	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
no	no	av-dx	no	no	0
sooner	sooner	av-c	sooner	soon	0
arive	arive	vvi	arrive	arrive	0
to	to	p-acp	to	to	0
some	some	d	some	some	0
measure	measure	n1	measure	measure	0
of	of	pp-f	of	of	0
knowledge	knowledge	n1	knowledge	knowledge	0
in	in	p-acp	in	in	0
their	their	po32	their	their	0
perticular	perticular	j	particular	particular	0
way	way	n1	way	way	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
they	they	pns32	they	they	0
become	become	vvb	become	become	0
meere	meere	j	mere	mere	0
Pedants	Pedants	n2	Pedants	pedant	0
;	;	;	;	;	0
fierce	fierce	j	fierce	fierce	0
and	and	cc	and	and	0
violent	violent	j	violent	violent	0
censurers	censurers	n2	censurers	censurer	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
things	things	n2	things	thing	0
;	;	;	;	;	0
they	they	pns32	they	they	0
are	are	vbr	are	be	0
not	not	xx	not	not	0
accustomed	accustomed	vvn	accustomed	accustom	0
to	to	p-acp	to	to	0
themselves	themselves	px32	themselves	themselves	0
,	,	,	,	,	0
instantly	instantly	av-jn	instantly	instant	0
en	en	fw-fr	en	en	0
∣	∣	sy	∣	∣	0
gaging	gaging	n-vvg	gaging	gage	0
,	,	,	,	,	0
and	and	cc	and	and	0
condemning	condemning	vvg	condemning	condemn	0
,	,	,	,	,	0
before	before	c-acp	before	before	0
they	they	pns32	they	they	0
have	have	vhb	have	have	0
deliberately	deliberately	av-j	deliberately	deliberate	0
examined	examined	vvn	examined	examine	0
,	,	,	,	,	0
or	or	cc	or	or	0
maturely	maturely	av-j	maturely	mature	0
debated	debated	vvn	debated	debate	0
the	the	dt	the	the	0
thing	thing	n1	thing	thing	0
they	they	pns32	they	they	0
judge	judge	vvb	judge	judge	0
:	:	:	:	:	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
an	an	dt	and	a	0
evill	evill	j-jn	evil	evil	0
and	and	cc	and	and	0
unhappy	unhappy	j	unhappy	unhappy	0
temper	temper	n1	temper	temper	0
of	of	pp-f	of	of	0
mind	mind	n1	mind	mind	0
,	,	,	,	,	0
because	because	c-acp	because	because	0
unsciable	unsciable	j	unsciable	unsciable	0
:	:	:	:	:	0
and	and	cc	and	and	0
proceedeth	proceedeth	vvz	proceedeth	proceed	0
from	from	p-acp	from	from	0
want	want	n1	want	want	0
of	of	pp-f	of	of	0
that	that	cst	that	that	0
generall	generall	j	general	general	0
knowledge	knowledge	n1	knowledge	knowledge	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
freedome	freedome	n1	freedom	freedom	0
of	of	pp-f	of	of	0
consideration	consideration	n1	consideration	consideration	0
would	would	vmd	would	will	0
beget	beget	vvi	beget	beget	0
.	.	.	.	.	1
It	It	pn31	It	it	0
is	is	vbz	is	be	0
therfore	therfore	av	therefore	therefore	0
worth	worth	j	worth	worth	0
our	our	po12	our	our	0
labour	labour	n1	labour	labour	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
study	study	vvi	study	study	0
how	how	c-crq	how	how	0
to	to	pc-acp	to	to	0
reduce	reduce	vvi	reduce	reduce	0
our	our	po12	our	our	0
minds	minds	n2	minds	mind	0
into	into	p-acp	into	into	0
the	the	dt	the	the	0
most	most	av-ds	most	most	0
friendly	friendly	j	friendly	friendly	0
disposition	disposition	n1	disposition	disposition	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
ready	ready	j	ready	ready	0
,	,	,	,	,	0
and	and	cc	and	and	0
alwayes	alwayes	av	always	always	0
provided	provided	vvn	provided	provide	0
of	of	pp-f	of	of	0
harmelesse	harmelesse	j	harmless	harmless	0
and	and	cc	and	and	0
friendly	friendly	j	friendly	friendly	0
thoughts	thoughts	n2	thoughts	thought	0
of	of	pp-f	of	of	0
men	men	n2	men	man	0
and	and	cc	and	and	0
things	things	n2	things	thing	0
,	,	,	,	,	0
untill	untill	c-acp	until	until	0
evident	evident	j	evident	evident	0
cause	cause	n1	cause	cause	0
appeare	appeare	vvi	appear	appear	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
contra	contra	fw-la	contra	contra	0
∣	∣	sy	∣	∣	0
ry	ry	zz	ry	ry	0
;	;	;	;	;	0
not	not	xx	not	not	0
to	to	pc-acp	to	to	0
looke	looke	vvi	look	look	0
with	with	p-acp	with	with	0
an	an	dt	and	a	0
evill	evill	j-jn	evil	evil	0
or	or	cc	or	or	0
a	a	dt	a	a	0
growling	growling	j-vvg	growling	growl	0
eye	eye	n1	eye	eye	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
if	if	cs	if	if	0
we	we	pns12	we	we	0
desired	desired	vvd	desired	desire	0
to	to	pc-acp	to	to	0
find	find	vvi	find	find	0
matter	matter	n1	matter	matter	0
to	to	pc-acp	to	to	0
except	except	vvi	except	except	0
against	against	p-acp	against	against	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
a	a	dt	a	a	0
shrewd	shrewd	j	shrewd	shrewd	0
signe	signe	n1	sign	sign	0
of	of	pp-f	of	of	0
desease	desease	n1	disease	disease	0
,	,	,	,	,	0
when	when	c-crq	when	when	0
the	the	dt	the	the	0
stomock	stomock	n1	stomock	stomock	0
hankers	hankers	n2	hankers	hanker	0
after	after	p-acp	after	after	0
unhol	unhol	j-jn	unhol	unhol	0
some	some	d	some	some	0
things	things	n2	things	thing	0
.	.	.	.	.	1
It	It	pn31	It	it	0
cannot	cannot	vmbx	cannot	can	0
proceed	proceed	vvi	proceed	proceed	0
from	from	p-acp	from	from	0
true	true	j	true	true	0
Religion	Religion	n1	Religion	religion	0
rightly	rightly	av-jn	rightly	right	0
understood	understood	vvn	understood	understand	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
beget	beget	vvi	beget	beget	0
malancholly	malancholly	j-jn	melancholy	melancholy	0
,	,	,	,	,	0
moody	moody	j	moody	moody	0
,	,	,	,	,	0
angry	angry	j	angry	angry	0
,	,	,	,	,	0
frampoll	frampoll	n1	frampoll	frampoll	0
Imaginations	Imaginations	n2	Imaginations	imagination	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
that	that	d	that	that	0
rightly	rightly	av-jn	rightly	right	0
understood	understood	vvd	understood	understand	0
begets	begets	vvz	begets	beget	0
cheerfulnesse	cheerfulnesse	n1	cheerfulness	cheerfulness	0
of	of	pp-f	of	of	0
spirit	spirit	n1	spirit	spirit	0
:	:	:	:	:	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
ever	ever	av	ever	ever	0
accompanied	accompanied	vvn	accompanied	accompany	0
with	with	p-acp	with	with	0
love	love	n1	love	love	0
,	,	,	,	,	0
and	and	cc	and	and	0
maketh	maketh	vv2	makes	make	0
the	the	dt	the	the	0
best	best	js	best	best	0
construction	construction	n1	construction	construction	0
:	:	:	:	:	0
for	for	p-acp	for	for	0
love	love	n1	love	love	0
thinketh	thinketh	vvz	thinketh	think	0
no	no	dx	no	no	0
evill	evill	j-jn	evil	evil	0
:	:	:	:	:	0
but	but	cc-acp	but	but	0
hopeth	hopeth	vvz	hopeth	hope	0
all	all	d	all	all	0
things	things	n2	things	thing	0
:	:	:	:	:	0
and	and	cc	and	and	0
is	is	vbz	is	be	0
very	very	av	very	very	0
kind	kind	j	kind	kind	0
to	to	p-acp	to	to	0
all	all	d	all	all	0
men	men	n2	men	man	0
.	.	.	.	.	1
The	The	dt	The	the	0
ensuing	ensuing	j-vvg	ensuing	ensue	0
discourse	discourse	n1	discourse	discourse	0
,	,	,	,	,	0
would	would	vmd	would	will	0
not	not	xx	not	not	0
need	need	vvi	need	need	0
this	this	d	this	this	0
preparative	preparative	n1	preparative	preparative	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
that	that	cst	that	that	0
there	there	pc-acp	there	there	0
is	is	vbz	is	be	0
an	an	dt	and	a	0
aptnesse	aptnesse	n1	aptness	aptness	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
most	most	ds	most	most	0
to	to	pc-acp	to	to	0
misconster	misconster	vvi	misconstrue	misconstrue	0
;	;	;	;	;	0
and	and	cc	and	and	0
a	a	dt	a	a	0
readinesse	readinesse	n1	readiness	readiness	0
to	to	p-acp	to	to	0
giveeare	giveeare	j-jn	giveeare	giveeare	0
,	,	,	,	,	0
gladly	gladly	av-j	gladly	glad	0
to	to	p-acp	to	to	0
any	any	d	any	any	0
that	that	cst	that	that	0
shall	shall	vmb	shall	shall	0
shew	shew	vvi	show	show	0
either	either	d	either	either	0
wit	wit	n1	wit	wit	0
,	,	,	,	,	0
passion	passion	n1	passion	passion	0
,	,	,	,	,	0
or	or	cc	or	or	0
mallice	mallice	n1	malice	malice	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
finding	finding	vvg	finding	find	0
fault	fault	n1	fault	fault	0
:	:	:	:	:	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
pittie	pittie	n1	pity	pity	0
good	good	j	good	good	0
peo	peo	fw-la	peo	peo	0
∣	∣	sy	∣	∣	0
ple	ple	n1	ple	ple	0
should	should	vmd	should	shall	0
so	so	av	so	so	0
easily	easily	av-j	easily	easy	0
be	be	vbi	be	be	0
deluded	deluded	vvn	deluded	delude	0
:	:	:	:	:	0
or	or	cc	or	or	0
evill	evill	j-jn	evil	evil	0
men	men	n2	men	man	0
so	so	av	so	so	0
easily	easily	av-j	easily	easy	0
worke	worke	vvi	work	work	0
their	their	po32	their	their	0
ends	ends	n2	ends	end	0
upon	upon	p-acp	upon	upon	0
them	them	pno32	them	they	0
:	:	:	:	:	0
or	or	cc	or	or	0
good	good	j	good	good	0
intents	intents	n2	intents	intent	0
be	be	vbb	be	be	0
so	so	av	so	so	0
easily	easily	av-j	easily	easy	0
frustrated	frustrated	vvn	frustrated	frustrate	0
:	:	:	:	:	0
the	the	dt	the	the	0
unusualnesse	unusualnesse	n1	unusualness	unusualness	0
of	of	pp-f	of	of	0
