Whorthy	Whorthy	j	Whorthy	whorthy	0
SIR	SIR	n1	SIR	sir	0
!	!	!	!	!	1
YOu	YOu	pn22	YOu	you	0
may	may	vmb	may	may	0
censure	censure	vvi	censure	censure	0
me	me	pno11	me	i	0
for	for	p-acp	for	for	0
over-much	over-much	av	overmuch	overmuch	0
boldness	boldness	n1	boldness	boldness	0
to	to	pc-acp	to	to	0
set	set	vvi	set	set	0
to	to	p-acp	to	to	0
you	you	pn22	you	you	0
,	,	,	,	,	0
or	or	cc	or	or	0
use	use	vvb	use	use	0
your	your	po22	your	your	0
name	name	n1	name	name	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
insu	insu	n1	insum	insum	0
∣	∣	sy	∣	∣	0
ing	ing	zz	ing	ing	0
Treatise	Treatise	n1	Treatise	treatise	0
for	for	p-acp	for	for	0
Patronage	Patronage	n1	Patronage	patronage	0
without	without	p-acp	without	without	0
your	your	po22	your	your	0
leave	leave	n1	leave	leave	0
or	or	cc	or	or	0
licence	licence	n1	licence	licence	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
that	that	cst	that	that	0
is	is	vbz	is	be	0
Plea	Plea	n1	Plea	plea	0
sufficient	sufficient	j	sufficient	sufficient	0
,	,	,	,	,	0
that	that	cst	that	that	0
you	you	pn22	you	you	0
did	did	vdd	did	do	0
not	not	xx	not	not	0
know	know	vvi	know	know	0
it	it	pn31	it	it	0
,	,	,	,	,	0
if	if	cs	if	if	0
any	any	d	any	any	0
danger	danger	n1	danger	danger	0
,	,	,	,	,	0
or	or	cc	or	or	0
disgrace	disgrace	n1	disgrace	disgrace	0
should	should	vmd	should	shall	0
befall	befall	vvi	befall	befall	0
it	it	pn31	it	it	0
,	,	,	,	,	0
or	or	cc	or	or	0
it	it	pn31	it	it	0
miscarry	miscarry	vvb	miscarry	miscarry	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
the	the	dt	the	the	0
truth	truth	n1	truth	truth	0
of	of	pp-f	of	of	0
Christ	Christ	np1	Christ	Christ	0
needs	needs	vvz	needs	need	0
no	no	dx	no	no	0
defence	defence	n1	defence	defence	0
,	,	,	,	,	0
for	for	c-acp	for	for	0
Christ	Christ	np1	Christ	Christ	0
himself	himself	px31	himself	himself	0
will	will	vmb	will	will	0
grace	grace	vvi	grace	grace	0
his	his	po31	his	his	0
own	own	d	own	own	0
truth	truth	n1	truth	truth	0
in	in	p-acp	in	in	0
,	,	,	,	,	0
and	and	cc	and	and	0
for	for	p-acp	for	for	0
his	his	po31	his	his	0
Saints	Saints	n2	Saints	saint	0
that	that	cst	that	that	0
love	love	vvb	love	love	0
it	it	pn31	it	it	0
,	,	,	,	,	0
if	if	cs	if	if	0
they	they	pns32	they	they	0
should	should	vmd	should	shall	0
hold	hold	vvi	hold	hold	0
their	their	po32	their	their	0
peace	peace	n1	peace	peace	0
.	.	.	.	.	1
Sir	Sir	n1	Sir	sir	0
,	,	,	,	,	0
I	I	pns11	I	i	0
desire	desire	vvb	desire	desire	0
io	io	uh	io	io	0
know	know	vvb	know	know	0
no	no	dx	no	no	0
man	man	n1	man	man	0
after	after	p-acp	after	after	0
the	the	dt	the	the	0
Flesh	Flesh	n1	Flesh	flesh	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
after	after	p-acp	after	after	0
the	the	dt	the	the	0
Spirit	Spirit	n1	Spirit	spirit	0
,	,	,	,	,	0
and	and	cc	and	and	0
am	am	vbm	am	be	0
determined	determined	vvn	determined	determine	0
not	not	xx	not	not	0
to	to	pc-acp	to	to	0
know	know	vvi	know	know	0
any	any	d	any	any	0
thing	thing	n1	thing	thing	0
here	here	av	here	here	0
below	below	a-acp	below	below	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
Jesus	Jesus	np1	Jesus	Jesus	0
Christ	Christ	np1	Christ	Christ	0
,	,	,	,	,	0
and	and	cc	and	and	0
him	him	pno31	him	he	0
crucified	crucified	vvd	crucified	crucify	0
,	,	,	,	,	0
and	and	cc	and	and	0
with	with	p-acp	with	with	0
that	that	d	that	that	0
spirituall	spirituall	j	spiritual	spiritual	0
eye	eye	n1	eye	eye	0
do	do	vdb	do	do	0
I	I	pns11	I	i	0
desire	desire	vvb	desire	desire	0
to	to	pc-acp	to	to	0
look	look	vvi	look	look	0
upon	upon	p-acp	upon	upon	0
you	you	pn22	you	you	0
,	,	,	,	,	0
and	and	cc	and	and	0
love	love	vvb	love	love	0
you	you	pn22	you	you	0
,	,	,	,	,	0
and	and	cc	and	and	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
onely	onely	j	only	only	0
motive	motive	n1	motive	motive	0
moving	moving	vvg	moving	move	0
me	me	pno11	me	i	0
to	to	pc-acp	to	to	0
make	make	vvi	make	make	0
thus	thus	av	thus	thus	0
bold	bold	j	bold	bold	0
with	with	p-acp	with	with	0
you	you	pn22	you	you	0
.	.	.	.	.	1
Sir	Sir	n1	Sir	sir	0
,	,	,	,	,	0
It	It	pn31	It	it	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
Politick	Politick	j	Politic	politic	0
practice	practice	n1	practice	practice	0
of	of	pp-f	of	of	0
impostors	impostors	n2	impostors	impostor	0
(	(	(	(	(	0
like	like	j	like	like	0
cun	cun	vmb	cun	can	0
∣	∣	sy	∣	∣	0
ning	ning	n1	ning	ning	0
crafty	crafty	j	crafty	crafty	0
masking	masking	j-vvg	masking	mask	0
mummers	mummers	n2	mummers	mummer	0
)	)	)	)	)	0
to	to	pc-acp	to	to	0
hide	hide	vvi	hide	hide	0
their	their	po32	their	their	0
faces	faces	n2	faces	face	0
,	,	,	,	,	0
and	and	cc	and	and	0
rattle	rattle	vvi	rattle	rattle	0
a	a	dt	a	a	0
boxful	boxful	j	boxful	boxful	0
of	of	pp-f	of	of	0
Counters	Counters	n2	Counters	counter	0
instead	instead	av	instead	instead	0
of	of	pp-f	of	of	0
good	good	j	good	good	0
Gold	Gold	n1	Gold	gold	0
&	&	cc	&	and	0
Silver	Silver	n1	Silver	silver	0
:	:	:	:	:	0
So	So	av	So	so	0
these	these	d	these	these	0
men	men	n2	men	man	0
wind	wind	vvb	wind	wind	0
in	in	p-acp	in	in	0
their	their	po32	their	their	0
erroneous	erroneous	j	erroneous	erroneous	0
doctrines	doctrines	n2	doctrines	doctrine	0
,	,	,	,	,	0
and	and	cc	and	and	0
counterfeit	counterfeit	j-jn	counterfeit	counterfeit	0
opinions	opinions	n2	opinions	opinion	0
,	,	,	,	,	0
and	and	cc	and	and	0
then	then	av	then	then	0
perswade	perswade	vvi	persuade	persuade	0
poor	poor	j	poor	poor	0
silly	silly	j	silly	silly	0
people	people	n1	people	people	0
,	,	,	,	,	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
pure	pure	j	pure	pure	0
truth	truth	n1	truth	truth	0
of	of	pp-f	of	of	0
Jesus	Jesus	np1	Jesus	Jesus	0
Christ	Christ	np1	Christ	Christ	0
:	:	:	:	:	0
And	And	cc	And	and	0
thus	thus	av	thus	thus	0
have	have	vhb	have	have	0
they	they	pns32	they	they	0
done	done	vdn	done	do	0
with	with	p-acp	with	with	0
some	some	d	some	some	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
people	people	n1	people	people	0
,	,	,	,	,	0
and	and	cc	and	and	0
by	by	p-acp	by	by	0
this	this	d	this	this	0
means	means	n2	means	mean	0
brought	brought	vvd	brought	bring	0
me	me	pno11	me	i	0
upon	upon	p-acp	upon	upon	0
this	this	d	this	this	0
unpleasing	unpleasing	j	unpleasing	unpleasing	0
work	work	n1	work	work	0
,	,	,	,	,	0
constraining	constraining	vvg	constraining	constrain	0
mee	mee	pno11	me	i	0
to	to	pc-acp	to	to	0
shape	shape	vvi	shape	shape	0
an	an	dt	and	a	0
Answer	Answer	n1	Answer	answer	0
to	to	p-acp	to	to	0
a	a	dt	a	a	0
wrangler	wrangler	n1	wrangler	wrangler	0
,	,	,	,	,	0
