HONORABLE	HONORABLE	j	HONOURABLE	honourable	0
SIR	SIR	n1	SIR	sir	0
,	,	,	,	,	0
the	the	dt	the	the	0
wisest	wisest	js	wisest	wise	0
of	of	pp-f	of	of	0
Men	Men	n2	Men	man	0
,	,	,	,	,	0
or	or	cc	or	or	0
rather	rather	av-c	rather	rather	0
the	the	dt	the	the	0
wisedome	wisedome	n1	wisdom	wisdom	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
tells	tells	vvz	tells	tell	0
vs	vs	pno12	us	we	0
,	,	,	,	,	0
Eccles.	Eccles.	np1	Eccles.	Eccles.	1
3.1	3.1	crd	3.1	3.1	0
.	.	.	.	.	0
that	that	cst	that	that	0
there	there	pc-acp	there	there	0
is	is	vbz	is	be	0
a	a	dt	a	a	0
time	time	n1	time	time	0
for	for	p-acp	for	for	0
all	all	d	all	all	0
things	things	n2	things	thing	0
:	:	:	:	:	0
and	and	cc	and	and	0
that	that	cst	that	that	0
the	the	dt	the	the	0
great	great	j	great	great	0
God	God	np1	God	God	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
at	at	p-acp	at	at	0
his	his	po31	his	his	0
owne	owne	d	own	own	0
will	will	n1	will	will	0
beganne	beganne	vvd	began	begin	0
time	time	n1	time	time	0
it	it	pn31	it	it	0
selfe	selfe	n1	self	self	0
,	,	,	,	,	0
doth	doth	vdz	does	do	0
at	at	p-acp	at	at	0
his	his	po31	his	his	0
owne	owne	d	own	own	0
Time	Time	n1	Time	time	0
beginne	beginne	vvi	begin	begin	0
all	all	d	all	all	0
things	things	n2	things	thing	0
else	else	av	else	else	0
:	:	:	:	:	0
the	the	dt	the	the	0
foolishnesse	foolishnesse	n1	foolishness	foolishness	0
of	of	pp-f	of	of	0
men	men	n2	men	man	0
may	may	vmb	may	may	0
aske	aske	vvi	ask	ask	0
and	and	cc	and	and	0
muse	muse	vvi	muse	muse	0
why	why	c-crq	why	why	0
was	was	vbds	was	be	0
this	this	d	this	this	0
so	so	av	so	so	0
soone	soone	av	soon	soon	0
,	,	,	,	,	0
and	and	cc	and	and	0
that	that	cst	that	that	0
so	so	av	so	so	0
late	late	av-j	late	late	0
?	?	?	?	?	0
but	but	p-acp	but	but	0
the	the	dt	the	the	0
wisedome	wisedome	n1	wisdom	wisdom	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
knowes	knowes	vvz	knows	know	0
what	what	r-crq	what	what	0
is	is	vbz	is	be	0
fit	fit	j	fit	fit	0
for	for	p-acp	for	for	0
euery	euery	d	every	every	0
time	time	n1	time	time	0
:	:	:	:	:	0
And	And	cc	And	and	0
surely	surely	av-j	surely	sure	0
amongst	amongst	p-acp	among	among	0
the	the	dt	the	the	0
sen	sen	fw-la	sen	sen	0
∣	∣	sy	∣	∣	0
sible	sible	j-u	sible	sible	0
signes	signes	n2	signs	sign	0
,	,	,	,	,	0
and	and	cc	and	and	0
euident	euident	j	evident	evident	0
demonstrations	demonstrations	n2	demonstrations	demonstration	0
of	of	pp-f	of	of	0
Gods	Gods	n2	Gods	god	0
all-gouerning	all-gouerning	j	all-gouerning	all-gouerning	0
prouidence	prouidence	n1	providence	providence	0
,	,	,	,	,	0
this	this	d	this	this	0
is	is	vbz	is	be	0
not	not	xx	not	not	0
the	the	dt	the	the	0
least	least	ds	least	least	0
,	,	,	,	,	0
that	that	cst	that	that	0
he	he	pns31	he	he	0
brings	brings	vvz	brings	bring	0
not	not	xx	not	not	0
forth	forth	av	forth	forth	0
his	his	po31	his	his	0
migh	migh	av-j	migh	mighty	0
∣	∣	sy	∣	∣	0
tie	tie	zz	tie	tie	0
works	works	vvz	works	work	0
altogether	altogether	av	altogether	altogether	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
makes	makes	vvz	makes	make	0
every	every	d	every	every	0
thing	thing	n1	thing	thing	0
beautifull	beautifull	j	beautiful	beautiful	0
in	in	p-acp	in	in	0
his	his	po31	his	his	0
time	time	n1	time	time	0
.	.	.	.	.	1
Eccl.	Eccl.	np1	Eccl.	Eccl.	0
3.1	3.1	crd	3.1	3.1	0
.	.	.	.	.	1
And	And	cc	And	and	0
as	as	c-acp	as	as	0
in	in	p-acp	in	in	0
his	his	po31	his	his	0
creation	creation	n1	creation	creation	0
he	he	pns31	he	he	0
made	made	vvd	made	make	0
not	not	xx	not	not	0
al	al	d	all	all	0
at	at	p-acp	at	at	0
once	once	a-acp	once	once	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
produced	produced	vvd	produced	produce	0
them	them	pno32	them	they	0
in	in	p-acp	in	in	0
their	their	po32	their	their	0
seuerall	seuerall	j	several	several	0
daies	daies	n2	days	day	0
:	:	:	:	:	0
so	so	av	so	so	0
in	in	p-acp	in	in	0
his	his	po31	his	his	0
gubernation	gubernation	n1	gubernation	gubernation	0
,	,	,	,	,	0
he	he	pns31	he	he	0
reueileth	reueileth	vvz	reveileth	reveil	0
not	not	xx	not	not	0
the	the	dt	the	the	0
knowledge	knowledge	n1	knowledge	knowledge	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
things	things	n2	things	thing	0
in	in	p-acp	in	in	0
one	one	crd	one	one	0
Age	Age	n1	Age	age	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
discouers	discouers	vvz	discovers	discover	0
them	them	pno32	them	they	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
seuerall	seuerall	j	several	several	0
ages	ages	n2	ages	age	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
World	World	n1	World	world	0
.	.	.	.	.	1
And	And	cc	And	and	0
if	if	cs	if	if	0
man	man	n1	man	man	0
aske	aske	vvb	ask	ask	0
why	why	c-crq	why	why	0
God	God	np1	God	God	0
doth	doth	vdz	does	do	0
thus	thus	av	thus	thus	0
,	,	,	,	,	0
holy	holy	j	holy	holy	0
David	David	np1	David	David	0
giues	giues	vvz	gives	give	0
the	the	dt	the	the	0
answere	answere	n1	answer	answer	0
;	;	;	;	;	0
The	The	dt	The	the	0
Lord	Lord	n1	Lord	lord	0
hath	hath	vhz	hath	have	0
so	so	av	so	so	0
done	done	vdn	done	do	0
his	his	po31	his	his	0
mar	mar	vvb	mar	mar	0
∣	∣	sy	∣	∣	0
vailous	vailous	j	vailous	vailous	0
works	works	vvz	works	work	0
,	,	,	,	,	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
should	should	vmd	should	shall	0
be	be	vbi	be	be	0
had	had	vhn	had	have	0
in	in	p-acp	in	in	0
remembrance	remembrance	n1	remembrance	remembrance	0
;	;	;	;	;	0
Psal.	Psal.	np1	Psal.	Psal.	1
111.4	111.4	crd	111.4	111.4	0
.	.	.	.	.	0
for	for	c-acp	for	for	0
were	were	vbdr	were	be	0
they	they	pns32	they	they	0
all	all	d	all	all	0
in	in	p-acp	in	in	0
one	one	crd	one	one	0
age	age	n1	age	age	0
(	(	(	(	(	0
such	such	d	such	such	0
is	is	vbz	is	be	0
our	our	po12	our	our	0
corruption	corruption	n1	corruption	corruption	0
)	)	)	)	)	0
they	they	pns32	they	they	0
would	would	vmd	would	will	0
bee	bee	vbi	be	be	0
lesse	lesse	av-dc	less	less	0
obserued	obserued	vvn	observed	observe	0
and	and	cc	and	and	0
sooner	sooner	av-c	sooner	soon	0
forgotten	forgotten	vvn	forgotten	forget	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
being	being	vbg	being	be	0
declared	declared	vvn	declared	declare	0
in	in	p-acp	in	in	0
their	their	po32	their	their	0
se	se	zz	se	se	0
∣	∣	sy	∣	∣	0
uerall	uerall	j	uerall	uerall	0
times	times	av	times	time	0
,	,	,	,	,	0
euery	euery	d	every	every	0
Age	Age	n1	Age	age	0
finds	finds	vvz	finds	find	0
matter	matter	n1	matter	matter	0
to	to	pc-acp	to	to	0
magnifie	magnifie	vvi	magnify	magnify	0
God	God	np1	God	God	0
;	;	;	;	;	0
And	And	cc	And	and	0
therefore	therefore	av	therefore	therefore	0
He	He	pns31	He	he	0
whose	whose	rg-crq	whose	who	0
glorious	glorious	j	glorious	glorious	0
name	name	n1	name	name	0
is	is	vbz	is	be	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
praised	praised	vvn	praised	praise	0
for	for	p-acp	for	for	0
euer	euer	av	ever	ever	0
,	,	,	,	,	0
reueils	reueils	vvz	reueils	reueil	0
some	some	d	some	some	0
meruailous	meruailous	j	marvelous	marvellous	0
thing	thing	n1	thing	thing	0
in	in	p-acp	in	in	0
euery	euery	d	every	every	0
generation	generation	n1	generation	generation	0
,	,	,	,	,	0
Psal.	Psal.	np1	Psal.	Psal.	1
72.19	72.19	crd	72.19	72.19	0
.	.	.	.	.	0
that	that	cst	that	that	0
so	so	av	so	so	0
his	his	po31	his	his	0
name	name	n1	name	name	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
praised	praised	vvn	praised	praise	0
from	from	p-acp	from	from	0
Generation	Generation	n1	Generation	generation	0
to	to	p-acp	to	to	0
Generation	Generation	n1	Generation	generation	0
.	.	.	.	.	1
Mans	Mans	ng1	men	man	0
works	works	n2	works	work	0
are	are	vbr	are	be	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
most	most	av-ds	most	most	0
part	part	n1	part	part	0
(	(	(	(	(	0
as	as	c-acp	as	as	0
Christ	Christ	np1	Christ	Christ	0
saith	saith	vvz	says	say	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Wine	Wine	n1	Wine	wine	0
that	that	cst	that	that	0
is	is	vbz	is	be	0
serued	serued	vvn	served	serve	0
in	in	p-acp	in	in	0
at	at	p-acp	at	at	0
feasts	feasts	n2	feasts	feast	0
)	)	)	)	)	0
best	best	av-j	best	best	0
at	at	p-acp	at	at	0
first	first	ord	first	first	0
,	,	,	,	,	0
and	and	cc	and	and	0
afterwards	afterwards	av	afterwards	afterward	0
worse	worse	jc	worse	worse	0
:	:	:	:	:	0
but	but	cc-acp	but	but	0
with	with	p-acp	with	with	0
God	God	np1	God	God	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
cōtrarie	cōtrarie	n-jn	contrary	contrary	0
;	;	;	;	;	0
for	for	c-acp	for	for	0
as	as	c-acp	as	as	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Creation	Creation	n1	Creation	creation	0
,	,	,	,	,	0
though	though	cs	though	though	0
euery	euery	d	every	every	0
daies	daies	ng1	days	day	0
worke	worke	n1	work	work	0
was	was	vbds	was	be	0
good	good	j	good	good	0
,	,	,	,	,	0
yet	yet	av	yet	yet	0
each	each	d	each	each	0
daies	daies	n2	days	day	0
was	was	vbds	was	be	0
better	better	j	better	better	0
then	then	av	then	then	0
the	the	dt	the	the	0
former	former	j	former	former	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
last	last	ord	last	last	0
best	best	js	best	best	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
:	:	:	:	:	0
Gen.	Gen.	np1	Gen.	Gen.	1
1.	1.	crd	1.	1.	1
So	So	av	So	so	0
in	in	p-acp	in	in	0
his	his	po31	his	his	0
dispensation	dispensation	n1	dispensation	dispensation	0
and	and	cc	and	and	0
gouernement	gouernement	n1	government	government	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
world	world	n1	world	world	0
,	,	,	,	,	0
all	all	d	all	all	0
knowledge	knowledge	n1	knowledge	knowledge	0
was	was	vbds	was	be	0
not	not	xx	not	not	0
reueiled	reueiled	vvn	revealed	reveal	0
,	,	,	,	,	0
nor	nor	ccx	nor	nor	0
all	all	d	all	all	0
good	good	j	good	good	0
things	things	n2	things	thing	0
made	made	vvd	made	make	0
knowne	knowne	vvn	known	know	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
first	first	ord	first	first	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
day	day	n1	day	day	0
vnto	vnto	p-acp	unto	unto	0
day	day	n1	day	day	0
vttereth	vttereth	vvz	uttereth	utter	0
,	,	,	,	,	0
and	and	cc	and	and	0
night	night	n1	night	night	0
to	to	p-acp	to	to	0
night	night	n1	night	night	0
(	(	(	(	(	0
and	and	cc	and	and	0
why	why	q-crq	why	why	0
not	not	xx	not	not	0
also	also	av	also	also	0
,	,	,	,	,	0
Psal.	Psal.	np1	Psal.	Psal.	1
19.2	19.2	crd	19.2	19.2	0
.	.	.	.	.	0
age	age	n1	age	age	0
vnto	vnto	p-acp	unto	unto	0
age	age	n1	age	age	0
)	)	)	)	)	0
teacheth	teacheth	vvz	teaches	teach	0
knowledge	knowledge	n1	knowledge	knowledge	0
.	.	.	.	.	1
And	And	cc	And	and	0
hence	hence	av	hence	hence	0
is	is	vbz	is	be	0
it	it	pn31	it	it	0
that	that	d	that	that	0
as	as	p-acp	as	as	0
great	great	j	great	great	0
secrets	secrets	n2-jn	secrets	secret	0
in	in	p-acp	in	in	0
nature	nature	n1	nature	nature	0
,	,	,	,	,	0
and	and	cc	and	and	0
as	as	p-acp	as	as	0
admirable	admirable	j	admirable	admirable	0
perfections	perfections	n2	perfections	perfection	0
in	in	p-acp	in	in	0
art	art	n1	art	art	0
,	,	,	,	,	0
and	and	cc	and	and	0
as	as	p-acp	as	as	0
rare	rare	j	rare	rare	0
inuentions	inuentions	n2	inventions	invention	0
,	,	,	,	,	0
and	and	cc	and	and	0
profitable	profitable	j	profitable	profitable	0
experiments	experiments	n2	experiments	experiment	0
(	(	(	(	(	0
euery	euery	d	every	every	0
way	way	n1	way	way	0
)	)	)	)	)	0
are	are	vbr	are	be	0
daily	daily	av-j	daily	daily	0
discouered	discouered	vvn	discovered	discover	0
in	in	p-acp	in	in	0
these	these	d	these	these	0
latter	latter	d	latter	latter	0
ages	ages	n2	ages	age	0
