Brethren	Brethren	n1	Brothers	brethren	0
,	,	,	,	,	0
YOu	YOu	pn22	YOu	you	0
cannot	cannot	vmbx	cannot	can	0
but	but	cc-acp	but	but	0
know	know	vvi	know	know	0
that	that	d	that	that	0
the	the	dt	the	the	0
Church	Church	n1	Church	church	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
is	is	vbz	is	be	0
in	in	p-acp	in	in	0
Scripture	Scripture	n1	Scripture	scripture	0
resembled	resembled	vvd	resembled	resemble	0
to	to	p-acp	to	to	0
a	a	dt	a	a	0
natural	natural	j	natural	natural	0
body	body	n1	body	body	0
,	,	,	,	,	0
wherein	wherein	c-crq	wherein	wherein	0
are	are	vbr	are	be	0
many	many	d	many	many	0
members	members	n2	members	member	0
united	united	vvn	united	unite	0
to	to	p-acp	to	to	0
each	each	d	each	each	0
other	other	n-jn	other	other	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	p-acp	to	to	0
one	one	crd	one	one	0
head	head	n1	head	head	0
,	,	,	,	,	0
and	and	cc	and	and	0
by	by	p-acp	by	by	0
one	one	crd	one	one	0
Spirit	Spirit	n1	Spirit	spirit	0
growing	growing	vvg	growing	grow	0
up	up	a-acp	up	up	0
in	in	p-acp	in	in	0
exact	exact	j	exact	exact	0
unity	unity	n1	unity	unity	0
;	;	;	;	;	0
now	now	av	now	now	0
as	as	c-acp	as	as	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
natural	natural	j	natural	natural	0
body	body	n1	body	body	0
there	there	a-acp	there	there	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
many	many	d	many	many	0
infirmities	infirmities	n2	infirmities	infirmity	0
,	,	,	,	,	0
and	and	cc	and	and	0
many	many	d	many	many	0
things	things	n2	things	thing	0
are	are	vbr	are	be	0
liable	liable	j	liable	liable	0
to	to	pc-acp	to	to	0
offend	offend	vvi	offend	offend	0
and	and	cc	and	and	0
hurt	hurt	vvi	hurt	hurt	0
it	it	pn31	it	it	0
,	,	,	,	,	0
so	so	av	so	so	0
also	also	av	also	also	0
is	is	vbz	is	be	0
