'TIS	'TIS	pn31|vbz	IT'S	it|be	0
for	for	p-acp	for	for	0
your	your	po22	your	your	0
Perusal	Perusal	n1	Perusal	perusal	0
that	that	cst	that	that	0
this	this	d	this	this	0
Treatise	Treatise	n1	Treatise	treatise	0
is	is	vbz	is	be	0
publish'd	publish'd	vvn	published	publish	0
:	:	:	:	:	0
To	To	pc-acp	To	to	0
you	you	pn22	you	you	0
I	I	pns11	I	i	0
dedicate	dedicate	vvb	dedicate	dedicate	0
these	these	d	these	these	0
Collections	Collections	n2	Collections	collection	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
the	the	dt	the	the	0
most	most	av-ds	most	most	0
sutable	sutable	j	suitable	suitable	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
Generous	Generous	j	Generous	generous	0
and	and	cc	and	and	0
Martial	Martial	j	Martial	martial	0
Dispositions	Dispositions	n2	Dispositions	disposition	0
.	.	.	.	.	1
No	No	dx	No	no	0
Nati	Nati	n1	Nati	nati	0
∣	∣	sy	∣	∣	0
on	on	zz	on	on	0
under	under	p-acp	under	under	0
the	the	dt	the	the	0
Sun	Sun	n1	Sun	sun	0
have	have	vhb	have	have	0
taken	taken	vvn	taken	take	0
a	a	dt	a	a	0
greater	greater	jc	greater	great	0
Delight	Delight	n1	Delight	delight	0
in	in	p-acp	in	in	0
War	War	n1	War	war	0
than	than	cs	than	than	0
ours	ours	png12	ours	we	0
,	,	,	,	,	0
and	and	cc	and	and	0
none	none	pix	none	none	0
have	have	vhb	have	have	0
been	been	vbn	been	be	0
more	more	av-dc	more	more	0
successful	successful	j	successful	successful	0
in	in	p-acp	in	in	0
former	former	j	former	former	0
Ages	Ages	n2	Ages	age	0
,	,	,	,	,	0
and	and	cc	and	and	0
purchased	purchased	vvd	purchased	purchase	0
more	more	dc	more	more	0
Honour	Honour	n1	Honour	honour	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Field	Field	n1	Field	field	0
than	than	cs	than	than	0
the	the	dt	the	the	0
English	English	jp	English	english	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
this	this	d	this	this	0
is	is	vbz	is	be	0
remarkable	remarkable	j	remarkable	remarkable	0
in	in	p-acp	in	in	0
History	History	n1	History	history	0
,	,	,	,	,	0
that	that	cst	that	that	0
their	their	po32	their	their	0
Nota	Nota	np1	Nota	Nota	0
∣	∣	sy	∣	∣	0
ble	ble	zz	ble	ble	0
Victories	Victories	n2	Victories	victory	0
were	were	vbdr	were	be	0
gotten	gotten	vvn	got	get	0
more	more	av-dc	more	more	0
by	by	p-acp	by	by	0
their	their	po32	their	their	0
plain	plain	j	plain	plain	0
Valour	Valour	n1	Valour	valour	0
,	,	,	,	,	0
than	than	cs	than	than	0
by	by	p-acp	by	by	0
their	their	po32	their	their	0
Policies	Policies	n2	Policies	policy	0
.	.	.	.	.	1
The	The	dt	The	the	0
Strength	Strength	n1	Strength	strength	0
of	of	pp-f	of	of	0
other	other	j-jn	other	other	0
Nations	Nations	n2	Nations	nation	0
consists	consists	vvz	consists	consist	0
in	in	p-acp	in	in	0
Subtilties	Subtilties	n2	Subtleties	subtlety	0
and	and	cc	and	and	0
Ambushes	Ambushes	n2	Ambushes	ambush	0
;	;	;	;	;	0
there	there	pc-acp	there	there	0
are	are	vbr	are	be	0
are	are	vbr	are	be	0
few	few	d	few	few	0
that	that	cst	that	that	0
dare	dare	vvb	dare	dare	0
face	face	n1	face	face	0
an	an	dt	and	a	0
assaulting	assaulting	vvg	assaulting	assault	0
Enemy	Enemy	n1	Enemy	enemy	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
open	open	j	open	open	0
Field	Field	n1	Field	field	0
,	,	,	,	,	0
and	and	cc	and	and	0
oppose	oppose	vvi	oppose	oppose	0
their	their	po32	their	their	0
naked	naked	j	naked	naked	0
Breasts	Breasts	n2	Breasts	breast	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Showrs	Showrs	n2	Showers	shower	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Murthering	Murthering	vvg	Murdering	murder	0
Shot	Shot	n1	Shot	shot	0
.	.	.	.	.	1
Behend	Behend	vvb	Behend	behend	0
a	a	dt	a	a	0
Hedge	Hedge	n1	Hedge	hedge	0
,	,	,	,	,	0
a	a	dt	a	a	0
Ditch	Ditch	n1	Ditch	ditch	0
,	,	,	,	,	0
or	or	cc	or	or	0
a	a	dt	a	a	0
Breast-work	Breast-work	n1	Breastwork	breastwork	0
,	,	,	,	,	0
and	and	cc	and	and	0
when	when	c-crq	when	when	0
they	they	pns32	they	they	0
have	have	vhb	have	have	0
the	the	dt	the	the	0
Advantages	Advantages	n2	Advantages	advantage	0
of	of	pp-f	of	of	0
Number	Number	n1	Number	number	0
and	and	cc	and	and	0
the	the	dt	the	the	0
Ground	Ground	n1	Ground	ground	0
,	,	,	,	,	0
they	they	pns32	they	they	0
may	may	vmb	may	may	0
venture	venture	vvi	venture	venture	0
a	a	dt	a	a	0
Battel	Battel	n1	Battle	battle	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
the	the	dt	the	the	0
English	English	jp	English	english	0
have	have	vhb	have	have	0
been	been	vbn	been	be	0
ta	ta	dt	ta	a	0
∣	∣	sy	∣	∣	0
ken	ken	n1	ken	ken	0
notice	notice	n1	notice	notice	0
of	of	pp-f	of	of	0
for	for	p-acp	for	for	0
their	their	po32	their	their	0
Ʋndaunted	Ʋndaunted	j	Ʋndaunted	ʋndaunted	0
Courage	Courage	n1	Courage	courage	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
midst	midst	n1	midst	midst	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
greatest	greatest	js	greatest	great	0
Difficulties	Difficulties	n2	Difficulties	difficulty	0
,	,	,	,	,	0
and	and	cc	and	and	0
have	have	vhb	have	have	0
often	often	av	often	often	0
snatcht	snatcht	vvn	snatched	snatch	0
the	the	dt	the	the	0
Victory	Victory	n1	Victory	victory	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Hands	Hands	n2	Hands	hand	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
In	In	n1	In	inn	0
∣	∣	sy	∣	∣	0
sulting	sulting	vvg	sulting	sult	0
Enemy	Enemy	n1	Enemy	enemy	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
if	if	cs	if	if	0
the	the	dt	the	the	0
English	English	jp	English	english	0
Courage	Courage	n1	Courage	courage	0
alone	alone	av-j	alone	alone	0
,	,	,	,	,	0
without	without	p-acp	without	without	0
the	the	dt	the	the	0
Assistance	Assistance	n1	Assistance	assistance	0
of	of	pp-f	of	of	0
Art	Art	n1	Art	art	0
,	,	,	,	,	0
hath	hath	vhz	hath	have	0
been	been	vbn	been	be	0
so	so	av	so	so	0
Victorious	Victorious	j	Victorious	victorious	0
,	,	,	,	,	0
what	what	r-crq	what	what	0
Wonders	Wonders	n2	Wonders	wonder	0
would	would	vmd	would	will	0
it	it	pn31	it	it	0
not	not	xx	not	not	0
be	be	vbi	be	be	0
able	able	j	able	able	0
to	to	pc-acp	to	to	0
per	per	fw-la	per	per	0
∣	∣	sy	∣	∣	0
form	form	n1	from	form	0
,	,	,	,	,	0
if	if	cs	if	if	0
it	it	pn31	it	it	0
were	were	vbdr	were	be	0
seconded	seconded	vvn	seconded	second	0
by	by	p-acp	by	by	0
Policy	Policy	n1	Policy	policy	0
and	and	cc	and	and	0
Craft	Craft	n1	Craft	craft	0
?	?	?	?	?	1
I	I	pns11	I	i	0
