I	I	pns11	I	i	0
Read	Read	vvb	Read	read	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Book	Book	n1	Book	book	0
of	of	pp-f	of	of	0
Nehemiah	Nehemiah	np1	Nehemiah	Nehemiah	0
,	,	,	,	,	0
that	that	cst	that	that	0
when	when	c-crq	when	when	0
the	the	dt	the	the	0
wall	wall	n1	wall	wall	0
of	of	pp-f	of	of	0
Jerusalem	Jerusalem	np1	Jerusalem	Jerusalem	0
was	was	vbds	was	be	0
in	in	p-acp	in	in	0
building	building	n1	building	building	0
,	,	,	,	,	0
the	the	dt	the	the	0
builders	builders	n2	builders	builder	0
met	met	vvn	met	meet	0
with	with	p-acp	with	with	0
so	so	av	so	so	0
much	much	d	much	much	0
opposition	opposition	n1	opposition	opposition	0
,	,	,	,	,	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
were	were	vbdr	were	be	0
forced	forced	vvn	forced	force	0
to	to	pc-acp	to	to	0
build	build	vvi	built	build	0
with	with	p-acp	with	with	0
their	their	po32	their	their	0
wea	wea	zz	wea	wea	0
∣	∣	sy	∣	∣	0
pons	pons	fw-la	pons	pons	0
in	in	fw-la	in	in	0
one	one	crd	one	one	0
hand	hand	n1	hand	hand	0
,	,	,	,	,	0
and	and	cc	and	and	0
with	with	p-acp	with	with	0
their	their	po32	their	their	0
working	working	j-vvg	working	work	0
tools	tools	n2	tools	tool	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
other	other	n-jn	other	other	0
.	.	.	.	.	1
They	They	pns32	They	they	0
had	had	vhd	had	have	0
enemies	enemies	n2	enemies	enemy	0
from	from	p-acp	from	from	0
without	without	a-acp	without	without	0
,	,	,	,	,	0
and	and	cc	and	and	0
they	they	pns32	they	they	0
had	had	vhd	had	have	0
secret	secret	j-jn	secret	secret	0
enemies	enemies	n2	enemies	enemy	0
amongst	amongst	p-acp	among	among	0
themselves	themselves	px32	themselves	themselves	0
.	.	.	.	.	1
They	They	pns32	They	they	0
met	met	vvd	met	meet	0
with	with	p-acp	with	with	0
many	many	d	many	many	0
discouragements	discouragements	n2	discouragements	discouragement	0
;	;	;	;	;	0
but	but	cc-acp	but	but	0
God	God	np1	God	God	0
carried	carried	vvd	carried	carry	0
them	them	pno32	them	they	0
through	through	p-acp	through	through	0
all	all	d	all	all	0
,	,	,	,	,	0
and	and	cc	and	and	0
at	at	p-acp	at	at	0
last	last	ord	last	last	0
they	they	pns32	they	they	0
finished	finished	vvd	finished	finish	0
the	the	dt	the	the	0
wall	wall	n1	wall	wall	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
confusion	confusion	n1	confusion	confusion	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
enemies	enemies	n2	enemies	enemy	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
rejoycing	rejoycing	vvg	rejoicing	rejoice	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
friends	friends	n2	friends	friend	0
.	.	.	.	.	1
Nehemiah's	Nehemiah's	npg1	Nehemiah's	nehemiah	0
condition	condition	n1	condition	condition	0
is	is	vbz	is	be	0
our	our	po12	our	our	0
