ROscius	ROscius	np1	ROscius	ROscius	0
the	the	dt	the	the	0
Romane	Romane	jp	Roman	roman	0
Tragedian	Tragedian	n1	Tragedian	tragedian	0
(	(	(	(	(	0
most	most	av-ds	most	most	0
noble	noble	j	noble	noble	0
Prince	Prince	n1	Prince	prince	0
)	)	)	)	)	0
contending	contending	vvg	contending	contend	0
with	with	p-acp	with	with	0
Cicero	Cicero	np1	Cicero	Cicero	0
the	the	dt	the	the	0
Orator	Orator	n1	Orator	orator	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
both	both	d	both	both	0
should	should	vmd	should	shall	0
perswade	perswade	vvi	persuade	persuade	0
most	most	ds	most	most	0
people	people	n1	people	people	0
,	,	,	,	,	0
either	either	d	either	either	0
Roscius	Roscius	np1	Roscius	Roscius	0
with	with	p-acp	with	with	0
his	his	po31	his	his	0
motions	motions	n2	motions	motion	0
,	,	,	,	,	0
and	and	cc	and	and	0
gestures	gestures	n2	gestures	gesture	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
body	body	n1	body	body	0
;	;	;	;	;	0
or	or	cc	or	or	0
Cicero	Cicero	np1	Cicero	Cicero	0
with	with	p-acp	with	with	0
varietie	varietie	n1	variety	variety	0
,	,	,	,	,	0
and	and	cc	and	and	0
copy	copy	n1	copy	copy	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
tongue	tongue	n1	tongue	tongue	0
.	.	.	.	.	1
This	This	np1	This	This	0
hath	hath	vhz	hath	have	0
been	been	vbn	been	be	0
in	in	p-acp	in	in	0
ex	ex	fw-la	ex	ex	0
∣	∣	sy	∣	∣	0
ercise	ercise	n1	ercise	ercise	0
in	in	p-acp	in	in	0
Greece	Greece	n1	Greece	grease	0
much	much	av-d	much	much	0
vsed	vsed	vvn	used	use	0
;	;	;	;	;	0
and	and	cc	and	and	0
now	now	av	now	now	0
in	in	p-acp	in	in	0
Rome	Rome	n1	Room	room	0
more	more	av-dc	more	more	0
:	:	:	:	:	0
but	but	cc-acp	but	but	0
of	of	pp-f	of	of	0
such	such	d	such	such	0
motions	motions	n2	motions	motion	0
and	and	cc	and	and	0
gestures	gestures	n2	gestures	gesture	0
of	of	pp-f	of	of	0
men	men	n2	men	man	0
,	,	,	,	,	0
that	that	cst	that	that	0
can	can	vmb	can	can	0
speake	speake	vvi	speak	speak	0
with	with	p-acp	with	with	0
their	their	po32	their	their	0
hands	hands	n2	hands	hand	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
their	their	po32	their	their	0
eies	eies	n2	eyes	eye	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
their	their	po32	their	their	0
shoulders	shoulders	n2	shoulders	shoulder	0
,	,	,	,	,	0
and	and	cc	and	and	0
with	with	p-acp	with	with	0
their	their	po32	their	their	0
feet	feet	n2	feet	foot	0
,	,	,	,	,	0
Salomon	Salomon	np1	Salomon	Salomon	0
bids	bids	vvz	bids	bid	0
vs	vs	pno12	us	we	0
to	to	pc-acp	to	to	0
take	take	vvi	take	take	0
heed	heed	n1	heed	heed	0
,	,	,	,	,	0
that	that	cst	that	that	0
will	will	vmb	will	will	0
speake	speake	vvi	speak	speak	0
like	like	av-j	like	like	0
Aristippus	Aristippus	np1	Aristippus	Aristippus	0
to	to	p-acp	to	to	0
Dionisius	Dionisius	np1	Dionisius	Dionysius	0
heeles	heeles	n2	heals	heal	0
.	.	.	.	.	1
Such	Such	d	Such	such	0
were	were	vbdr	were	be	0
they	they	pns32	they	they	0
that	that	cst	that	that	0
held	held	vvd	held	hold	0
their	their	po32	their	their	0
heads	heads	n2	heads	head	0
on	on	p-acp	on	on	0
the	the	dt	the	the	0
left	left	j	left	left	0
side	side	n1	side	side	0
,	,	,	,	,	0
like	like	j	like	like	0
King	King	n1	King	king	0
Philip	Philip	n1	Philip	fillip	0
of	of	pp-f	of	of	0
Macedon	Macedon	np1	Macedon	Macedon	0
,	,	,	,	,	0
while	while	cs	while	while	0
Philip	Philip	np1	Philip	Philip	0
liued	liued	vvd	lived	live	0
:	:	:	:	:	0
