TO	TO	p-acp	TO	to	0
His	His	po31	His	his	0
EXCELLENCY	EXCELLENCY	n1	EXCELLENCY	excellency	0
JAMES	JAMES	np1	JAMES	James	0
Duke	Duke	n1	Duke	duke	0
,	,	,	,	,	0
Marquess	Marquess	n1	Marquis	marquis	0
and	and	cc	and	and	0
Earl	Earl	n1	Earl	earl	0
of	of	pp-f	of	of	0
Ormond	Ormond	np1	Ormond	Ormond	0
,	,	,	,	,	0
Earl	Earl	n1	Earl	earl	0
of	of	pp-f	of	of	0
Ossory	Ossory	np1	Ossory	Ossory	0
and	and	cc	and	and	0
Brecknock	Brecknock	np1	Brecknock	Brecknock	0
,	,	,	,	,	0
Viscount	Viscount	np1	Viscount	Viscount	0
Thurles	Thurles	vvz	Thurles	thurle	0
,	,	,	,	,	0
Lord	Lord	n1	Lord	lord	0
Baron	Baron	n1	Baron	baron	0
of	of	pp-f	of	of	0
Arclo	Arclo	np1	Arclo	Arclo	0
and	and	cc	and	and	0
Lanthony	Lanthony	np1	Lanthony	Lanthony	0
,	,	,	,	,	0
Lord	Lord	n1	Lord	lord	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Regalities	Regalities	n2	Regalities	regality	0
and	and	cc	and	and	0
Liberties	Liberties	n2	Liberties	liberty	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
County	County	n1	County	county	0
of	of	pp-f	of	of	0
Tipperary	Tipperary	np1	Tipperary	Tipperary	0
,	,	,	,	,	0
Chancel	Chancel	n1	Chancel	chancel	0
∣	∣	sy	∣	∣	0
lor	lor	n1	lor	lor	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
University	University	n1	University	university	0
of	of	pp-f	of	of	0
Dublin	Dublin	np1	Dublin	Dublin	0
,	,	,	,	,	0
Lord	Lord	n1	Lord	lord	0
Lieutenant	Lieutenant	n1	Lieutenant	lieutenant	0
General	General	j	General	general	0
and	and	cc	and	and	0
General	General	j	General	general	0
Governor	Governor	n1	Governor	governor	0
of	of	pp-f	of	of	0
His	His	po31	His	his	0
Majesties	Majesties	ng1	Majesties	majesty	0
King	King	n1	King	king	0
∣	∣	sy	∣	∣	0
dom	dom	zz	dom	dom	0
of	of	pp-f	of	of	0
Ireland	Ireland	np1	Ireland	Ireland	0
,	,	,	,	,	0
Lord	Lord	n1	Lord	lord	0
Lieutenant	Lieutenant	n1	Lieutenant	lieutenant	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
County	County	n1	County	county	0
of	of	pp-f	of	of	0
Sommerset	Sommerset	np1	Sommerset	Somerset	0
,	,	,	,	,	0
one	one	crd	one	one	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Lords	Lords	n2	Lords	lord	0
of	of	pp-f	of	of	0
His	His	po31	His	his	0
Majesties	Majesties	ng1	Majesties	majesty	0
most	most	av-ds	most	most	0
Honourable	Honourable	j	Honourable	honourable	0
Privy	Privy	j	Privy	privy	0
Councils	Councils	n2	Councils	council	0
of	of	pp-f	of	of	0
His	His	po31	His	his	0
Majesties	Majesties	ng1	Majesties	majesty	0
King	King	n1	King	king	0
∣	∣	sy	∣	∣	0
doms	doms	n2	doms	dom	0
of	of	pp-f	of	of	0
England	England	np1	England	England	0
,	,	,	,	,	0
Scotland	Scotland	np1	Scotland	Scotland	0
and	and	cc	and	and	0
Ireland	Ireland	np1	Ireland	Ireland	0
,	,	,	,	,	0
Lord	Lord	n1	Lord	lord	0
Steward	Steward	n1	Steward	steward	0
of	of	pp-f	of	of	0
His	His	po31	His	his	0
Majesties	Majesties	ng1	Majesties	majesty	0
Houshold	Houshold	n1	Household	household	0
,	,	,	,	,	0
Gentleman	Gentleman	n1	Gentleman	gentleman	0
of	of	pp-f	of	of	0
His	His	po31	His	his	0
Maje	Maje	j	Maje	maje	0
∣	∣	sy	∣	∣	0
sties	sties	ng1	sties	sties	0
Bed-Chamber	Bed-Chamber	n1	Bed-Chamber	bedchamber	0
,	,	,	,	,	0
and	and	cc	and	and	0
Knight	Knight	n1	Knight	knight	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
most	most	av-ds	most	most	0
noble	noble	j	noble	noble	0
Or	Or	cc	Or	or	0
∣	∣	sy	∣	∣	0
der	der	zf	der	there	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Garter	Garter	n1	Garter	garter	0
.	.	.	.	.	1
