NOtwithstāding	NOtwithstāding	a-acp	Notwithstanding	notwithstanding	0
that	that	d	that	that	0
this	this	d	this	this	0
my	my	po11	my	my	0
collection	collection	n1	collection	collection	0
of	of	pp-f	of	of	0
Scrip	Scrip	n1	Scrip	scrip	0
∣	∣	sy	∣	∣	0
ture	ture	n1	ture	ture	0
moste	moste	av-ds	most	most	0
excellente	excellente	j	excellent	excellent	0
and	and	cc	and	and	0
vertuous	vertuous	j	virtuous	virtuous	0
Ladye	Ladye	n1	Lady	lady	0
,	,	,	,	,	0
hathe	hathe	vhz	hath	have	0
no	no	dx	no	no	0
nede	nede	n1	need	need	0
of	of	pp-f	of	of	0
any	any	d	any	any	0
mans	mans	ng1	men	man	0
tuition	tuition	n1	tuition	tuition	0
or	or	cc	or	or	0
defense	defense	n1	defence	defence	0
,	,	,	,	,	0
forasmuche	forasmuche	av	forasmuch	forasmuch	0
as	as	c-acp	as	as	0
it	it	pn31	it	it	0
contayneth	contayneth	vvz	containeth	contain	0
onelye	onelye	av-j	only	only	0
the	the	dt	the	the	0
simple	simple	j	simple	simple	0
and	and	cc	and	and	0
very	very	j	very	very	0
true	true	j	true	true	0
worde	worde	n1	word	word	0
and	and	cc	and	and	0
sayinges	sayinges	n2-vvg	sayings	say	0
of	of	pp-f	of	of	0
god	god	n1	god	god	0
:	:	:	:	:	0
yet	yet	av	yet	yet	0
after	after	c-acp	after	after	0
I	I	pns11	I	i	0
had	had	vhd	had	have	0
finished	finished	vvn	finished	finish	0
and	and	cc	and	and	0
ended	ended	vvd	ended	end	0
the	the	dt	the	the	0
thyng	thyng	n1	thing	thing	0
,	,	,	,	,	0
and	and	cc	and	and	0
purposed	purposed	vvd	purposed	purpose	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
counsell	counsell	n1	counsel	counsel	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
ler	ler	vvb	ler	let	0
∣	∣	sy	∣	∣	0
ned	ned	zz	ned	ned	0
man	man	n1	man	man	0
to	to	pc-acp	to	to	0
publyshe	publyshe	vvi	publish	publish	0
it	it	pn31	it	it	0
,	,	,	,	,	0
for	for	c-acp	for	for	0
mans	mans	ng1	men	man	0
consolaciō	consolaciō	n1	consolation	consolation	0
and	and	cc	and	and	0
learning	learning	n1	learning	learning	0
:	:	:	:	:	0
youre	youre	po22	your	your	0
graces	graces	n2	graces	grace	0
fyery	fyery	j	fiery	fiery	0
and	and	cc	and	and	0
euēt	euēt	n1	event	event	0
mynde	mynde	n1	mind	mind	0
to	to	p-acp	to	to	0
vertuous	vertuous	j	virtuous	virtuous	0
and	and	cc	and	and	0
godly	godly	j	godly	godly	0
liuing	liuing	n-vvg	living	live	0
,	,	,	,	,	0
youre	youre	po22	your	your	0
true	true	j	true	true	0
intente	intente	n1	intent	intent	0
and	and	cc	and	and	0
naturall	naturall	j	natural	natural	0
inclinacion	inclinacion	n1	inclination	inclination	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
same	same	d	same	same	0
:	:	:	:	:	0
your	your	po22	your	your	0
liberal	liberal	j	liberal	liberal	0
hand	hand	n1	hand	hand	0
and	and	cc	and	and	0
fauour	fauour	vvi	favour	favour	0
to	to	p-acp	to	to	0
those	those	d	those	those	0
,	,	,	,	,	0
whiche	whiche	r-crq	which	which	0
diligently	diligently	av-j	diligently	diligent	0
do	do	vdb	do	do	0
exercyse	exercyse	vvi	exercise	exercise	0
themselues	themselues	px32	themselves	themselves	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
spirituall	spirituall	j	spiritual	spiritual	0
and	and	cc	and	and	0
morall	morall	j	moral	moral	0
study	study	n1	study	study	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
sincere	sincere	j	sincere	sincere	0
worde	worde	n1	word	word	0
of	of	pp-f	of	of	0
god	god	n1	god	god	0
,	,	,	,	,	0
and	and	cc	and	and	0
agayne	agayne	av	again	again	0
youre	youre	po22	your	your	0
Graces	Graces	n2	Graces	grace	0
be	be	vbb	be	be	0
∣	∣	sy	∣	∣	0
nignitie	nignitie	n1	nignitie	nignitie	0
and	and	cc	and	and	0
gentilnes	gentilnes	n1	gentleness	gentleness	0
of	of	pp-f	of	of	0
long	long	j	long	long	0
tyme	tyme	n1	time	time	0
bounte	bounte	vvb	bounte	bounte	0
fully	fully	av-j	fully	full	0
to	to	p-acp	to	to	0
me	me	pno11	me	i	0
declared	declared	vvd	declared	declare	0
:	:	:	:	:	0
enforced	enforced	vvd	inforced	enforce	0
me	me	pno11	me	i	0
to	to	pc-acp	to	to	0
publishe	publishe	vvi	publish	publish	0
it	it	pn31	it	it	0
in	in	p-acp	in	in	0
your	your	po22	your	your	0
graces	graces	ng1	graces	grace	0
name	name	n1	name	name	0
.	.	.	.	.	1
Accept	Accept	vvb	Accept	accept	0
therfore	therfore	av	therefore	therefore	0
this	this	d	this	this	0
my	my	po11	my	my	0
labour	labour	n1	labour	labour	0
moste	moste	ds	most	most	0
excellant	excellant	n1	excellant	excellant	0
Lady	Lady	n1	Lady	lady	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
sente	sente	vvn	sent	send	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
daylye	daylye	av-j	daily	daily	0
Orator	Orator	n1	Orator	orator	0
and	and	cc	and	and	0
moste	moste	av-ds	most	most	0
humble	humble	j	humble	humble	0
ser	ser	zz	ser	ser	0
∣	∣	sy	∣	∣	0
uaunt	uaunt	n1	vaunt	vaunt	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
grace	grace	n1	grace	grace	0
.	.	.	.	.	1
Rede	Rede	np1	Rede	Rede	0
the	the	dt	the	the	0
fruiteful	fruiteful	j	fruitful	fruitful	0
les	les	fw-fr	les	les	0
∣	∣	sy	∣	∣	0
sons	sons	n2	sons	son	0
therof	therof	av	thereof	thereof	0
and	and	cc	and	and	0
digest	digest	vvi	digest	digest	0
them	them	pno32	them	they	0
