NOthing	NOthing	pix	NOthing	nothing	0
is	is	vbz	is	be	0
more	more	av-dc	more	more	0
just	just	j	just	just	0
then	then	cs	then	than	0
the	the	dt	the	the	0
Dedi	Dedi	fw-la	Dedi	dedi	0
∣	∣	sy	∣	∣	0
cating	cating	j-vvg	cating	cate	0
this	this	d	this	this	0
following	following	j-vvg	following	follow	0
Paper	Paper	n1	Paper	paper	0
to	to	p-acp	to	to	0
you	you	pn22	you	you	0
:	:	:	:	:	0
neither	neither	av-dx	neither	neither	0
could	could	vmd	could	can	0
any	any	d	any	any	0
consideration	consideration	n1	consideration	consideration	0
oblige	oblige	vvi	oblige	oblige	0
me	me	pno11	me	i	0
to	to	pc-acp	to	to	0
forbear	forbear	vvi	forbear	forbear	0
it	it	pn31	it	it	0
:	:	:	:	:	0
and	and	cc	and	and	0
even	even	av	even	even	0
whilst	whilst	cs	while	while	0
it	it	pn31	it	it	0
seeks	seeks	vvz	seeks	seek	0
a	a	dt	a	a	0
shade	shade	n1	shade	shade	0
,	,	,	,	,	0
it	it	pn31	it	it	0
yet	yet	av	yet	yet	0
desires	desires	vvz	desires	desire	0
so	so	av	so	so	0
illustrious	illustrious	j	illustrious	illustrious	0
a	a	dt	a	a	0
patronage	patronage	n1	patronage	patronage	0
.	.	.	.	.	1
What	What	q-crq	What	what	0
ever	ever	av	ever	ever	0
censure	censure	vvb	censure	censure	0
it	it	pn31	it	it	0
re	re	fw-mi	re	re	0
∣	∣	sy	∣	∣	0
ceives	ceives	vvb	ceives	ceive	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
world	world	n1	world	world	0
,	,	,	,	,	0
will	will	vmb	will	will	0
soon	soon	av	soon	soon	0
be	be	vbi	be	be	0
forgot	forgot	vvn	forgotten	forget	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
kindness	kindness	n1	kindness	kindness	0
you	you	pn22	you	you	0
will	will	vmb	will	will	0
shew	shew	vvi	show	show	0
it	it	pn31	it	it	0
;	;	;	;	;	0
and	and	cc	and	and	0
the	the	dt	the	the	0
favour	favour	n1	favour	favour	0
of	of	pp-f	of	of	0
so	so	av	so	so	0
excellent	excellent	j	excellent	excellent	0
a	a	dt	a	a	0
Person	Person	n1	Person	person	0
,	,	,	,	,	0
will	will	vmb	will	will	0
sufficiently	sufficiently	av-j	sufficiently	sufficient	0
reinforce	reinforce	vvi	reinforce	reinforce	0
it	it	pn31	it	it	0
against	against	p-acp	against	against	0
all	all	d	all	all	0
the	the	dt	the	the	0
assaults	assaults	n2	assaults	assault	0
of	of	pp-f	of	of	0
custome	custome	n1	custom	custom	0
and	and	cc	and	and	0
prejudice	prejudice	n1	prejudice	prejudice	0
.	.	.	.	.	1
And	And	cc	And	and	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
privacies	privacies	n2	privacies	privacy	0
where	where	c-crq	where	where	0
we	we	pns12	we	we	0
now	now	av	now	now	0
are	are	vbr	are	be	0
,	,	,	,	,	0
I	I	pns11	I	i	0
may	may	vmb	may	may	0
assume	assume	vvi	assume	assume	0
the	the	dt	the	the	0
liberty	liberty	n1	liberty	liberty	0
to	to	pc-acp	to	to	0
say	say	vvi	say	say	0
,	,	,	,	,	0
we	we	pns12	we	we	0
are	are	vbr	are	be	0
the	the	dt	the	the	0
votaries	votaries	n2	votaries	votary	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
neglected	neglected	j-vvn	neglected	neglect	0
Theme	Theme	n1	Theme	theme	0
;	;	;	;	;	0
and	and	cc	and	and	0
acknowledge	acknowledge	vvb	acknowledge	acknowledge	0
the	the	dt	the	the	0
Divinity	Divinity	n1	Divinity	divinity	0
of	of	pp-f	of	of	0
that	that	d	that	that	0
Altar	Altar	n1	Altar	altar	0
which	which	r-crq	which	which	0
the	the	dt	the	the	0
Irreligion	Irreligion	n1	Irreligion	irreligion	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Age	Age	n1	Age	age	0
has	has	vhz	has	have	0
a	a	dt	a	a	0
∣	∣	sy	∣	∣	0
bandoned	bandoned	vvn	bandoned	bandon	0
:	:	:	:	:	0
all	all	d	all	all	0
our	our	po12	our	our	0
regret	regret	n1	regret	regret	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
difficul	difficul	n1	difficul	difficul	0
∣	∣	sy	∣	∣	0
ty	ty	zz	ty	ty	0
we	we	pns12	we	we	0
have	have	vhb	have	have	0
found	found	vvn	found	find	0
in	in	p-acp	in	in	0
making	making	vvg	making	make	0
that	that	cst	that	that	0
sacri	sacri	fw-la	sacri	sacri	0
∣	∣	sy	∣	∣	0
fice	fice	n1	fice	fice	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
now	now	av	now	now	0
esteemed	esteemed	vvn	esteemed	esteem	0
the	the	dt	the	the	0
degene	degene	j	degene	degene	0
∣	∣	sy	∣	∣	0
rate	rate	n1	rate	rate	0
Devotion	Devotion	n1	Devotion	devotion	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
World	World	n1	World	world	0
.	.	.	.	.	1
Though	Though	cs	Though	though	0
Vertue	Vertue	n1	Virtue	virtue	0
has	has	vhz	has	have	0
lost	lost	vvn	lost	lose	0
its	its	po31	its	its	0
Traine	Traine	n1	Train	train	0
,	,	,	,	,	0
yet	yet	av	yet	yet	0
it	it	pn31	it	it	0
re	re	zz	re	re	0
∣	∣	sy	∣	∣	0
ceives	ceives	vvb	ceives	ceive	0
the	the	pno32	thee	they	0
most	most	av-ds	most	most	0
obsequious	obsequious	j	obsequious	obsequious	0
respect	respect	n1	respect	respect	0
from	from	p-acp	from	from	0
us	us	pno12	us	we	0
;	;	;	;	;	0
and	and	cc	and	and	0
it	it	pn31	it	it	0
has	has	vhz	has	have	0
not	not	xx	not	not	0
been	been	vbn	been	be	0
our	our	po12	our	our	0
hearts	hearts	n2	hearts	heart	0
but	but	p-acp	but	but	0
our	our	po12	our	our	0
conditions	conditions	n2	conditions	condition	0
,	,	,	,	,	0
that	that	cst	that	that	0
have	have	vhb	have	have	0
refused	refused	vvn	refused	refuse	0
its	its	po31	its	its	0
conduct	conduct	n1	conduct	conduct	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
track	track	n1	track	tract	0
of	of	pp-f	of	of	0
Ages	Ages	n2	Ages	age	0
.	.	.	.	.	1
We	We	pns12	We	we	0
are	are	vbr	are	be	0
not	not	xx	not	not	0
yet	yet	av	yet	yet	0
become	become	vvi	become	become	0
Atheists	Atheists	n2	Atheists	atheist	0
to	to	p-acp	to	to	0
a	a	dt	a	a	0
Hymen	Hymen	np1	Hymen	Hymen	0
,	,	,	,	,	0
nor	nor	ccx	nor	nor	0
deserters	deserters	n2	deserters	deserter	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
fidelity	fidelity	n1	fidelity	fidelity	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
loa	loa	uh	loa	loa	0
∣	∣	sy	∣	∣	0
den	den	zz	den	den	0
with	with	p-acp	with	with	0
reproaches	reproaches	n2	reproaches	reproach	0
:	:	:	:	:	0
Neither	Neither	av-dx	Neither	neither	0
do	do	vdb	do	do	0
we	we	pns12	we	we	0
recount	recount	vvi	recount	recount	0
these	these	d	these	these	0
things	things	n2	things	thing	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
shade	shade	n1	shade	shade	0
,	,	,	,	,	0
because	because	c-acp	because	because	0
we	we	pns12	we	we	0
blush	blush	vvb	blush	blush	0
to	to	pc-acp	to	to	0
avow	avow	vvi	avow	avow	0
them	them	pno32	them	they	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Sun	Sun	n1	Sun	sun	0
beams	beams	n2	beams	beam	0
.	.	.	.	.	1
No	No	uh-dx	No	no	0
Antonia	Antonia	np1	Antonia	Antonia	0
,	,	,	,	,	0
we	we	pns12	we	we	0
have	have	vhb	have	have	0
deposited	deposited	vvn	deposited	deposit	0
those	those	d	those	those	0
resolutions	resolutions	n2	resolutions	resolution	0
in	in	p-acp	in	in	0
faithful	faithful	j	faithful	faithful	0
assurances	assurances	n2	assurances	assurance	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
we	we	pns12	we	we	0
would	would	vmd	would	will	0
at	at	p-acp	at	at	0
any	any	d	any	any	0
time	time	n1	time	time	0
be	be	vbi	be	be	0
willing	willing	j	willing	willing	0
to	to	pc-acp	to	to	0
lay	lay	vvi	lay	lay	0
out	out	av	out	out	0
for	for	p-acp	for	for	0
so	so	av	so	so	0
fair	fair	j	fair	fair	0
a	a	dt	a	a	0
purchase	purchase	n1	purchase	purchase	0
:	:	:	:	:	0
in	in	p-acp	in	in	0
which	which	r-crq	which	which	0
