Endeared	Endeared	vvn	Endeared	endear	0
Aunt	Aunt	n1	Aunt	aunt	0
,	,	,	,	,	0
I	I	pns11	I	i	0
Have	Have	vhb	Have	have	0
much	much	av-d	much	much	0
desired	desired	vvn	desired	desire	0
an	an	dt	and	a	0
opportunity	opportunity	n1	opportunity	opportunity	0
to	to	pc-acp	to	to	0
express	express	vvi	express	express	0
my	my	po11	my	my	0
thankful	thankful	j	thankful	thankful	0
∣	∣	sy	∣	∣	0
ness	ness	n1	ness	ness	0
to	to	p-acp	to	to	0
you	you	pn22	you	you	0
,	,	,	,	,	0
for	for	c-acp	for	for	0
those	those	d	those	those	0
real	real	j	real	real	0
Kindnesses	Kindnesses	n2	Kindnesses	kindness	0
you	you	pn22	you	you	0
have	have	vhb	have	have	0
so	so	av	so	so	0
long	long	av-j	long	long	0
and	and	cc	and	and	0
often	often	av	often	often	0
expressed	expressed	vvn	expressed	express	0
to	to	p-acp	to	to	0
me	me	pno11	me	i	0
;	;	;	;	;	0
and	and	cc	and	and	0
though	though	cs	though	though	0
it	it	pn31	it	it	0
lay	lay	vvd	lay	lie	0
not	not	xx	not	not	0
in	in	p-acp	in	in	0
my	my	po11	my	my	0
Power	Power	n1	Power	power	0
to	to	pc-acp	to	to	0
requite	requite	vvi	requite	requite	0
,	,	,	,	,	0
yet	yet	av	yet	yet	0
I	I	pns11	I	i	0
would	would	vmd	would	will	0
not	not	xx	not	not	0
want	want	vvi	want	want	0
Affection	Affection	n1	Affection	affection	0
to	to	pc-acp	to	to	0
acknowledge	acknowledge	vvi	acknowledge	acknowledge	0
your	your	po22	your	your	0
love	love	n1	love	love	0
.	.	.	.	.	1
It	It	pn31	It	it	0
is	is	vbz	is	be	0
an	an	dt	and	a	0
old	old	j	old	old	0
obser	obser	fw-fr	obser	obser	0
∣	∣	sy	∣	∣	0
vation	vation	n1	vation	vation	0
,	,	,	,	,	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
that	that	cst	that	that	0
do	do	vdb	do	do	0
a	a	dt	a	a	0
good	good	j	good	good	0
turn	turn	n1	turn	turn	0
must	must	vmb	must	must	0
instantly	instantly	av-jn	instantly	instant	0
forget	forget	vvi	forget	forget	0
it	it	pn31	it	it	0
,	,	,	,	,	0
and	and	cc	and	and	0
they	they	pns32	they	they	0
that	that	cst	that	that	0
receive	receive	vvb	receive	receive	0
it	it	pn31	it	it	0
must	must	vmb	must	must	0
constantly	constantly	av-j	constantly	constant	0
remember	remember	vvi	remember	remember	0
it	it	pn31	it	it	0
;	;	;	;	;	0
you	you	pn22	you	you	0
have	have	vhb	have	have	0
done	done	vdn	done	do	0
the	the	dt	the	the	0
former	former	j	former	former	0
;	;	;	;	;	0
as	as	c-acp	as	as	0
for	for	p-acp	for	for	0
my	my	po11	my	my	0
self	self	n1	self	self	0
,	,	,	,	,	0
I	I	pns11	I	i	0
will	will	vmb	will	will	0
not	not	xx	not	not	0
deny	deny	vvi	deny	deny	0
but	but	p-acp	but	but	0
my	my	po11	my	my	0
memory	memory	n1	memory	memory	0
hath	hath	vhz	hath	have	0
long	long	av-j	long	long	0
been	been	vbn	been	be	0
asleep	asleep	j	asleep	asleep	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
I	I	pns11	I	i	0
would	would	vmd	would	will	0
now	now	av	now	now	0
onely	onely	av-j	only	only	0
testifie	testifie	vvb	testify	testify	0
(	(	(	(	(	0
by	by	p-acp	by	by	0
this	this	d	this	this	0
publique	publique	j	public	public	0
remembrance	remembrance	n1	remembrance	remembrance	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
duty	duty	n1	duty	duty	0
)	)	)	)	)	0
that	that	cst	that	that	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
not	not	xx	not	not	0
dead	dead	j	dead	dead	0
.	.	.	.	.	1
The	The	dt	The	the	0
Lord	Lord	n1	Lord	lord	0
made	made	vvd	made	make	0
you	you	pn22	you	you	0
an	an	dt	and	a	0
instrument	instrument	n1	instrument	instrument	0
,	,	,	,	,	0
though	though	cs	though	though	0
not	not	xx	not	not	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
natural	natural	j	natural	natural	0
,	,	,	,	,	0
yet	yet	av	yet	yet	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
spiritual	spiritual	j	spiritual	spiritual	0
birth	birth	n1	birth	birth	0
;	;	;	;	;	0
you	you	pn22	you	you	0
gave	gave	vvd	gave	give	0
me	me	pno11	me	i	0
not	not	xx	not	not	0
suck	suck	vvi	suck	suck	0
in	in	p-acp	in	in	0
∣	∣	sy	∣	∣	0
deed	deed	n1	deed	deed	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
Brest	Brest	n1	Breast	breast	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
you	you	pn22	you	you	0
fed	fed	vvd	fed	feed	0
me	me	pno11	me	i	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
sincere	sincere	j	sincere	sincere	0
milk	milk	n1	milk	milk	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Word	Word	n1	Word	word	0
,	,	,	,	,	0
you	you	pn22	you	you	0
first	first	ord	first	first	0
taught	taught	vvd	taught	teach	0
me	me	pno11	me	i	0
the	the	dt	the	the	0
